figure_id,figure_index,figure_path,caption,top1_score,top1_confidence,top1_text,top2_score,top2_confidence,top2_text,top3_score,top3_confidence,top3_text,top4_score,top4_confidence,top4_text,top5_score,top5_confidence,top5_text
image_0000,1,../02_images/figures/image_0000.jpg,Fig. 1. Schematics of (a) hatch melt and (b) multi-spot melt strategies.,0.571019,high,"The $\sigma _ { \mathrm { e } }$ gain with four Li\* ions insertion being due to the reduction of $\mathrm { T i ^ { 4 + } }$ to $\mathsf { T i } ^ { 2 + }$ generating extra electrons in the d band (Supplementary Fig. 1) is reasonable, which is validated by the DOS shown in Fig. 3b.",0.545781,high,"X-Ray diffraction (XRD) pattern (Supplementary Fig. 1) and selected area electron diffraction (SAED) of the TEM image (Supplementary Fig. 3) suggest the $\mathsf { A l } _ { 3 } \mathsf { T i }$ exists mainly in $\boldsymbol { \mathrm { D } } \boldsymbol { 0 } _ { 2 2 }$ phase (space group I4/mmm, a = 0.384 nm, c = 0.860 nm²9) and partially in L12 phase (space group Pm3m, $\mathbf { a } = \mathbf { 0 . 3 9 8 n m } ^ { 3 0 } )$ , and ${ \bf A l } _ { 9 } ( \mathrm { F e } , \mathrm { C o } , \mathrm { N i } ) _ { 2 }$ has monoclinic structure with the prototype of $\mathbf { A l } _ { 9 } \mathbf { C o } _ { 2 }$ (space group $\mathsf { P } 2 _ { \mathrm {1 } } / \mathsf { c }$ a = 0.622 nm, b = 0.629 nm, c = 0.856 nm, $\beta = 9 4 . 8 ^ { \circ 3 1 } )$ or $\boldsymbol { \mathrm { A l } _ { 9 } \mathrm { F e N i } ^ { 3 2 } }$ Besides, it could be seen that plenty of defects exist in AlTi (Fig. 3a & Supplementary Fig. 3).",0.543121,high,"Then, on this basis, the concomitant addition of electrons, accompanied byLi\* insertion, should narrow the bandgap to facilitate electron transition to achieve a higher $\sigma _ { \mathrm { e } } ,$ which can be commonly realized by introducing electrons into the conduction band as indicated in Supplementary Fig. 1.",0.541809,high,Rectangular rods of 444 alloy with dimensions of $1 0 \times 1 0 \times 1 5$ mm (Fig. 1(a)) and $1 0 \times 1 0 \times 3 0$ mm (Fig. 1(b)) were fabricated using an Arcam Q10 EBM system at an accelerating voltage of 60 kV and a preheating temperature of 1333 K.,0.538323,high,"The fine distribution of metastable ternary phases (Al-Ni-M, M = Er, Zr, Y, Yb) through rapid solidification serves as the source for the reactive elements, enabling nano-meter scale precipitation of a high phase percentage of $[ \boldsymbol { 1 } _ { 2 } \mathbf { - A l } _ { 3 } \boldsymbol { \mathrm { M } } \ ( \boldsymbol { \mathrm { M } } = \boldsymbol { \mathrm { E r } } , \boldsymbol { \mathrm { Z r } } , \boldsymbol { \mathrm { Y } } ,$ b) strengthening phases (Figures 1 and 3)."
image_0001,2,../02_images/figures/image_0001.jpg,"Fig. 2. SEM micrographs of the pre-mixed $\Upsilon _ { 2 } \mathrm { O } _ { 3 } / \mathrm { T i A l }$ power: a) powder morphology; () and (c) enlarged views of the powder; (d) to (i) SEM+ES elemental mapping of Ti, Al, Cr, Nb, Y and O.",0.566157,high,"The spherical nanoparticles are mainly distributed at the grooves of dendrites (Fig. 2c), as confirmed by the elemental mapping (Fig. 2di), acquired using energy dispersive X-ray spectroscopy (EDS) in scanning electron microscope (SEM).",0.558907,high,Representative SEM images of all the particles are presented in Figure 2.,0.555749,high,"The detailed microstructure of RGO/MXene microspheres were observed by electron microscope, and the results were shown in Fig. 2.",0.555093,high,Fig. 2 shows (a) a typical SEM image and (b) particle diameter distribution of the raw powder.,0.553306,high,"Furthermore, Fig. 2(e) exhibits the TEM images of the initial microstructures, it is obvious that the size of $\gamma ^ { \prime }$ phases in DC is smaller than those in IR due to the segregation of $\gamma ^ { \prime }$ forming elements [47]."
image_0002,3,../02_images/figures/image_0002.jpg,Table 1,0.367161,low,MD model of in-process-heat laser-assisted nanometric cutting polycrystalline WC. (a) 3D drawing with model dimensions.,0.363665,low,"The 6-8 nm LZO coating was applied to both NMC powders by Samsung Research Japan using the procedure described by Ito et $\mathrm { a l . } ^ { \left[ 6 \right] }$ The LZO-coated NMC has been shown to minimize the interfacial reaction between NMC and LPS, allowing the current study to mainly focus on the particle size effect.",0.363002,low,The relative density and porosity were detected by Archimedes' principle and micro-computed tomography (micro-CT) technology using a printed block with a size of 6 mm × 6 mm × 6 mm.,0.360924,low,"To overcome these limitations, this section introduces two novel energy-controlled schemes that build upon the crack growth control technique developed in [15] for FFT-based micromechanical solvers, adapting it for general macroscopic boundary value problems.",0.354448,low,"Subsequently, eleven sets of cubic samples with varying laser power and scanning speed were fabricated with a custombuilt LPBF device (DiMetal-100H)."
image_0003,4,../02_images/figures/image_0003.jpg,multi-spot melt in (d).,0.355954,low,"Both alloys display a typical microstructure comprising narrow $\gamma$ matrix channels and fine cubical $\gamma ^ { \prime }$ precipitates with a cube-cube orientation relationship, with the interfaces parallel to the {100} planes of both phases.",0.353668,low,"To overcome these limitations, this section introduces two novel energy-controlled schemes that build upon the crack growth control technique developed in [15] for FFT-based micromechanical solvers, adapting it for general macroscopic boundary value problems.",0.351829,low,"As a result, ${ \mathrm { T i O } } _ { 2 }$ is an insulator, $\mathrm { T i S } _ { 2 }$ is a semiconductor, $\mathrm { T i S e } _ { 2 }$ is a semimetal and $\mathrm { T i T e } _ { 2 }$ is a metal.",0.350924,low,"The electronic impedance $z _ { \mathrm { e l } }$ is represented by the electronic bulk resistance $r _ { \mathrm { e l } }$ and an in-series connected electronic interfacial impedance $z _ { \mathrm { e l , i n t } }$ of the NCM particles, as previously reported by Minnmann et al.[8] This electronic interfacial impedance is",0.349387,low,"Moreover, good rate performance of LT $\Gamma { \bf G } _ { 0 . 2 5 } \mathsf { P S S e } _ { 0 . 2 }$ -based ASLBs is also demonstrated."
image_0004,5,../02_images/figures/image_0004.jpg,details of the defects in the hatch melt sample can be found in Fig. S3b to S3f.,0.371866,low,"Moreover, m-TGO grew to 46.81 µm in thickness with increasing testing time (Fig.",0.363853,low,Monotonic tensile tests were conducted using a Shimadzu AGI-20 kN screw-driven machine in air at room temperature with the initial strain rate of $1 0 ^ { - 3 } \ s ^ { - 1 }$ Microstructural observations were performed on the annealed specimens using a JEOL JEM-2100 transmission electron microscope (TEM) operating at 200 kV.,0.362582,low,The microstructure of matrix in SS-L-40 was further characterized by TEM.,0.362362,low,"It's noteworthy that the equiaxed grains observed in TEM and TKD results could be as small as a few hundred nanometers, indicating the presence of a nanoscale structure in the LPBF-fabricated Al-Cu-Li-Sc-Zr alloy.",0.362148,low,"Turker et al. [6] used powder between 20 and 53 µm and reported that the grain size of the alloy 718 printed by BJP and sintered at $1 2 8 0 ~ ^ { \circ } \mathrm { C }$ was 100150 µm, which is larger and less favorable than grain sizes produced in the present study."
image_0005,6,../02_images/figures/image_0005.jpg,mfico .,0.385164,low,"Microstructural features, phase compositions, crystal structures, and deformation substructure were characterized using TEM (JEOL 2100 F and Talos F200) coupled with EDS and SAED.",0.382979,low,Post-creep microstructures were characterized using TEM to gain insight into the precipitate-dislocation interaction nature and the dynamic recovery processes.,0.378615,low,"Subsurface damage significantly affects the lifespan of machined components, emphasizing the need for a thorough understanding of the speed effect on the microstructural evolution mechanisms, especially of the recrystallized layer.",0.377908,low,"Hence, the microstructural evolution has a direct influence on the stress rupture resistance of alloy ZGH451 under 760 °C/780 MPa, including the characteristics of dendrites, voids, cracks, GBs, $\gamma ^ { \prime }$ phase, and carbides.",0.376572,low,"Despite minor coarsening, these structures were stabilized as the nano-sized precipitates still effectively impeded grain boundary migration, thereby providing robust resistance against grain coarsening."
image_0006,7,../02_images/figures/image_0006.jpg,"TE for (e) and (f), as shown in Fig. S4h and S4i.",0.390419,low,The SEM and TEM investigations revealed the precipitation of borides along the grain boundaries of the boron-containing alloys.,0.38648,low,"This suggests the formation of a biofilm layer on the Cu-free steel surface, corroborating with the SEM observations.",0.382649,low,"It is noted that a recent study has achieved room-temperature strength exceeding 800 MPa and high elevated-temperature strengths in a 3D-printed Al-Fe-V-Si-Sc alloy [10], relying on the in situ formation of multiscale heterogeneous structures comprising abundant nanoscale amorphous bands and crystalline precipitates, as well as the incorporation of costly Sc element.",0.381211,low,This strongly suggests that γ bands act as effective ductile components in the as-EBM alloy.,0.380775,low,"The microstructure of the as-printed sample was characterized by SEM (FEI, Scios, 20 kV, 3 nA) in the BSE mode."
image_0007,8,../02_images/figures/image_0007.jpg,of the fractured surface.,0.390181,low,Griffiths et al. [9] investigated the high-temperature properties of an Al-Mg-Zr alloy fabricated using LPBF in both AF and HT conditions.,0.384419,low,"The development of similar microstructures were previously reported by Loeber et al. [15] and Terner et al. [31] in Ti-(46-48)Al-2Cr-2Nb and Ti-(47-48)Al-2Cr-8Nb EBM alloys, although the term ""layer"" was not mentioned.",0.382762,low,Marchese et al. showed increases in YS and UTS for aged Inconel 625 that had been processed using LPBF.,0.382361,low,"For the homogenized AM alloys, a large number of dislocations were found in the vicinity of NbC carbides and grain boundaries.",0.379491,low,The SEM and TEM investigations revealed the precipitation of borides along the grain boundaries of the boron-containing alloys.
image_0008,9,../02_images/figures/image_0008.jpg,Fig. 8. BSE-SEM micrographs along the diagonal direction at $\mathbf { z } = 2 2 . 5$ the multi-spot sample: (a) Schematicof the extraction positio on the -y plane; ) o,0.577365,high,"For comparison, representative bright-field STEM micrographs of Al-Zr-Ce-Cu alloy in the as-fabricated state as well as after single-step aging are provided in Fig. 8, which show a low density of matrix dislocations prior to creep.",0.567604,high,Applying even higher laser energy density of 500 eV/ps (panels iii of Fig. 8(a)) resulted in the LPBF-fabrication of a microstructure with distinctly less dislocations inside the grains and instead the majority of dislocations can be observed around the grain boundaries.,0.565465,high,Dislocations are mainly concentrated near the grain boundaries for microstructures fabricated by LPBF at the low laser energy density of 100 eV/ps (panels i of Fig. 8(a)).,0.565302,high,"The improved fracture toughness of intermetallic nanolaminates is witnessed by microcracks restrained within lamellae in coarse rosettes, as shown in Fig. 8.",0.564269,high,LPBF-processing of the HEA powder with a higher laser energy density of 300 eV/ps (panels ii of Fig. 8(a)) led to complete melting of the powder yielding a microstructure characterized by a more regular distribution of dislocations which are mainly concentrating around the grain boundaries.
image_0009,10,../02_images/figures/image_0009.jpg,Fi 9H diffractograms collected from the nanoparticle region in (b) and (e).,0.387617,low,"Pyczak et al. [34] reported that in the Ni-based alloys with $1 0 – 3 0 \mathrm { v o l } . \% \mathrm { C r } , \mathrm { C r } _ { 2 } 0 _ { 3 }$ was observed as external scales above the grain boundaries in addition to internal $\mathrm { C r } _ { 2 } \mathrm { O } _ { 3 } ,$ which are both expected to form in our sintered parts with 21.2 wt.% of Cr [34].",0.373978,low,"The microtwin presented the expected $\Upsilon$ phase segregation: rich in Co, Cr, and Mo while depleted in the $\gamma ^ { \prime }$ formers Ni, Al, and Ti.",0.373279,low,The formation of oxides strongly depends on the inward diffusion of $0 ^ { 2 \cdot }$ and outward diffusion of metal cations [55].,0.37302,low,"Since the passive films of both alloys are dominated by $\mathrm { C r } _ { 2 } 0 _ { 3 } \ ( \varepsilon _ { \mathrm { C r } _ { 2 } 0 _ { 3 } } = 2 5 )$ [49,50], Al203 εAl203 = 9) [51,52], and $\mathrm { T i O } _ { 2 } \left( \varepsilon _ { \mathrm { T i O } _ { 3 } } = 6 0 \right) ^ { - } [ \bar { 5 3 } ]$ (as we will demonstrate in the XPS section), their diélectric constants were calculated to be roughly the same, about 24.1.",0.37233,low,"Szczerba et al. [37] reported something similar regarding the doping of zirconia with cations such as $\mathsf { M } \mathsf { g } ^ { 2 + }$ , whose ions have a size of 0.89 Å."
