figure_id,figure_index,figure_path,caption,rank,score,cosine_score,confidence,text_token_id,source,text
image_0000,1,../02_images/figures/image_0000.jpg,"terization, and (f) tensile specimen dimensions (2 mm thick).",1,0.36591,0.31591,low,paper::sent::51,text_item,The different composites are used to build half-cells with $\mathrm { L i } _ { 5 . 5 } \mathrm { P S } _ { 4 . 5 } \mathrm { C l } _ { 1 . 5 }$ as the separator and In/LiIn alloy as the counter electrode. $\mathrm { L i } _ { 5 . 5 } \mathrm { P S } _ { 4 . 5 } \mathrm { C l } _ { 1 . 5 }$ was used as the separator because it has a conductivity of 8 mS $\mathrm { c m ^ { - 1 } }$ that ensures a low resistance of the separator and only a low effect on the performance of the cell.[14] The cells are either charged and discharged at various C-rates or at 0.1 C for 50 cycles.
image_0000,1,../02_images/figures/image_0000.jpg,"terization, and (f) tensile specimen dimensions (2 mm thick).",2,0.360735,0.310735,low,paper::sent::37,text_item,"Surface nanocrystalline modification techniques, such as ultrasonic shot peening (USP), laser shock peening (LSP), and mechanical rolling, have been deployed to generate gradient nanostructured (GNS) materials with exceptional mechanical properties[23]."
image_0000,1,../02_images/figures/image_0000.jpg,"terization, and (f) tensile specimen dimensions (2 mm thick).",3,0.355492,0.305492,low,paper::sent::76,text_item,The mechanisms of microparticles in mediating the laser-powder interaction can be revealed by using computational full laser ray tracing (Methods).
image_0000,1,../02_images/figures/image_0000.jpg,"terization, and (f) tensile specimen dimensions (2 mm thick).",4,0.354992,0.304992,low,paper::sent::119,text_item,The homogeneity of the internal mass thickness contrast of the microspheres showed that the nanosheets of RGO and MXene were closely stacked without obvious defects.
image_0000,1,../02_images/figures/image_0000.jpg,"terization, and (f) tensile specimen dimensions (2 mm thick).",5,0.35366,0.30366,low,paper::sent::103,text_item,HAADF-STEM was performed to investigate the nanostructure of the steels.
chart_0001,2,../02_images/figures/chart_0001.jpg,laser energy densities. (The red border area represents suitable printing parameters.).,1,0.371572,0.321572,low,paper::sent::147,text_item,"This indicates that decomposition reactions have occurred within the heterogeneous cathode, accounting for the rapid capacity decay and short cycle life of ASLBs with NCM811 heterogeneous cathodes."
chart_0001,2,../02_images/figures/chart_0001.jpg,laser energy densities. (The red border area represents suitable printing parameters.).,2,0.369039,0.319039,low,paper::sent::118,text_item,The relative density was determined for all eleven LPBF-fabricated samples via an electron density meter (SD-200L).
chart_0001,2,../02_images/figures/chart_0001.jpg,laser energy densities. (The red border area represents suitable printing parameters.).,3,0.36841,0.31841,low,paper::sent::93,text_item,"Despite differences in pore density and size between CL and PL samples, the density is comparable, suggesting no qualitative impact on the mechanical properties of the samples [29,30]."
chart_0001,2,../02_images/figures/chart_0001.jpg,laser energy densities. (The red border area represents suitable printing parameters.).,4,0.363617,0.313617,low,paper::sent::100,text_item,While Minnmann et all8] experimentally observed a reduction of the effective electronic conductivity with decreasing solid electrolyte particle size.
chart_0001,2,../02_images/figures/chart_0001.jpg,laser energy densities. (The red border area represents suitable printing parameters.).,5,0.363342,0.313342,low,paper::sent::126,text_item,It may be observed from this plot that much less hydrogen is required to embrittle materials in a hydrogen environment as compared to internal hydrogen.
image_0002,3,../02_images/figures/image_0002.jpg,B AAM .,1,0.369946,0.319946,low,paper::sent::151,text_item,This approach offers significant potential for tailoring precipitation microstructures and enhancing properties in other multiphase compositionally complex alloys.
image_0002,3,../02_images/figures/image_0002.jpg,B AAM .,2,0.367169,0.317169,low,paper::sent::200,text_item,"Koutiri et al. adjusted the volume energy density during LPBF processing of Inconel 625 to control porosity and surface finish for produced components, and related the results to their fatigue strength."
image_0002,3,../02_images/figures/image_0002.jpg,B AAM .,3,0.363362,0.313362,low,paper::sent::169,text_item,"Microstructural features, phase compositions, crystal structures, and deformation substructure were characterized using TEM (JEOL 2100 F and Talos F200) coupled with EDS and SAED."
image_0002,3,../02_images/figures/image_0002.jpg,B AAM .,4,0.36272,0.31272,low,paper::sent::111,text_item,"Focus variation microscopy is also a capable surface roughness characterisation technique, with results that are in strong agreement with high-resolution $( 5 \mu \mathrm { m } )$ computed tomography (CT) surface characterisation data presented in [61]."
image_0002,3,../02_images/figures/image_0002.jpg,B AAM .,5,0.362618,0.312618,low,paper::sent::111,text_item,This study shows that the particle size distribution of $\mathrm { L i } _ { 6 } \mathrm { P S } _ { 5 } \mathrm { C l }$ in solid-state battery composites is a key factor in determining the overall cell performance.
chart_0003,4,../02_images/figures/chart_0003.jpg,"Figure 4. Residual stress distributions of the LPBF, LPBF-HT, HAM, and HAM-HT samples.",1,0.569396,0.319396,high,paper::sent::106,text_item,"Figure 4 shows the distribution of residual stress along the depth direction of the LPBF, LPBF-HT, HAM, and HAM-HT samples."
chart_0003,4,../02_images/figures/chart_0003.jpg,"Figure 4. Residual stress distributions of the LPBF, LPBF-HT, HAM, and HAM-HT samples.",2,0.562136,0.312136,high,paper::sent::149,text_item,The sample LPBF-fabricated at $4 7 . 6 ~ \mathrm { J / m m ^ { 3 } }$ shows a surface morphology (panels i of Fig. 4(a)) which is characterized by numerous irregular pores.
chart_0003,4,../02_images/figures/chart_0003.jpg,"Figure 4. Residual stress distributions of the LPBF, LPBF-HT, HAM, and HAM-HT samples.",3,0.558342,0.308342,high,paper::sent::110,text_item,"In Figure 4, the LPBF sample exhibits significant TRS up to 167 MPa on the surface and gradually decreases with increasing depth."
chart_0003,4,../02_images/figures/chart_0003.jpg,"Figure 4. Residual stress distributions of the LPBF, LPBF-HT, HAM, and HAM-HT samples.",4,0.549138,0.299138,high,paper::sent::120,text_item,"Compared with the coating after 50 h at 1400 ${ } ^ { \circ } \mathrm { C } ,$ the crystallized structure also appeared on the surface, and the characteristics of Si-HfO2 bond coating were highly similar (the light gray phase was identified as $\mathrm { H f S i O _ { 4 } } ,$ and the dark gray phase was identified as $\mathrm { S i O } _ { 2 }$ cristobalite), except for the early appearance of a vertical mud-crack, as shown in Figs. 4(al) and 4(a2)."
chart_0003,4,../02_images/figures/chart_0003.jpg,"Figure 4. Residual stress distributions of the LPBF, LPBF-HT, HAM, and HAM-HT samples.",5,0.540653,0.290653,high,paper::sent::145,text_item,Fig. 4(a) displays the relative density of the LPBF-fabricated samples as function of laser energy density η and the corresponding microstructures.
image_0004,5,../02_images/figures/image_0004.jpg,"EBSD, (c) interfacial lattice stress of primaryAl3(Sc, Zr) nanoprecipitate and matrix by Strain++ software.",1,0.380976,0.330976,low,paper::sent::95,text_item,The precipitates of LPBF-fabricated Al-Cu-Li-Sc-Zr alloy exhibited superior thermal stability during aging at 300 a.
