figure_id,figure_index,figure_path,caption,rank,score,cosine_score,confidence,text_token_id,source,text
image_0000,1,../02_images/figures/image_0000.jpg,Fig. 1. Microstructural characteristics of ZGH451 powders and process of DED: (a) SEM morphology of powders; (b) size distribution of powders; (c) schematic diagram of the additive manufacturing process.,1,0.532625,0.282625,high,paper::sent::11,text_item,"A possible alternative technology is solid-state batteries, shown exemplarily in Figure 1."
image_0000,1,../02_images/figures/image_0000.jpg,Fig. 1. Microstructural characteristics of ZGH451 powders and process of DED: (a) SEM morphology of powders; (b) size distribution of powders; (c) schematic diagram of the additive manufacturing process.,2,0.532378,0.282378,high,paper::sent::37,text_item,"The fine distribution of metastable ternary phases (Al-Ni-M, M = Er, Zr, Y, Yb) through rapid solidification serves as the source for the reactive elements, enabling nano-meter scale precipitation of a high phase percentage of $[ \boldsymbol { 1 } _ { 2 } \mathbf { - A l } _ { 3 } \boldsymbol { \mathrm { M } } \ ( \boldsymbol { \mathrm { M } } = \boldsymbol { \mathrm { E r } } , \boldsymbol { \mathrm { Z r } } , \boldsymbol { \mathrm { Y } } ,$ b) strengthening phases (Figures 1 and 3)."
image_0000,1,../02_images/figures/image_0000.jpg,Fig. 1. Microstructural characteristics of ZGH451 powders and process of DED: (a) SEM morphology of powders; (b) size distribution of powders; (c) schematic diagram of the additive manufacturing process.,3,0.530159,0.280159,high,paper::sent::19,text_item,"In addition, the effects of introduction of preFABPBO interfacial compatibilizer on the mechanical properties, wave-transparent performances, insulation properties, and heat resistances of PBO fibers/FABPBO-BADCy composites (Figure 1) are investigated, and the corresponding microscopic action mechanism of the preFABPBO interfacial compatibilizer is further discussed."
image_0000,1,../02_images/figures/image_0000.jpg,Fig. 1. Microstructural characteristics of ZGH451 powders and process of DED: (a) SEM morphology of powders; (b) size distribution of powders; (c) schematic diagram of the additive manufacturing process.,4,0.529621,0.279621,high,paper::sent::45,text_item,"A schematic diagram is shown in Fig. 1, where we show that the models may capture the structural features of grain boundaries."
image_0000,1,../02_images/figures/image_0000.jpg,Fig. 1. Microstructural characteristics of ZGH451 powders and process of DED: (a) SEM morphology of powders; (b) size distribution of powders; (c) schematic diagram of the additive manufacturing process.,5,0.527185,0.277185,high,paper::sent::37,text_item,Fig. 1 shows an image of representative tensile sample.
image_0001,2,../02_images/figures/image_0001.jpg,F . .,1,0.386049,0.336049,low,paper::sent::146,text_item,Amato et al. described the microstructure of HIPed Inconel 625 processed by LPBF as consisting of a NiCr equiaxed grains with the presence of annealing twins.
image_0001,2,../02_images/figures/image_0001.jpg,F . .,2,0.374128,0.324128,low,paper::sent::71,text_item,"Notably, distinct microstructural variations are evident in CoCrNi(Al0.6TiFe)0.4 and CoCr-Ni(Al0.6TiFe)0.5 alloys, where micrometer-sized BCC precipitates are observed within the primary dendritic network."
image_0001,2,../02_images/figures/image_0001.jpg,F . .,3,0.372779,0.322779,low,paper::sent::39,text_item,Chen et al.[24] developed an effective ultrasonic surface rolling process technology to improve the fatigue life of AM-processed CoCrNi alloy.
image_0001,2,../02_images/figures/image_0001.jpg,F . .,4,0.367055,0.317055,low,paper::sent::96,text_item,It is believed that rupture life and ductility can be improved by enveloping the brittle grain boundary carbides and therefore retarding crack initiation at high temperatures[39].
image_0001,2,../02_images/figures/image_0001.jpg,F . .,5,0.362871,0.312871,low,paper::sent::121,text_item,"Despite the microstructural and room temperature mechanical similarities between the two alloys, LSHR presents significantly better creep properties."
image_0002,3,../02_images/figures/image_0002.jpg,"$( \mathsf { b } , \mathsf { b } _ { 1 } )$ mean",1,0.361212,0.311212,low,paper::sent::137,text_item,The grain size distribution was quantified using the image analysis software ImageJ.
image_0002,3,../02_images/figures/image_0002.jpg,"$( \mathsf { b } , \mathsf { b } _ { 1 } )$ mean",2,0.360467,0.310467,low,paper::sent::121,text_item,EBSD analysis was performed with a step size of 0.2 µm to analyze the grain size distribution and generated the kernel average misorientation (KAM) map.
image_0002,3,../02_images/figures/image_0002.jpg,"$( \mathsf { b } , \mathsf { b } _ { 1 } )$ mean",3,0.358183,0.308183,low,paper::sent::67,text_item,"Yb2SiO5) exhibited high sphericity and a particle size distribution of approximately 1155 µm (reported in our previous work, Ref. [34]), which is suitable for PS-PVD process to prepare dense coatings."
image_0002,3,../02_images/figures/image_0002.jpg,"$( \mathsf { b } , \mathsf { b } _ { 1 } )$ mean",4,0.356419,0.306419,low,paper::sent::68,text_item,"Prior to investigating the GB, we first analyzed the bulk region of α-iron."
image_0002,3,../02_images/figures/image_0002.jpg,"$( \mathsf { b } , \mathsf { b } _ { 1 } )$ mean",5,0.355631,0.305631,low,paper::sent::70,text_item,"The maximum concentration of the element Co inside the nanolayer can reach \~50.64 ± 1.23 at. %, which is much higher standard deviation of atomic fraction of each element. c Atomic-resolution STEM-HAADF image illustrating the atomic structures of the DINL and grain interior, the corresponding FFT images (insets in c) showing the disordered structure of the DINL and ordered structure of grain interior."
chart_0003,4,../02_images/figures/chart_0003.jpg,rate-stress rupture strain curve; (d) stress rupture strain rate-stress rupture time curve.,1,0.369981,0.319981,low,paper::sent::183,text_item,"The corrosion current densities $( i _ { \mathrm { c o r r } } )$ of the Cu-free and Cu-containing steels are measured at $7 . 6 \times 1 0 ^ { - 7 }$ and $3 . 8 \times 1 0 ^ { - 7 } \mathrm { A } { \cdot } \mathrm { c m } ^ { - 2 }$ ,respectively."
chart_0003,4,../02_images/figures/chart_0003.jpg,rate-stress rupture strain curve; (d) stress rupture strain rate-stress rupture time curve.,2,0.369336,0.319336,low,paper::sent::143,text_item,"Pyczak et al. [34] reported that in the Ni-based alloys with $1 0 – 3 0 \mathrm { v o l } . \% \mathrm { C r } , \mathrm { C r } _ { 2 } 0 _ { 3 }$ was observed as external scales above the grain boundaries in addition to internal $\mathrm { C r } _ { 2 } \mathrm { O } _ { 3 } ,$ which are both expected to form in our sintered parts with 21.2 wt.% of Cr [34]."
chart_0003,4,../02_images/figures/chart_0003.jpg,rate-stress rupture strain curve; (d) stress rupture strain rate-stress rupture time curve.,3,0.368138,0.318138,low,paper::sent::231,text_item,The effects of reverted austenite on the ductility are evaluated by the total elongation (TE).
chart_0003,4,../02_images/figures/chart_0003.jpg,rate-stress rupture strain curve; (d) stress rupture strain rate-stress rupture time curve.,4,0.367792,0.317792,low,paper::sent::106,text_item,"Experimentally, we demonstrated that both increasing the CAM particle size and reducing the SE particle size are effective ways to achieve a larger λ and therefore higher $f _ { \mathrm { C A M } }$ It may seem counterintuitive that a larger cathode particle size actually improves performance as larger particle sizes are associated with longer diffusion paths."
chart_0003,4,../02_images/figures/chart_0003.jpg,rate-stress rupture strain curve; (d) stress rupture strain rate-stress rupture time curve.,5,0.366348,0.316348,low,paper::sent::147,text_item,"This indicates that decomposition reactions have occurred within the heterogeneous cathode, accounting for the rapid capacity decay and short cycle life of ASLBs with NCM811 heterogeneous cathodes."
image_0004,5,../02_images/figures/image_0004.jpg,Fi. 7 mostrucures; ( SM mage of carbide on GBs and EDS mapping of the distribuio of elements.,1,0.380931,0.330931,low,paper::sent::173,text_item,"The corresponding FFT pattern reveals stacking faults habit plane is (001). e An inverse FFT image masking circled diffraction spots shows lattice distortion around stacking faults with some additional half planes, indicating the existence of dislocations. f An HRTEM micrograph for the Al9(Fe,Co,Ni)2 particle in (b) slightly off the pillar top with planar defects."
image_0004,5,../02_images/figures/image_0004.jpg,Fi. 7 mostrucures; ( SM mage of carbide on GBs and EDS mapping of the distribuio of elements.,2,0.377707,0.327707,low,paper::sent::125,text_item,"Yadollahi et al. reported a surface defect layer of approximately 200 µm [62] and in this research > 200 µm was removed on average in the polishing process (Section 2.4), thus suggesting the improvement in fatigue performance is truly attributed to the elimination of surface defects."
image_0004,5,../02_images/figures/image_0004.jpg,Fi. 7 mostrucures; ( SM mage of carbide on GBs and EDS mapping of the distribuio of elements.,3,0.376649,0.326649,low,paper::sent::109,text_item,"Similar enrichment/- segregation behaviors at the inter-dendritic and grain boundaries (GBs) have been often found in some other AM-fabricated metallic materials [36,4345]."
image_0004,5,../02_images/figures/image_0004.jpg,Fi. 7 mostrucures; ( SM mage of carbide on GBs and EDS mapping of the distribuio of elements.,4,0.375003,0.325003,low,paper::sent::175,text_item,TEM observations were used to study the microstructural evolution in the parallelepiped domains with tensile strains in ${ \sf G S } _ { 5 } ^ { 1 }$ sample.
image_0004,5,../02_images/figures/image_0004.jpg,Fi. 7 mostrucures; ( SM mage of carbide on GBs and EDS mapping of the distribuio of elements.,5,0.37453,0.32453,low,paper::sent::148,text_item,"The previously expanded bifurcated cracks interconnected to form interlaminar cracks at $\mathrm { Y b } _ { 2 } \mathrm { S i } _ { 2 } \mathrm { O } _ { 7 } / \mathrm { Y b } _ { 2 } \mathrm { S i O } _ { 5 }$ interface, illustrating that continuing thermal cycling tests could pose a risk of spalling for the top Yb2SiO5 layer."
image_0005,6,../02_images/figures/image_0005.jpg,msucure; ( mag ocbie on s and S mapp of he distuion o elements.,1,0.391499,0.341499,low,paper::sent::173,text_item,"The corresponding FFT pattern reveals stacking faults habit plane is (001). e An inverse FFT image masking circled diffraction spots shows lattice distortion around stacking faults with some additional half planes, indicating the existence of dislocations. f An HRTEM micrograph for the Al9(Fe,Co,Ni)2 particle in (b) slightly off the pillar top with planar defects."
image_0005,6,../02_images/figures/image_0005.jpg,msucure; ( mag ocbie on s and S mapp of he distuion o elements.,2,0.380928,0.330928,low,paper::sent::179,text_item,TEM findings of the CoCrNi(Al0.6TiFe)0.5 alloy after deformation are illustrated in Fig.
image_0005,6,../02_images/figures/image_0005.jpg,msucure; ( mag ocbie on s and S mapp of he distuion o elements.,3,0.378856,0.328856,low,paper::sent::173,text_item,"To gain deeper insight into the unique strengthening effect from the one-dimensional architecture of the nano-whiskers, TEM observations were performed on both in-situ tensile test and post-deformation specimens."
image_0005,6,../02_images/figures/image_0005.jpg,msucure; ( mag ocbie on s and S mapp of he distuion o elements.,4,0.378846,0.328846,low,paper::sent::231,text_item,"These findings suggest that the dislocation density in LPBF-fabricated CoCrFeNi HEA microstructures is related to the fraction of the crystal boundary, which, in turn, is associated with the grain size."
image_0005,6,../02_images/figures/image_0005.jpg,msucure; ( mag ocbie on s and S mapp of he distuion o elements.,5,0.377053,0.327053,low,paper::sent::139,text_item,Previous work investigating the role of microstructure on fracture suggested that grain boundary carbides increase the degree o embrittlemen these alloys.
image_0006,7,../02_images/figures/image_0006.jpg,Fi. 10. tion mechanism.,1,0.375741,0.325741,low,paper::sent::210,text_item,(ii) The hydrogen-assisted fatigue crack growth behavior of the two relevant regions of a 42CrMo4 steel weld the base steel (BS) and the coarse grain heat affected zone (CGHAZ).
