figure_id,figure_index,figure_path,caption,top1_score,top1_confidence,top1_text,top2_score,top2_confidence,top2_text,top3_score,top3_confidence,top3_text,top4_score,top4_confidence,top4_text,top5_score,top5_confidence,top5_text
image_0000,1,../02_images/figures/image_0000.jpg,Fig. 1. Schematic drawings of the short (a) and long (b) 444 alloy rods fabricated by the EBM and the specimen configuration for tensile tests (c).,0.575347,high,Fig. 1 shows the tensile behaviors in various gradient structured specimens as well as the CG specimens for comparison.,0.575156,high,The representative tensile curves of the AF and HT aluminum alloy samples at various testing temperatures are presented in Figure 1(a) and Figure 1(b).,0.570892,high,"At the tensile strains of 0.05 and 0.1 prior to the onset of Θ rise (Fig. 1(d)),",0.570622,high,"Fig. 1(a) shows the increase of yield strength $\left( \sigma _ { 0 . 2 } \right)$ of all gradient-structured specimens of 1-mm thick (superscript represents specimen thickness in mm) with increasing SMAT duration (subscript, minutes), with a slight decrease of uniform tensile elongation $\varepsilon _ { u \cdot }$ For example, the processing by SMAT for 15 min, i.e. $\mathsf { G S } _ { 1 5 } ^ { 1 } ,$ increased $\sigma _ { 0 . 2 }$ by 132% while $\varepsilon _ { u }$ dropped by only 30%, which is consistent with an early report on gradient structured IF steel [29].",0.569544,high,Fig. 1 shows an image of representative tensile sample.
image_0001,2,../02_images/figures/image_0001.jpg,Fig. 3. ED-v process map for $E _ { \mathrm { d } }$ of the 444 alloy rods fabricated by the EBM.,0.574993,high,"Additionally, to examine the internal nanostructure of recrystallized layer, observation samples were prepared using a focused ion beam system (Helios 600i), as depicted in Fig. 3.",0.562122,high,"At R15, two distinct types of irregular particles emerged: (1) fused satellite particles adhering to larger counterparts (Fig. 3 d, h2), and (2) particles with partial surface melting traces without complete fusion (Fig. 3 h3, h4).",0.560827,high,"Both in Fig. 3(a) and Figs. 3(c-e), the occurrence of nitrogen components in PAAs treated CF proved the successful coating of PAAs on CF surface.",0.560081,high,"A notable increase of the particle size of NbC carbides can be identified in sample AM12h (Fig. 3(h)) after 12-h homogenization by comparing with samples AM20m (20-min, Fig. 3(f)) and AM1h (1-h, Fig. 3(g)).",0.554538,high,Microstructure evolution in suction-cast and LPBF alloys during homogenization are shown in Fig. 3 as SEM-BSE (backscattered electron) images for comparison.
chart_0002,3,../02_images/figures/chart_0002.jpg,(b); Fig. 2. A typical SEM image (a) and particle diameter distribution (b) of the 444 alloy raw powder.,0.579402,high,Powder particles sizes were randomly selected within a range of 3040 Å based on the powder diameter distribution graph displayed in Fig. 2(e) [37].,0.574301,high,"The particles have a spherical shape with $K = 0 . 9 4 .$ As shown in Fig. 2(b), the particle size distribution has a single peak with a narrow width, and the mean diameter $( d _ { \mathrm { m } } )$ of the particles is 70.2 µm.",0.565779,high,"For the samples manufactured with a fixed layer thickness of 40 µm shown in Fig. 2(a)(d), the relative density decreases rapidly with the increase of the scanning velocity.",0.557976,high,The high flowability of the powder is due to small amounts of fine particles with a diameter of 10 µm or less and satellites indicated in Fig. 2(a).,0.555737,high,"The selected-area diffraction pattern (SADP, inset in Fig. 2(d)) along the [011] zone axis once again verifies the single-phase FCC structure of the as-printed alloy, without any other superlattice spots."
image_0003,4,../02_images/figures/image_0003.jpg,"Fig. 4. 444 alloy rods fabricated by the EBM under process conditions A (a), B (b), C (c) and D (d), as indicated in Fig. 3.",0.570304,high,The microstructure of the as-quenched alloys is characterized by EBSD (Fig. 4).,0.561628,high,"Fig. 4 shows the microstructure and morphology of the white layer, dark layer, and bulk material in the secondary electron (SE) mode of SEM.",0.559891,high,Fig. 4(a) shows equi-axial grains of austenite with an average grain size of 25 μm in the central CG layer.,0.557502,high,"Thus, with the increase of stress and strain, apparent aggregations of GNDs were formed in the vicinity of grain boundaries (Fig. 4ac), indicating that grain boundaries bore much higher stress than the grain interior.",0.552426,high,"The porosity and Rockwell hardness of ZC20, MC20, and YC20 coatings are depicted in Fig. 4."
image_0004,5,../02_images/figures/image_0004.jpg,Fig. 5. Typical OM images of a cross section of R6 (a) and R1 (c) and SEM images of defects in R6 (b) and a pore in R1 (d).,0.556349,high,"Initially, the powder particles exhibited a dendritic microstructure (Fig. 5 a) with dark solidification segregation (S-segregation) [28] enriched in Al (Fig. 5 f1, g1) and bright β segregation (Fig. 5 f1, g2) enriched in Ti and Cr [29,30].",0.555712,high,"As shown in Fig. 5(b), a small pore size (approximately 3 µm) was observed in the PBF-EB samples because of insufficient heat input, as confirmed in SEM images (Fig. 5(e) and 5(f)).",0.548532,high,"On the other hand, circular pores with diameters less than 100 µm can be seen in all rods (Fig. 5(d)), and the porosity $( f _ { \mathfrak { p } } )$ does not depend on ED (Table 2).",0.546816,high,"In general, a progression with increasing sintering temperature from irregular, interconnected pores to spherical pores within the grains or located at the grain boundaries was observed (Fig. 5).",0.545976,high,"Optical microscopy (OM) micrographs showing shape, size, and dis tribuion of porosity of thedifferently sintered smples after polishing are given in Fig. 5."
image_0005,6,../02_images/figures/image_0005.jpg,Building direction: BD,0.398027,low,This feature suggests that the formation of the layered microstructure in the low ED sample is associated with the layer-on-layer process during the EBM fabrication.,0.389093,low,"In comparison, ""layered"" microstructure seems more clearly developed in the present material.",0.387378,low,"The gradient structure of N1-LH material can be divided into three layers, i.e., a recrystallized (RX) layer on the material surface, a non-recrystallized (NRx) layer in the core and a partiallyrecrystallized (PRX) layer in the transition region from the surface to the core.",0.3825,low,"After identifying LPBF process parameters and post-HT conditions that could lead to the production of Ti-6Al-4V alloys with high strength and ductility, microstructural analyses were conducted to validate the source of their strength and ductility; aiming to confirm whether the microstructures of the alloys produced in this study simultaneously exhibit the microstructural characteristics of those with high UTS and those with high TE that were respectively identified in previous studies.",0.381842,low,"The development of similar microstructures were previously reported by Loeber et al. [15] and Terner et al. [31] in Ti-(46-48)Al-2Cr-2Nb and Ti-(47-48)Al-2Cr-8Nb EBM alloys, although the term ""layer"" was not mentioned."
image_0006,7,../02_images/figures/image_0006.jpg,(c); (e),0.376088,low,"Despite the microstructural and room temperature mechanical similarities between the two alloys, LSHR presents significantly better creep properties.",0.375651,low,S4c) further confirmed that the PAAs formed nanoscale colloidal particles upon drying.,0.375002,low,"Meanwhile, this disordered interfacial nanolayer (DINL) is highly coherent with the adjacent ordered L12 grain.",0.37231,low,"It's noteworthy that the equiaxed grains observed in TEM and TKD results could be as small as a few hundred nanometers, indicating the presence of a nanoscale structure in the LPBF-fabricated Al-Cu-Li-Sc-Zr alloy.",0.371777,low,"The thickness values of the rafted y and $\gamma ^ { \prime }$ lamellae in alloy T0 are measured as 0.215 and 0.223 µm, while they are 0.192 and 0.231 µm in alloy T5, respectively."
image_0007,8,../02_images/figures/image_0007.jpg,"(f); . $\alpha _ { 2 } / \beta / \gamma$ mixed structure in R1 (c), layer A (d) and layer B (e) in R5 and the $\alpha _ { 2 } / \beta / \gamma$ mixed structure in layer B of R5 (f).",0.36205,low,"It's noteworthy that the equiaxed grains observed in TEM and TKD results could be as small as a few hundred nanometers, indicating the presence of a nanoscale structure in the LPBF-fabricated Al-Cu-Li-Sc-Zr alloy.",0.36141,low,"The thickness values of the rafted y and $\gamma ^ { \prime }$ lamellae in alloy T0 are measured as 0.215 and 0.223 µm, while they are 0.192 and 0.231 µm in alloy T5, respectively.",0.360589,low,Note that the obtained yield strength and room temperature ductility were larger than those in the Ti-48Al-2Cr-2Nb alloys with non-layered equiaxed microstructure prepared by EBM and following HIP treatment [11].,0.356032,low,Excessive grain boundary $\gamma$ layers are not observed in the boronfree alloy.,0.355568,low,The precipitation behavior significantly influences the mechanical properties of the LPBF-fabricated Al-Cu-Li-Sc-Zr alloy at elevated temperatures.
image_0008,9,../02_images/figures/image_0008.jpg,"Fig. 7. Typical BF images (a), (c), (e) and SAED patterns (b), (d), (f) of the β phase in R1 (a), (b) with B = [110]β, the lamellae in R1 (c), (d) and R5 (e), (f) with $\mathbf { B } = [ 1 \overline { { 1 } } 0 ] \gamma / / [ 1 1 \overline { { 2 } } 0 ] \alpha _ { 2 }$",0.53249,high,"The creep test results under the five individual conditions of alloys T5 and T0 are indicated as the red stars and black circles, respectively, in Fig. 7.",0.526088,high,"No significant carbon enrichment, as observed for the $\gamma / \mathsf { M } _ { 2 3 } \mathsf { C } _ { 6 }$ interface in Fig. 7(a), was found at either interface.",0.516207,high,"Fig. 7(a1), (b1) and (c1) show the morphologies of polished SS0, SS90 and PDC SiC, respectively, after annealing at $9 0 0 ~ ^ { \circ } \mathrm { C }$ for 1 h.",0.511921,high,Fig. 7(a) and (b) show a bright-field (BF) image and a selected area electron diffraction (SAED) pattern of the β phase in the β/γ dual phase region with a beam direction (B) of [110]β.,0.511467,high,"Besides, there are also some chain-like carbides enriched with Cr and Mo elements that occurred on GBs (Fig. 7(e))."
chart_0009,10,../02_images/figures/chart_0009.jpg,"(d); Fig. 8. Variations in microstructural factors as a function of ED (a) $V _ { \alpha 2 / \beta / \gamma } , V _ { \alpha 2 / }$ $\gamma \mathbf { G }$ and $V _ { \beta / \gamma \mathrm { c } } ,$ (b) Vallα2/y, $V _ { \mathrm { a l l } _ { \eta } }$ and $V _ { \mathrm { a l l } \{ \beta \} } ,$ (c) α2/γ/, and $V _ { \gamma \mathrm { M S } } ,$ and (d) fα2/ γR and fα2/yG.",0.55361,high,"The estimated FCGR acceleration factors (ratio of da/dN in an $\mathrm { H } _ { 2 }$ environment, $( \mathsf { d a } / \mathsf { d N } ) _ { \mathrm { H } } ,$ to da/dN in hydrogen-free samples, (da/ $\mathsf { d N } ) _ { \mathrm { N o H } } )$ are shown in Fig. 8 as a function of the hydrogen gas pressure, together with literature data for (Ni)CrMo medium-strength steels [26, $^ { 3 8 , 4 2 - 4 4 , 5 2 , 9 1 ] }$ and API X-grade pipeline steels $( 4 0 0 { < } \sigma _ { \mathrm { y s } } { < } 7 0 0$ MPa) $[ 4 4 , 7 1 - 7 4 ]$ .",0.55286,high,"These results indicate that the morphology of the microstructure changes from the LED to HED microstructure at an ED of approximately $3 \ : \mathrm { J / m m ^ { 2 } }$ Fig. 8(b) shows the influence of ED on the volume fraction of all the $\alpha _ { 2 } / \gamma$ lamellae (the combination of both the ultrafine lamellar grain in the LED microstructure and the lamellar region in the $\alpha _ { 2 } / \beta / \gamma$ mixed structure, $V _ { \mathrm { a l l } \alpha 2 / \gamma } ) ,$ the volume fraction of all the γ phases excluding that in the lamellae $( V _ { \mathrm { a l l } _ { Y } } )$ and the volume fraction all the β phases $( V _ { \mathrm { a l l \beta } } )$ .In addition, the relationships between ED and the fraction of these phases in the $\alpha _ { 2 } / \beta / \gamma$ mixed structure (the $\alpha _ { 2 } / \gamma$ lamellar region: $f _ { \alpha 2 / \gamma \ M \mathrm { S } } ,$ the γ phase: $f _ { \gamma \mathrm { M S } } ,$ the β phase: fβms) are shown in Fig. 8(c).",0.540603,high,"In addition, the ${ \bf Y } _ { 2 } { \bf O } _ { 3 }$ nanoparticles are distributed homogenously within TiAl matrix irrespective of the location (insets of Fig. 8bd).",0.538455,high,Fig. 8 presents NanoSIMS elemental maps for the boroncontaining alloys.,0.522886,high,"The UTS of the PBF-EB samples was slightly lower at 803 MPa, but the EL increased to 3 % with obvious dimples at $6 5 0 ^ { \circ } \mathsf C ,$ as shown in Fig. 8(e)."
