figure_id,figure_index,figure_path,caption,top1_score,top1_confidence,top1_text,top2_score,top2_confidence,top2_text,top3_score,top3_confidence,top3_text,top4_score,top4_confidence,top4_text,top5_score,top5_confidence,top5_text
image_0000,1,../02_images/figures/image_0000.jpg,"of Sn, Ce, Fe, Si, and Cu. Dotted line in (d) indicates melt-pool boundaries.",0.368464,low,"In this study, the interlayer pores and the closed pores within fiber bundles were assumed as the internal defects, because of their large volume fraction and non-uniform distribution.",0.368055,low,"Our findings demonstrate that the inherent thermal cycling and rapid solidification of PBF-LB can be leveraged to create an NT microstructure, resulting in exceptional mechanical properties.",0.367489,low,"OM micrographs of shape, size, and distribution of grains and porosity of differently sintered samples (Suppl.",0.366403,low,Careful examination of the contrast variations in these microstructures reveals the precipitation of particles and various types of carbides and the presence of what we will identify below as grain boundary borides in the boron containing alloys.,0.365814,low,"As known, the microstructure evolution of SiC fiber and SiC matrix have great influence on the thermal expansion behavior of SiCf/SiC composites."
chart_0001,2,../02_images/figures/chart_0001.jpg,Ce-Cu alloy composition excluding Fe and Si impurities from analysis.,0.407962,medium,"To solve the problem of solidification racking and insufficient mechanical properties, Sc and Zr elements are often added to Al-Mg alloys for inoculation treatments[16].",0.402453,medium,"S3) of the Al-Zr-Ce-Cu alloy indicates that a slight hardness increase (\~10 HV) occurs at $3 5 0 ^ { \circ } \mathrm { C } ,$ with near-peak aging condition achieved at 375 C.",0.398635,low,"Given that all Zr in the alloy remained in solid solution upon solidification, and assuming that all excess Zr $( \mathrm { i . e . , }$ those beyond its solubility in α-Al) at $3 7 5 ~ ^ { \circ } \mathrm { C }$ is precipitated out as L12- $\mathbf { A l _ { 3 } Z r } ,$ its volume fraction (in %) is estimated as 0.25 %.",0.393125,low,The hot crack sensitivity of alloys can be determined by their solidification curves.,0.390976,low,Li et al.[19] fabricated a novel AlMgScZr alloy by LPBF and achieved a yield strength of
chart_0002,3,../02_images/figures/chart_0002.jpg,"(a) -5nm (b); Fig. 3. (a) The 3D reconstruction of APT tip with (Ce,Cu)-rich particle indicated by arrow and (b) the proxigram showing the distribution of various solutes from the surface (at zero distance) towards interior (positive direction) of (Ce,Cu)-rich particle.",0.555188,high,"In addition, XRD patterns of the N1-HOMO, N1-CR, N1-LH and N1-LAG materials before and after tensile deformation (Fig. 3(d)) indicate that the studied materials are all with the fcc structure, and no phase transformation occurs during deformation.",0.555152,high,"Furthermore, Figs. 3(c3) and 3(c4), illustrating Si-HfO2 bond coating, showed that the thickness of m-TGO increased to 49.11 µm (Fig.",0.55361,high,"Figures 3(cl) and 3(c2) show that after 150 h of thermal cycling, microcracks began to connect on the surface, and the vertical mud crack bifurcated within the coating when it extended from ${ \mathrm { Y b } } _ { 2 } { \mathrm { S i O } } _ { 5 }$ layer to the interface with $\mathrm { Y b } _ { 2 } \mathrm { S i } _ { 2 } \mathrm { O } _ { 7 }$ layer.",0.553227,high,"Due to the dissolution of the Laves_C14 phase, as can be observed in samples AC20m (Fig. 3(b)) and AC1h (Fig. 3(c)), the Nb will be released, and dissolve into the γ matrix, hence the Nb homogeneity around NbC particles should increase.",0.552851,high,"Fig. 3(a) shows the engineering stress-strain curves of the N1-HOMO, N1-CR, N1-LH and N1-LAG materials after uniaxial tensile tests."
chart_0003,4,../02_images/figures/chart_0003.jpg,Fig. 4. Temporal evolution of (a) hardness and (b) EC with aging at $3 7 5 ^ { \circ } \mathrm { C }$ for Al-Zr-Ce-Cu. Dashed lines indicate the minimum electrical conductivity needed for some EV applications [3] and the measured EC for commercially pure (CP) Al (99.9 %).,0.600926,high,Fig. 4 presents the room-temperature engineering stress-strain curves for the steels in both AQ and aged conditions.,0.597005,high,The chemical compositional heterogeneity imparted to the asprinted alloy by aging heat treatment is displayed in Fig. 4.,0.584744,high,Fig. 4(a) shows equi-axial grains of austenite with an average grain size of 25 μm in the central CG layer.,0.584352,high,"Figures 4(d3) and 4(d4) also show that as the coating was thermally cycled, the thermal stress accumulated continuously, contributing to the ongoing initiation, propagation, and transformation of oriented cracks into interconnected cracks.",0.580687,high,XRD characterization (Fig. 4) revealed changes in phase composition as the number of recycling cycles increased.
image_0004,5,../02_images/figures/image_0004.jpg,Single-step aging (375 °C/100 h),0.383675,low,"It's noteworthy that the equiaxed grains observed in TEM and TKD results could be as small as a few hundred nanometers, indicating the presence of a nanoscale structure in the LPBF-fabricated Al-Cu-Li-Sc-Zr alloy.",0.373978,low,"Turker et al. [6] used powder between 20 and 53 µm and reported that the grain size of the alloy 718 printed by BJP and sintered at $1 2 8 0 ~ ^ { \circ } \mathrm { C }$ was 100150 µm, which is larger and less favorable than grain sizes produced in the present study.",0.369524,low,"Pyczak et al. [34] reported that in the Ni-based alloys with $1 0 – 3 0 \mathrm { v o l } . \% \mathrm { C r } , \mathrm { C r } _ { 2 } 0 _ { 3 }$ was observed as external scales above the grain boundaries in addition to internal $\mathrm { C r } _ { 2 } \mathrm { O } _ { 3 } ,$ which are both expected to form in our sintered parts with 21.2 wt.% of Cr [34].",0.369252,low,"Such a remarkable grain refinement arises from the in-situ formed nanowhiskers, which act as abundant heterogeneous nucleation sites during solidification, promoting the direct formation of equiaxed grains and suppressing epitaxial columnar growth [25].",0.367825,low,The precipitates of LPBF-fabricated Al-Cu-Li-Sc-Zr alloy exhibited superior thermal stability during aging at 300 a.
chart_0005,6,../02_images/figures/chart_0005.jpg,"(e); $\mathrm { L } 1 _ { 2 ^ { - } } \mathrm { A l } _ { 3 } \mathrm { Z r }$ nanoprecipitates, and (c) APT results showing the distribution of $\mathrm { L 1 } _ { 2 ^ { - } } \mathrm { A l } _ { 3 } \mathrm { Z r }$ precipitates and their composition in Al-Zr-Ce-Cu alloy aged at 375 °C for 100 h; (d,e) APT results showing the distribution of $\mathrm { L 1 } _ { 2 ^ { - } } \mathrm { A l } _ { 3 } \mathrm { Z r }$ h - aging at $3 5 0 ~ ^ { \circ } \mathbf { C } / 5$ h and $3 7 5 ~ ^ { \circ } \mathrm { C } / 1 0 0$ h.",0.390705,low,"A notable distinction is that smaller $\mathrm { A l } _ { 2 } \mathrm { C u }$ and AlCuSc precipitates are discernible within the coarse grains $( 4 2 \pm 1 3 \mathrm { n m } )$ , which can be attributed to the interdendritic segregation of Cu and Sc.",0.387082,low,"Moreover, owing to the higher diffusion coefficient of Sc atoms compared to Zr atoms, the resulting Al3(Sc, Zr) phase typically comprised Sc-rich nuclei encapsulated by thin shells (approximately 1-2 nm thick) rich in Zr.",0.385037,low,"During solidification of the Al alloy system (Al-Er-Zr-Y-Yb-Ni), several precipitates form, including ${ \tt D } 0 _ { 2 3 } { \cdot } { \tt A l } _ { 3 } { \ Z } { \mathrm { r } }$ (referred as $\mathrm { A l } _ { 3 } \mathrm { Z r }$ in this paper), $\mathrm { L } 1 _ { 2 } , \mathrm { A l } _ { 3 } \mathrm { N i }$ and metastable ternary phase $\begin{array} { r } { \mathsf { A l } _ { 2 3 } \mathsf { N i } _ { 6 } \mathsf { M } _ { 4 } . \mathsf { A l } _ { 3 } \mathsf { Z r } } \end{array}$ is brittle and undermines strength and ductility;[11] its lower solvus temperature and phase percentage minimize this phase.",0.384319,low,The precipitates of LPBF-fabricated Al-Cu-Li-Sc-Zr alloy exhibited superior thermal stability during aging at 300 a.,0.38421,low,"Given that all Zr in the alloy remained in solid solution upon solidification, and assuming that all excess Zr $( \mathrm { i . e . , }$ those beyond its solubility in α-Al) at $3 7 5 ~ ^ { \circ } \mathrm { C }$ is precipitated out as L12- $\mathbf { A l _ { 3 } Z r } ,$ its volume fraction (in %) is estimated as 0.25 %."
chart_0006,7,../02_images/figures/chart_0006.jpg,"stress and strain curves at $2 0 0 ^ { \circ } \mathrm { C }$ and various strain rates for as-fabricated $_ { \mathrm { A l - Z r - C e - C u } }$ alloy and (d) tensile stress and strain curves at 20 and $2 0 0 ^ { \circ } \mathrm { C } ,$ and various strain rates for Al-Zr-Ce-Cu alloy in as-fabricated and two-step aging heat treatment.",0.393311,low,"We propose that with increasing sintering temperature from 1280 to 1300 °C, (1) grain coarsening occurs, (2) alloying elements segregate in the grain boundaries, (3) Laves phase forms at the grain boundaries enriched with Nb and Mo, (4) NbC form in the matrix, all resulting in decreasing UTS and yield stress, similarly to the microhardness and supported by microstructural observations.",0.391775,low,"It is important to note that MD simulations assume the system is in a state of local thermal equilibrium, whereas the evaporation process is inherently far-fromequilibrium, especially at high temperatures.",0.391058,low,"Therefore, the low solubility of Zr atoms in the γ matrix contributes to the rapid precipitation of $\mathrm { N i } _ { 7 } \mathrm { Z r } _ { 2 }$ phase from the supersaturated solid solution, and provides thermodynamic barriers for coarsening during long-term thermal exposure $[ 2 7 ,$ 53].",0.390169,low,"Due to the large difference in thermal expansion coefficient and elastic modulus between SiC particles and Al matrix, residual stress is produced during temperature change or material deformation.",0.387685,low,"As mentioned above, PCS derived SiC was not thermally stable at a temperature above the preparation temperature, so the degradation of SiC fiber and PIP SiC matrix was inevitable."
chart_0007,8,../02_images/figures/chart_0007.jpg,"Fig. 7. Temporal creep strain evolution curves for AM $_ { \mathrm { A l - Z r - C e - C u } }$ alloy at $2 0 0 \ { ^ \circ } \mathbf { C } \colon ( \mathbf { a } , \mathbf { b } )$ stress-jump compressive creep tests on specimens in (a) aged and (b) as-",0.568476,high,"Fig. 7a,b displays the temporal creep strain evolution curves of Al-Zr-Ce-Cu alloy at 200 °C in compression in the as-fabricated and two-stepaged states (Fig. 7).",0.566921,high,The engineering stress-strain curves for room temperature tensile tests of CL and PL samples are depicted in Figure 7(a).,0.562887,high,"The GOS evolution observed in AM alloys experiences a decrease from sample AM20m to AM1h, while it slightly increases in sample AM12h, as shown in Figs. 7(f)(j).",0.559555,high,"The ultra-fine grains of LPBF-manufactured Al-Mg alloy contribute more to strength than $\mathrm { C G s } ^ { [ 4 5 ] } .$ Hence, the FEGs zone was further studied by EBSD in Figure 7 at a higher magnification.",0.559356,high,LPBF fabrication with increasing laser energy density yields HEA materials composed of coarser grains (Fig. 7(a-c)).
image_0008,9,../02_images/figures/image_0008.jpg,Cu)-rich particles in AM Al-Zr-Ce-Cu alloy in (a) as-fabricated and (b) aged states.,0.393144,low,The precipitates of LPBF-fabricated Al-Cu-Li-Sc-Zr alloy exhibited superior thermal stability during aging at 300 a.,0.391477,low,"During aging, these nanoprecipitates facilitate austenite reversion by providing heterogeneous nucleation sites, leading to a higher volume fraction of austenite in the Cu-containing steel compared to the Cu-free steel.",0.391218,low,"This is because the aging treatment accelerates grain boundary migration, and promotes the growth of original fine grains in AlMgScZr alloy[42].",0.390481,low,The present study investigates the high-temperature mechanical properties and microstructural evolution of an Al-Cu-Li-Sc-Zr alloy fabricated using LPBF technology.,0.388267,low,"S7, the XRD patterns of the undeformed and tensile-fractured Cu-free and Cucontaining steels show a fully martensitic microstructure with no reverted austenite detectable after deformation."
image_0009,10,../02_images/figures/image_0009.jpg,"Aged (350 °C/8h) and crept in compression (40-63 MPa, \~12% strain); Fi k r. Al planes circled in the FFT (an inset in ()).",0.374414,low,"Compared to CoCrNi(Al0.6TiFe)0.4 alloy, bigger precipitated B2 phases around FCC matrix are observed, which are ascribed to the microstructure-tunable LAAM strategy.",0.372201,low,The present study investigates the high-temperature mechanical properties and microstructural evolution of an Al-Cu-Li-Sc-Zr alloy fabricated using LPBF technology.,0.371759,low,"These results indicate the (Ce,Cu)-rich intermetallic particles are the dominant strengthening factor in the as-fabricated alloy.",0.371603,low,"Analysis of in situ SEM images and nano-CT results indicates that the damage modes of 2D SiC/SiC composite prepared by PIP process mainly include matrix cracking, longitudinal crack deflection, and fiber bundle fracture failure.",0.370266,low,"To further verify the phase composition and microstructure of SiHfO2 bond coating in the early stages of thermal cycling, a sample was analyzed via TEM after just 25 h, which was earlier than the 50 h interval previously examined."
