figure_id,figure_index,figure_path,caption,rank,score,cosine_score,confidence,text_token_id,source,text
chart_0000,1,../02_images/figures/chart_0000.jpg,H function of applied stress.,1,0.381456,0.331456,low,paper::sent::159,text_item,"B100C20 has much higher $\tau _ { \mathrm { i } }$ and $\tau _ { \mathrm { f } }$ than B100C40 when they have the same BN thickness, which suggests that the compressive stress of SiC fiber has a great influence on $\tau _ { \mathrm { i } }$ and $\tau _ { \mathrm { f } } .$ B350C12 and B350C24 also show the same law. $\tau _ { \mathrm { i } }$ and $\tau _ { \mathrm { f } }$ decrease with the increase of the BN thickness."
chart_0000,1,../02_images/figures/chart_0000.jpg,H function of applied stress.,2,0.379462,0.329462,low,paper::sent::98,text_item,"Especially, compared to the N1-LH material, yield strength of the N1-LAG material significantly increases from 481 MPa to 775 MPa while the ductility decreases but the uniform elongation remains at 38 %."
chart_0000,1,../02_images/figures/chart_0000.jpg,H function of applied stress.,3,0.379175,0.329175,low,paper::sent::106,text_item,"In tempered martensitic steels tested in presence of hydrogen, quasi-cleavage fracture is related to the decrease of the cohesive strength of martensitic lath interfaces due to locally accumulated hydrogen [5759]."
chart_0000,1,../02_images/figures/chart_0000.jpg,H function of applied stress.,4,0.377993,0.327993,low,paper::sent::96,text_item,"To understand the reasons for the extraordinary creep lifetime of the H230AM, a detailed comparative analysis of the microstructure of the H230 and H230AM after the creep test at $9 0 0 ~ ^ { \circ } \mathrm { C }$ with applied 65 MPa stress was conducted."
chart_0000,1,../02_images/figures/chart_0000.jpg,H function of applied stress.,5,0.377184,0.327184,low,paper::sent::79,text_item,Subsequent thermal treatment gives rise to significant increases in YS (\~748 MPa) and UTS (\~1148 MPa) combined with a large ductility of \~28 %.
image_0001,2,../02_images/figures/image_0001.jpg,(022) plane. (g) Geometric phase analysis (GPA) map of horizontal normal strain $( \varepsilon _ { \mathbf { x } \mathbf { x } } )$ in the strip region.,1,0.375768,0.325768,low,paper::sent::96,text_item,"Thus, the segregation of B atoms can improve the cohesive strength of the grain boundaries in present CCIMA and reduce the tendency of brittle morphologies of deformation substructures of the CCIMA at different strains. g, i High-resolution TEM and corresponding FFT images (insets) revealing the changes in the types of deformation substructures from APB-coupled superlattice dislocations (5%) to intersected SFs (35%). h Atomic-resolution STEM-HAADF image illustrating the existence of SISF at a strain of 15%."
image_0001,2,../02_images/figures/image_0001.jpg,(022) plane. (g) Geometric phase analysis (GPA) map of horizontal normal strain $( \varepsilon _ { \mathbf { x } \mathbf { x } } )$ in the strip region.,2,0.372549,0.322549,low,paper::sent::92,text_item,Microstructure and morphology characteristics analysis of the white and dark layers under SEM
image_0001,2,../02_images/figures/image_0001.jpg,(022) plane. (g) Geometric phase analysis (GPA) map of horizontal normal strain $( \varepsilon _ { \mathbf { x } \mathbf { x } } )$ in the strip region.,3,0.371463,0.321463,low,paper::sent::130,text_item,"Hence, the microstructural evolution has a direct influence on the stress rupture resistance of alloy ZGH451 under 760 °C/780 MPa, including the characteristics of dendrites, voids, cracks, GBs, $\gamma ^ { \prime }$ phase, and carbides."
image_0001,2,../02_images/figures/image_0001.jpg,(022) plane. (g) Geometric phase analysis (GPA) map of horizontal normal strain $( \varepsilon _ { \mathbf { x } \mathbf { x } } )$ in the strip region.,4,0.371138,0.321138,low,paper::sent::119,text_item,"After identifying LPBF process parameters and post-HT conditions that could lead to the production of Ti-6Al-4V alloys with high strength and ductility, microstructural analyses were conducted to validate the source of their strength and ductility; aiming to confirm whether the microstructures of the alloys produced in this study simultaneously exhibit the microstructural characteristics of those with high UTS and those with high TE that were respectively identified in previous studies."
image_0001,2,../02_images/figures/image_0001.jpg,(022) plane. (g) Geometric phase analysis (GPA) map of horizontal normal strain $( \varepsilon _ { \mathbf { x } \mathbf { x } } )$ in the strip region.,5,0.370368,0.320368,low,paper::sent::64,text_item,The comparative grain sizes implied no significant grain coarsening after heat treatment at elevated temperatures occurred in this LPBF-fabricated Al-Cu-Li-Sc-Zr alloy.
