figure_id,figure_index,figure_path,caption,rank,score,cosine_score,confidence,text_token_id,source,text
chart_0000,1,../02_images/figures/chart_0000.jpg,Fi. 1 (0 $( \delta = 0 . 2 8 \% )$ between the FCC matrix and $\mathbf { L } 1 _ { 2 }$ precipitates.,1,0.381077,0.331077,low,paper::sent::47,text_item,"The average thicknesses of the FCC and B2 nanolayers are measured as $\lambda _ { \mathrm { F C C } } = 8 7$ nm and $\lambda _ { \mathrm { B } 2 } = 1 6 0 ~ \mathrm { n m }$ ,respectively."
chart_0000,1,../02_images/figures/chart_0000.jpg,Fi. 1 (0 $( \delta = 0 . 2 8 \% )$ between the FCC matrix and $\mathbf { L } 1 _ { 2 }$ precipitates.,2,0.378079,0.328079,low,paper::sent::44,text_item,"Recently, Di Stefano et al. verify LTPS shows exceptional lithium diffusion $( D _ { \mathrm { L i ^ { + } } } )$ of $1 . 2 \times 1 0 ^ { - 7 }$ cm{2 s-1 at room temperature due to the frustrated energy landscape""9."
chart_0000,1,../02_images/figures/chart_0000.jpg,Fi. 1 (0 $( \delta = 0 . 2 8 \% )$ between the FCC matrix and $\mathbf { L } 1 _ { 2 }$ precipitates.,3,0.377328,0.327328,low,paper::sent::80,text_item,"However, the characteristic peaks of chemical ordering, such as (100) and (110), were found in the high-resolution XRD spectra of the aged alloy, demonstrating the precipitation of an ordered FCC phase (i.e., the $\mathrm { L } 1 _ { 2 }$ phase),"
chart_0000,1,../02_images/figures/chart_0000.jpg,Fi. 1 (0 $( \delta = 0 . 2 8 \% )$ between the FCC matrix and $\mathbf { L } 1 _ { 2 }$ precipitates.,4,0.37451,0.32451,low,paper::sent::102,text_item,The small lattice mismatch between the FCC matrix and the $\mathbf { L } 1 _ { 2 }$ phase is also evidenced by the high-resolution
chart_0000,1,../02_images/figures/chart_0000.jpg,Fi. 1 (0 $( \delta = 0 . 2 8 \% )$ between the FCC matrix and $\mathbf { L } 1 _ { 2 }$ precipitates.,5,0.374354,0.324354,low,paper::sent::52,text_item,"And the mass/charge ratio (m/e) corresponding to the molecular ion peak of $\mathrm { F E } _ { 0 }$ , LCFE2, and LCFE5 are 544.19, 548.15, and 632.15, which is consistent with its molecular mass (544.18 for $\mathrm { F E } _ { 0 } ,$ 548.44 for $\operatorname { L C F E } _ { 2 } ,$ and 632.60 for $\mathrm { L C F E } _ { 5 } )$ The above characterization results indicate that $\mathrm { F E } _ { 0 } ,$ $\mathrm { L C F E } _ { 2 } ,$ and $\mathrm { L C F E } _ { 5 }$ have been successfully synthesized."
image_0001,2,../02_images/figures/image_0001.jpg,(a); (b),1,0.342878,0.292878,low,paper::sent::61,text_item,Flow3D software was used to simulate the temperature distribution in the molten pool.
image_0001,2,../02_images/figures/image_0001.jpg,(a); (b),2,0.341127,0.291127,low,paper::sent::120,text_item,The numerical simulation method is considered to be an effective way to calculate the comprehensive thermal field with complex boundary conditions.
image_0001,2,../02_images/figures/image_0001.jpg,(a); (b),3,0.340219,0.290219,low,paper::sent::129,text_item,"The darker regions in the Cr and Co maps show higher elemental concentrations, indicating this is γ-phase (Ni-matrix) in"
image_0001,2,../02_images/figures/image_0001.jpg,(a); (b),4,0.340065,0.290065,low,paper::sent::98,text_item,"The analysis in this section focuses exclusively on the EDS results for the stacking faults in LSHR since the segregation of γ formers along SESFs [9,34] and SISFs [28,29] in ME3 has been widely reported and is in agreement with the ME3 chemical mapping performed for this study."
image_0001,2,../02_images/figures/image_0001.jpg,(a); (b),5,0.338588,0.288588,low,paper::sent::62,text_item,"Additionally, both IPF maps exhibited similar characteristics of fine equiaxed grains and coarse columnar grains."
image_0002,3,../02_images/figures/image_0002.jpg,(d); (e),1,0.372139,0.322139,low,paper::sent::86,text_item,"Such a remarkable grain refinement arises from the in-situ formed nanowhiskers, which act as abundant heterogeneous nucleation sites during solidification, promoting the direct formation of equiaxed grains and suppressing epitaxial columnar growth [25]."
image_0002,3,../02_images/figures/image_0002.jpg,(d); (e),2,0.366798,0.316798,low,paper::sent::108,text_item,"The in-situ strategy effectively eliminates various LPBF-induced defects in high-strength Al alloys while introducing a high density of onedimensional nano-whisker reinforcements, resulting in a substantial enhancement of mechanical performance."
image_0002,3,../02_images/figures/image_0002.jpg,(d); (e),3,0.366517,0.316517,low,paper::sent::82,text_item,The inserted optical micrographs reflect the typical barreling phenomenon for ductile metallic materials.
image_0002,3,../02_images/figures/image_0002.jpg,(d); (e),4,0.36647,0.31647,low,paper::sent::73,text_item,"It's noteworthy that the equiaxed grains observed in TEM and TKD results could be as small as a few hundred nanometers, indicating the presence of a nanoscale structure in the LPBF-fabricated Al-Cu-Li-Sc-Zr alloy."
