figure_id,figure_index,figure_path,caption,rank,score,cosine_score,confidence,text_token_id,source,text
image_0000,1,../02_images/figures/image_0000.jpg,Fig. 1 | Back scattered scanning electron microscopy (SEM) images showing overview microstructure of the as-printed $\mathbf { A l _ { 9 2 } T i _ { 2 } F e _ { 2 } C o _ { 2 } N i _ { 2 } }$ alloy with 300 W laser. a The horizontal (XY) view. The region outlined in the white box is enlarged in (c). b The vertical (XZ) planes. Z is the build direction. Yellow dash lines outline the melt-pool (MP) boundaries. c Micrograph of a representative melt pool with the outlined boundary and striated fine rosettes. The region outlined in the white box is magnified in (d). d The microstructure across the melt pool boundaries,1,0.566934,0.316934,high,paper::sent::114,text_item,Fig. 1 summarizes the typical as-fabricated microstructures of the AM Al-Zr-Ce-Cu alloy.
image_0000,1,../02_images/figures/image_0000.jpg,Fig. 1 | Back scattered scanning electron microscopy (SEM) images showing overview microstructure of the as-printed $\mathbf { A l _ { 9 2 } T i _ { 2 } F e _ { 2 } C o _ { 2 } N i _ { 2 } }$ alloy with 300 W laser. a The horizontal (XY) view. The region outlined in the white box is enlarged in (c). b The vertical (XZ) planes. Z is the build direction. Yellow dash lines outline the melt-pool (MP) boundaries. c Micrograph of a representative melt pool with the outlined boundary and striated fine rosettes. The region outlined in the white box is magnified in (d). d The microstructure across the melt pool boundaries,2,0.56629,0.31629,high,paper::sent::47,text_item,Powder particle micrographs showed irregular WA and spherical GA powder particles (Fig. 1).
image_0000,1,../02_images/figures/image_0000.jpg,Fig. 1 | Back scattered scanning electron microscopy (SEM) images showing overview microstructure of the as-printed $\mathbf { A l _ { 9 2 } T i _ { 2 } F e _ { 2 } C o _ { 2 } N i _ { 2 } }$ alloy with 300 W laser. a The horizontal (XY) view. The region outlined in the white box is enlarged in (c). b The vertical (XZ) planes. Z is the build direction. Yellow dash lines outline the melt-pool (MP) boundaries. c Micrograph of a representative melt pool with the outlined boundary and striated fine rosettes. The region outlined in the white box is magnified in (d). d The microstructure across the melt pool boundaries,3,0.556055,0.306055,high,paper::sent::29,text_item,Back scattered scanning electron microscopy (SEM) images reveal the microstructure of the as-printed Al92Ti2Fe2Co2Ni2 fabricated with 300 W laser power in Fig. 1.
image_0000,1,../02_images/figures/image_0000.jpg,Fig. 1 | Back scattered scanning electron microscopy (SEM) images showing overview microstructure of the as-printed $\mathbf { A l _ { 9 2 } T i _ { 2 } F e _ { 2 } C o _ { 2 } N i _ { 2 } }$ alloy with 300 W laser. a The horizontal (XY) view. The region outlined in the white box is enlarged in (c). b The vertical (XZ) planes. Z is the build direction. Yellow dash lines outline the melt-pool (MP) boundaries. c Micrograph of a representative melt pool with the outlined boundary and striated fine rosettes. The region outlined in the white box is magnified in (d). d The microstructure across the melt pool boundaries,4,0.542921,0.292921,high,paper::sent::62,text_item,Fig. 1 provides the microstructural characterization of the H230 and H230AM samples.
image_0000,1,../02_images/figures/image_0000.jpg,Fig. 1 | Back scattered scanning electron microscopy (SEM) images showing overview microstructure of the as-printed $\mathbf { A l _ { 9 2 } T i _ { 2 } F e _ { 2 } C o _ { 2 } N i _ { 2 } }$ alloy with 300 W laser. a The horizontal (XY) view. The region outlined in the white box is enlarged in (c). b The vertical (XZ) planes. Z is the build direction. Yellow dash lines outline the melt-pool (MP) boundaries. c Micrograph of a representative melt pool with the outlined boundary and striated fine rosettes. The region outlined in the white box is magnified in (d). d The microstructure across the melt pool boundaries,5,0.541347,0.291347,high,paper::sent::58,text_item,"Fig. 1 shows µCT cross sectional images of WA and GA green parts with densities of \~50% and 60%, respectively."
chart_0001,2,../02_images/figures/chart_0001.jpg,"Fig. 2 | Morphology and compositions of nanoscale intermetallics. High-angle annular dark-field scanning transmission electron microscopy (HAADF-STEM) images showing representative morphologies of (a) fine rosettes region and (b) coarse rosettes region and corresponding energy-dispersive x-ray spectroscopy (EDS) composition maps of various elements. The line scans in (c, d) showing",1,0.549827,0.299827,high,paper::sent::51,text_item,"Moreover, the carbon atoms on alkyl chains and epoxy groups appear in the range of 20-60 ppm, and the number of peaks is consistent with the carbon atoms in molecular structures of $\mathrm { L C F E } _ { 2 }$ and $\operatorname { L C F E } _ { 5 } .$ ,Meanwhile, FT-IR spectra of $\mathrm { F E } _ { 0 } ,$ LCFE2, and LCFE5 (Fig. 2(g-i)) show stretching vibration peaks of $\left. - \mathrm { C H } _ { 2 } . \right.$ group $( 3 0 0 0 { - } 3 2 0 0 ~ \mathrm { c m } ^ { - 1 } )$ and characteristic peaks of epoxy group (958 cm-1)."
chart_0001,2,../02_images/figures/chart_0001.jpg,"Fig. 2 | Morphology and compositions of nanoscale intermetallics. High-angle annular dark-field scanning transmission electron microscopy (HAADF-STEM) images showing representative morphologies of (a) fine rosettes region and (b) coarse rosettes region and corresponding energy-dispersive x-ray spectroscopy (EDS) composition maps of various elements. The line scans in (c, d) showing",2,0.545496,0.295496,high,paper::sent::88,text_item,"Fig. 2 (WA) and 3 (GA), Table 2) show that pores were present in WA BJP samples at all sintering temperatures."
chart_0001,2,../02_images/figures/chart_0001.jpg,"Fig. 2 | Morphology and compositions of nanoscale intermetallics. High-angle annular dark-field scanning transmission electron microscopy (HAADF-STEM) images showing representative morphologies of (a) fine rosettes region and (b) coarse rosettes region and corresponding energy-dispersive x-ray spectroscopy (EDS) composition maps of various elements. The line scans in (c, d) showing",3,0.539274,0.289274,high,paper::sent::70,text_item,"In addition, there were different contrast differences within the coatings, which can be attributed to the different $\mathrm { C a F } _ { 2 }$ content and the decomposition of the Yb2SiO5 and Yb2Si2O7 (Fig. 2(df))."
chart_0001,2,../02_images/figures/chart_0001.jpg,"Fig. 2 | Morphology and compositions of nanoscale intermetallics. High-angle annular dark-field scanning transmission electron microscopy (HAADF-STEM) images showing representative morphologies of (a) fine rosettes region and (b) coarse rosettes region and corresponding energy-dispersive x-ray spectroscopy (EDS) composition maps of various elements. The line scans in (c, d) showing",4,0.535011,0.285011,high,paper::sent::90,text_item,Fig. 2 $\mathrm { { d - f ) } }$ since super-solidus liquid phase sintering was active.
chart_0001,2,../02_images/figures/chart_0001.jpg,"Fig. 2 | Morphology and compositions of nanoscale intermetallics. High-angle annular dark-field scanning transmission electron microscopy (HAADF-STEM) images showing representative morphologies of (a) fine rosettes region and (b) coarse rosettes region and corresponding energy-dispersive x-ray spectroscopy (EDS) composition maps of various elements. The line scans in (c, d) showing",5,0.534482,0.284482,high,paper::sent::41,text_item,"Fig. 2 is 1H NMR, $^ { 1 3 } { \sf C }$ NMR, and FT-IR spectra of $\mathrm { F E } _ { 0 } ,$ LCFE2, and $\operatorname { L C F E } _ { 5 } .$ Chemical shifts at 6.827.24 ppm in $\mathrm { F E } _ { 0 }$ (Fig. 2(a)) are attributed to the protons on biphenyl structures."
