figure_id,figure_index,figure_path,caption,rank,score,cosine_score,confidence,text_token_id,source,text
chart_0000,1,../02_images/figures/chart_0000.jpg,"Fig. 2. Evolving phase amounts vs. temperature during the calculated solidification of Ti-22Al-25 Nb IMC using the Scheil model, and the inset showing the pseudo-binary phase diagram for Ti-22Al-xNb (at%) [19];.",1,0.568834,0.318834,high,paper::sent::27,text_item,"Both equilibrium and nonequilibrium step diagrams (phase fraction vs. temperature) of Inconel 718 are plotted in Figs. 2(a) & (b) using the Thermo-Calc software according to the thermodynamic database TCNI8, which is used for nickel alloy study."
chart_0000,1,../02_images/figures/chart_0000.jpg,"Fig. 2. Evolving phase amounts vs. temperature during the calculated solidification of Ti-22Al-25 Nb IMC using the Scheil model, and the inset showing the pseudo-binary phase diagram for Ti-22Al-xNb (at%) [19];.",2,0.56858,0.31858,high,paper::sent::87,text_item,"After 12-h homogenization, the Nb-rich phase fraction of suction-cast alloys becomes close to the one of the AM alloys and approaches a constant, 0.47 %, which is consistent with the CALPHAD model-prediction on the amount of equilibrium NbC showed in Fig. 2(a)."
chart_0000,1,../02_images/figures/chart_0000.jpg,"Fig. 2. Evolving phase amounts vs. temperature during the calculated solidification of Ti-22Al-25 Nb IMC using the Scheil model, and the inset showing the pseudo-binary phase diagram for Ti-22Al-xNb (at%) [19];.",3,0.563135,0.313135,high,paper::sent::83,text_item,"The DSC analysis revealed preliminary findings, as depicted in Fig. 2 (d), where the glass transition temperature $( T _ { g } )$ of H-PAAs was approximately ${ 3 0 0 } ^ { \circ } \mathrm { C } ,$ whereas M-PAAs exhibited a $T _ { g } \operatorname { o f } 2 5 8 ^ { \circ } \mathrm { C } ,$ and L-PAAs had a $T _ { g }$ of 256 C."
chart_0000,1,../02_images/figures/chart_0000.jpg,"Fig. 2. Evolving phase amounts vs. temperature during the calculated solidification of Ti-22Al-25 Nb IMC using the Scheil model, and the inset showing the pseudo-binary phase diagram for Ti-22Al-xNb (at%) [19];.",4,0.5629,0.3129,high,paper::sent::91,text_item,"Compared to the N1-HOMO and N1-CR materials with uniform structures, the N1-LH and N1-LAG materials with gradient structures exhibit gradient microhardness along ND on the longitudinal-section from the surface to the core, and the microhardness of the two materials increase from 2.2 GPa and 2.3 GPa of the subsurface to 2.8 GPa and 3.4 GPa of the core, respectively, as shown in Fig. 2(f)."
chart_0000,1,../02_images/figures/chart_0000.jpg,"Fig. 2. Evolving phase amounts vs. temperature during the calculated solidification of Ti-22Al-25 Nb IMC using the Scheil model, and the inset showing the pseudo-binary phase diagram for Ti-22Al-xNb (at%) [19];.",5,0.562724,0.312724,high,paper::sent::57,text_item,"This temperature was selected because Ti-22Al-25 Nb is suitable for working with no phase transformation at $6 5 0 ^ { \circ } \mathrm { C } ,$ as seen in Fig. 2."
image_0001,2,../02_images/figures/image_0001.jpg,distribution; (e)(f) Micro-CT results of as-printed sample.,1,0.372686,0.322686,low,paper::sent::97,text_item,"In our study, a severe PBF-LB protocol was implemented using a small laser spot size of 40 µm, a high laser power of 100 W, a high scan speed of 1000 mm/s, and no preheating."
image_0001,2,../02_images/figures/image_0001.jpg,distribution; (e)(f) Micro-CT results of as-printed sample.,2,0.372672,0.322672,low,paper::sent::59,text_item,"Moreover, the thickness of interface phase formed by the diffusion between FABPBO-BADCy matrix and PBO fibers is further increased to 58.3 nm (Figure $4 \mathsf { e } _ { 3 } ) ,$ suggesting the outstanding interfacial compatibility of PBO fibers/FABPBO-BADCy."
image_0001,2,../02_images/figures/image_0001.jpg,distribution; (e)(f) Micro-CT results of as-printed sample.,3,0.371391,0.321391,low,paper::sent::82,text_item,"The EBSD results present that the average grain sizes of the LPBF 2195 samples fabricated with the scanning velocities of 80 mm/s, 160 mm/s, and 240 mm/s are 37.9 µm, 33.2 µm, and 29.8 µm, respectively."
image_0001,2,../02_images/figures/image_0001.jpg,distribution; (e)(f) Micro-CT results of as-printed sample.,4,0.369815,0.319815,low,paper::sent::91,text_item,"Turker et al. [6] used powder between 20 and 53 µm and reported that the grain size of the alloy 718 printed by BJP and sintered at $1 2 8 0 ~ ^ { \circ } \mathrm { C }$ was 100150 µm, which is larger and less favorable than grain sizes produced in the present study."
image_0001,2,../02_images/figures/image_0001.jpg,distribution; (e)(f) Micro-CT results of as-printed sample.,5,0.369501,0.319501,low,paper::sent::40,text_item,The present work aims to understand the effect of multi-spot vs. hatch melt strategy and layer thickness on the microstructure and mechanical properties of PBF-EB TiAl-based nanocomposites.
