figure_id,figure_index,figure_path,caption,rank,score,cosine_score,confidence,text_token_id,source,text
image_0000,1,../02_images/figures/image_0000.jpg,"Fig. 1. Sample preparation. (a) CAD models illustrating the cut-out process of tensile coupon specimens from an as-deposited cuboid block. The printing directions, i.e., scan direction (SD), transverse direction (TD), and build direction (BD) are labelled. (b) Schematics of the designed homogenous and heterostructured tensile coupons.",1,0.564821,0.314821,high,paper::sent::65,text_item,Fig. 1 shows the tensile behaviors in various gradient structured specimens as well as the CG specimens for comparison.
image_0000,1,../02_images/figures/image_0000.jpg,"Fig. 1. Sample preparation. (a) CAD models illustrating the cut-out process of tensile coupon specimens from an as-deposited cuboid block. The printing directions, i.e., scan direction (SD), transverse direction (TD), and build direction (BD) are labelled. (b) Schematics of the designed homogenous and heterostructured tensile coupons.",2,0.554715,0.304715,high,paper::sent::38,text_item,The representative tensile curves of the AF and HT aluminum alloy samples at various testing temperatures are presented in Figure 1(a) and Figure 1(b).
image_0000,1,../02_images/figures/image_0000.jpg,"Fig. 1. Sample preparation. (a) CAD models illustrating the cut-out process of tensile coupon specimens from an as-deposited cuboid block. The printing directions, i.e., scan direction (SD), transverse direction (TD), and build direction (BD) are labelled. (b) Schematics of the designed homogenous and heterostructured tensile coupons.",3,0.551624,0.301624,high,paper::sent::46,text_item,"S1(a)), yielding HS samples with four configurations (A, B, C, and D) as shown in Fig. 1(b)."
image_0000,1,../02_images/figures/image_0000.jpg,"Fig. 1. Sample preparation. (a) CAD models illustrating the cut-out process of tensile coupon specimens from an as-deposited cuboid block. The printing directions, i.e., scan direction (SD), transverse direction (TD), and build direction (BD) are labelled. (b) Schematics of the designed homogenous and heterostructured tensile coupons.",4,0.550481,0.300481,high,paper::sent::80,text_item,"Using each technology, round bars were built in two orientations (i.e. horizontal or X direction, and vertical or Z direction, as referred in Fig. 1) for evaluation and testing of mechanical properties."
image_0000,1,../02_images/figures/image_0000.jpg,"Fig. 1. Sample preparation. (a) CAD models illustrating the cut-out process of tensile coupon specimens from an as-deposited cuboid block. The printing directions, i.e., scan direction (SD), transverse direction (TD), and build direction (BD) are labelled. (b) Schematics of the designed homogenous and heterostructured tensile coupons.",5,0.549963,0.299963,high,paper::sent::62,text_item,Fig. 1 provides the microstructural characterization of the H230 and H230AM samples.
chart_0001,2,../02_images/figures/chart_0001.jpg,Fig. 5. xRD measurements of the homogenous samples and the heterostructured samples. No new phase is presented in the heterostructured samples.,1,0.5735,0.3235,high,paper::sent::124,text_item,Fig. 5 illustrates the phase analysis of the as-fabricated homogenous and HS samples.
chart_0001,2,../02_images/figures/chart_0001.jpg,Fig. 5. xRD measurements of the homogenous samples and the heterostructured samples. No new phase is presented in the heterostructured samples.,2,0.571202,0.321202,high,paper::sent::128,text_item,"Fig. 5(d) demonstrates the influence of PAAs sizing agent molecular weight on CF moisture absorption, showing a slight increase post-sizing due to the hydrophilic nature of water-based PAAs."
chart_0001,2,../02_images/figures/chart_0001.jpg,Fig. 5. xRD measurements of the homogenous samples and the heterostructured samples. No new phase is presented in the heterostructured samples.,3,0.566869,0.316869,high,paper::sent::202,text_item,Fig. 5(c) shows the MD simulation results of the microstructural evolution during LPBF of CoCrFeNi high-entropy aloy at varying laser energy densities.
chart_0001,2,../02_images/figures/chart_0001.jpg,Fig. 5. xRD measurements of the homogenous samples and the heterostructured samples. No new phase is presented in the heterostructured samples.,4,0.565361,0.315361,high,paper::sent::97,text_item,The grain size distribution in the PBF-EB samples was also more uniform than that in the PBF-LB samples (Fig. 5(c) and 5(d)).
chart_0001,2,../02_images/figures/chart_0001.jpg,Fig. 5. xRD measurements of the homogenous samples and the heterostructured samples. No new phase is presented in the heterostructured samples.,5,0.562852,0.312852,high,paper::sent::96,text_item,"Compared with the PBF-LB samples, the average grain diameter of the β phase in the PBF-EB samples was reduced by approximately 30 %, as shown in Fig. 5(a) and 5(b), and Table 2."
image_0002,3,../02_images/figures/image_0002.jpg,rows. The necking-induced and shear-induced deformations are marked with black dotted lines.,1,0.402904,0.352904,medium,paper::sent::125,text_item,"Stage II (deformation mode coupling): A reduced work-hardening rate slope emerges as deformation mechanisms transition from dislocation slip dominance to a synergistic interplay of twinning, phase transformation, and localized shear banding."
image_0002,3,../02_images/figures/image_0002.jpg,rows. The necking-induced and shear-induced deformations are marked with black dotted lines.,2,0.392391,0.342391,low,paper::sent::169,text_item,A stacking fault ribbon consists of four different Shockley partials (denoted throughout the paper as P1 through P4) that shear consecutively on the same {111} slip plane.
image_0002,3,../02_images/figures/image_0002.jpg,rows. The necking-induced and shear-induced deformations are marked with black dotted lines.,3,0.392206,0.342206,low,paper::sent::110,text_item,"Furthermore, the greater elastic modulus and stiffness at the interface of PBO fibers/FABPBO-BADCy composites allows for better stress transfer, further enhancing the ILSS and flexural strength (It can be illustrated by the large quantity of BADCy resins adhered to the surface of PBO fibers in Figure S8)."
image_0002,3,../02_images/figures/image_0002.jpg,rows. The necking-induced and shear-induced deformations are marked with black dotted lines.,4,0.389382,0.339382,low,paper::sent::135,text_item,The enhanced ILSS and flexural strength of CF/PEI composites with PI2/PI3 blend sizing are attributed to the distinct interfacial microstructure formed under melt processing.
