figure_id,figure_index,figure_path,caption,top1_score,top1_confidence,top1_text,top2_score,top2_confidence,top2_text,top3_score,top3_confidence,top3_text,top4_score,top4_confidence,top4_text,top5_score,top5_confidence,top5_text
image_0000,1,../02_images/figures/image_0000.jpg,t=300ps,0.376496,low,Lammps provides diverse methods for simulating laser sources.,0.375967,low,"In this study, the large-scale atomic/molecular massively parallel simulator (LAMMPS) is utilized to establish the binderless WC inprocess-heat laser-assisted nanometric cutting model.",0.375414,low,"Specifically, a novel In-LAC MD simulation method is proposed to study the material removal mechanism, where the laser loading condition and the energy intensity are consistent with the experimental conditions.",0.371071,low,"Considering the laser loading form of In-LAT, the material surface oxidation at elevated temperature is considered to have little influence on the material removal process and was not considered in the MD simulation.",0.370459,low,"An electron backscattered diffraction system (EBSD, Lumis, Thermo Fisher Scientific, USA) was employed to better understand the grain texture and microstrain of the white and dark layers."
chart_0001,2,../02_images/figures/chart_0001.jpg,"Fig. 1. (a) Molecular dynamicmodel of the laser-induced molten pool with box length 250 and box height 120 $\mathring { \mathsf { A } } ,$ panels i to iv of Fig. 1(a) show the snapshot of the cooling steps.",0.571476,high,"We also conducted a simulation study on the temperature history of the molten pool center and obtained the temperature distribution of the molten pool center over time, as well as the cooling rate of the molten pool during both the heating and subsequent cooling steps, as shown in Fig. 1(b-c).",0.569054,high,The representative tensile curves of the AF and HT aluminum alloy samples at various testing temperatures are presented in Figure 1(a) and Figure 1(b).,0.565859,high,"Based on the Θε curve of ${ \sf G S } _ { 5 } ^ { 1 }$ sample shown in Fig. 1(d), several tensile strains were selected for conducting Hv measurements to correlate the global strain hardening with local strain hardening.",0.5646,high,"As seen in Figure 1, slower solidification via induction melting (casting) leads to micro-meter scale ternary and AlM phases (Figure S15, Supporting Information) and 80% lower hardness (40 HV) than the 3D-printed sample (200 HV in Figure S17, Supporting Information).",0.562337,high,The serrations observed in the room-temperature tensile stress-strain curve of Figure 1(a) can be explained by the Portevin-Le Chatelier (PLC) effect.
chart_0002,3,../02_images/figures/chart_0002.jpg,"Fi 2. wie model for the FCC crystalline CoCrFeNi HEA, where green, white, and red atoms signify $\mathrm { F C C } ,$ others (non-12 coordinated atoms), and HCP, respectively. Non-12 atoms. Therefore, he atoms inthe powder laye the M model are lso set to have aniorm distriutin.",0.365332,low,"Although further increasing the content of Sc and Zr could reduce the average equivalent circle diameter to 13.8 µm (sample #3) and 11.7 µm (sample #4), the reduction rate was limited.",0.363653,low,"Yb2SiO5) exhibited high sphericity and a particle size distribution of approximately 1155 µm (reported in our previous work, Ref. [34]), which is suitable for PS-PVD process to prepare dense coatings.",0.361675,low,Inoculation with 0.4Sc0.2Zr to Al4Cu1.25Li dramatically decreased the average equivalent circle diameter of grains from 257.9 µm to,0.361278,low,Li et al.[19] fabricated a novel AlMgScZr alloy by LPBF and achieved a yield strength of,0.359855,low,"In summary, the film-forming properties of thermoplastic sizing agent on CF surface is under the combined influence of the molecular weight and concentration of sizing agent, as well as the duration of sizing."
image_0003,4,../02_images/figures/image_0003.jpg,non-12-coordinated atoms represent liquid atoms.,0.363701,low,"The intensification of dislocation pileups and the dynamic evolution of dislocation walls jointly acted, causing stress concentrations at multiple sites along the extension direction of lamellar grains.",0.355348,low,"Third, the amorphous boundaries, being geometrically wider than conventional sharp grain boundaries, serve as effective spatial constraints that hinder cell/grain-boundary migration and prevent cell/grain coarsening via Ostwald ripening.",0.353511,low,"The enrichment of precipitates at grain boundaries can compromise the material's ductility and elongation by promoting embrittlement, creating paths for crack propagation, hindering dislocation movement, and inducing stress concentration.",0.350009,low,It is believed that rupture life and ductility can be improved by enveloping the brittle grain boundary carbides and therefore retarding crack initiation at high temperatures[39].,0.346948,low,All these observations demonstrate that the development of a unique layered microstructure which is hardly obtained by any other processes could be achieved by the present EBM process.
chart_0004,5,../02_images/figures/chart_0004.jpg,"Fig. 4. Relative density dependent on the energy density determined by experiments and MD simulations. (a) Relative density variation of the CoCrFeNi HEA fabricated by LPBF at different laser energy densities, panels i to vi of (a) show the corresponding optical micrographs. (b) The number of atoms and the rate of evaporated atoms over time steps during MD simulation dependent on the three different energy density conditions.",0.55717,high,"XPS demonstrated a progressive transition from mixed TiO2/Al203 (46.02 %/53.98 %) to Al2O3- dominated (82.11 %) surface oxides after 70 cycles, accompanied by $\mathrm { T i } ^ { 3 + } / \mathrm { C r } ^ { 3 + }$ enrichment and Al-0 peak shifts (531.75 → 532.02 eV), indicative of oxide densification (S-Figs. 4, 5).",0.549339,high,"Compared with the coating after 50 h at 1400 ${ } ^ { \circ } \mathrm { C } ,$ the crystallized structure also appeared on the surface, and the characteristics of Si-HfO2 bond coating were highly similar (the light gray phase was identified as $\mathrm { H f S i O _ { 4 } } ,$ and the dark gray phase was identified as $\mathrm { S i O } _ { 2 }$ cristobalite), except for the early appearance of a vertical mud-crack, as shown in Figs. 4(al) and 4(a2).",0.546766,high,"The 2-nm thick virtual slice containing Ni, Al, and Ti atoms obtained from the bottom of the APT sample (Fig. 5(b)) and the corresponding 2D projection (Fig. 5(c)) demonstrate that the lamellar $\mathrm { L } 1 _ { 2 }$ nanorods are highly enriched in Ni, Al, and Ti, which is in good agreement with the STEM-EDS results (Fig. 4(b)).",0.544041,high,"Figures 4(d3) and 4(d4) also show that as the coating was thermally cycled, the thermal stress accumulated continuously, contributing to the ongoing initiation, propagation, and transformation of oriented cracks into interconnected cracks.",0.543415,high,"Thin films of pure L-PAAs, M-PAAs and H-PAAs were produced by solution casting from their solutions with concentration of 1 wt%, and the data of contact angle were measured and listed in Fig. 4(h)."
chart_0005,6,../02_images/figures/chart_0005.jpg,Fi. 5 atom belongin herai an expermentally determinerom EBS measurement LB-bricat smples.,0.410609,medium,This increasing trend of the average grain size is also predicted by the present MD simulation and hence experimentally corroborated.,0.40659,medium,"For the AP-HEA, the grain size is estimated as $9 3 \pm 3 6$ μm (from EBSD data in Supplementary Fig.",0.383506,low,"However, with increasing sintering temperature and time, grain growth or coarsening as well as segregation of alloying elements to the grain boundary has an opposite effect on the hardness [11,23,28,34].",0.382923,low,"This is because the aging treatment accelerates grain boundary migration, and promotes the growth of original fine grains in AlMgScZr alloy[42].",0.380661,low,The fine ZrC carbides instead of the coarse grain boundary M6C carbides in the H230AM is beneficial for suppressing the formation of grain boundary cavities.
image_0006,7,../02_images/figures/image_0006.jpg,"Fi 6 600 mm/s, 200 W $( \mathrm { V E D } = 1 8 5 . 2 \mathrm { J } / \mathrm { m m } ^ { 3 } ) ;$ a 400 m/s, 200 W (VE = 277.8 J/m³. (g) MD siulat isplayg he micstrce prir, dur an melting of one melt track.",0.352854,low,"Despite its high ionic conductivity, its insufficient mechanical robustness (4.69 MPa) failed to provide an effective physical barrier against dendrite penetration.",0.351619,low,"Hence, the Zr with similar activity to Al in H230AM can further promote the densification of intergranular oxide layer, thereby reducing the channels for $0 ^ { 2 \cdot }$ transport.",0.345986,low,"Because $\mathsf { F e } _ { 3 } \mathrm { O } _ { 4 }$ was embedded in RGO/MXene microspheres, the effective surface interface was increased and the polarization was enhanced.",0.344254,low,The increase of tensile stress in the YbMS region improves the $\mathrm { G } _ { \mathrm { s s } }$ and promote the formation of channel cracks at YbDS-YbMS interface.,0.343703,low,"This study identies distinctly different stacking fault sega tion and local phase transformation phenomena active following creep properties of two similar, polycrystalline Ni-base disk superalloys, ME3 and LSHR."
image_0007,8,../02_images/figures/image_0007.jpg,"poe 185.2 J/mm3³); and (c) 400 mm/s, 200 W $\mathrm { ( V E D = 2 7 7 . 8 J / m m ^ { 3 } ) }$ .",0.362835,low,"The mechanisms that trigger the formation of abundant stacking faults in monolithic ${ \bf A l } _ { 9 } ( \mathrm { F e } , \mathrm { C o } , \mathrm { N i } ) _ { 2 }$ remain to be illuminated by future modeling investigations.",0.362492,low,"From these results, the authors suggest the promotion of slow diffusers (especially W) to segregate along stacking faults as well as the formation of n phase along SESFs and χ phase along SISFs for optimal creep properties in future disk superalloys.",0.360828,low,"A comprehensive understanding of the formation and growth of dislocations, and their interactions with stress and temperature, is crucial for optimizing the LPBF processing, since it greatly affects the microstructural evolution and properties of resulting HEA part(s).",0.359805,low,"In the case of plasticity the most important microstructural state variable certainly is the dislocation density as the dislocations are the carriers of plastic deformation.2 Models that treat the evolution of dislocation densities and calculate the fow stress from them have been proposed by various authors [9,19,22,24,25,232].",0.357385,low,"This microstructure evolution is essentially consistent with that observed during the thermal cycling of a single Si-HfO2 bond coating prepared via PVD method in our previous study, including the shape and distribution of HfSiO4 particles [27]."
chart_0008,9,../02_images/figures/chart_0008.jpg,"cti CoCrFeNi HEA fabricated by LPBF at (c) 140 0 mm/s, 120 W $\mathrm { ( V E D = 4 7 . 6 \ J / m m ^ { 3 } ) } ;$ (d) 600 mm/s, 200 W (VED = 185.2 J/mm³3); and (e) 400 mm/s, 200 W (VED = is colored by green over yellow to red (5°) representing grains with most severe orientation errors [48].",0.397311,low,The elastic modulus mismatch between the matrix and nanoparticles can also lead to increased GND during deformation.,0.37977,low,•Atom probe analyses shown a B-enriched zone of approximately 3 nm at the $\gamma / \mathsf { M } _ { 5 } \mathsf { B } _ { 3 }$ interface for all the boron-doped alloys.,0.379627,low,Chen et al.[177] initiated the study of short-range order in GeSn alloys using GPUMD and NEP.,0.379617,low,"CMSX-4 displays the strongest hardening effect of $\gamma ^ { \prime }$ precipitates due to the higher Ta and Ti concentrations in $\gamma ^ { \prime } ,$ ,followed by René N6, alloy ${ \mathrm { T } } 5 ,$ and alloy T0; René N5 exhibits the weakest hardening effect.",0.379201,low,"In order to further understand the role of grain boundary carbides, other work on a solid solution strengthened nickel-base alloy, alloy 690 (Ni30Cr8Fe), was investigated [4]."
image_0009,10,../02_images/figures/image_0009.jpg,Fi raging from t = 1000 ps to 1500 ps during LPBF-processing at an energy input of 300 eV/ps.,0.348901,low,"amounts of tangled dislocation networks are observed, evidencing necking-induced deformation.",0.34412,low,The large ductility of the alloys at 1023 K is attributed to the fine microstructure and the change in the fracture mode from brittle fracture mode to ductile fracture mode due to softening of the γ phase and the $\alpha _ { 2 } / \gamma$ lamellar region with low $\mathrm { c r . }$,0.343784,low,"The quasi-continuous whisker network further subdivides the ultrafine grains into even smaller deformation domains, refining the active slip units and facilitating continuous dislocation storage and multiplication throughout plastic deformation.",0.3431,low,"Moreover, other mechanisms, such as dislocation detachment for incoherent precipitates [46], may come into play too; however, understanding the exact nature of dislocation interaction with (Ce,Cu)-rich precipitates during climb is beyond the scope of this study.",0.339347,low,"In addition to the initial assessment of thermal stress accumulation within a multilayer coating system utilizing thermal mismatch stress, an in-depth evaluation of the interface stability between m-TGO and both the bottom CMC and the top $\mathrm { Y b } _ { 2 } \mathrm { S i } _ { 2 } \mathrm { O } _ { 7 }$ layer is needed."
