figure_id,figure_index,figure_path,caption,rank,score,cosine_score,confidence,text_token_id,source,text
chart_0000,1,../02_images/figures/chart_0000.jpg,Fig. 2. The stressstrain curve of the 2D SiC/SiC composite in pre-test and the four load points under nano-CT.,1,0.566699,0.316699,high,paper::sent::60,text_item,"Fig. 2 shows the typical stress-displacement curves of SS0, SS90 and PDC SiC for three-point bending test."
chart_0000,1,../02_images/figures/chart_0000.jpg,Fig. 2. The stressstrain curve of the 2D SiC/SiC composite in pre-test and the four load points under nano-CT.,2,0.564978,0.314978,high,paper::sent::58,text_item,Fig. 2 also shows that the B2 phase first nucleates from the liquid metal as the temperature decreases.
chart_0000,1,../02_images/figures/chart_0000.jpg,Fig. 2. The stressstrain curve of the 2D SiC/SiC composite in pre-test and the four load points under nano-CT.,3,0.559094,0.309094,high,paper::sent::91,text_item,Fig. 2(a) shows the Hv profile at varying applied global tensile strains in G.
chart_0000,1,../02_images/figures/chart_0000.jpg,Fig. 2. The stressstrain curve of the 2D SiC/SiC composite in pre-test and the four load points under nano-CT.,4,0.555924,0.305924,high,paper::sent::82,text_item,"The particle size distribution curves, flowability, and apparent density of powders after multiple recycling cycles are shown in Fig. 2."
chart_0000,1,../02_images/figures/chart_0000.jpg,Fig. 2. The stressstrain curve of the 2D SiC/SiC composite in pre-test and the four load points under nano-CT.,5,0.553052,0.303052,high,paper::sent::41,text_item,"Fig. 2 is 1H NMR, $^ { 1 3 } { \sf C }$ NMR, and FT-IR spectra of $\mathrm { F E } _ { 0 } ,$ LCFE2, and $\operatorname { L C F E } _ { 5 } .$ Chemical shifts at 6.827.24 ppm in $\mathrm { F E } _ { 0 }$ (Fig. 2(a)) are attributed to the protons on biphenyl structures."
image_0001,2,../02_images/figures/image_0001.jpg,Fig. 1. (a) The specimen for in situ SEM test; and (b) The photograph of X-ray test setup (Unit: mm).,1,0.534899,0.284899,high,paper::sent::30,text_item,Nearly fully dense samples were well obtained when the laser scanning speeds varied from 600 to 1000 mm/s (Supplementary Fig. 1).
image_0001,2,../02_images/figures/image_0001.jpg,Fig. 1. (a) The specimen for in situ SEM test; and (b) The photograph of X-ray test setup (Unit: mm).,2,0.525243,0.275243,high,paper::sent::49,text_item,This strategy could significantly increase the fraction of equiaxed grains and potentially result in a fully equiaxed microstructure (Figure 1(c)).
image_0001,2,../02_images/figures/image_0001.jpg,Fig. 1. (a) The specimen for in situ SEM test; and (b) The photograph of X-ray test setup (Unit: mm).,3,0.522532,0.272532,high,paper::sent::31,text_item,We used atom probe tomography (APT) to study the nanoscale compositions of the amorphous nanoparticles and the atomic diffusion across the interface (Fig. 1fh).
image_0001,2,../02_images/figures/image_0001.jpg,Fig. 1. (a) The specimen for in situ SEM test; and (b) The photograph of X-ray test setup (Unit: mm).,4,0.52026,0.27026,high,paper::sent::23,text_item,"As a general observation [3,4,12—14], it is fair to say that in UFG materials modified by SPD condition (1) is fulfilled already at quite low strains, Fig. 1."
image_0001,2,../02_images/figures/image_0001.jpg,Fig. 1. (a) The specimen for in situ SEM test; and (b) The photograph of X-ray test setup (Unit: mm).,5,0.519856,0.269856,high,paper::sent::50,text_item,The corresponding microstructure evolution from continuous to pulsed laser in bulk samples is illustrated in Figure 1(df).
image_0002,3,../02_images/figures/image_0002.jpg,"Fig. 3. (a) Architecture of plain weave fabrics, and (b) Surface morphologies.",1,0.588941,0.338941,high,paper::sent::89,text_item,"The surface morphologies of the fibers were subsequently characterized by SEM, as shown in Fig. 3."
image_0002,3,../02_images/figures/image_0002.jpg,"Fig. 3. (a) Architecture of plain weave fabrics, and (b) Surface morphologies.",2,0.579477,0.329477,high,paper::sent::125,text_item,"Samples produced through binder jetting showed a consistent microstructure regardless of build orientation, with an amount of porosity present in both microstructural directions (Fig. 3(A))."
