figure_id,figure_index,figure_path,caption,rank,score,cosine_score,confidence,text_token_id,source,text
image_0000,1,../02_images/figures/image_0000.jpg,"Fig. 1. GB migration under driving forces in opposite directions. The GBs include ∑27 [110] ATGB [(A) and (F)], ∑11 [110] ATGB [(B) and (G)], ∑19 [110] ATGB [(C) and (H)], ∑99 [110] STGB [(D) and (1)], and ∑25 [100] ATGB [(E) and (J)]. (A to E) GB migration rates versus driving forces (γ or t). GB velocities are always in the same sense as the driving forces. Light red circles and light blue diamonds show the data for each individual simulation; for positive $( F = \pmb { \mathsf { F } } \pmb { \mathsf { n } } > 0 )$ and negative $( F < 0 )$ driving forces, respectively. The short horizontal bars denote the means and standard deviations. (F to J) Structures of migrating GBs under positive and negative driving forces (upper and lower panels, respectively). The atoms with a local perfect crystal environment are not shown, and red atoms are locally hexagonal close packed.",1,0.560674,0.310674,high,paper::sent::37,text_item,"The fine distribution of metastable ternary phases (Al-Ni-M, M = Er, Zr, Y, Yb) through rapid solidification serves as the source for the reactive elements, enabling nano-meter scale precipitation of a high phase percentage of $[ \boldsymbol { 1 } _ { 2 } \mathbf { - A l } _ { 3 } \boldsymbol { \mathrm { M } } \ ( \boldsymbol { \mathrm { M } } = \boldsymbol { \mathrm { E r } } , \boldsymbol { \mathrm { Z r } } , \boldsymbol { \mathrm { Y } } ,$ b) strengthening phases (Figures 1 and 3)."
image_0000,1,../02_images/figures/image_0000.jpg,"Fig. 1. GB migration under driving forces in opposite directions. The GBs include ∑27 [110] ATGB [(A) and (F)], ∑11 [110] ATGB [(B) and (G)], ∑19 [110] ATGB [(C) and (H)], ∑99 [110] STGB [(D) and (1)], and ∑25 [100] ATGB [(E) and (J)]. (A to E) GB migration rates versus driving forces (γ or t). GB velocities are always in the same sense as the driving forces. Light red circles and light blue diamonds show the data for each individual simulation; for positive $( F = \pmb { \mathsf { F } } \pmb { \mathsf { n } } > 0 )$ and negative $( F < 0 )$ driving forces, respectively. The short horizontal bars denote the means and standard deviations. (F to J) Structures of migrating GBs under positive and negative driving forces (upper and lower panels, respectively). The atoms with a local perfect crystal environment are not shown, and red atoms are locally hexagonal close packed.",2,0.5479,0.2979,high,paper::sent::77,text_item,"The $\sigma _ { \mathrm { e } }$ gain with four Li\* ions insertion being due to the reduction of $\mathrm { T i ^ { 4 + } }$ to $\mathsf { T i } ^ { 2 + }$ generating extra electrons in the d band (Supplementary Fig. 1) is reasonable, which is validated by the DOS shown in Fig. 3b."
image_0000,1,../02_images/figures/image_0000.jpg,"Fig. 1. GB migration under driving forces in opposite directions. The GBs include ∑27 [110] ATGB [(A) and (F)], ∑11 [110] ATGB [(B) and (G)], ∑19 [110] ATGB [(C) and (H)], ∑99 [110] STGB [(D) and (1)], and ∑25 [100] ATGB [(E) and (J)]. (A to E) GB migration rates versus driving forces (γ or t). GB velocities are always in the same sense as the driving forces. Light red circles and light blue diamonds show the data for each individual simulation; for positive $( F = \pmb { \mathsf { F } } \pmb { \mathsf { n } } > 0 )$ and negative $( F < 0 )$ driving forces, respectively. The short horizontal bars denote the means and standard deviations. (F to J) Structures of migrating GBs under positive and negative driving forces (upper and lower panels, respectively). The atoms with a local perfect crystal environment are not shown, and red atoms are locally hexagonal close packed.",3,0.544914,0.294914,high,paper::sent::19,text_item,"In addition, the effects of introduction of preFABPBO interfacial compatibilizer on the mechanical properties, wave-transparent performances, insulation properties, and heat resistances of PBO fibers/FABPBO-BADCy composites (Figure 1) are investigated, and the corresponding microscopic action mechanism of the preFABPBO interfacial compatibilizer is further discussed."
image_0000,1,../02_images/figures/image_0000.jpg,"Fig. 1. GB migration under driving forces in opposite directions. The GBs include ∑27 [110] ATGB [(A) and (F)], ∑11 [110] ATGB [(B) and (G)], ∑19 [110] ATGB [(C) and (H)], ∑99 [110] STGB [(D) and (1)], and ∑25 [100] ATGB [(E) and (J)]. (A to E) GB migration rates versus driving forces (γ or t). GB velocities are always in the same sense as the driving forces. Light red circles and light blue diamonds show the data for each individual simulation; for positive $( F = \pmb { \mathsf { F } } \pmb { \mathsf { n } } > 0 )$ and negative $( F < 0 )$ driving forces, respectively. The short horizontal bars denote the means and standard deviations. (F to J) Structures of migrating GBs under positive and negative driving forces (upper and lower panels, respectively). The atoms with a local perfect crystal environment are not shown, and red atoms are locally hexagonal close packed.",4,0.543752,0.293752,high,paper::sent::49,text_item,This strategy could significantly increase the fraction of equiaxed grains and potentially result in a fully equiaxed microstructure (Figure 1(c)).
image_0000,1,../02_images/figures/image_0000.jpg,"Fig. 1. GB migration under driving forces in opposite directions. The GBs include ∑27 [110] ATGB [(A) and (F)], ∑11 [110] ATGB [(B) and (G)], ∑19 [110] ATGB [(C) and (H)], ∑99 [110] STGB [(D) and (1)], and ∑25 [100] ATGB [(E) and (J)]. (A to E) GB migration rates versus driving forces (γ or t). GB velocities are always in the same sense as the driving forces. Light red circles and light blue diamonds show the data for each individual simulation; for positive $( F = \pmb { \mathsf { F } } \pmb { \mathsf { n } } > 0 )$ and negative $( F < 0 )$ driving forces, respectively. The short horizontal bars denote the means and standard deviations. (F to J) Structures of migrating GBs under positive and negative driving forces (upper and lower panels, respectively). The atoms with a local perfect crystal environment are not shown, and red atoms are locally hexagonal close packed.",5,0.543153,0.293153,high,paper::sent::75,text_item,"Fig. 1(a) shows the increase of yield strength $\left( \sigma _ { 0 . 2 } \right)$ of all gradient-structured specimens of 1-mm thick (superscript represents specimen thickness in mm) with increasing SMAT duration (subscript, minutes), with a slight decrease of uniform tensile elongation $\varepsilon _ { u \cdot }$ For example, the processing by SMAT for 15 min, i.e. $\mathsf { G S } _ { 1 5 } ^ { 1 } ,$ increased $\sigma _ { 0 . 2 }$ by 132% while $\varepsilon _ { u }$ dropped by only 30%, which is consistent with an early report on gradient structured IF steel [29]."
chart_0001,2,../02_images/figures/chart_0001.jpg,"G; Fig. 2. Comparison of GB migration rates under opposite driving forces. The bicrystal configurations include STGB [(A) and (F)], ATGB [(B) and (G)], SMGB ) and H)], AMGB ) and )], and GB haf-oop [) nd J]. (A to E) Schematics of bicrystal constructions and the symmetries relating two grains (2'-fold axis). In (E), the brown and blue regions indicate grains of two; H",1,0.555101,0.305101,high,paper::sent::88,text_item,Powder particles sizes were randomly selected within a range of 3040 Å based on the powder diameter distribution graph displayed in Fig. 2(e) [37].
chart_0001,2,../02_images/figures/chart_0001.jpg,"G; Fig. 2. Comparison of GB migration rates under opposite driving forces. The bicrystal configurations include STGB [(A) and (F)], ATGB [(B) and (G)], SMGB ) and H)], AMGB ) and )], and GB haf-oop [) nd J]. (A to E) Schematics of bicrystal constructions and the symmetries relating two grains (2'-fold axis). In (E), the brown and blue regions indicate grains of two; H",2,0.554425,0.304425,high,paper::sent::60,text_item,"Fig. 2 shows the variation of the XRD profiles of the θ= 0, 45° and 90 specimens."
chart_0001,2,../02_images/figures/chart_0001.jpg,"G; Fig. 2. Comparison of GB migration rates under opposite driving forces. The bicrystal configurations include STGB [(A) and (F)], ATGB [(B) and (G)], SMGB ) and H)], AMGB ) and )], and GB haf-oop [) nd J]. (A to E) Schematics of bicrystal constructions and the symmetries relating two grains (2'-fold axis). In (E), the brown and blue regions indicate grains of two; H",3,0.548881,0.298881,high,paper::sent::84,text_item,"The corresponding kernel average misorientation (KAM) map (Fig. 2(b)) shows that a significant local misorientation exists in the as-printed alloy, and its average KAM value is 0.85° (inset in Fig. 2(b)), suggesting that it contains a relatively high dislocation density."
chart_0001,2,../02_images/figures/chart_0001.jpg,"G; Fig. 2. Comparison of GB migration rates under opposite driving forces. The bicrystal configurations include STGB [(A) and (F)], ATGB [(B) and (G)], SMGB ) and H)], AMGB ) and )], and GB haf-oop [) nd J]. (A to E) Schematics of bicrystal constructions and the symmetries relating two grains (2'-fold axis). In (E), the brown and blue regions indicate grains of two; H",4,0.548453,0.298453,high,paper::sent::94,text_item,Fig. 2(b) displays the proximity histogram plots of the concentration profiles through the $\gamma / \gamma ^ { \prime }$ interfaces of alloys T0 and T5.
chart_0001,2,../02_images/figures/chart_0001.jpg,"G; Fig. 2. Comparison of GB migration rates under opposite driving forces. The bicrystal configurations include STGB [(A) and (F)], ATGB [(B) and (G)], SMGB ) and H)], AMGB ) and )], and GB haf-oop [) nd J]. (A to E) Schematics of bicrystal constructions and the symmetries relating two grains (2'-fold axis). In (E), the brown and blue regions indicate grains of two; H",5,0.547303,0.297303,high,paper::sent::90,text_item,"Notably, the grain size in the RX layer of the N1-LAG material is larger than that of the N1-LH material, resulting in a more pronounced grain size gradient, as shown in Fig. 2(e)."
chart_0002,3,../02_images/figures/chart_0002.jpg,ψ (meV/atom); C,1,0.360856,0.310856,low,paper::sent::83,text_item,Average lath length for $3 0 ^ { \circ }$ specimens is less than for $0 ^ { \circ }$ and 90° in both the bulk and edge regions.
chart_0002,3,../02_images/figures/chart_0002.jpg,ψ (meV/atom); C,2,0.353648,0.303648,low,paper::sent::78,text_item,"Hard melt pool boundaries are associated with a relatively high Young's modulus (140150 GPa), while melt pool interiors have a relatively low Young's modulus (130140 GPa)."
chart_0002,3,../02_images/figures/chart_0002.jpg,ψ (meV/atom); C,3,0.353641,0.303641,low,paper::sent::128,text_item,The dislocation density of the phases is calculated following Williamson-Hall (W-H) method [69].
chart_0002,3,../02_images/figures/chart_0002.jpg,ψ (meV/atom); C,4,0.353586,0.303586,low,paper::sent::109,text_item,The calculated lattice misfit is an average value because the diffraction data are acquired from a large volume of the samples containing dendrite cores and interdendritic regions.
chart_0002,3,../02_images/figures/chart_0002.jpg,ψ (meV/atom); C,5,0.352287,0.302287,low,paper::sent::86,text_item,"The figure also shows the microstructures in the dendrite cores and interdendritic regions of both alloys subjected to aging at $1 0 3 0 ~ ^ { \circ } \mathrm { C }$ for 0.5 h and 2 h, respectively, which are similar to those observed in the initial state."
chart_0003,4,../02_images/figures/chart_0003.jpg,"different orientations. (F to J) Ratios between the GB migration rate ratio for two directions |v+/v_| versus driving forces, ν, or curvature, 1/w, obtained from the MD results for ∑39 flat GBs and ∑13 GB half-loops in AI. Six simulations were performed for each GB at each ψ. The gray points show individual simulation results, and the black symbols represent the mean values and standard deviations of the data.",1,0.363753,0.313753,low,paper::sent::35,text_item,"As shown in Fig. la, all the detected peaks for $( \mathrm { D y } _ { 0 . 2 5 } \mathrm { T m } _ { 0 . 2 5 }$ $\mathsf { Y b } _ { 0 . 2 5 } \mathsf { L u } _ { 0 . 2 5 } ) _ { 2 } \mathsf { S i } _ { 2 } \mathsf { O } _ { 7 }$ samples could be indexed to ${ \beta } { \cdot } { \mathsf { Y b } } _ { 2 } { \mathsf { S i } } _ { 2 } { \mathsf { O } } _ { 7 }$ (PDF#25- 1345)."
chart_0003,4,../02_images/figures/chart_0003.jpg,"different orientations. (F to J) Ratios between the GB migration rate ratio for two directions |v+/v_| versus driving forces, ν, or curvature, 1/w, obtained from the MD results for ∑39 flat GBs and ∑13 GB half-loops in AI. Six simulations were performed for each GB at each ψ. The gray points show individual simulation results, and the black symbols represent the mean values and standard deviations of the data.",2,0.360951,0.310951,low,paper::sent::79,text_item,The error bars in the figure correspond to the standard deviation of the thickness.
chart_0003,4,../02_images/figures/chart_0003.jpg,"different orientations. (F to J) Ratios between the GB migration rate ratio for two directions |v+/v_| versus driving forces, ν, or curvature, 1/w, obtained from the MD results for ∑39 flat GBs and ∑13 GB half-loops in AI. Six simulations were performed for each GB at each ψ. The gray points show individual simulation results, and the black symbols represent the mean values and standard deviations of the data.",3,0.357568,0.307568,low,paper::sent::69,text_item,"Compared with $\mathrm { F E } _ { 0 } , \mathrm { L C F E } _ { 2 }$ and $\mathrm { L C F E } _ { 5 }$ have sharp diffraction peaks, which are attributed to the fact that both $\mathrm { L C F E } _ { 2 }$ and $\mathrm { L C F E } _ { 5 }$ are semi-crystalline compounds with anisotropy at room temperature [58]."
chart_0003,4,../02_images/figures/chart_0003.jpg,"different orientations. (F to J) Ratios between the GB migration rate ratio for two directions |v+/v_| versus driving forces, ν, or curvature, 1/w, obtained from the MD results for ∑39 flat GBs and ∑13 GB half-loops in AI. Six simulations were performed for each GB at each ψ. The gray points show individual simulation results, and the black symbols represent the mean values and standard deviations of the data.",4,0.356687,0.306687,low,paper::sent::71,text_item,than that in the grain interior (-18.95 ± 2.04 at. %).
