figure_id,figure_index,figure_path,caption,rank,score,cosine_score,confidence,text_token_id,source,text
chart_0000,1,../02_images/figures/chart_0000.jpg,"aauoheneattw /B /A .e .%/BA sites (36.7 and 587.4 MPa). The dielectric constant and dielectric loss values at ${ 1 0 } ^ { 6 }$ Hz are 2.53 and 0.003, respectively, lower than /A0. presents excellent stability over the wide temperature $( 2 5 - 2 0 0 ~ ^ { \circ } \mathsf { C } )$ and frequency range ${ ( 1 0 ^ { 3 } - 1 0 ^ { 7 } }$ Hz and 8.2—12.4 GHz). Meanwhile, the heat resistance index and glass transition temperature are 229.9 C and $2 4 7 . 5 \ ^ { \circ } \mathsf C ,$ also better than those of PBO fibers/BADCy composites $( 2 2 9 . 6 ^ { \circ } \mathsf C$ and 247.1 ).",1,0.428151,0.378151,medium,paper::sent::18,text_item,"Then, the effects of preFABPBO mass fraction on the dielectric performance, mechanical & thermal properties of FABPBO-BADCy resins are analyzed, to determine the optimal mass fraction of preFABPBO."
chart_0000,1,../02_images/figures/chart_0000.jpg,"aauoheneattw /B /A .e .%/BA sites (36.7 and 587.4 MPa). The dielectric constant and dielectric loss values at ${ 1 0 } ^ { 6 }$ Hz are 2.53 and 0.003, respectively, lower than /A0. presents excellent stability over the wide temperature $( 2 5 - 2 0 0 ~ ^ { \circ } \mathsf { C } )$ and frequency range ${ ( 1 0 ^ { 3 } - 1 0 ^ { 7 } }$ Hz and 8.2—12.4 GHz). Meanwhile, the heat resistance index and glass transition temperature are 229.9 C and $2 4 7 . 5 \ ^ { \circ } \mathsf C ,$ also better than those of PBO fibers/BADCy composites $( 2 2 9 . 6 ^ { \circ } \mathsf C$ and 247.1 ).",2,0.408033,0.358033,medium,paper::sent::15,text_item,The introduction of the PBO-like structures in preFABPBO enhanced the interfacial bonding strength of PBO fibers/BADCy composites.
chart_0000,1,../02_images/figures/chart_0000.jpg,"aauoheneattw /B /A .e .%/BA sites (36.7 and 587.4 MPa). The dielectric constant and dielectric loss values at ${ 1 0 } ^ { 6 }$ Hz are 2.53 and 0.003, respectively, lower than /A0. presents excellent stability over the wide temperature $( 2 5 - 2 0 0 ~ ^ { \circ } \mathsf { C } )$ and frequency range ${ ( 1 0 ^ { 3 } - 1 0 ^ { 7 } }$ Hz and 8.2—12.4 GHz). Meanwhile, the heat resistance index and glass transition temperature are 229.9 C and $2 4 7 . 5 \ ^ { \circ } \mathsf C ,$ also better than those of PBO fibers/BADCy composites $( 2 2 9 . 6 ^ { \circ } \mathsf C$ and 247.1 ).",3,0.390241,0.390241,low,paper::sent::56,text_item,"Compared with PBO fibers/BADCy, the addition of preFBPBO introduces PBO-like structures at interface between BADCy matrix and PBO fibers, which improves the interfacial compatibility (Figure $4 { \mathsf { d } } _ { 2 } )$ [44] Compared with preFB, the rigid adamantanes f FABPBO increases the mechanical strength of FABPBO-BADCy, which is conducive to effectively transfer loading at the interface ay u n the density of preFABPBO to increase the volume fraction in the PBO fibers/FABPBO-BADCy micro-composites (Surface energy of PBO/preFABPBO fibers is higher than that of PBO/preFBPBO fibers, Figure S6), further increasing the single fiber pull-out strength."
chart_0000,1,../02_images/figures/chart_0000.jpg,"aauoheneattw /B /A .e .%/BA sites (36.7 and 587.4 MPa). The dielectric constant and dielectric loss values at ${ 1 0 } ^ { 6 }$ Hz are 2.53 and 0.003, respectively, lower than /A0. presents excellent stability over the wide temperature $( 2 5 - 2 0 0 ~ ^ { \circ } \mathsf { C } )$ and frequency range ${ ( 1 0 ^ { 3 } - 1 0 ^ { 7 } }$ Hz and 8.2—12.4 GHz). Meanwhile, the heat resistance index and glass transition temperature are 229.9 C and $2 4 7 . 5 \ ^ { \circ } \mathsf C ,$ also better than those of PBO fibers/BADCy composites $( 2 2 9 . 6 ^ { \circ } \mathsf C$ and 247.1 ).",4,0.390172,0.340172,low,paper::sent::5,text_item,The interfacial shear strength (IFSS) of PBO fibers/epoxy composites was incd by .% . snthesized hydroxyhosphorylat castor oil (PCO) as an interfacial compatibilizer for PBO fibers/ sized fluorinated PBO precursor (epoxy-preFPBO) to simultaneously improve the wave-transparent performances and mechanical properties of modified bisphenol A type cyanate (FPBO-co-BADCy) resins.
chart_0000,1,../02_images/figures/chart_0000.jpg,"aauoheneattw /B /A .e .%/BA sites (36.7 and 587.4 MPa). The dielectric constant and dielectric loss values at ${ 1 0 } ^ { 6 }$ Hz are 2.53 and 0.003, respectively, lower than /A0. presents excellent stability over the wide temperature $( 2 5 - 2 0 0 ~ ^ { \circ } \mathsf { C } )$ and frequency range ${ ( 1 0 ^ { 3 } - 1 0 ^ { 7 } }$ Hz and 8.2—12.4 GHz). Meanwhile, the heat resistance index and glass transition temperature are 229.9 C and $2 4 7 . 5 \ ^ { \circ } \mathsf C ,$ also better than those of PBO fibers/BADCy composites $( 2 2 9 . 6 ^ { \circ } \mathsf C$ and 247.1 ).",5,0.382313,0.332313,low,paper::sent::9,text_item,The finding suggests that the thickness debit in high-temperature fatigue resistance of LPBF-fabricated components can be minimized by tailoring the heat treatment strategy.
image_0001,2,../02_images/figures/image_0001.jpg,Figure 1 Schematic diagram of preparation for PBO fibers/FABPBO-BADCy wave-transparent laminated composite.,1,0.536717,0.286717,high,paper::sent::60,text_item,"Fig. 1 shows the XRD patterns of ZC20, MC20, and YC20 powders and coatings."
image_0001,2,../02_images/figures/image_0001.jpg,Figure 1 Schematic diagram of preparation for PBO fibers/FABPBO-BADCy wave-transparent laminated composite.,2,0.523752,0.273752,high,paper::sent::39,text_item,"In addition, the optimal modified BADCy resin $( \mathrm { L C F E } _ { 2 } \mathrm { - B A D C y } )$ as polymer matrix, poly(p-phenylene-2,6-benzobisoxazole) (PBO) fibers [52 54] as reinforcement, and fluorine/adamantane PBO precursor obtained from our previous work [55] as interfacial compatibilizer to prepare the corresponding PBO fibers/FABPBO/LCFE2-BADCy composites (Fig. 1)."
image_0001,2,../02_images/figures/image_0001.jpg,Figure 1 Schematic diagram of preparation for PBO fibers/FABPBO-BADCy wave-transparent laminated composite.,3,0.51608,0.26608,high,paper::sent::30,text_item,"The XRD patterns and morphologies of as-sprayed Si, YbDS-YbMS, YbMS and LMA powders are shown in Fig. 1."
image_0001,2,../02_images/figures/image_0001.jpg,Figure 1 Schematic diagram of preparation for PBO fibers/FABPBO-BADCy wave-transparent laminated composite.,4,0.51349,0.26349,high,paper::sent::65,text_item,More details on the EB-PBF process can be found in published paper [24] and Supporting Fig. 1 (S-Fig. 1).
image_0001,2,../02_images/figures/image_0001.jpg,Figure 1 Schematic diagram of preparation for PBO fibers/FABPBO-BADCy wave-transparent laminated composite.,5,0.507812,0.257812,high,paper::sent::43,text_item,The preparation process and reaction mechanism of PAAs are shown in Fig. 1(a) and Fig. 1(c).
chart_0002,3,../02_images/figures/chart_0002.jpg,"Figure 2H NMR (a, c), 13C NMR (b, d), FT-IR (e), and GPC curves ( preFABPBO-COCI and preFABPBO.",1,0.524637,0.274637,high,paper::sent::51,text_item,"Moreover, the carbon atoms on alkyl chains and epoxy groups appear in the range of 20-60 ppm, and the number of peaks is consistent with the carbon atoms in molecular structures of $\mathrm { L C F E } _ { 2 }$ and $\operatorname { L C F E } _ { 5 } .$ ,Meanwhile, FT-IR spectra of $\mathrm { F E } _ { 0 } ,$ LCFE2, and LCFE5 (Fig. 2(g-i)) show stretching vibration peaks of $\left. - \mathrm { C H } _ { 2 } . \right.$ group $( 3 0 0 0 { - } 3 2 0 0 ~ \mathrm { c m } ^ { - 1 } )$ and characteristic peaks of epoxy group (958 cm-1)."
chart_0002,3,../02_images/figures/chart_0002.jpg,"Figure 2H NMR (a, c), 13C NMR (b, d), FT-IR (e), and GPC curves ( preFABPBO-COCI and preFABPBO.",2,0.486531,0.286531,high,paper::sent::152,text_item,"As a result, the LPBFed $\mathrm { M g A l B _ { 4 w } / A A 2 0 2 4 }$ alloy exhibits a fine-grained, equiaxed and nearly texture-free microstructure with high refinement efficiency (Fig. 2e-h)."
chart_0002,3,../02_images/figures/chart_0002.jpg,"Figure 2H NMR (a, c), 13C NMR (b, d), FT-IR (e), and GPC curves ( preFABPBO-COCI and preFABPBO.",3,0.474884,0.274884,high,paper::sent::85,text_item,"These equiaxed grains exhibited random orientations, indicative of a nearly texture-free character (Fig. 2h), and no defects were detected within the Al matrix."
chart_0002,3,../02_images/figures/chart_0002.jpg,"Figure 2H NMR (a, c), 13C NMR (b, d), FT-IR (e), and GPC curves ( preFABPBO-COCI and preFABPBO.",4,0.451586,0.251586,high,paper::sent::104,text_item,"Similarly, the GB map of the y-z plane in Fig. 2 h exhibits a comparable distribution, with LAGBs (2°-15°, 67.6%) and HAGBs (>15°, 32.4%)."
chart_0002,3,../02_images/figures/chart_0002.jpg,"Figure 2H NMR (a, c), 13C NMR (b, d), FT-IR (e), and GPC curves ( preFABPBO-COCI and preFABPBO.",5,0.387967,0.337967,low,paper::sent::34,text_item,"However, it failed to achieve effective precipitation of Al3(Sc, Zr), particularly secondary Al3(Sc, Zr) nanoparticles in this AlMgScZr alloy due to the hindered nanoparticles nucleation by the intrinsic rapdcoolngrate LPB procs[0,21 Heat ent HT) is an effective method for enhancing the mechanical properties of the LPBF-manufactured AlMgSc alloy, which precipitates Al3(Sc, Zr) nanoparticles (L12 structure) and inhibits grain boundary segregation."
chart_0003,4,../02_images/figures/chart_0003.jpg,fibers/FBPBO-BADCy (Sampl and PBOfibers/FABPBO-BADCy (Sampl)copoes witifferent eqcs ${ \left( 1 0 ^ { 3 } - 1 0 ^ { 7 } \right. }$ Hz and 8.2—12.4 GHz) or temperatures (25—250 °C).,1,0.370039,0.320039,low,paper::sent::79,text_item,Subsequent thermal treatment gives rise to significant increases in YS (\~748 MPa) and UTS (\~1148 MPa) combined with a large ductility of \~28 %.
chart_0003,4,../02_images/figures/chart_0003.jpg,fibers/FBPBO-BADCy (Sampl and PBOfibers/FABPBO-BADCy (Sampl)copoes witifferent eqcs ${ \left( 1 0 ^ { 3 } - 1 0 ^ { 7 } \right. }$ Hz and 8.2—12.4 GHz) or temperatures (25—250 °C).,2,0.36659,0.31659,low,paper::sent::137,text_item,These results demonstrate that $\mathrm { M g A l B _ { 4 w } / A A 2 0 2 4 }$ alloys with tunable whisker dimensions can be achieved by optimizing LPBF parameters within a suitable processing window.
chart_0003,4,../02_images/figures/chart_0003.jpg,fibers/FBPBO-BADCy (Sampl and PBOfibers/FABPBO-BADCy (Sampl)copoes witifferent eqcs ${ \left( 1 0 ^ { 3 } - 1 0 ^ { 7 } \right. }$ Hz and 8.2—12.4 GHz) or temperatures (25—250 °C).,3,0.365771,0.315771,low,paper::sent::76,text_item,We further examined the ambient-temperature tensile properties of these novel AM-fabricated CoNiCrFeAlTi-based HEAs.
chart_0003,4,../02_images/figures/chart_0003.jpg,fibers/FBPBO-BADCy (Sampl and PBOfibers/FABPBO-BADCy (Sampl)copoes witifferent eqcs ${ \left( 1 0 ^ { 3 } - 1 0 ^ { 7 } \right. }$ Hz and 8.2—12.4 GHz) or temperatures (25—250 °C).,4,0.364107,0.314107,low,paper::sent::76,text_item,"Samples B and C show improved ductility but slightly lower UTS, compared with Sample A."
chart_0003,4,../02_images/figures/chart_0003.jpg,fibers/FBPBO-BADCy (Sampl and PBOfibers/FABPBO-BADCy (Sampl)copoes witifferent eqcs ${ \left( 1 0 ^ { 3 } - 1 0 ^ { 7 } \right. }$ Hz and 8.2—12.4 GHz) or temperatures (25—250 °C).,5,0.364075,0.314075,low,paper::sent::153,text_item,"PVDF-HFP SPE exhibited an endothermic peak at ${ 1 3 8 } ^ { \circ } \mathrm { C } ,$ whereas the melting points of LAZTP 50% HSE and LAZTP Dual HSE correspondingly decreased to $1 2 7 ~ ^ { \circ } \mathrm { C }$ and ${ 1 3 0 ~ ^ { \circ } \mathrm { C } } .$ The decrease in Tm indicates reduced polymer crystallinity due to the plasticizing effect of oxide fillers, which increases the amorphous phase fraction and facilitates $\mathrm { L i ^ { + } }$ conduction, improving the ionic conductivity of the solid electrolyte [41,42]."
image_0004,5,../02_images/figures/image_0004.jpg,"Figure 6 Simulated wave-transparent performances of PBO fibers/BADCy (Sample $0 , \mathsf { a } _ { 1 } \mathrm { - } \mathsf { a } _ { 4 } ) ,$ PBO fibers/FBPBO-BADCy (Sample 1, $\mathsf { b } _ { 1 } - \mathsf { b } _ { 4 } ) ,$ and PBO fibers/FABPBO-BADCy (Sample 2, C1—C) composites at different temperatures $( 2 5 ^ { \circ } \mathsf { C } , 4 0 ^ { \circ } \mathsf { C } , 8 0 ^ { \circ } \mathsf { C } ,$ and 120 °C) and thicknesses (1.5—3.5 mm) in 0.3—40 GHz.",1,0.557033,0.307033,high,paper::sent::95,text_item,"Based on the wave transmission model established in our preoptimized by adding simulation parameters (environmental temperature) to investigate the relationship between simulated wave transmission $( E _ { \mathsf { T } ( \mathsf { s i m u l a t i o n } ) } ) _ { i }$ frequency, temperature, and thickness (Figure 6)."
image_0004,5,../02_images/figures/image_0004.jpg,"Figure 6 Simulated wave-transparent performances of PBO fibers/BADCy (Sample $0 , \mathsf { a } _ { 1 } \mathrm { - } \mathsf { a } _ { 4 } ) ,$ PBO fibers/FBPBO-BADCy (Sample 1, $\mathsf { b } _ { 1 } - \mathsf { b } _ { 4 } ) ,$ and PBO fibers/FABPBO-BADCy (Sample 2, C1—C) composites at different temperatures $( 2 5 ^ { \circ } \mathsf { C } , 4 0 ^ { \circ } \mathsf { C } , 8 0 ^ { \circ } \mathsf { C } ,$ and 120 °C) and thicknesses (1.5—3.5 mm) in 0.3—40 GHz.",2,0.549667,0.299667,high,paper::sent::118,text_item,Fig. 6(b) shows the dielectric and theoretical wave-transparent performances of PBO fibers/BADCy composites under $2 5 \mathrm { - } 2 0 0 ~ ^ { \circ } C$ at $1 0 ^ { 6 }$ Hz.
