figure_id,figure_index,figure_path,caption,top1_score,top1_confidence,top1_text,top2_score,top2_confidence,top2_text,top3_score,top3_confidence,top3_text,top4_score,top4_confidence,top4_text,top5_score,top5_confidence,top5_text
chart_0000,1,../02_images/figures/chart_0000.jpg,"Fig. 1 | Schematic of the overall flow. Three components comprising the overall workflow of exploration for Ti-6Al-4V alloys with superior mechanical properties are shown. a Construction of the initial Ti-6Al-4V LPBF dataset incorporating process and HT parameters. b Implementation of the Pareto active learning framework. The proposed active learning framework operated iteratively by selecting two combinations of the LPBF process parameters and post-HT conditions from the unlabeled dataset in each iteration. The two combinations are expected to maximally extend the Pareto front, depicted by yellow lines, which represents an exchange surface where improving one property necessitates compromising the",0.54315,high,"Fig. 1(c) shows the true stress-strain curves of all GS samples and GL films, which show high strain hardening during the uniform deformation.",0.542388,high,Fig. 1(d) reveals a Θ drop soon after yielding in GS samples much faster than that in CG.,0.542183,high,The representative tensile curves of the AF and HT aluminum alloy samples at various testing temperatures are presented in Figure 1(a) and Figure 1(b).,0.542003,high,The corresponding microstructure evolution from continuous to pulsed laser in bulk samples is illustrated in Figure 1(df).,0.539835,high,Fig. 1 displays the powder morphology with the particle size distribution.
chart_0001,2,../02_images/figures/chart_0001.jpg,"other. Based on the two combinations, Ti-6Al-4V alloys are fabricated to obtain their UTS and TE values through tensile tests. New data from these tests are added to the labeled dataset to expand the Pareto front, and another two combinations are recommended for testing in a repetitive process. Five iterations were conducted in this study, resulting in experiments on ten new combinations whose UTS and TE values are indicated by red dots. c Microstructure analyses to validate the superior UTS and TE values of Ti-6Al-4V alloy specimens produced with the selected combinations. Source data are provided as Source Data file.",0.386978,low,"Wang et al. [29] investigated the water vapor corrosion behaviors of the $\mathrm { Y b } _ { 2 } \mathrm { S i O } _ { 5 }$ coatings at $1 4 0 0 \ { } ^ { \circ } \mathrm { C } ,$ which has better water vapor corrosion resistance and excellent chemical compatibility with CMCs.",0.384361,low,"Huang et al. [26] found that the elongation of a sample with a O + B2 microstructure increased significantly during the tensile process from 870 to 990 °C, but the strength decreased rapidly at the same time.",0.383337,low,"Ci et al. [41] observed a gradual eutectic increase during deposition in DD32 single crystal Ni-base superalloy repaired by DED, leading to cracking and reduced stress rupture properties in the heat-affected zone (HAZ).",0.383191,low,A study by Smith et al. was the first to explore if this difference in stacking fault segregation resulted in changes to the overall high temperature properties of the superalloys [34].,0.380475,low,"Consequently, the developed CCIMA enables superb strength-ductility synergy at ambient temperature, tensile stress-strain curves of the as-printed and thermal-stabilized CCIMA samples. e Comparison of ultimate tensile strength versus uniform elongation of the present CCIMA with conventional intermetallic alloys fabricated by various AM techniques, including LPBF, arc-based AM, electron beam powder bed fusion (EPBF), laser metal deposition (LMD), the grey dash line representing the performance boundary between conventional intermetallic alloys and CCIMA."
chart_0002,3,../02_images/figures/chart_0002.jpg,"Fig. 2 | Pairwise plot and distribution demonstrating correlations between five input parameters and two mechanical properties. a Correlations between five input parameters and UTS (in pink) and correlations between them and TE (in blue). The individual effects of each parameter were visualized without holding other parameters constant, due to the inherent variability and interdependencies within the initial dataset, which comprises data from multiple studies and experimental conditions. The shaded areas represent the distribution of data points, illustrating",0.571902,high,Fig. 2 also shows that the B2 phase first nucleates from the liquid metal as the temperature decreases.,0.565591,high,"This temperature was selected because Ti-22Al-25 Nb is suitable for working with no phase transformation at $6 5 0 ^ { \circ } \mathrm { C } ,$ as seen in Fig. 2.",0.564869,high,"Fig. 2 (WA) and 3 (GA), Table 2) show that pores were present in WA BJP samples at all sintering temperatures.",0.559542,high,SEM images and corresponding particle size distribution histograms are depicted in Fig. 2.,0.558479,high,Fig. 2(a) shows the Hv profile at varying applied global tensile strains in G.
chart_0003,4,../02_images/figures/chart_0003.jpg,"h; the variability and spread within each dataset. The solid lines indicate the fitted trends derived from linear regression of the distributions, capturing the overall relationship between variables. b Distribution of all Ti-6Al-4V samples in the initial dataset marked in gray, that of those with the top 10% of TE marked in blue, and that of those with the top 10% of UTS marked in red based on the values of laser power, HT temperature, and HT time. Source data are provided as Source Data file.",0.37159,low,EBSD analysis was performed on both AF and HT samples.,0.364088,low,"It is essential to acknowledge that such highfrequency loading may induce severe self-heating phenomenon in specimens, potentially influencing the microstructure and test results.",0.363987,low,"Gerberich and coworkers using fracture mechanics type specimens have also performed testing and developed models to describe HEE and IHE [8,9].",0.363623,low,"Therefore, by comparing the work of Moody et al. and Walter et al., there appears to be not only a difference between IHE and HEE behavior, but that the difference in behavior is specimen type dependent.",0.362628,low,Two different creep tests were conducted on ME3 and LSHR to compare time-dependent as well as strain-dependent mechanisms.
image_0004,5,../02_images/figures/image_0004.jpg,F uns n ta aoySurat oie Sur a,0.391768,low,The Pareto active learning framework in this study began with training a GPR on an initial dataset of 119 parameter combinations.,0.3699,low,The interpretation of why the Pareto active learning framework selected these combinations can be made by examining the predicted UTS and TE values along with their corresponding uncertainties that are provided by the GPR surrogate model and by considering the concept of EHVI.,0.366005,low,"In summary, the Pareto active learning framework alternates between exploration-favorable selections and exploitation-favorable selections in each iteration, a tendency derived from ability of EHVI to account both exploration and exploitation.",0.363806,low,"As aforementioned, the two most crucial components in the active learning framework are the surrogate model and acquisition function, with GPR and EHVI utilized for each component, respectively.",0.363353,low,"Consequently, it was demonstrated that the Pareto active learning framework proposed in this study effectively investigated unknown combinations of LPBF process parameters and post-HT conditions, expeditiously and accurately identifying combinations that yielded Ti-6Al-4V alloys with high strength and ductility."
chart_0005,6,../02_images/figures/chart_0005.jpg,C; d; e,0.372889,low,Amato et al. reported an increase in hardness and UTS at the expense of elongation for LPBF printed Inconel 625 specimens that were HIPed versus as-fabricated.,0.372161,low,"An estimation based on the rule of mixture is attempted as shown in Supplementary Table $\mathsf { S } 1 ^ { 2 9 , 4 6 , 4 7 }$ Hardness assessments from nanoindentation mapping show values of 2.54.5 GPa.",0.371477,low,"While cracking susceptibility is not strongly correlated with composition, FR is strongly correlated with Er and Yb, where increasing Er and reducing Yb lowers FR.",0.366094,low,"Additionally, compositional EDS analyses show segregation and phase formation inter- and intra-granular.",0.365835,low,"This calculation is supported by Makineni et al. [27] who found W segregation along SISFs in a CoNi based superalloy, but a depletion of W along APBs."
chart_0006,7,../02_images/figures/chart_0006.jpg,"f; Fig. 4 | Results of active learning iterations. a First, (b) second, (c) third, (d) fourth, and (e) fifth iterations where yellow diamonds correspond to predicted properties and red triangles correspond to experiment results. f Ashby plot of UTS vs. TE for Ti-6Al-4V alloys from the initial dataset (supplementary data 1), DEDprocessed, and wrought Ti-6Al-4V samples (supplementary data 2). The shaded regions represent the property space of UTS and TE for different datasets,",0.550632,high,The number of atoms evaporated at varying energy density conditions is statistically analyzed within the present MD simulation and the loss displayed in Fig. 4(b) as a function of temporal steps.,0.54797,high,"Al has no obvious segregation tendency, while Ni is found to be subtly enriched at the cellular boundaries, as confirmed by Fig. 4(c) corresponding to line scan 2 (shown in Fig. 4(a)).",0.547317,high,Figure 4 presents the morphology and corresponding EDS analysis of the trilayer coating at distinct stages of the 1450 $^ \circ \mathrm { C }$ thermal cycling tests.,0.545983,high,"As shown in Figure 4(b), the XOZ plane predominantly features equiaxed grains, with sporadic occurrences of short columnar grains, particularly in the orange-boxed area.",0.537369,high,"Overall, due to the larger grain size in the CG region, the average grain size of the CL samples (1.52 µm) is greater than that of the PL samples (0.91 µm), as shown in Figure 4(c5)."
chart_0007,8,../02_images/figures/chart_0007.jpg,"illustrating the distribution of data points across various processing methods. The orange region with square markers corresponds to data derived from the initial dataset. The blue region with triangle markers represents data obtained from DED. The green shaded area with pentagon markers indicates data from wrought Ti-6Al-4V samples. Lastly, the red circles denote the optimized properties achieved through the proposed framework. Source data are provided as Source Data file.",0.371886,low,"Additionally, compositional EDS analyses show segregation and phase formation inter- and intra-granular.",0.368195,low,"For the quantitative strain/ stress analyses of the deformed copper nanocomposite (with an applied strain of -3%), cross-correlation-based EBSD was conducted to measure the elastic strain fluctuation and local misorientation characteristics.",0.362819,low,"While cracking susceptibility is not strongly correlated with composition, FR is strongly correlated with Er and Yb, where increasing Er and reducing Yb lowers FR.",0.359871,low,"Polonsky et al. found that there is a relationship between grain orientation and element distribution [32], where the change of PBF-EB grain orientation is caused by the elimination of composition segregation.",0.355913,low,"The elemental segregation behavior at the cellular boundaries of the CP region is similar to that of the as-printed alloy, i.e., there is a pronounced enrichment of Ti and a small amount of depletion of Co and Cr."
chart_0008,9,../02_images/figures/chart_0008.jpg,"Fig. 5 | Predicted UTS and TE values, and probability density function of selected combinations. a First, (b) second, (c) third, (d) fourth, and (e) fifth iterations where yellow diamonds correspond to predicted properties and red triangles correspond to experiment results; the probability density function shown; in blue corresponds to the first sample in each iteration (e.g., 1-1, 2-1, 3-1, 4-1, 5-1), and the one shown in red corresponds to the second sample (e.g., 1-2, 2-2, 3-2, 4-2, 5- 2). Source data are provided as Source Data file.",0.553173,high,Fig. 5(c) shows the MD simulation results of the microstructural evolution during LPBF of CoCrFeNi high-entropy aloy at varying laser energy densities.,0.548524,high,Fig. 5(a) compares the specimen stiffness as a function of crack length from FEM simulations (under both force and displacement control) with the analytical LEFM solution.,0.546846,high,"EDS analysis in Figure 5(d) shows a network of Al-Cu eutectic phases at grain boundaries, with no accumulation of ${ \sf S c } / { \sf Z r }$ elements, consistent with the uniform grain sizes observed in PL sample.",0.544596,high,The multi-scale stress analysis of the HAM-HT manufactured AlMgSc alloy is shown in Figure 5.,0.543146,high,"Fig. 5(d) demonstrates the influence of PAAs sizing agent molecular weight on CF moisture absorption, showing a slight increase post-sizing due to the hydrophilic nature of water-based PAAs."
image_0009,10,../02_images/figures/image_0009.jpg,"Fig. 6 | Microstructure analyses for strength evolution in 1-1, 2-1, 3-1, and 3-2 samples. a1d1 Low-magnification EBSD IPF maps of α laths observed in the xzplane of the LPBF samples. a2-d2 IPF maps of reconstructed prior-β phases on the xz-plane corresponding to (ald1) where the grain structure of the prior-β phase",0.563058,high,"As deformation progresses, yellow regions indicative of elevated stress concentrations emerge within the grains, exhibiting analogous stress distribution patterns to those observed in the CoCrNi alloy (Fig. 6).",0.549781,high,"These figures present enlarged views and EDS maps from Figure 6(h), revealing a discontinuous distribution of the Al-Cu eutectic phase along the FG boundaries, while Sc elements are displaced from the boundaries and form clustered accumulations.",0.548441,high,"First, the α orientation maps (Fig. 6al, 6b1, 6c1, 6d1, and Supplementary Fig. 8) revealed that all samples exhibited a fully acicular microstructure, characterized by α laths arranged in a Widmanstätten sucurcoprising elongat α laths that formed within α phase matrix.",0.541478,high,"Figure 6JL exhibits the morphology and SAED of deformation twin, high-resolution images of stacking faults and the corresponding fast Fourier transform.",0.540809,high,"Figure 6 systematically depicts the kernel average misorientation (KAM) diagrams, inverse pole figure (IPF) maps subjected to progressive deformation levels (ε = 0%, 25%, 45%, and"
