figure_id,figure_index,figure_path,caption,rank,score,cosine_score,confidence,text_token_id,source,text
image_0000,1,../02_images/figures/image_0000.jpg,"of Sn, Ce, Fe, Si, and Cu. Dotted line in (d) indicates melt-pool boundaries.",1,0.368464,0.318464,low,paper::sent::53,text_item,"In this study, the interlayer pores and the closed pores within fiber bundles were assumed as the internal defects, because of their large volume fraction and non-uniform distribution."
image_0000,1,../02_images/figures/image_0000.jpg,"of Sn, Ce, Fe, Si, and Cu. Dotted line in (d) indicates melt-pool boundaries.",2,0.368055,0.318055,low,paper::sent::33,text_item,"Our findings demonstrate that the inherent thermal cycling and rapid solidification of PBF-LB can be leveraged to create an NT microstructure, resulting in exceptional mechanical properties."
image_0000,1,../02_images/figures/image_0000.jpg,"of Sn, Ce, Fe, Si, and Cu. Dotted line in (d) indicates melt-pool boundaries.",3,0.367489,0.317489,low,paper::sent::87,text_item,"OM micrographs of shape, size, and distribution of grains and porosity of differently sintered samples (Suppl."
image_0000,1,../02_images/figures/image_0000.jpg,"of Sn, Ce, Fe, Si, and Cu. Dotted line in (d) indicates melt-pool boundaries.",4,0.366403,0.316403,low,paper::sent::75,text_item,Careful examination of the contrast variations in these microstructures reveals the precipitation of particles and various types of carbides and the presence of what we will identify below as grain boundary borides in the boron containing alloys.
image_0000,1,../02_images/figures/image_0000.jpg,"of Sn, Ce, Fe, Si, and Cu. Dotted line in (d) indicates melt-pool boundaries.",5,0.365814,0.315814,low,paper::sent::87,text_item,"As known, the microstructure evolution of SiC fiber and SiC matrix have great influence on the thermal expansion behavior of SiCf/SiC composites."
chart_0001,2,../02_images/figures/chart_0001.jpg,Ce-Cu alloy composition excluding Fe and Si impurities from analysis.,1,0.407962,0.357962,medium,paper::sent::32,text_item,"To solve the problem of solidification racking and insufficient mechanical properties, Sc and Zr elements are often added to Al-Mg alloys for inoculation treatments[16]."
chart_0001,2,../02_images/figures/chart_0001.jpg,Ce-Cu alloy composition excluding Fe and Si impurities from analysis.,2,0.402453,0.352453,medium,paper::sent::133,text_item,"S3) of the Al-Zr-Ce-Cu alloy indicates that a slight hardness increase (\~10 HV) occurs at $3 5 0 ^ { \circ } \mathrm { C } ,$ with near-peak aging condition achieved at 375 C."
chart_0001,2,../02_images/figures/chart_0001.jpg,Ce-Cu alloy composition excluding Fe and Si impurities from analysis.,3,0.398635,0.348635,low,paper::sent::145,text_item,"Given that all Zr in the alloy remained in solid solution upon solidification, and assuming that all excess Zr $( \mathrm { i . e . , }$ those beyond its solubility in α-Al) at $3 7 5 ~ ^ { \circ } \mathrm { C }$ is precipitated out as L12- $\mathbf { A l _ { 3 } Z r } ,$ its volume fraction (in %) is estimated as 0.25 %."
chart_0001,2,../02_images/figures/chart_0001.jpg,Ce-Cu alloy composition excluding Fe and Si impurities from analysis.,4,0.393125,0.343125,low,paper::sent::86,text_item,The hot crack sensitivity of alloys can be determined by their solidification curves.
chart_0001,2,../02_images/figures/chart_0001.jpg,Ce-Cu alloy composition excluding Fe and Si impurities from analysis.,5,0.390976,0.340976,low,paper::sent::33,text_item,Li et al.[19] fabricated a novel AlMgScZr alloy by LPBF and achieved a yield strength of
