figure_id,figure_index,figure_path,caption,rank,score,cosine_score,confidence,text_token_id,source,text
chart_0000,1,../02_images/figures/chart_0000.jpg,Fig. 1. Raw powder: (a) SEM morphology; (b) Powder particle size distribution.,1,0.594107,0.344107,high,paper::sent::35,text_item,Fig. 1 displays the powder morphology with the particle size distribution.
chart_0000,1,../02_images/figures/chart_0000.jpg,Fig. 1. Raw powder: (a) SEM morphology; (b) Powder particle size distribution.,2,0.563725,0.313725,high,paper::sent::53,text_item,The mean intercept grain size was 125 µm with small discrete $\mathbf { M } _ { 2 3 } \mathbf { C } _ { 6 }$ carbide precipitates decorating the grain boundaries as shown in Fig. 1.
chart_0000,1,../02_images/figures/chart_0000.jpg,Fig. 1. Raw powder: (a) SEM morphology; (b) Powder particle size distribution.,3,0.561046,0.311046,high,paper::sent::81,text_item,"Fig. 1(a), (d), and (g) show uniform distribution of SiC fibers in all the samples."
chart_0000,1,../02_images/figures/chart_0000.jpg,Fig. 1. Raw powder: (a) SEM morphology; (b) Powder particle size distribution.,4,0.560774,0.310774,high,paper::sent::52,text_item,Fig. 1 shows the grain size and structure of the two alloys after their respective heat treatments.
chart_0000,1,../02_images/figures/chart_0000.jpg,Fig. 1. Raw powder: (a) SEM morphology; (b) Powder particle size distribution.,5,0.559998,0.309998,high,paper::sent::90,text_item,"Based on the Θε curve of ${ \sf G S } _ { 5 } ^ { 1 }$ sample shown in Fig. 1(d), several tensile strains were selected for conducting Hv measurements to correlate the global strain hardening with local strain hardening."
image_0001,2,../02_images/figures/image_0001.jpg,Fi. 2. hatch spacing of 0.1 mm.,1,0.38165,0.33165,low,paper::sent::60,text_item,"The morphological assessment of CF and the fracture surface of CF/PPS composites after bending was performed using a field emission scanning electron microscope (SEM, S-4800, Hitachi, Japan) at an acceleration voltage of 10 kV."
image_0001,2,../02_images/figures/image_0001.jpg,Fi. 2. hatch spacing of 0.1 mm.,2,0.378248,0.328248,low,paper::sent::39,text_item,"Crack initiating mechanisms of high-strength steels [2931], aluminum alloys [3234] and titanium alloys [3539] during VHCF process have been widely investigated."
image_0001,2,../02_images/figures/image_0001.jpg,Fi. 2. hatch spacing of 0.1 mm.,3,0.378189,0.328189,low,paper::sent::133,text_item,"To evaluate the antibacterial properties of the Cu-containing steel, the live/dead staining was employed to assess the viability of sessile SRB cells on the surfaces of steel during SRB MIC."
image_0001,2,../02_images/figures/image_0001.jpg,Fi. 2. hatch spacing of 0.1 mm.,4,0.376261,0.326261,low,paper::sent::38,text_item,"Wang et al. [21] conducted ultra-high-speed cutting experiments on IN718 superalloy and 7050-T7451 aluminum alloy, and observed distinct brittle cracks and cleavage steps in the chips, confirming that brittle-mode removal under the ultra-high-speed condition also applies to IN718 superalloy."
image_0001,2,../02_images/figures/image_0001.jpg,Fi. 2. hatch spacing of 0.1 mm.,5,0.375331,0.325331,low,paper::sent::33,text_item,"General morphology and internal porosity of the powder particles, as-printed samples and sintered samples were visualized with a Bruker SkyScan1272 micro-computed tomography scanner (microCT) at 100 kV and 100 µA and a 0.11 mm Cu filter."
chart_0002,3,../02_images/figures/chart_0002.jpg,Fig. 3. Effect of the scanning velocity and layer thickness on the relative density for the LPBF 2195 samples built with a constant laser power of 200 W and a hatch spacing of 0.1 mm.,1,0.569553,0.319553,high,paper::sent::117,text_item,The surface roughness Sa obtained with different laser powers is shown in Fig. 3.
chart_0002,3,../02_images/figures/chart_0002.jpg,Fig. 3. Effect of the scanning velocity and layer thickness on the relative density for the LPBF 2195 samples built with a constant laser power of 200 W and a hatch spacing of 0.1 mm.,2,0.561753,0.311753,high,paper::sent::100,text_item,Fig. 3(d) showed that the size of SiC grains was in the range from 4 nm to 16 nm and the average grain size was 9.20 ± 2.50 nm.
chart_0002,3,../02_images/figures/chart_0002.jpg,Fig. 3. Effect of the scanning velocity and layer thickness on the relative density for the LPBF 2195 samples built with a constant laser power of 200 W and a hatch spacing of 0.1 mm.,3,0.561525,0.311525,high,paper::sent::66,text_item,"As shown in Fig. 2(e)(h) and Fig. 3, the porosity of the samples fabricated with the layer thickness of 30 µm is significantly reduced."
chart_0002,3,../02_images/figures/chart_0002.jpg,Fig. 3. Effect of the scanning velocity and layer thickness on the relative density for the LPBF 2195 samples built with a constant laser power of 200 W and a hatch spacing of 0.1 mm.,4,0.560141,0.310141,high,paper::sent::61,text_item,Microstructure evolution in suction-cast and LPBF alloys during homogenization are shown in Fig. 3 as SEM-BSE (backscattered electron) images for comparison.
chart_0002,3,../02_images/figures/chart_0002.jpg,Fig. 3. Effect of the scanning velocity and layer thickness on the relative density for the LPBF 2195 samples built with a constant laser power of 200 W and a hatch spacing of 0.1 mm.,5,0.557584,0.307584,high,paper::sent::103,text_item,"Fig. 3 illustrates the strain-time curves, strain rate-time curves, and strain rate-strain curves of the creep tests for alloys T0 and T5 at $1 0 3 0 ~ ^ { \circ } C$ and 230 MPa."
chart_0003,4,../02_images/figures/chart_0003.jpg,"Fig. 5. Solidification curves of 2195 (red) and AlSi10Mg (blue). (For interpretation of the references to colour in this figure legend, the reader is referred to the web version of this article.)",1,0.583911,0.333911,high,paper::sent::87,text_item,The solidification curves of the 2195 and the AlSi1oMg alloys are drawn in Fig. 5.
chart_0003,4,../02_images/figures/chart_0003.jpg,"Fig. 5. Solidification curves of 2195 (red) and AlSi10Mg (blue). (For interpretation of the references to colour in this figure legend, the reader is referred to the web version of this article.)",2,0.576554,0.326554,high,paper::sent::104,text_item,"As depicted in Fig. 5, for the suction-cast alloys, the average grain size increases significantly with increased homogenization duration."
chart_0003,4,../02_images/figures/chart_0003.jpg,"Fig. 5. Solidification curves of 2195 (red) and AlSi10Mg (blue). (For interpretation of the references to colour in this figure legend, the reader is referred to the web version of this article.)",3,0.571459,0.321459,high,paper::sent::94,text_item,"As shown in Fig. 5, the mass of SiC matrix and SiC fibers do not change after annealing at 900 °C for 1 h, which indicates that SiC matrix and SiC fibers can be thermostable at 900 C."
chart_0003,4,../02_images/figures/chart_0003.jpg,"Fig. 5. Solidification curves of 2195 (red) and AlSi10Mg (blue). (For interpretation of the references to colour in this figure legend, the reader is referred to the web version of this article.)",4,0.566654,0.316654,high,paper::sent::92,text_item,Fig. 5 shows the weight loss of SiC matrix and SiC fibers after annealing at $9 0 0 { - } 1 4 0 0 ^ { \circ } \mathrm { C }$ for 1 h.
chart_0003,4,../02_images/figures/chart_0003.jpg,"Fig. 5. Solidification curves of 2195 (red) and AlSi10Mg (blue). (For interpretation of the references to colour in this figure legend, the reader is referred to the web version of this article.)",5,0.557468,0.307468,high,paper::sent::121,text_item,"Fig. 5 also shows that the compressive stress increases with increasing the volume fraction of PIP SiC matrix when PIP SiC content is more than 19.1 %, which illustrates that the PIP process may cause a larger compressive stress than the CVI process."
image_0004,5,../02_images/figures/image_0004.jpg,article.),1,0.389791,0.339791,low,paper::sent::43,text_item,"In wrought and cast Ni-based superalloys, cracks are initiated primarily by grain facets and non-metallic inclusions (NMIs) [1,13,40,41]."
image_0004,5,../02_images/figures/image_0004.jpg,article.),2,0.389333,0.339333,low,paper::sent::32,text_item,Wang et al. [20] found that cracking occurs in Nb depletion regions and at α2/ βo phase interface during selective laser melting of Ti-48Al-2Cr-2Nb alloy.
