figure_id,figure_index,figure_path,caption,top1_score,top1_confidence,top1_text,top2_score,top2_confidence,top2_text,top3_score,top3_confidence,top3_text,top4_score,top4_confidence,top4_text,top5_score,top5_confidence,top5_text
image_0000,1,../02_images/figures/image_0000.jpg,"(a); refractive index is 2.392. The critical angle θ can be calculated as 24.71° for the air surrounding condition. Given that the refractive index of cutting fluid ranges from 1.474 to 1.483 [21], the maximum total internal reflection angle θ can be calculated as 38.31°, which is still smaller than the laser incident angle at rake face. Thus, the cutting fluid can be considered to have no potential influence on the laser beam path.",0.391141,low,"Eda et al. [17] initially proposed that when cutting speeds surpass the static plastic wave propagation speed, plastic deformation on the surface layer of the workpiece material is significantly suppressed.",0.381988,low,"The small cutting parameters can significantly reduce the cutting force (Niu and Cheng, 2020) and enhance the laser-heating accumulation effect (You and Fang, 2022).",0.38166,low,"For an intuitive comparison of machinability, rotational taper cuttings were conducted to study the NOSC depths with and without laser in-process-heating assistance.",0.380384,low,Loading rates were varied by a factor of 50 to evaluate hydrogen diffusion effects on the fracture behavior.,0.376974,low,Microstructural observations and measurements were performed on tensile deformed samples to correlate the excellent strength and ductility to the strain partitioning and TRIP effect.
image_0001,2,../02_images/figures/image_0001.jpg,"(b); Fi. 2. references to color in this figure legend, the reader is referred to the Web version of this article.)",0.404613,medium,"Lu et al. (2020) developed a finite element model of diamond cutting and revealed that tensile stress existed in the subsurface with a depth of 5 µm, while compressive stress appeared with greater depths.",0.39436,low,"Although the thermal exposure duration during grinding is orders of magnitude shorter than that of conventional heat treatment, the instantaneous high temperature still induces extreme superheating at the ground surface.",0.39425,low,"The rake and clearance angles of the diamond tool were 35° and 10°, respectively.",0.390735,low,The solidification curves and the thermal-physical properties were calculated by the thermodynamic calculation software JMatPro using the Scheil-Gulliver model.,0.388619,low,The surface oxide layer on the unmachined surface is considered to have little effect on the machining process considering that the DoC of diamond turning is at least 1 µm.
image_0002,3,../02_images/figures/image_0002.jpg,"density, the laser irradation surface area and the atom number in the laser heat region.",0.384564,low,"In the simulation of the thermal conductivity, ""fix heat"" is also utilized to continually input heat, with both methods sharing the same principle.",0.38376,low,"Although the thermal exposure duration during grinding is orders of magnitude shorter than that of conventional heat treatment, the instantaneous high temperature still induces extreme superheating at the ground surface.",0.379612,low,Flow3D software was used to simulate the temperature distribution in the molten pool.,0.37285,low,"Considering the laser loading form of In-LAT, the material surface oxidation at elevated temperature is considered to have little influence on the material removal process and was not considered in the MD simulation.",0.371619,low,This study employs a localized moving laser heating source to simulate the LPBF melting process and the molten pool is described as a liquid atomic region formed due to localized melting due to laser exposure within the simulation box.
chart_0003,4,../02_images/figures/chart_0003.jpg,photograph of the key part of the experimental setup with the In-LAC schematic illustration.; (a),0.391169,low,"PVDF-HFP SPE exhibited an endothermic peak at ${ 1 3 8 } ^ { \circ } \mathrm { C } ,$ whereas the melting points of LAZTP 50% HSE and LAZTP Dual HSE correspondingly decreased to $1 2 7 ~ ^ { \circ } \mathrm { C }$ and ${ 1 3 0 ~ ^ { \circ } \mathrm { C } } .$ The decrease in Tm indicates reduced polymer crystallinity due to the plasticizing effect of oxide fillers, which increases the amorphous phase fraction and facilitates $\mathrm { L i ^ { + } }$ conduction, improving the ionic conductivity of the solid electrolyte [41,42].",0.382693,low,The results indicated that the appearance of first exothermal peak at 1051 °C in the DSC curves can be attributed to the crystallization of amorphous phase.,0.377361,low,"According to TG-DSC result, the wide peak between 200 and 800 C is caused structure relaxation of amorphous phase, resulting in the change of some physical properties [28].",0.377202,low,"Correspondingly, B100C20, with both a thin BN interphase and high compressive stress, displays the highest $\tau _ { \mathrm { i } }$ and $\tau _ { \mathrm { f } } .$",0.37479,low,"The elastic modulus of deposited YbMS and $\mathrm { Y b } _ { 2 } \mathrm { O } _ { 3 }$ coating is 97.3 GPa [32] and 100.8 GPa [29], respectively, and the bulk modulus is also closed [44], indicating that the changes of $\mathrm { Y b M S – Y b _ { 2 } O _ { 3 } }$ ratio have a small effect for elastic modulus of YbMS coating."
chart_0004,5,../02_images/figures/chart_0004.jpg,(c); wi tmperature. The er bars represent he highest nd lowest ardness nd modulu gh meaurments.,0.37329,low,"In particular, the average thickness of m-TGO after 50 h of testing increased to 45.81 µm, as indicated in Fig.",0.36561,low,The comparative grain sizes implied no significant grain coarsening after heat treatment at elevated temperatures occurred in this LPBF-fabricated Al-Cu-Li-Sc-Zr alloy.,0.364797,low,"The average grain sizes of H230 and H230AM after heat treatment were 13.2 µm and 10.9 µm, respectively (Suppl.",0.364666,low,"As sintering temperature was increased from 1225 °C to 1300 °C, porosity and pore sizes of GA samples decreased and density increased from 85.0% to 99.2%.",0.364507,low,"The twostep-aged sample, by contrast, shows a higher strain rate sensitivity (m = 0.08) when tested at 200 °C (Table 5)."
chart_0005,6,../02_images/figures/chart_0005.jpg,"$F _ { x }$ and (b) trust force $F _ { z } .$ Th legend, the reader is referred to the Web version of this article.); Fi ting condition.",0.382398,low,"In this paper, the N1-CR material, which has an exceptionally high deformation energy storage, is first subjected to laser heating at a power of 600 W to obtain a gradient structure (the N1-LH material).",0.38104,low,The high quenching rate characteristic of laser fusion not only refines the microstructure but also has profound impact on the formation of various non-equilibrium phases.,0.37874,low,"In addition, boron addition enhances laser absorptivity of the Al powders (Fig.",0.374063,low,The nucleation barrier was assessed by examining $\mathrm { M g A l B } _ { 4 \mathrm { w } }$ dimensions under different laser powers (Fig.,0.373917,low,The applied laser energy density greatly affects the coalescence and epitaxial growth behavior of grains during LPBF.
image_0006,7,../02_images/figures/image_0006.jpg,(a); (b),0.362072,low,Microstructure Modeling and Simulation: The simulation of ion flux through composite electrodes requires the reconstruction of microstructure models that consist of voxels.,0.35889,low,"However, detecting and analyzing microstructure deformation helps understand the material removal mechanism and the servicing performance of the machined surface.",0.358141,low,"Elemental mapping revealed an increased amount of oxygen in the carbide precipitates, agreeing with the reported preferential oxidation of MC and $ { \mathbf { M } } _ { 2 3 } { \mathbf { C } } _ { 6 }$ type carbides at high temperature [24].",0.358124,low,"Each distribution contour map of nanoindentation properties was generated from 2,000 individual data points.",0.357373,low,Kernel average misorientation (KAM) diagram reveals residual stress and uneven deformation in 3D printed parts.
image_0007,8,../02_images/figures/image_0007.jpg,"(e); Fi. 9 (b) 5 W, (c) 10 W, (d) 15 W, and (e) 20 W laser-heating.",0.36587,low,A comparison of precipitates distribution in CL and PL samples shows distinct patterns.,0.363579,low,the OM images obtained from the longitudinal section of LPBF samples fabricated with different scanning velocities.,0.360933,low,"S8 shows the evolution of the von Mises strain field on one HS sample, captured via digital image correlation (DIC), illustrating the confined-necking co-deformation process.",0.360495,low,These localized thermal inputs induce deviations in melt pool solidification behavior from equilibrium pathways [35].,0.360103,low,This phase-separated interphase exhibits local variations in composition and free volume across the fiber surface.
image_0008,9,../02_images/figures/image_0008.jpg,Fi 1 grain orientation differences.,0.381906,low,"The corresponding FFT pattern reveals stacking faults habit plane is (001). e An inverse FFT image masking circled diffraction spots shows lattice distortion around stacking faults with some additional half planes, indicating the existence of dislocations. f An HRTEM micrograph for the Al9(Fe,Co,Ni)2 particle in (b) slightly off the pillar top with planar defects.",0.379563,low,The nanocrystal of conventional cutting chip disappears and is replaced by amorphous owing to the shear ratio decrease.,0.377928,low,"Nanocrystals are found in the cutting chip area and machined subsurface, indicating that the atomics inside the crystal grain have a strong binding force.",0.375585,low,"(1) The N1-LAG material shows a gradient structure composed of a work hardening layer on the grinding surface, a RX layer in the grinding subsurface, a PRX layer in the transition region from surface to the core and a NRX layer in the core along the thickness direction of the material sheet.",0.372501,low,"To clarify the key factors for controlling the strength of the alloy, the nanoindentation hardness of the ultrafine $\alpha _ { 2 } / \gamma$ lamellar grain in the LED microstructure and the $\alpha _ { 2 } / \gamma$ lamellar region along with the β and γ phases in the HED microstructure were measured at RT."
image_0009,10,../02_images/figures/image_0009.jpg,(e); (g),0.374596,low,"The main subsurface damages are SiC particle fracture, amorphous transformation, microcrack, stacking faults, and dislocations.",0.370997,low,The subsurface changes of polycrystalline WC during the conventional cutting and In-LAC process have been investigated through MD simulation and TEM identification.,0.364338,low,"To verify the structural integrity of the dual-layer structure, cross-sectional SEM and EDS mapping were performed after 100 cycles at 0.5C. (Fig.",0.363155,low,"Contrary to the expectation, the PL samples, which exhibited a fully equiaxed grain microstructure showed a decrease in YS and UTS of approximately 57 and 36 MPa, respectively, compared to the CL samples.",0.361074,low,"This study investigated the machinability of SiCp/Al composite by in-situ laser assisted diamond cutting from the surface quality, tool wear, and subsurface damage."
