figure_id,figure_index,figure_path,caption,rank,score,cosine_score,confidence,text_token_id,source,text
image_0000,1,../02_images/figures/image_0000.jpg,(a) Full specimen geometry; (b) Symmetric half-model; Symmetric half-model with symmetry boundary conditions applied to the right edge.,1,0.375894,0.325894,low,paper::sent::167,text_item,"As n approaches 1, the CPE behaves like an ideal capacitor."
image_0000,1,../02_images/figures/image_0000.jpg,(a) Full specimen geometry; (b) Symmetric half-model; Symmetric half-model with symmetry boundary conditions applied to the right edge.,2,0.3724,0.3224,low,paper::sent::165,text_item,"The capacitance element is replaced with a constant phase element (CPE), which is expressed as:"
image_0000,1,../02_images/figures/image_0000.jpg,(a) Full specimen geometry; (b) Symmetric half-model; Symmetric half-model with symmetry boundary conditions applied to the right edge.,3,0.371823,0.321823,low,paper::sent::83,text_item,"Two primary microstructural features that need to be minimized are the inverse of diffusion resistivity (the denominator of Equation 2, Methods Section) and the misfit strain of the $\mathbf { L } \mathbf { 1 } _ { 2 }$ phases; as described above, the product is considered as the coarsening metric $\frac { \mathrm { { M i s f i t s t r a i n } } } { { \sum _ { i = 2 } ^ { N } { ( \bar { C } _ { i } ^ { \beta } - \bar { C } _ { i } ^ { \alpha } ) } ^ { 2 } } / { M _ { i } } }$ ."
image_0000,1,../02_images/figures/image_0000.jpg,(a) Full specimen geometry; (b) Symmetric half-model; Symmetric half-model with symmetry boundary conditions applied to the right edge.,4,0.369616,0.319616,low,paper::sent::160,text_item,"The axial direction of SiC fibers is perpendicular to the electric field in F0, so the conductivity of F0 is the same as that of epoxy which is a typical insulator [30]."
image_0000,1,../02_images/figures/image_0000.jpg,(a) Full specimen geometry; (b) Symmetric half-model; Symmetric half-model with symmetry boundary conditions applied to the right edge.,5,0.368497,0.318497,low,paper::sent::167,text_item,"The axial direction of SiC fiber is parallel and perpendicular to the direction of electric field in F90 and F0, respectively, during the dielectric test."
chart_0001,2,../02_images/figures/chart_0001.jpg,(a) Force-displacement response,1,0.372945,0.322945,low,paper::sent::280,text_item,The corrected force—displacement curves show excellent agreement with LEFM.
chart_0001,2,../02_images/figures/chart_0001.jpg,(a) Force-displacement response,2,0.3678,0.3178,low,paper::sent::156,text_item,The nonlinear relationship between the dimensionless resistivity and dimensionless position on a logarithmic scale (Fig.
chart_0001,2,../02_images/figures/chart_0001.jpg,(a) Force-displacement response,3,0.36693,0.31693,low,paper::sent::155,text_item,"Including an ""age-hardening"" step at 1000 °C (HIP1 + HT4) resulted in a uniformly distributed bi-modal distribution of the $\gamma ^ { \ast } .$ -precipitates as compared to the as-sintered condition."
chart_0001,2,../02_images/figures/chart_0001.jpg,(a) Force-displacement response,4,0.36538,0.31538,low,paper::sent::179,text_item,"For the quantitative strain/ stress analyses of the deformed copper nanocomposite (with an applied strain of -3%), cross-correlation-based EBSD was conducted to measure the elastic strain fluctuation and local misorientation characteristics."
chart_0001,2,../02_images/figures/chart_0001.jpg,(a) Force-displacement response,5,0.365129,0.315129,low,paper::sent::149,text_item,The domain size gradient observed in the gradient layer is expected to affect the $\gamma \to a ^ { \prime }$ -martensitic transformation and consequently the TRIP effect during the tensile testing.
chart_0002,3,../02_images/figures/chart_0002.jpg,(b) Lagrange multiplier evolution,1,0.367701,0.317701,low,paper::sent::149,text_item,The domain size gradient observed in the gradient layer is expected to affect the $\gamma \to a ^ { \prime }$ -martensitic transformation and consequently the TRIP effect during the tensile testing.
chart_0002,3,../02_images/figures/chart_0002.jpg,(b) Lagrange multiplier evolution,2,0.362897,0.312897,low,paper::sent::132,text_item,Gutierrez-Urrutia et al. [61] further evaluated the grain size dependence on the twin stress using a Hall-Petch relationship.
chart_0002,3,../02_images/figures/chart_0002.jpg,(b) Lagrange multiplier evolution,3,0.362439,0.312439,low,paper::sent::204,text_item,A dog-bone-shaped tensile specimen with nominal gauge dimensions of 2 mm (length) × 1.2 mm (width) x 1 mm ( thickness) was loaded at a constant strain rate of $5 \times 1 0 ^ { - 4 } \mathsf { s } ^ { - 1 }$ Specimens for synchrotron-diffraction tensile tests were prepared following the same procedures as those for the tensile tests mentioned above.
chart_0002,3,../02_images/figures/chart_0002.jpg,(b) Lagrange multiplier evolution,4,0.361477,0.311477,low,paper::sent::177,text_item,We conclude the results section by comparing model predictions with S-N curves obtained from uniaxial tension-compression fatigue experiments on smooth samples.
chart_0002,3,../02_images/figures/chart_0002.jpg,(b) Lagrange multiplier evolution,5,0.360989,0.310989,low,paper::sent::161,text_item,A finely dispersed bimodal distribution of $\gamma ^ { \ast }$ -precipitates is known to improve the high-temperature strength and creep performance through the retardation of crack growth.
chart_0003,4,../02_images/figures/chart_0003.jpg,with displacement.; (a) Force-displacement curves for both solvers compared with LEFM theory.,1,0.375248,0.325248,low,paper::sent::284,text_item,"To evaluate this, we compare the analytical LEFM solution with phase-field results (for a simulation with $a _ { 0 } ~ = ~ 0 . 3$ mm and $l ~ = ~ 0 . 0 0 2 5$ mm) using three different crack length definitions: direct integration of thecrack surface function $\gamma ,$ the Bourdin correction, and the skeletonization measurement technique."
