figure_id,figure_index,figure_path,caption,rank,score,cosine_score,confidence,text_token_id,source,text
image_0000,1,../02_images/figures/image_0000.jpg,in mm.,1,0.360903,0.310903,low,paper::sent::61,text_item,The generalized plane strain equation was employed to conduct a linear static structural analysis.
image_0000,1,../02_images/figures/image_0000.jpg,in mm.,2,0.35787,0.30787,low,paper::sent::66,text_item,The interfacial shear strength (τi) can be calculated by Equations (4)(6):
image_0000,1,../02_images/figures/image_0000.jpg,in mm.,3,0.357527,0.307527,low,paper::sent::25,text_item,"Specifically, the questions we aim to answer are: (i) What are the tensile strength and ductility that we can achieve in bi-metallic HSs made by L-DED? (ii) What is the dominating mechanism that leads to the improvements in the tensile strength and ductility of bi-metallic HSs? (ii) How can one design the bi-metallic HS parameters, including the lamella thickness, the material volume friction, and the number of interfaces, to achieve HSs with improved tensile strength and ductility?"
image_0000,1,../02_images/figures/image_0000.jpg,in mm.,4,0.356419,0.306419,low,paper::sent::57,text_item,"In this work, interfacial shear strength and interfacial dynamic friction shear strength were determined by micro-shear tests."
image_0000,1,../02_images/figures/image_0000.jpg,in mm.,5,0.355992,0.305992,low,paper::sent::43,text_item,The flexural strength was measured by three-point bending test (specimen size of $4 0 ^ { 1 }$ mm $\times 5 ^ { \mathrm { w } }$ mm $\times 3 ^ { \mathrm { h } }$ mm) with a support span length of 30 mm and a cross-head speed of 0.5 mm/ min using a universal testing machine (HD-609B; Haida Qualitative Analysis).
image_0001,2,../02_images/figures/image_0001.jpg,b); used for flat specimens manufactured at inclination less than 40°.,1,0.359033,0.309033,low,paper::sent::62,text_item,"Three-dimensional CAD models were created replicating the geometrical signatures, i.e., shape and material arrangements, of the tested HS samples."
image_0001,2,../02_images/figures/image_0001.jpg,b); used for flat specimens manufactured at inclination less than 40°.,2,0.35851,0.30851,low,paper::sent::83,text_item,The role of microstructural trapping sites in slowing diffusion can be accounted for by considering D to be the effective diffusion coefficient (as opposed to the lattice one).
image_0001,2,../02_images/figures/image_0001.jpg,b); used for flat specimens manufactured at inclination less than 40°.,3,0.358196,0.308196,low,paper::sent::135,text_item,Shallow impact angles and shadowing effects from surface topography contribute to the development of columnar structures in the deposited coatings [21].
image_0001,2,../02_images/figures/image_0001.jpg,b); used for flat specimens manufactured at inclination less than 40°.,4,0.356773,0.306773,low,paper::sent::76,text_item,"To protect the passive film from $G \mathfrak { a } ^ { + }$ damage, a thin Au layer was previously coated onto the specimen surface using a vacuum sputtering device (Smart Coater, JEOL)."
image_0001,2,../02_images/figures/image_0001.jpg,b); used for flat specimens manufactured at inclination less than 40°.,5,0.355577,0.305577,low,paper::sent::84,text_item,"We noticed the as-built samples exhibit reduced ductility compared to the additively manufactured $_ \mathrm { A l C o C r F e N i _ { 2 } }$ EHEA reported by Ren et $\mathrm { { a l . } }$ , despite having similar $\sigma _ { u } ~ [ 1 4 ] .$ This discrepancy is attributed to the significantly higher volume fraction of the B2 phase (\~83.6 %) in the current samples, which is 50 % more than that in the previously additive-manufactured samples [14]."
