figure_id,figure_index,figure_path,caption,rank,score,cosine_score,confidence,text_token_id,source,text
image_0000,1,../02_images/figures/image_0000.jpg,tive graphs.,1,0.378628,0.328628,low,paper::sent::33,text_item,The initial microstructure and crystallographic texture as well as the microstructure evolution and corresponding deformation mechanism after stress rupture tests are studied in detail using a range of techniques.
image_0000,1,../02_images/figures/image_0000.jpg,tive graphs.,2,0.377827,0.327827,low,paper::sent::22,text_item,"Zhang et al. [36] suggested that the fine grains in IN718 fabricated by SLM underwent much more serious plastic deformation to accommodate heterogeneous stran from surrounding coarse grains, resulting in a high-risk area of the initiation and propagation of cracks and worse stress rupture properties under 690 MPa at $6 5 0 ~ ^ { \circ } \mathrm { C } .$ Pasiowiec et al. [37] suggested the evenly distributed 8 particles enhanced the creep life of IN625 additively manufactured by SLM at the temperature range $7 0 0 { - } 8 0 0 ~ ^ { \circ } \mathrm { C } .$ Probstle et al. [38] implied the higher amount of strengthening precipitates and the lack of 8 phases in LPBF-ed IN718, leading to longer creep life compared with conventionally cast and wrought alloys."
image_0000,1,../02_images/figures/image_0000.jpg,tive graphs.,3,0.376697,0.326697,low,paper::sent::36,text_item,"By using the multi-spot melt strategy, Kirka et al. fabricated Inconel 718 sample with equiaxed grains and weak crystallographic texture [23]."
image_0000,1,../02_images/figures/image_0000.jpg,tive graphs.,4,0.376024,0.326024,low,paper::sent::12,text_item,These findings provide valuable insights for developing multiprincipal element alloys with heterogeneous microstructures for advanced engineering applications.
image_0000,1,../02_images/figures/image_0000.jpg,tive graphs.,5,0.37479,0.32479,low,paper::sent::92,text_item,Microstructure and morphology characteristics analysis of the white and dark layers under SEM
image_0001,2,../02_images/figures/image_0001.jpg,Fig. 2. TEM micrograph of fully heat treated microstructure from a grain boundary region of high boron alloy showing an intergranular MC carbide.,1,0.57361,0.32361,high,paper::sent::65,text_item,Fig. 2 shows the overall viewing (observation direction parallels the building direction) of microstructures of as-built alloy ZGH451 obtained by SEM and TEM.
image_0001,2,../02_images/figures/image_0001.jpg,Fig. 2. TEM micrograph of fully heat treated microstructure from a grain boundary region of high boron alloy showing an intergranular MC carbide.,2,0.572173,0.322173,high,paper::sent::126,text_item,"Fig. 2(a) and (b) show scanning electron microscope (SEM) images of the MSZ powder cross section, which has a spherical shape with a large cavity inside, a characteristic of powders produced by the HOSpTM process."
image_0001,2,../02_images/figures/image_0001.jpg,Fig. 2. TEM micrograph of fully heat treated microstructure from a grain boundary region of high boron alloy showing an intergranular MC carbide.,3,0.571446,0.321446,high,paper::sent::82,text_item,Fig. 2 shows the meso-scale to micro-scale initial microstructure of the as-printed alloy.
image_0001,2,../02_images/figures/image_0001.jpg,Fig. 2. TEM micrograph of fully heat treated microstructure from a grain boundary region of high boron alloy showing an intergranular MC carbide.,4,0.567922,0.317922,high,paper::sent::77,text_item,These particles exhibit the brightest Z contrast in the backscattered images and have a cubic structure which corresponds to MC-type carbides; a TEM micrograph of a typical grain boundary MC carbide is given in Fig. 2.
image_0001,2,../02_images/figures/image_0001.jpg,Fig. 2. TEM micrograph of fully heat treated microstructure from a grain boundary region of high boron alloy showing an intergranular MC carbide.,5,0.56598,0.31598,high,paper::sent::85,text_item,The representative SEM image (Fig. 2(c)) reveals that cellular structures with an average size of \~400 nm prevail inside the grains.
