figure_id,figure_index,figure_path,caption,top1_score,top1_confidence,top1_text,top2_score,top2_confidence,top2_text,top3_score,top3_confidence,top3_text,top4_score,top4_confidence,top4_text,top5_score,top5_confidence,top5_text
chart_0000,1,../02_images/figures/chart_0000.jpg,Fig. 2. The stressstrain curve of the 2D SiC/SiC composite in pre-test and the four load points under nano-CT.,0.566699,high,"Fig. 2 shows the typical stress-displacement curves of SS0, SS90 and PDC SiC for three-point bending test.",0.564978,high,Fig. 2 also shows that the B2 phase first nucleates from the liquid metal as the temperature decreases.,0.559094,high,Fig. 2(a) shows the Hv profile at varying applied global tensile strains in G.,0.555924,high,"The particle size distribution curves, flowability, and apparent density of powders after multiple recycling cycles are shown in Fig. 2.",0.553052,high,"Fig. 2 is 1H NMR, $^ { 1 3 } { \sf C }$ NMR, and FT-IR spectra of $\mathrm { F E } _ { 0 } ,$ LCFE2, and $\operatorname { L C F E } _ { 5 } .$ Chemical shifts at 6.827.24 ppm in $\mathrm { F E } _ { 0 }$ (Fig. 2(a)) are attributed to the protons on biphenyl structures."
image_0001,2,../02_images/figures/image_0001.jpg,Fig. 1. (a) The specimen for in situ SEM test; and (b) The photograph of X-ray test setup (Unit: mm).,0.534899,high,Nearly fully dense samples were well obtained when the laser scanning speeds varied from 600 to 1000 mm/s (Supplementary Fig. 1).,0.525243,high,This strategy could significantly increase the fraction of equiaxed grains and potentially result in a fully equiaxed microstructure (Figure 1(c)).,0.522532,high,We used atom probe tomography (APT) to study the nanoscale compositions of the amorphous nanoparticles and the atomic diffusion across the interface (Fig. 1fh).,0.52026,high,"As a general observation [3,4,12—14], it is fair to say that in UFG materials modified by SPD condition (1) is fulfilled already at quite low strains, Fig. 1.",0.519856,high,The corresponding microstructure evolution from continuous to pulsed laser in bulk samples is illustrated in Figure 1(df).
image_0002,3,../02_images/figures/image_0002.jpg,"Fig. 3. (a) Architecture of plain weave fabrics, and (b) Surface morphologies.",0.588941,high,"The surface morphologies of the fibers were subsequently characterized by SEM, as shown in Fig. 3.",0.579477,high,"Samples produced through binder jetting showed a consistent microstructure regardless of build orientation, with an amount of porosity present in both microstructural directions (Fig. 3(A)).",0.579375,high,"It should be noted that the sum of these layer thicknesses corresponds approximately to the average thickness of powder layer fed at each cycle during the EBM process, suggesting that the formation of the unique layered microstructure shown in Fig. 3 is closely related to the layer-by-layer building.",0.578108,high,The initial microstructure characterization of the aged alloy is shown in Fig. 3.,0.572977,high,Fig. 3 shows the microstructure and morphology characteristics on the cross-section of the machined surface.
image_0003,4,../02_images/figures/image_0003.jpg,Fig. 4. Surface SEM image and EDS analysis of SiC matrix.,0.557566,high,Fig. 4(a-d) showed the SEM images of CF before and after sizing with PAAs of different molecular weight.,0.553518,high,"To investigate the crack initiation and propagation, EBSD characterizations were performed for the LPBF 2195 samples with and without cracks (Fig. 4).",0.551567,high,"Fig. 4 shows the EBSD, TEM, and SEM analyses of the as-printed PBF-LB and PBF-EB samples.",0.543184,high,Fig. 4(a) and (b) are [100] zone axis STEM images where microtwinning and isolated faults are the main source of deformation within the imaged grain for both alloys.,0.542798,high,"Compared with PBO fibers/BADCy micro-composites, the thickness of interface for PBO fiber/FBPBO-BADCy increases to 49.1 nm (Figure 4e2)."
image_0004,5,../02_images/figures/image_0004.jpg,Fig. 5. 3D image of composite via micro-CT.,0.568183,high,"Initially, the powder particles exhibited a dendritic microstructure (Fig. 5 a) with dark solidification segregation (S-segregation) [28] enriched in Al (Fig. 5 f1, g1) and bright β segregation (Fig. 5 f1, g2) enriched in Ti and Cr [29,30].",0.52658,high,The 3D reconstructed atom maps (Fig. 5(a)) reconfirms the nanoscale partitioning characteristics within the aged alloy.,0.526021,high,"Initially, we detected the formation of unstable HCP-structured primary precipitates with high-density SFs at the early stage of heat treatment, i.e., 600 °C for 5 and 30 min (Fig. 5).",0.521672,high,"This enhanced tensile ductility of Cu-ANPs is further evidenced by the improvement in true fracture strain, estimated from the reduction in area at fracture (Supplementary Fig. 5).",0.520175,high,"Fig. 5 displays the grain boundary maps obtained from the longitudinal section of laser glazing samples, and the corresponding average grain size data including equivalent circle diameter and fitted ellipse aspect ratio are summarized in Fig. 6."
image_0005,6,../02_images/figures/image_0005.jpg,"Fig. 6. Distribution, initiation, and termination of matrix cracks in transverse fiber bundles under level I load: (a) before loading; (b) 60 MPa load; (c) crack tip at transverse fibers; (d) crack tip at longitudinal fibers, and the cracks distribution in the unreinforced region: (e) crack initiation and (f) crack tip at longitudinal fibers.",0.555306,high,"Fig. 6 (a) shows the surface before loading, exhibiting the presence of two parallel shrinkage cracks in the yellow box, which were formed during the preparation process.",0.545155,high,"The SEM micrographs of the worn scars of ZC20, MC20, and YC20 coatings and the related EDS results at room temperature and $9 0 0 ^ { \circ } \mathrm { C }$ are illustrated in Fig. 6 and Table 2.",0.541224,high,"In the middle column of Fig. 6, i.e., Figs. 6(f)(j), the microstructure evolution of AM alloys during isothermal heat treatment at 1180 °C is presented based on the analysis of the IPF orientation maps.",0.539742,high,Fig. 6(c) and (d) demonstrate that transverse cracks started from the original shrinkage cracks and stopped inward on reaching the longitudinal fiber bundles.,0.538254,high,"Fig. 6 shows the XRD patterns of LMA coating after heat treatment between $9 5 0 ~ ^ { \circ } \mathrm { C }$ and $1 3 5 0 ~ ^ { \circ } \mathrm { C } .$ The amorphous phase, $\mathrm { { A l } _ { 2 } \mathrm { { O } _ { 3 } } }$ and LMA phase can found at as-deposited LMA coating, as shown in Fig. 6a."
image_0006,7,../02_images/figures/image_0006.jpg,Fig. 8. Internal crack paths of 2D SiC/SiC composite at level I: (a) nano-CT image structure; (b) transverse crack propagation; and (c) longitudinal crack propagation.,0.524888,high,"Fig. 8 presents the macroscopic morphologies of ZC20, MC20, and",0.515209,high,"These results indicate that the morphology of the microstructure changes from the LED to HED microstructure at an ED of approximately $3 \ : \mathrm { J / m m ^ { 2 } }$ Fig. 8(b) shows the influence of ED on the volume fraction of all the $\alpha _ { 2 } / \gamma$ lamellae (the combination of both the ultrafine lamellar grain in the LED microstructure and the lamellar region in the $\alpha _ { 2 } / \beta / \gamma$ mixed structure, $V _ { \mathrm { a l l } \alpha 2 / \gamma } ) ,$ the volume fraction of all the γ phases excluding that in the lamellae $( V _ { \mathrm { a l l } _ { Y } } )$ and the volume fraction all the β phases $( V _ { \mathrm { a l l \beta } } )$ .In addition, the relationships between ED and the fraction of these phases in the $\alpha _ { 2 } / \beta / \gamma$ mixed structure (the $\alpha _ { 2 } / \gamma$ lamellar region: $f _ { \alpha 2 / \gamma \ M \mathrm { S } } ,$ the γ phase: $f _ { \gamma \mathrm { M S } } ,$ the β phase: fβms) are shown in Fig. 8(c).",0.511563,high,Fig. 8 shows the typical shear stress—displacement curve behaviors of five composites.,0.510359,high,Fig. 8 displays the net intensity elemental maps of an isolated SESF in LSHR.,0.508987,high,"It is important to note that there are more ultrafine lamellar grains $( f _ { \alpha 2 / \gamma \mathrm { G } } )$ in the low ED, but the proportion of the lamellar region $( f _ { \alpha 2 / \gamma \ R } )$ increases with increasing ED (Fig. 8(d))."
image_0007,8,../02_images/figures/image_0007.jpg,Fig. 9. Transverse tensile model of continuous fiber-reinforced composite.,0.548031,high,"The XRD patterns of ZC20, MC20, and YC20 coatings after oxidation at $1 1 0 0 ~ ^ { \circ } \mathrm { C }$ for 100 h are shown in Fig. 9.",0.545475,high,"Fig. 10 and Table 3 show the cross-sectional morphologies and EDS results of the ZC20 coatings after oxidation for 100 h at $1 1 0 0 \ ^ { \circ } \mathrm { C } .$ Apparent microcracks and a large number of pores were present inside the coating, and the EDS results (region 1) suggested that $\mathrm { C a F } _ { 2 }$ solidsolution with YSZ formed $\mathrm { C a } _ { 0 . 1 5 } \mathrm { Z r } _ { 0 . 8 5 } \mathrm { O } _ { 1 . 8 5 }$ phase after oxidation, which was consistent with the XRD results, Fig. 9(a).",0.529456,high,"In the linear—elastic deformation stage, samples deform elastically but have different modulus as shown in Fig. 9.",0.528989,high,"In Fig. 9(d), the pulled-out fiber is coated with the continuous film-like SiC matrix, which means that cracks are likely to be deflected between layered matrix composed of carbon layers and SiC matrix, leading to a debonding of SiC fibers with a small amount of matrix.",0.527495,high,"In addition, some defects introduced during the material preparation can also cause misorientation, and these effects can be isolated using the microstructure details in the IPF+IQ maps, as marked in Fig. 9."
image_0008,9,../02_images/figures/image_0008.jpg,Fi. 10. Deflection of cracks at matrix and interface: (a) actual phenomenon; and (b) Model diagram.,0.403375,medium,"Although more oriented cracks appeared inside the bond coating, they did not seem to harm the adhesion of the bond coating with the upper ${ \mathrm { Y b } } _ { 2 } { \mathrm { S i } } _ { 2 } { \mathrm { O } } _ { 7 }$ layer and CMC substrate.",0.396393,low,The strong interfacial bonding is not conducive to the crack deflection at the fiber-matrix interface and the achievement of higher flexural strength and fracture toughness.,0.38509,low,Pore coarsening and its effect on density during final-stage sintering is a well-established phenomenon.,0.382402,low,"In addition, a few oriented cracks (narrow cracks cracking along specific, predictable directions due to stress-related influences [27]) were observed in $\mathrm { m } { \cdot } \mathrm { T G O } ,$ In accordance with the present results, our previous study demonstrated that CTE and elastic modulus of $\mathrm { H f S i O _ { 4 } }$ and $\mathrm { S i O } _ { 2 }$ cristobalite phases complement each other at high temperatures [27].",0.378973,low,"The enrichment of precipitates at grain boundaries can compromise the material's ductility and elongation by promoting embrittlement, creating paths for crack propagation, hindering dislocation movement, and inducing stress concentration."
image_0009,10,../02_images/figures/image_0009.jpg,image structure.,0.383093,low,"The LAZTP Dual HSE exhibited a $t _ { L ^ { j } } { } ^ { + }$ of 0.38, notably higher than that of PVDF-HFP SPE (0.20), demonstrating more efficient $\mathrm { L i ^ { + } }$ transport.",0.383032,low,"PVDF-HFP SPE exhibited an endothermic peak at ${ 1 3 8 } ^ { \circ } \mathrm { C } ,$ whereas the melting points of LAZTP 50% HSE and LAZTP Dual HSE correspondingly decreased to $1 2 7 ~ ^ { \circ } \mathrm { C }$ and ${ 1 3 0 ~ ^ { \circ } \mathrm { C } } .$ The decrease in Tm indicates reduced polymer crystallinity due to the plasticizing effect of oxide fillers, which increases the amorphous phase fraction and facilitates $\mathrm { L i ^ { + } }$ conduction, improving the ionic conductivity of the solid electrolyte [41,42].",0.382443,low,Griffiths et al. [9] investigated the high-temperature properties of an Al-Mg-Zr alloy fabricated using LPBF in both AF and HT conditions.,0.381198,low,These results demonstrate that the in-situ formation of $\mathrm { M g A l B } _ { 4 }$ whisker not only enhances room-temperature mechanical properties of the LPBFed AA2024 but also provides thermal stability for potential high-temperature applications.,0.378837,low,These results demonstrate that $\mathrm { M g A l B _ { 4 w } / A A 2 0 2 4 }$ alloys with tunable whisker dimensions can be achieved by optimizing LPBF parameters within a suitable processing window.
