figure_id,figure_index,figure_path,caption,top1_score,top1_confidence,top1_text,top2_score,top2_confidence,top2_text,top3_score,top3_confidence,top3_text,top4_score,top4_confidence,top4_text,top5_score,top5_confidence,top5_text
image_0000,1,../02_images/figures/image_0000.jpg,"Fig. 1. GB migration under driving forces in opposite directions. The GBs include ∑27 [110] ATGB [(A) and (F)], ∑11 [110] ATGB [(B) and (G)], ∑19 [110] ATGB [(C) and (H)], ∑99 [110] STGB [(D) and (1)], and ∑25 [100] ATGB [(E) and (J)]. (A to E) GB migration rates versus driving forces (γ or t). GB velocities are always in the same sense as the driving forces. Light red circles and light blue diamonds show the data for each individual simulation; for positive $( F = \pmb { \mathsf { F } } \pmb { \mathsf { n } } > 0 )$ and negative $( F < 0 )$ driving forces, respectively. The short horizontal bars denote the means and standard deviations. (F to J) Structures of migrating GBs under positive and negative driving forces (upper and lower panels, respectively). The atoms with a local perfect crystal environment are not shown, and red atoms are locally hexagonal close packed.",0.560674,high,"The fine distribution of metastable ternary phases (Al-Ni-M, M = Er, Zr, Y, Yb) through rapid solidification serves as the source for the reactive elements, enabling nano-meter scale precipitation of a high phase percentage of $[ \boldsymbol { 1 } _ { 2 } \mathbf { - A l } _ { 3 } \boldsymbol { \mathrm { M } } \ ( \boldsymbol { \mathrm { M } } = \boldsymbol { \mathrm { E r } } , \boldsymbol { \mathrm { Z r } } , \boldsymbol { \mathrm { Y } } ,$ b) strengthening phases (Figures 1 and 3).",0.5479,high,"The $\sigma _ { \mathrm { e } }$ gain with four Li\* ions insertion being due to the reduction of $\mathrm { T i ^ { 4 + } }$ to $\mathsf { T i } ^ { 2 + }$ generating extra electrons in the d band (Supplementary Fig. 1) is reasonable, which is validated by the DOS shown in Fig. 3b.",0.544914,high,"In addition, the effects of introduction of preFABPBO interfacial compatibilizer on the mechanical properties, wave-transparent performances, insulation properties, and heat resistances of PBO fibers/FABPBO-BADCy composites (Figure 1) are investigated, and the corresponding microscopic action mechanism of the preFABPBO interfacial compatibilizer is further discussed.",0.543752,high,This strategy could significantly increase the fraction of equiaxed grains and potentially result in a fully equiaxed microstructure (Figure 1(c)).,0.543153,high,"Fig. 1(a) shows the increase of yield strength $\left( \sigma _ { 0 . 2 } \right)$ of all gradient-structured specimens of 1-mm thick (superscript represents specimen thickness in mm) with increasing SMAT duration (subscript, minutes), with a slight decrease of uniform tensile elongation $\varepsilon _ { u \cdot }$ For example, the processing by SMAT for 15 min, i.e. $\mathsf { G S } _ { 1 5 } ^ { 1 } ,$ increased $\sigma _ { 0 . 2 }$ by 132% while $\varepsilon _ { u }$ dropped by only 30%, which is consistent with an early report on gradient structured IF steel [29]."
chart_0001,2,../02_images/figures/chart_0001.jpg,"G; Fig. 2. Comparison of GB migration rates under opposite driving forces. The bicrystal configurations include STGB [(A) and (F)], ATGB [(B) and (G)], SMGB ) and H)], AMGB ) and )], and GB haf-oop [) nd J]. (A to E) Schematics of bicrystal constructions and the symmetries relating two grains (2'-fold axis). In (E), the brown and blue regions indicate grains of two; H",0.555101,high,Powder particles sizes were randomly selected within a range of 3040 Å based on the powder diameter distribution graph displayed in Fig. 2(e) [37].,0.554425,high,"Fig. 2 shows the variation of the XRD profiles of the θ= 0, 45° and 90 specimens.",0.548881,high,"The corresponding kernel average misorientation (KAM) map (Fig. 2(b)) shows that a significant local misorientation exists in the as-printed alloy, and its average KAM value is 0.85° (inset in Fig. 2(b)), suggesting that it contains a relatively high dislocation density.",0.548453,high,Fig. 2(b) displays the proximity histogram plots of the concentration profiles through the $\gamma / \gamma ^ { \prime }$ interfaces of alloys T0 and T5.,0.547303,high,"Notably, the grain size in the RX layer of the N1-LAG material is larger than that of the N1-LH material, resulting in a more pronounced grain size gradient, as shown in Fig. 2(e)."
chart_0002,3,../02_images/figures/chart_0002.jpg,ψ (meV/atom); C,0.360856,low,Average lath length for $3 0 ^ { \circ }$ specimens is less than for $0 ^ { \circ }$ and 90° in both the bulk and edge regions.,0.353648,low,"Hard melt pool boundaries are associated with a relatively high Young's modulus (140150 GPa), while melt pool interiors have a relatively low Young's modulus (130140 GPa).",0.353641,low,The dislocation density of the phases is calculated following Williamson-Hall (W-H) method [69].,0.353586,low,The calculated lattice misfit is an average value because the diffraction data are acquired from a large volume of the samples containing dendrite cores and interdendritic regions.,0.352287,low,"The figure also shows the microstructures in the dendrite cores and interdendritic regions of both alloys subjected to aging at $1 0 3 0 ~ ^ { \circ } \mathrm { C }$ for 0.5 h and 2 h, respectively, which are similar to those observed in the initial state."
chart_0003,4,../02_images/figures/chart_0003.jpg,"different orientations. (F to J) Ratios between the GB migration rate ratio for two directions |v+/v_| versus driving forces, ν, or curvature, 1/w, obtained from the MD results for ∑39 flat GBs and ∑13 GB half-loops in AI. Six simulations were performed for each GB at each ψ. The gray points show individual simulation results, and the black symbols represent the mean values and standard deviations of the data.",0.363753,low,"As shown in Fig. la, all the detected peaks for $( \mathrm { D y } _ { 0 . 2 5 } \mathrm { T m } _ { 0 . 2 5 }$ $\mathsf { Y b } _ { 0 . 2 5 } \mathsf { L u } _ { 0 . 2 5 } ) _ { 2 } \mathsf { S i } _ { 2 } \mathsf { O } _ { 7 }$ samples could be indexed to ${ \beta } { \cdot } { \mathsf { Y b } } _ { 2 } { \mathsf { S i } } _ { 2 } { \mathsf { O } } _ { 7 }$ (PDF#25- 1345).",0.360951,low,The error bars in the figure correspond to the standard deviation of the thickness.,0.357568,low,"Compared with $\mathrm { F E } _ { 0 } , \mathrm { L C F E } _ { 2 }$ and $\mathrm { L C F E } _ { 5 }$ have sharp diffraction peaks, which are attributed to the fact that both $\mathrm { L C F E } _ { 2 }$ and $\mathrm { L C F E } _ { 5 }$ are semi-crystalline compounds with anisotropy at room temperature [58].",0.356687,low,than that in the grain interior (-18.95 ± 2.04 at. %).,0.352589,low,Li et al. [31] prepared a $\mathrm { F e } _ { 3 } \mathrm { O } _ { 4 } – \mathrm { G R }$ hybrid with a $\mathrm { R L } _ { \mathrm { m i n } }$ of −30.1 dB when the thickness was only 1.48 mm.
chart_0004,5,../02_images/figures/chart_0004.jpg,E GB half-loop,0.359236,low,"As shown in these figures, the average thickness of the γ and α2 lamellae in the lamellar grains are 162 nm and 48 nm, respectively.",0.354825,low,The dislocation density of the phases is calculated following Williamson-Hall (W-H) method [69].,0.35415,low,"This particle size range was selected to investigate the optimum size ratio of the solid electrolyte with the CAM, which has a D50 value of 3.4 µm (see Figure S1, Supporting Information).",0.353223,low,"The average diameter for columnar grains in the EPBF processed Inconel 625 was measured at \~ 10 µm in size, although the average grain length was not reported.",0.352621,low,"The γ and $\alpha _ { 2 }$ phases in the lamellar grains are confirmed to satisfy the following orientation relationship as generally reported,"
image_0005,6,../02_images/figures/image_0005.jpg,ψ (meV/atom); J,0.374252,low,"Here, ariational, variational, and $\psi _ { \mathrm { v a r i a t i o n a l } }$ are the reaction force, displacement, and strain energy density obtained from the variational solution, while $P _ { G _ { c } } , u _ { G _ { c } }$ , and $\psi _ { G _ { c } }$ are the corresponding quantities for a solution with a constant $\boldsymbol { G } _ { c } .$ These transformations provide a systematic approach to reconstruct the physical quantities.",0.371145,low,"V is the applied polarization voltage (10 mV), $I _ { O }$ is the initial current, $I _ { s s }$ is the steady-state current after 1 h of polarization, and $R _ { O }$ and $R _ { s s }$ are the interfacial resistances between the SSE (Solid-State Electrolyte) and Li metal before and after polarization, respectively.",0.369022,low,"$I _ { s s }$ is the steady-state current after the polarization test, and V is the voltage.",0.369009,low,The factor α depends on the instantaneous value of the Lagrange multiplier λ and ensures that the recovered response corresponds to the true material behavior.,0.367945,low,The transition region within the range of several nanometers is the $\gamma / \gamma ^ { \prime }$ interface in which the element concentrations change significantly.
chart_0006,7,../02_images/figures/chart_0006.jpg,"Fig. 3. Explanation of directional GB motion. (A and B) llustrations of the nucleation and growth of upward and downward terraces on an STGB and ATGB. The hollow blue arrows denote the direction of GB migration, and the short black arrows denote the direction of disconnection motion. The blue line segments represent GB terraces, and the red and green line segments represent the disconnections of different types. The gray stripes indicate equivalent crystal planes. The shaded parallelograms denote regions swept by the disconnections during GB migration. The parallelograms (including the gray stripes) that are not related by symmetry (e.g., 2') are shaded in different colors. (C and D) MEPs for ∑11 [110] STGB and ATGB in AI. (E and F) Representations",0.59941,high,The fraction of the recrystallized area is plotted in Fig. 3 along with the characteristics of the stress—strain curve.,0.578564,high,"As shown in Fig. 3(b), there are two modes of βSiC Raman peaks in SiC fiber: TO and LO.",0.576494,high,"When the θ of the HSs (Fig. 3 (c)-(f) are investigated, delay in necking is observed to various extends, compared with homogenous PH174.",0.573464,high,"Fig. 4(a)(c) show the rods fabricated at conditions $\mathbf { A } ,$ B and $\mathrm { C } ,$ respectively, that correspond to the conditions in Fig. 3.",0.568652,high,"The submicron suspensions were diluted in ethanol, the distribution of which is monomodal, as seen in Fig. 3(c)."
chart_0007,8,../02_images/figures/chart_0007.jpg,"of the MEPs of (C) and (D), consistent with their symmetries. (G) A Markov chain labeled with the transition probabilities $\{ p _ { i j } \}$ [see the labels $"" \overrightarrow { a } ""$ and $"" \mathrm { b } ""$ aF)H toM)Evolutins state probability distributions; , and (L) are obtained based on the symmetric MEP (E), whereas (I), (K), and (M) are for the nonsymmetric model (F). (H and I) Probability distribution evolution under no (black), positive (red), and negative (blue) driving forces. (J and K) Results for oscillatory change in driving force. (L and M) Cyclic annealing. The insets of (K) and (M) show the GB migration rate as a function of the driving force and the temperature oscillation frequency and amplitude, respectively.",0.381069,low,"As with the oscillatory driving forces, under cyclic annealing, the STGB does not migrate, whereas the ATGB exhibits a constant, unidirectional velocity of ${ \sim } 1 . 5 \times 1 0 ^ { - 8 }$ m/s.",0.374223,low,"Because the MD simulations and Markov chain analysis both show that the GB migration rate depends on the sign of driving force, the application of an oscillatory zero-mean driving force should give rise to unidirectional GB migration.",0.373074,low,The large GB migration rate observed during cyclic annealing cannot be explained by the surface effect but can back up the Brownian ratchet mechanism revealed by our simulations and analysis.,0.372446,low,"Such lattice expansion can facilitate $\mathrm { L i ^ { + } }$ migration by enlarging the bottleneck size within the NASICON-type framework, potentially improving ionic conductivity.",0.368613,low,"Besides, the diffraction peak of $\mathrm { L C F E } _ { 2 }$ is stronger and the spacing between crystal planes is smaller than that of $\mathrm { L C F E } _ { 5 }$ ,indicating that $\mathrm { L C F E } _ { 2 }$ shows stronger crystallization ability."
chart_0008,9,../02_images/figures/chart_0008.jpg,"Fig. 4. Demonstrations of the GB Brownian ratchet. (A and B) Evolutions of mean position of the Σ39 [111] STGB (blue) and ATGB (red) in AI under an oscillatory synthetic driving force. (C and D) Displacements of the same GBs under oscillatory shear stress. () to (D) are MD results. The gray shading indicates one loading period. (E and F) Displacements of the same GBs under cyclic annealing obtained from PFC simulations. The long-time results are shown in movies S1 and S2. (G) Bicrystal sample for in situ STEM observation of GB migration. The diffraction patterns show that the zone axis is [112] for the upper grain and [110] for the lower grain. The snapshots (scale bars, 40 nm) at 20, 30, and 40 min are given, where the blue and white dashed lines indicate the initial and current GB positions. (H) GB displacement versus",0.552591,high,Fig. 4(a) displays the relative density of the LPBF-fabricated samples as function of laser energy density η and the corresponding microstructures.,0.552256,high,"For CL sample (Figure 4(a), the XOZ plane exhibit a heterogeneous microstructure comprising both columnar and equiaxed grains, attributed to the epitaxial growth along the [001] direction and the heterogeneous nucleation of primary Al(Li,Sc,Zr).",0.551906,high,"The 2-nm thick virtual slice containing Ni, Al, and Ti atoms obtained from the bottom of the APT sample (Fig. 5(b)) and the corresponding 2D projection (Fig. 5(c)) demonstrate that the lamellar $\mathrm { L } 1 _ { 2 }$ nanorods are highly enriched in Ni, Al, and Ti, which is in good agreement with the STEM-EDS results (Fig. 4(b)).",0.551072,high,Fig. 4(b) illustrates the neutron diffraction spectra of the creep specimens of the experimental alloys interrupted at 1% strain.,0.548097,high,"Thin films of pure L-PAAs, M-PAAs and H-PAAs were produced by solution casting from their solutions with concentration of 1 wt%, and the data of contact angle were measured and listed in Fig. 4(h)."
chart_0009,10,../02_images/figures/chart_0009.jpg,"time. In the light gray and blue regions, the sample is annealed at $4 0 0 ^ { \circ }$ and $4 5 0 ^ { \circ } \mathrm { C }$ , respectively. In the brown region, cyclic annealing is performed between $3 5 0 ^ { \circ }$ and $4 5 0 ^ { \circ } \mathrm { C }$ with a frequency of 0.33 Hz; the dashed line is a linear fitting of the data in this region. (I) MD results for grain growth in a 3D polycrystalline Al, including the atomic structures at $t = 0$ and 10 ns (where the GB atoms are colored blue) and the mean squared grain size versus time with oscillatory t (red) and with t = 0 (blue). (J) PFC results for the mean squared grain size in a 2D polycrystalline Al versus time with cyclic thermal annealing (red), constant high (blue dotted curve), low (blue dashed curve) and mean (orange solid curve) temperatures, and the average of the high- and low-temperature results (blue solid curve).",0.365025,low,"Here, $c _ { 1 }$ and $c _ { 2 }$ are numerical parameters introduced to improve solver convergence and ensure dimensional consistency in the constraint.",0.363611,low,Such iterative coupling enables large-scale simulations that retain atomic-level precision while maintaining computational efficiency.,0.361818,low,The results also indicate that the magnitude of the constrained lattice misfit increases with minor Ti additions.,0.360537,low,"Although all SAXS profiles show typical power law decay in the low-q region, the PI1/PI2 curve exhibits a larger exponent (—3.01) compared with PI1 (−2.56) and PI2 (2.62), indicating the presence of multiscale structures arising from interfacial heterogeneity.",0.359672,low,"The calculation suggests that $\mathsf { A l } _ { 3 } \mathsf { T i }$ forms the cores of intermetallic rosettes due to its high melting temperature, providing nucleation sites for co-precipitation of $\mathsf { A l } _ { 9 } ( \mathsf { F e } , \mathsf { C o } , \mathsf { N i } ) _ { 2 } .$ The rapid cooling rate significantly refines precipitates, whereas traditional casting of transition-metal-bearing Al alloys often leads to overgrown large precipitates and hence, embrittlement."
