figure_id,figure_index,figure_path,caption,rank,score,cosine_score,confidence,text_token_id,source,text
chart_0000,1,../02_images/figures/chart_0000.jpg,"Fig. 1 | xRD patterns of the synthesized samples. Results for the composition of a $( \mathrm { D y _ { 0 . 2 5 } I m _ { 0 . 2 5 } Y b _ { 0 . 2 5 } L u _ { 0 . 2 5 } } ) _ { 2 } \mathrm { S i } _ { 2 } \mathrm { O _ { 7 } } , \mathrm { \bf { b } } ( \mathrm { D y _ { 0 . 2 5 } H o _ { 0 . 2 5 } Y b _ { 0 . 2 5 } L u _ { 0 . 2 5 } } ) _ { 2 } \mathrm { S i } _ { 2 } \mathrm { O _ { 7 } } ,$ $\textbf { c } ( \mathrm { G d } _ { 0 . 2 5 } \mathrm { H o } _ { 0 . 2 5 } \mathrm { Y b } _ { 0 . 2 5 } \mathrm { L u } _ { 0 . 2 5 } ) _ { 2 } \mathrm { S i } _ { 2 } \mathrm { O } _ { 7 }$ , and d (Lax1Cex2YbxLux4)2Si2O (x1 + x2 + x3 +",1,0.558422,0.308422,high,paper::sent::33,text_item,"As shown in Fig. 1a1, the YbMS/YbDS phase ratio (about $0 . 1 7 )$ in as-sprayed YbDS-YbMS powder can be quantitatively estimated by the intensity ratio of main peak of YbMS (-402) and YbDS (021) respectively [26]."
chart_0000,1,../02_images/figures/chart_0000.jpg,"Fig. 1 | xRD patterns of the synthesized samples. Results for the composition of a $( \mathrm { D y _ { 0 . 2 5 } I m _ { 0 . 2 5 } Y b _ { 0 . 2 5 } L u _ { 0 . 2 5 } } ) _ { 2 } \mathrm { S i } _ { 2 } \mathrm { O _ { 7 } } , \mathrm { \bf { b } } ( \mathrm { D y _ { 0 . 2 5 } H o _ { 0 . 2 5 } Y b _ { 0 . 2 5 } L u _ { 0 . 2 5 } } ) _ { 2 } \mathrm { S i } _ { 2 } \mathrm { O _ { 7 } } ,$ $\textbf { c } ( \mathrm { G d } _ { 0 . 2 5 } \mathrm { H o } _ { 0 . 2 5 } \mathrm { Y b } _ { 0 . 2 5 } \mathrm { L u } _ { 0 . 2 5 } ) _ { 2 } \mathrm { S i } _ { 2 } \mathrm { O } _ { 7 }$ , and d (Lax1Cex2YbxLux4)2Si2O (x1 + x2 + x3 +",2,0.545276,0.295276,high,paper::sent::60,text_item,"Fig. 1 shows the XRD patterns of ZC20, MC20, and YC20 powders and coatings."
chart_0000,1,../02_images/figures/chart_0000.jpg,"Fig. 1 | xRD patterns of the synthesized samples. Results for the composition of a $( \mathrm { D y _ { 0 . 2 5 } I m _ { 0 . 2 5 } Y b _ { 0 . 2 5 } L u _ { 0 . 2 5 } } ) _ { 2 } \mathrm { S i } _ { 2 } \mathrm { O _ { 7 } } , \mathrm { \bf { b } } ( \mathrm { D y _ { 0 . 2 5 } H o _ { 0 . 2 5 } Y b _ { 0 . 2 5 } L u _ { 0 . 2 5 } } ) _ { 2 } \mathrm { S i } _ { 2 } \mathrm { O _ { 7 } } ,$ $\textbf { c } ( \mathrm { G d } _ { 0 . 2 5 } \mathrm { H o } _ { 0 . 2 5 } \mathrm { Y b } _ { 0 . 2 5 } \mathrm { L u } _ { 0 . 2 5 } ) _ { 2 } \mathrm { S i } _ { 2 } \mathrm { O } _ { 7 }$ , and d (Lax1Cex2YbxLux4)2Si2O (x1 + x2 + x3 +",3,0.543567,0.293567,high,paper::sent::32,text_item,"The XRD patterns for all the prepared samples are presented in Fig. 1 and Supplementary Figs. 1-4, which are collected after phase formation at relatively lower temperature $( \mathsf { i . e . , 1 5 5 0 ^ { \circ } C } )$ followed by sufficient polymorphic transformation at elevated temperature $( \mathsf { i . e . }$ above $1 8 0 0 ^ { \circ } \mathrm { C } )$ ."
chart_0000,1,../02_images/figures/chart_0000.jpg,"Fig. 1 | xRD patterns of the synthesized samples. Results for the composition of a $( \mathrm { D y _ { 0 . 2 5 } I m _ { 0 . 2 5 } Y b _ { 0 . 2 5 } L u _ { 0 . 2 5 } } ) _ { 2 } \mathrm { S i } _ { 2 } \mathrm { O _ { 7 } } , \mathrm { \bf { b } } ( \mathrm { D y _ { 0 . 2 5 } H o _ { 0 . 2 5 } Y b _ { 0 . 2 5 } L u _ { 0 . 2 5 } } ) _ { 2 } \mathrm { S i } _ { 2 } \mathrm { O _ { 7 } } ,$ $\textbf { c } ( \mathrm { G d } _ { 0 . 2 5 } \mathrm { H o } _ { 0 . 2 5 } \mathrm { Y b } _ { 0 . 2 5 } \mathrm { L u } _ { 0 . 2 5 } ) _ { 2 } \mathrm { S i } _ { 2 } \mathrm { O } _ { 7 }$ , and d (Lax1Cex2YbxLux4)2Si2O (x1 + x2 + x3 +",4,0.540582,0.290582,high,paper::sent::70,text_item,"Furthermore, XRD results in Fig. 1(f) reveal that the ${ \mathrm { Y b } } _ { 2 } { \mathrm { S i O } } _ { 5 }$ feedstock was indexed as the pure ${ \mathrm { X } } 2 { \mathrm { - Y b } } _ { 2 } { \mathrm { S i O } } _ { 5 }$ phase."
chart_0000,1,../02_images/figures/chart_0000.jpg,"Fig. 1 | xRD patterns of the synthesized samples. Results for the composition of a $( \mathrm { D y _ { 0 . 2 5 } I m _ { 0 . 2 5 } Y b _ { 0 . 2 5 } L u _ { 0 . 2 5 } } ) _ { 2 } \mathrm { S i } _ { 2 } \mathrm { O _ { 7 } } , \mathrm { \bf { b } } ( \mathrm { D y _ { 0 . 2 5 } H o _ { 0 . 2 5 } Y b _ { 0 . 2 5 } L u _ { 0 . 2 5 } } ) _ { 2 } \mathrm { S i } _ { 2 } \mathrm { O _ { 7 } } ,$ $\textbf { c } ( \mathrm { G d } _ { 0 . 2 5 } \mathrm { H o } _ { 0 . 2 5 } \mathrm { Y b } _ { 0 . 2 5 } \mathrm { L u } _ { 0 . 2 5 } ) _ { 2 } \mathrm { S i } _ { 2 } \mathrm { O } _ { 7 }$ , and d (Lax1Cex2YbxLux4)2Si2O (x1 + x2 + x3 +",5,0.539277,0.289277,high,paper::sent::50,text_item,The corresponding microstructure evolution from continuous to pulsed laser in bulk samples is illustrated in Figure 1(df).
chart_0001,2,../02_images/figures/chart_0001.jpg,"x4 = 1) samples prepared at 1550, 1650, or 1860 °C. ""HP"" denotes the XRD patterns for bulk samples fabricated via hot-pressing sintering method.",1,0.370846,0.320846,low,paper::sent::80,text_item,"However, the characteristic peaks of chemical ordering, such as (100) and (110), were found in the high-resolution XRD spectra of the aged alloy, demonstrating the precipitation of an ordered FCC phase (i.e., the $\mathrm { L } 1 _ { 2 }$ phase),"
chart_0001,2,../02_images/figures/chart_0001.jpg,"x4 = 1) samples prepared at 1550, 1650, or 1860 °C. ""HP"" denotes the XRD patterns for bulk samples fabricated via hot-pressing sintering method.",2,0.369824,0.319824,low,paper::sent::80,text_item,"In contrast, the corresponding RDF for the NVCOFbased system [H(PA)N(NVCOF)] exhibited a peak centered at 1.68 Å, reflecting weaker interactions between PA molecules and pyridinyl nitrogen sites."
chart_0001,2,../02_images/figures/chart_0001.jpg,"x4 = 1) samples prepared at 1550, 1650, or 1860 °C. ""HP"" denotes the XRD patterns for bulk samples fabricated via hot-pressing sintering method.",3,0.368596,0.318596,low,paper::sent::21,text_item,The $\mathrm { L i } _ { 6 } \mathrm { P S } _ { 5 } \mathrm { C l }$ is first examined for structural differences at different particle sizes with X-ray diffraction and pair distribution function analyses.
chart_0001,2,../02_images/figures/chart_0001.jpg,"x4 = 1) samples prepared at 1550, 1650, or 1860 °C. ""HP"" denotes the XRD patterns for bulk samples fabricated via hot-pressing sintering method.",4,0.367433,0.317433,low,paper::sent::33,text_item,Li et al.[19] fabricated a novel AlMgScZr alloy by LPBF and achieved a yield strength of
chart_0001,2,../02_images/figures/chart_0001.jpg,"x4 = 1) samples prepared at 1550, 1650, or 1860 °C. ""HP"" denotes the XRD patterns for bulk samples fabricated via hot-pressing sintering method.",5,0.365131,0.315131,low,paper::sent::69,text_item,"Subsequently, the high-resolution spectra of $_ \mathrm { ~ 0 ~ 1 s , ~ C ~ }$ 1s, Co 2p, Cr 2p, Ni 2p, Al 2p, and Ti 2p were obtained at 20 eV pass energy in steps of 0.1 eV."
