figure_id,figure_index,figure_path,caption,top1_score,top1_confidence,top1_text,top2_score,top2_confidence,top2_text,top3_score,top3_confidence,top3_text,top4_score,top4_confidence,top4_text,top5_score,top5_confidence,top5_text
chart_0000,1,../02_images/figures/chart_0000.jpg,"Fig. 1 Morphology and phase analysis of spherical feedstock. (a, b) SEM images of $\mathrm { Y b } _ { 2 } \mathrm { S i O } _ { 5 }$ and ${ \mathrm { Y b } } _ { 2 } { \mathrm { S i } } _ { 2 } { \mathrm { O } } _ { 7 }$ feedstocks; (c-e) back-scattered SEM images and corresponding EDS-mappings of Si-HfO eedstock; (f) XRD patterns of Yb2SiO and refined XRD patterns of ${ \mathrm { Y b } } _ { 2 } { \mathrm { S i } } _ { 2 } { \mathrm { O } } _ { 7 }$ and Si-HfO2.",0.54608,high,The deconvolution results of the (220) peak (Fig. 1(c)) further indicate that there is a small lattice mismatch $( \delta \ : = \ : 0 . 2 8 \% )$ between the FCC matrix and the $\mathrm { L } 1 _ { 2 }$ phase in the aged alloy.,0.544824,high,"As shown in Fig. 1a1, the YbMS/YbDS phase ratio (about $0 . 1 7 )$ in as-sprayed YbDS-YbMS powder can be quantitatively estimated by the intensity ratio of main peak of YbMS (-402) and YbDS (021) respectively [26].",0.544783,high,"The $\sigma _ { \mathrm { e } }$ gain with four Li\* ions insertion being due to the reduction of $\mathrm { T i ^ { 4 + } }$ to $\mathsf { T i } ^ { 2 + }$ generating extra electrons in the d band (Supplementary Fig. 1) is reasonable, which is validated by the DOS shown in Fig. 3b.",0.544711,high,The flow stress reached as high as 2 GPa in $\mathbf { G } \mathbf { L } _ { 5 } ^ { 0 . 0 4 }$ Fig. 1(d) shows global strain hardening responses of all GS samples.,0.543228,high,"Furthermore, XRD results in Fig. 1(f) reveal that the ${ \mathrm { Y b } } _ { 2 } { \mathrm { S i O } } _ { 5 }$ feedstock was indexed as the pure ${ \mathrm { X } } 2 { \mathrm { - Y b } } _ { 2 } { \mathrm { S i O } } _ { 5 }$ phase."
image_0001,2,../02_images/figures/image_0001.jpg,Fig.2 Micromorphology and component analysis of $\mathrm { S i { - } H f O _ { 2 } / Y b _ { 2 } S i _ { 2 } O _ { 7 } / Y b _ { 2 } S i O _ { 5 } }$ coating. (a) Cross-sectional morphology and corresponding EDS results and (b) surface morphology.,0.577301,high,Fig. 2 shows (a) a typical SEM image and (b) particle diameter distribution of the raw powder.,0.570155,high,"Powders near melt zones showed larger sizes than distal regions (S-Fig. 2 b), with SEM confirming irregular oversized particles in melt-adjacent areas (S-Fig. 2b2-3).",0.566867,high,Fig. 2 shows the overall viewing (observation direction parallels the building direction) of microstructures of as-built alloy ZGH451 obtained by SEM and TEM.,0.564008,high,These particles exhibit the brightest Z contrast in the backscattered images and have a cubic structure which corresponds to MC-type carbides; a TEM micrograph of a typical grain boundary MC carbide is given in Fig. 2.,0.562859,high,"The spherical nanoparticles are mainly distributed at the grooves of dendrites (Fig. 2c), as confirmed by the elemental mapping (Fig. 2di), acquired using energy dispersive X-ray spectroscopy (EDS) in scanning electron microscope (SEM)."
image_0002,3,../02_images/figures/image_0002.jpg,"Fig. 3 SEM images and EDS mapp of $\mathrm { \dot { S } i - H f O _ { 2 } / Y b _ { 2 } S i _ { 2 } O _ { 7 } / Y b _ { 2 } S i O _ { 5 } }$ coating after thermal cycling at 1400°C: (a1, b1, c1, and d1) Surface micromorphologies after 50, 50, 100, 150, and 200 h, respectively.",0.576136,high,The initial microstructure characterization of the aged alloy is shown in Fig. 3.,0.567941,high,"Samples produced through binder jetting showed a consistent microstructure regardless of build orientation, with an amount of porosity present in both microstructural directions (Fig. 3(A)).",0.567749,high,The EDS map obtained from the equiaxed grain area of the AF sample (Figure 3(a)) revealed the stacking of Cu-rich and Sc-rich precipitates along the equiaxed grain boundaries.,0.566054,high,"Although localized agglomeration of hafnia-rich precipitates into masses was observed (Fig. 3(b3)), these instances were uniformly distributed across the bond coating, ensuring that the overall distribution remained uniform, as shown in Fig.",0.563358,high,"From the microstructure of the bond coating in Fig. 3(a3) and EDS analysis in Fig. 3(a4), it can be seen that the light gray hafnium-rich precipitates were primarily distributed within the dark gray Si-rich phase."
image_0003,4,../02_images/figures/image_0003.jpg,"50, 100, 150, and 200 h, respectively.",0.396862,low,"After identifying LPBF process parameters and post-HT conditions that could lead to the production of Ti-6Al-4V alloys with high strength and ductility, microstructural analyses were conducted to validate the source of their strength and ductility; aiming to confirm whether the microstructures of the alloys produced in this study simultaneously exhibit the microstructural characteristics of those with high UTS and those with high TE that were respectively identified in previous studies.",0.39518,low,The precipitates of LPBF-fabricated Al-Cu-Li-Sc-Zr alloy exhibited superior thermal stability during aging at 300 a.,0.391603,low,The present study investigates the high-temperature mechanical properties and microstructural evolution of an Al-Cu-Li-Sc-Zr alloy fabricated using LPBF technology.,0.386279,low,"Yadollahi et al. reported a surface defect layer of approximately 200 µm [62] and in this research > 200 µm was removed on average in the polishing process (Section 2.4), thus suggesting the improvement in fatigue performance is truly attributed to the elimination of surface defects.",0.386062,low,"Microstructural features, phase compositions, crystal structures, and deformation substructure were characterized using TEM (JEOL 2100 F and Talos F200) coupled with EDS and SAED."
image_0004,5,../02_images/figures/image_0004.jpg,"5, 100, 150 an200h, pvy.",0.395247,low,The precipitates of LPBF-fabricated Al-Cu-Li-Sc-Zr alloy exhibited superior thermal stability during aging at 300 a.,0.394507,low,The present study investigates the high-temperature mechanical properties and microstructural evolution of an Al-Cu-Li-Sc-Zr alloy fabricated using LPBF technology.,0.38767,low,"Microstructural features, phase compositions, crystal structures, and deformation substructure were characterized using TEM (JEOL 2100 F and Talos F200) coupled with EDS and SAED.",0.382883,low,This approach offers significant potential for tailoring precipitation microstructures and enhancing properties in other multiphase compositionally complex alloys.,0.381609,low,"The microstructure and tensile deformation properties of Ti-48Al-2Cr-2Nb alloy fabricated by EBM were examined, focusing on the development of a unique layered microstructure."
image_0005,6,../02_images/figures/image_0005.jpg,"(ce) corresponding EDS mappings, (f) SAED pattern for Zone I, and (g) high-resolution image for Zone I.",0.375241,low,"To gain deeper insight into the unique strengthening effect from the one-dimensional architecture of the nano-whiskers, TEM observations were performed on both in-situ tensile test and post-deformation specimens.",0.374213,low,"The corresponding FFT pattern reveals stacking faults habit plane is (001). e An inverse FFT image masking circled diffraction spots shows lattice distortion around stacking faults with some additional half planes, indicating the existence of dislocations. f An HRTEM micrograph for the Al9(Fe,Co,Ni)2 particle in (b) slightly off the pillar top with planar defects.",0.372732,low,"The nano-CT image showed that after loading to the level IV, the interlayer defects in the composite material got interconnected and delaminated failure occurred.",0.371198,low,"To further verify the phase composition and microstructure of SiHfO2 bond coating in the early stages of thermal cycling, a sample was analyzed via TEM after just 25 h, which was earlier than the 50 h interval previously examined.",0.370802,low,"It is noted that a recent study has achieved room-temperature strength exceeding 800 MPa and high elevated-temperature strengths in a 3D-printed Al-Fe-V-Si-Sc alloy [10], relying on the in situ formation of multiscale heterogeneous structures comprising abundant nanoscale amorphous bands and crystalline precipitates, as well as the incorporation of costly Sc element."
chart_0006,7,../02_images/figures/chart_0006.jpg,Fig.8 Oxidation kinetics mechanism of m-TGO: (a) m-TGO thickness beneath $\mathrm { Y b } _ { 2 } \mathrm { S i } _ { 2 } \mathrm { O } _ { 7 } / \mathrm { Y b } _ { 2 } \mathrm { S i O } _ { 5 }$ layers as fncton ofeuri thermal cg t; (b) temperature dependence of parabolic oxidation rate constant for m-TGO.,0.565712,high,Fig. 8 shows that the HIP2 temperature of $1 1 8 0 ^ { \circ } \mathrm { C }$ is just below the temperature where the y'-phase is no longer stable.,0.565252,high,"In the thermal cycling tests at 1400, 1450, and $1 5 0 0 ~ ^ { \circ } \mathrm { C } ,$ the changes in the thickness increment (∆h) of m-TGO calculated from Table 3 over time are shown in Fig. 8(a).",0.56429,high,Note that the increase in ED raises the temperature of the thermal effect from the melt pool and increases the fraction of the $\alpha _ { 2 } / \beta / \gamma$ mixed structure (area 2) and decreases the ultrafine $\alpha _ { 2 } / \gamma$ lamellar grain with the $\beta / \gamma$ cell (area 3) (Fig. 8(a)).,0.558949,high,"A further analysis of the fracture surfaces of the CL and PL tensile samples is presented in Figure 8(a—f) and (g-I), respectively.",0.545004,high,"To further understand the transport mechanism of the oxidant in the trilayer EBC, Arrhenius plots of the temperature dependence of the parabolic oxidation of m-TGO are shown in Fig. 8(b)."
image_0007,8,../02_images/figures/image_0007.jpg,Fig. 9 Schematic diagram of reaction and growth mechanism of SiO2 and HfSiO4 phases within m-TGO.,0.545288,high,The main precipitates in this alloy were identified as Al3Sc and $\mathrm { A l } _ { 3 } \mathrm { Z r }$ by XRD scan (Figure 9) together with phase diagram calculation in Supplementary Figure S3.,0.52311,high,"In contrast, at 980 C/260 MPa, the initial carbides mainly decompose into typical $\mathsf { M } _ { 6 } \mathsf { C }$ carbides enriched Mo and W, which precipitate at higher temperatures (870 ${ } ^ { \circ } \mathsf { C } ) .$ Due to the relatively short time of stress rupture life, the $\mathsf { M } _ { 6 } C$ carbides grow up insufficiently even at high temperatures, showing a shape of discontinuous fine granular (Fig. 9(e)).",0.52071,high,"Building on the aforementioned analysis of oxygen transport, it is essential to delve into the reaction mechanisms by which permeated oxygen molecules control the growth of $\mathrm { S i O } _ { 2 }$ and $\mathrm { H f S i O _ { 4 } }$ phases within m-TGO layer, as illustrated in Fig. 9.",0.519499,high,"Since 8Ni4Mo and 10Ni4Mo exhibit similar lattice parameters (Fig. 6) and overall diffusivity, (suggesting similar martensite strengths), we attribute the difference in YS (Fig. 9) to the austenite formation.",0.519095,high,"In the 316L region (Fig. 9(c)), the amount of accumulated dislocation networks is much less."
chart_0008,9,../02_images/figures/chart_0008.jpg,Fig. 10 Effective CTE of m-TGO with respect to temperature and thermal cycling time.,0.547243,high,Fig. 10(a) gives an EBSD map of a PH174 316L interface from the baseline Sample A after tensile deformation.,0.530105,high,The lattice structures of the Sc- and Zr-enriched nanoparticles are determined by selected area electronic diffraction (SAED) analysis (Figure 10(f)).,0.529634,high,"Nevertheless, HDI hardening is not considered to be the primary hardening mechanism in the mesoscale HSs proposed in this work, since the minimal lamellae width proposed in this work is on the order of hundreds of micrometers, and the HDI effect zones are <50 µm (Fig. 10 (a)).",0.527734,high,"Flame retardance properties of PBO fibers/BADCy composites are shown in Fig. 10, and the corresponding characteristic values of cone calorimetry tests, flame retardant grades, and the ultimate oxygen index (LOI) are summarized in Table S5.",0.524467,high,"PBO fibers/FABPBO/LCFE2-BADCy show a bigger value of the ignition time (TTI) of 58 s than that of PBO fibers/BADCy (55 s), which is consistent with the fact that the heat release rate (HRR) curve of PBO fibers/FABPBO/LCFE2-BADCy moves to the right (Fig. 10(a))."
chart_0009,10,../02_images/figures/chart_0009.jpg,Fig. 11 Calculated thermal mismatch stress between m-TGO and CMC substrate.,0.550839,high,"To investigate the degree of thermal matching between m-TGO and $\mathrm { C M C } , \sigma _ { \mathrm { t } }$ as a function of the thermal cycling time after cooling to room temperature from various testing temperatures was analyzed and is shown in Fig. 11, with the average LCTE and elastic modulus shown in Fig. 10 and Ref. [27].",0.542807,high,"In comparison, the continuous and dense carbon layer will be formed on the surface of PBO fibers/FABPBO/LCFE2-BADCy composites (Fig. 11(d)), which effectively reduces the thermal decomposition and combustion rate of LCFE2-BADCy resins, thus improving the flame retardance properties [70].",0.540533,high,"However, the flame and smoke intensity of PBO fibers/FABPBO/LCFE2-BADCy (Fig. $1 1 ( \mathsf { c } _ { 2 } ) )$ are lower than those of PBO fibers/BADCy composites (Fig. 11(a2)) during the combustion process.",0.532639,high,Fig. 11 presents the ToF-SIMS negative ion depth profiles of the passive films formed on the Cu-free and Cu-containing steels after exposure to 3.5 % NaCl solution at 0 V (vs.,0.529111,high,"Raman spectroscopy is used to characterize the carbon residue after the combustion of PBO fibers/BADCy and PBO fibers/FABPBO/LCFE2-BADCy (Fig. 11(e, f))."
