figure_id,figure_index,figure_path,caption,rank,score,cosine_score,confidence,text_token_id,source,text
image_0000,1,../02_images/figures/image_0000.jpg,samples; (d)-(f) bulk samples.,1,0.37695,0.32695,low,paper::sent::53,text_item,"In this study, the interlayer pores and the closed pores within fiber bundles were assumed as the internal defects, because of their large volume fraction and non-uniform distribution."
image_0000,1,../02_images/figures/image_0000.jpg,samples; (d)-(f) bulk samples.,2,0.375187,0.325187,low,paper::sent::102,text_item,The orientation dependence of the deformation behavior of the as-EBM alloys derived from this layered microstructure is described in the next section.; 1;
image_0000,1,../02_images/figures/image_0000.jpg,samples; (d)-(f) bulk samples.,3,0.372947,0.322947,low,paper::sent::81,text_item,"Compared with horizontal direction, these fusion defects would further deteriorate the tensile properties due to the decrease of the continuity between the layers if the tensile sample was loaded along the BD."
image_0000,1,../02_images/figures/image_0000.jpg,samples; (d)-(f) bulk samples.,4,0.372806,0.322806,low,paper::sent::107,text_item,"According to our previous study [22], the lath structure in the NRX layer is evolved from the planar dislocation slip bands that prominently activated during the prior cold rolling and composed of MRO/ short-range order (SRO) domains and fcc lattices."
image_0000,1,../02_images/figures/image_0000.jpg,samples; (d)-(f) bulk samples.,5,0.37148,0.32148,low,paper::sent::101,text_item,The case of a square plate with an initial crack subjected to uniaxial tension has become a paradigmatic benchmark in the phase field fracture community.
image_0001,2,../02_images/figures/image_0001.jpg,"forming process of C; (c) laser power-time profil, d) schematic diagramof the forming process P.",1,0.355331,0.305331,low,paper::sent::108,text_item,Such iterative coupling enables large-scale simulations that retain atomic-level precision while maintaining computational efficiency.
image_0001,2,../02_images/figures/image_0001.jpg,"forming process of C; (c) laser power-time profil, d) schematic diagramof the forming process P.",2,0.351559,0.301559,low,paper::sent::76,text_item,The mechanisms of microparticles in mediating the laser-powder interaction can be revealed by using computational full laser ray tracing (Methods).
image_0001,2,../02_images/figures/image_0001.jpg,"forming process of C; (c) laser power-time profil, d) schematic diagramof the forming process P.",3,0.351433,0.301433,low,paper::sent::103,text_item,"Only the near-surface of metal material can absorb the laser energy [22], thus, the laser penetration depth in the model is assumed to be the same 5 nm as the DoC in the shrunk MD model."
image_0001,2,../02_images/figures/image_0001.jpg,"forming process of C; (c) laser power-time profil, d) schematic diagramof the forming process P.",4,0.350925,0.300925,low,paper::sent::112,text_item,"A carbon enrichment at the interface of width approximately 3 nm was observed, indicating that carbon not only participates in the formation of carbides at grain boundaries but also occurs as segregent to particular interfaces."
image_0001,2,../02_images/figures/image_0001.jpg,"forming process of C; (c) laser power-time profil, d) schematic diagramof the forming process P.",5,0.350665,0.300665,low,paper::sent::104,text_item,"In the simulation of the thermal conductivity, ""fix heat"" is also utilized to continually input heat, with both methods sharing the same principle."
chart_0002,3,../02_images/figures/chart_0002.jpg,regions on the XOY plane.,1,0.408712,0.358712,medium,paper::sent::195,text_item,"Statistical results of the grain size showed that the average equivalent circle diameters of equiaxed grains and columnar grains were 0.6 µm and 2.5 µm, respectively."
chart_0002,3,../02_images/figures/chart_0002.jpg,regions on the XOY plane.,2,0.400893,0.350893,medium,paper::sent::111,text_item,"Grain sizes in both regions are similar for CL and PL samples, but the distribution patterns differ."
chart_0002,3,../02_images/figures/chart_0002.jpg,regions on the XOY plane.,3,0.399634,0.349634,low,paper::sent::190,text_item,The fine ZrC carbides instead of the coarse grain boundary M6C carbides in the H230AM is beneficial for suppressing the formation of grain boundary cavities.
chart_0002,3,../02_images/figures/chart_0002.jpg,regions on the XOY plane.,4,0.398899,0.348899,low,paper::sent::138,text_item,"For the AP-HEA, the grain size is estimated as $9 3 \pm 3 6$ μm (from EBSD data in Supplementary Fig."
chart_0002,3,../02_images/figures/chart_0002.jpg,regions on the XOY plane.,5,0.39503,0.34503,low,paper::sent::108,text_item,"In FG regions, the grain sizes of the CL sample are slightly smaller than those of the PL samples."
image_0003,4,../02_images/figures/image_0003.jpg,"trum of CL sample, (c) SEM image of PL sample, (d) EDS spectrum of PL sample.",1,0.380019,0.330019,low,paper::sent::139,text_item,"This is because the aging treatment accelerates grain boundary migration, and promotes the growth of original fine grains in AlMgScZr alloy[42]."
image_0003,4,../02_images/figures/image_0003.jpg,"trum of CL sample, (c) SEM image of PL sample, (d) EDS spectrum of PL sample.",2,0.37682,0.32682,low,paper::sent::132,text_item,The present study investigates the high-temperature mechanical properties and microstructural evolution of an Al-Cu-Li-Sc-Zr alloy fabricated using LPBF technology.
image_0003,4,../02_images/figures/image_0003.jpg,"trum of CL sample, (c) SEM image of PL sample, (d) EDS spectrum of PL sample.",3,0.373664,0.323664,low,paper::sent::203,text_item,"Slow-diffusing Zr is known to improve alloy creep resistance through $\mathrm { L 1 } _ { 2 ^ { - } } \mathrm { A l } _ { 3 } \mathrm { Z r }$ precipitation [7,31, 32], while its limited solid solubility upon aging contributes to preserving the conductivity of the pure α-Al matrix."
image_0003,4,../02_images/figures/image_0003.jpg,"trum of CL sample, (c) SEM image of PL sample, (d) EDS spectrum of PL sample.",4,0.372597,0.322597,low,paper::sent::186,text_item,"In addition, the crack deflection at the CVI SiC/PIP SiC interface played an important role in the synergistic improvement of strength and fracture toughness of the SiCf/SiC composites."
image_0003,4,../02_images/figures/image_0003.jpg,"trum of CL sample, (c) SEM image of PL sample, (d) EDS spectrum of PL sample.",5,0.371637,0.321637,low,paper::sent::231,text_item,"These findings suggest that the dislocation density in LPBF-fabricated CoCrFeNi HEA microstructures is related to the fraction of the crystal boundary, which, in turn, is associated with the grain size."
