figure_id,figure_index,figure_path,caption,top1_score,top1_confidence,top1_text,top2_score,top2_confidence,top2_text,top3_score,top3_confidence,top3_text,top4_score,top4_confidence,top4_text,top5_score,top5_confidence,top5_text
image_0000,1,../02_images/figures/image_0000.jpg,"Fi. 1. (a) General microstructure and (b) grain boundary $\mathbf { M } _ { 2 3 } \mathbf { C } _ { 6 }$ precipitates in the material tested, alloy X-750 (condition HTH).",0.344249,low,"The micrographs were consistent with this description, with striation marks (ductile fracture indicators) being clearly visible on the fracture surface of the 1 Hz samples.",0.341187,low,"From the bright field image, the precipitates (black dot mark by the white arrow) with less than 100 nm size are observed.",0.336109,low,"Moreover, the backscattered images revealed the precipitation of particles along the grain boundaries which exhibit the lowest Z contrast, suggesting the partitioning of light elements such as carbon and boron.",0.333615,low,The size of the white dots is less than 0.1 µm (measured by ImageJ based on the BSE image).,0.333215,low,"It has been found previously that finer powder particle sizes lead to a larger amount of satellite formations (Özbilen, 1999)."
image_0001,2,../02_images/figures/image_0001.jpg,phology.,0.386907,low,"SEM images revealed equiaxed dimples in spherical morphology, which appear as the coalescence of voids formed at inclusions during plastic deformation (Anderson and Anderson, 2005).",0.380454,low,"This suggests the formation of a biofilm layer on the Cu-free steel surface, corroborating with the SEM observations.",0.376778,low,"The microstructure of the as-printed sample was characterized by SEM (FEI, Scios, 20 kV, 3 nA) in the BSE mode.",0.374488,low,"These two samples are considered representative, showcasing the two prevalent forms of defects that lead to fatigue crack initiation within the samples, namely a single large-sized pore and a colony of small-sized pores.",0.374286,low,Two pore types were present: large pores at grain boundaries and small pores within grains.
image_0002,3,../02_images/figures/image_0002.jpg,Fig. 4. (continued),0.540717,high,"The difference in the yield strength results from the differences in the as-quenched microstructure (Fig. 4). 10Ni4Mo has finer martensite (than the other two alloys), which increases the Hall-Petch effects.",0.539421,high,"However, as for the HT-HEA, we found a distinctly different cellular microstructure that contains a dual-phase-structured $( \mathrm { F C C } + \mathrm { L } 1 _ { 2 } )$ wall and a single-phase-structured (FCC) interior (Fig. 4).",0.522614,high,"At the end of discharging, only 57.5% of the NCM811 particle demonstrates full lithiation, consistent with the limited C-rate performance $( P _ { \mathfrak { m } } )$ of ASLBs with heterogeneous cathodes (Fig. 4fand Supplementary Table 1).",0.518313,high,The image taken on the interface region (Fig. 9(a)) reveals a greater amount of accumulated dislocations at the interface compared with the undeformed sample (Fig. 4(e1)).,0.515267,high,"The satisfactory ductility and work hardening ability can be primarily attributed to the HDI hardening [34,35,6062] (which owing to the formation of a large number of GNDs at the gradient and heterogeneous interfaces caused by the strain distribution and stress transfer between the different gradient regions (Fig. 2(b) and Fig. 4)), remarkable TWIP effect and dislocation slip (Fig. 5)."
chart_0003,4,../02_images/figures/chart_0003.jpg,bulk hydrogen concentration was calculated using Sievert's Law based on hydrogen pressure of test).,0.356126,low,"However, further increases in austenite fraction do not improve ductility (at 580 C).",0.347638,low,"The effects of different mass fractions of preFABPBO on the dielectric properties, mechanical properties, and heat resistances of the FABPBO-BADCy resin were analyzed to determine the optimal amount of preFABPBO.",0.347532,low,"The density of the specimens, determined via the Archimedes method utilizing XPR 205 (Mettler Toledo, USA), was measured as 4.406 ± 0.004, 4.407 ± 0.003, 4.418 ± 0.007, and 4.412 ± 0.002 g/cm3³ for the 1-1, 2-1, 3-1, and 3-2 samples, respectively.",0.347038,low,The large ductility of the alloys at 1023 K is attributed to the fine microstructure and the change in the fracture mode from brittle fracture mode to ductile fracture mode due to softening of the γ phase and the $\alpha _ { 2 } / \gamma$ lamellar region with low $\mathrm { c r . }$,0.345078,low,The theoretically estimated electrical resistivity of alloy shows good agreement with the experimental data in both as-fabricated and aged states.
chart_0004,5,../02_images/figures/chart_0004.jpg,the specimens being analyzed).,0.370678,low,"The discontinuous precipitation of $\mathrm { L } 1 _ { 2 }$ was identified, which increased the local chemical inhomogeneities of the aged alloy but helped to obtain a finer grain structure.",0.366047,low,"which, for the interprecipitate spacing $\lambda = 3 5 0$ nm measured for the (Ce,Cu)-rich intermetallics in the as-fabricated state, gives \~0.06 μΩ.cm, indicating a limited effect of intermetallic particles on electrical resistivity.",0.36193,low,"However, the room temperature elongation of 4.82% in the CL sample indicates that while the synergy between strength and ductility in the heterogeneous structure of the Sc/Zr modified Al-Cu-Li alloy is effective, it is insufficient to offset the reduction in plasticity caused by the substantial precipitation of hard and brittle $\mathsf { A l } _ { 3 } ( \mathsf { L i } , \mathsf { S c } , \mathsf { Z r } )$ precipitates, revealing a limitation in enhancing ductility.",0.360522,low,"In short, the excellent corrosion resistance of aged alloys can be attributed to the nanoscale amorphous passive film with $\mathrm { C r } _ { 2 } 0 _ { 3 } , \mathrm { A l } _ { 2 } 0 _ { 3 } ,$ and $\mathrm { T i O } _ { 2 }$ as the main constituents that are strongly adhered to the alloy matrix.",0.360222,low,"Moreover, the YS and UTS of the HAM-HT sample increased by 70 and 60 MPa compared with the LPBF-HT sample, respectively, while maintaining similar elongation."
chart_0005,6,../02_images/figures/chart_0005.jpg,Fig. 10. The effect of grain boundary hydrogen on the fracture toughness of hydrogen precharged alloy X-750.,0.588114,high,Fig. 10 shows the correlation between grain boundary hydrogen concentration and the fracture toughness using the trapping energy of 18 kJ/mol.,0.566168,high,"Meanwhile, the R at the edge of the melt pool is low in the early stage of solidification[20], which provides sufficient time for Sc diffusion and agglomeration to form the primary Al3Sc precipitation (Figure 10(g)).",0.527163,high,"Flame retardance properties of PBO fibers/BADCy composites are shown in Fig. 10, and the corresponding characteristic values of cone calorimetry tests, flame retardant grades, and the ultimate oxygen index (LOI) are summarized in Table S5.",0.516525,high,"The passive film was found to be significantly enriched in O and Cr, suggesting that the main constituent species are oxides and hydroxides of $\mathrm { C r } ,$ which agrees well with the XPS results (Fig. 10(b)).",0.516207,high,"As the ductility changes between 1727% (Fig. 10) with changing austenite fraction (617%), the UTS changes are still within 50 MPa."
chart_0006,7,../02_images/figures/chart_0006.jpg,Fig. 11. The effect of grain boundary hydrogen on the tensile ductility of alloy X-750.,0.541802,high,"Heat treatment increased the density and size of $\mathrm { \bf A l _ { 3 } ( S c , ~ Z r ) }$ (Figures 11(f) and 17(b)) with a diameter reaching about 80 nm.",0.511302,high,The result of the diffusive segregation analysis on the tensile behavior is shown in Fig. 11.,0.504638,high,"Fig. 11 presents the FCGR curves (da/dN-∆K) of the BS and the CGHAZ tested at R = 0.1 and f = 0.1 Hz under ex-situ and in-situ conditions, as well as the reference curves obtained with uncharged specimens tested in air (R = 0.1 and f = 10 Hz).",0.503556,high,Fig. 11 presents the ToF-SIMS negative ion depth profiles of the passive films formed on the Cu-free and Cu-containing steels after exposure to 3.5 % NaCl solution at 0 V (vs.,0.502895,high,"Fig. 11 presents the calculation results of vaporization rates of $\mathrm { { \dot { C } u , L i , } }$ Sc, and Zr in AlCuLiScZr alloy."
chart_0007,8,../02_images/figures/chart_0007.jpg,the specimens being analyzed).,0.354839,low,The presence of metastable retained austenite grains is responsible for the strengthductility characteristics of TRIP-assisted multiphase steels [250].,0.342583,low,"This suggests that the embrittlement was due to the high hydrogen concentration near the surface, the same as was observed for the HEE specimens.",0.342084,low,"(5) For PL samples, the fully equiaxed microstructure and the uniform distribution of precipitates significantly enhance the ductility of the alloy.",0.339242,low,"This paper first achieved ultra-high-speed grinding of IN718 superalloy up to 240 m/s, thoroughly explored the formation mechanism of the ground surface, and revealed the machinability of IN718 superalloy at different grinding speeds.",0.338812,low,"As vertical mud cracks subsequently penetrated $\mathrm { Y b } _ { 2 } \mathrm { S i } _ { 2 } \mathrm { O } _ { 7 } / \mathrm { Y b } _ { 2 } \mathrm { S i O } _ { 5 }$ interface, ${ \mathrm { Y b } } _ { 2 } { \mathrm { S i } } _ { 2 } { \mathrm { O } } _ { 7 }$ layer relied on plastic deformation (twinning and dislocations) to relieve thermal stress, preventing further extension of vertical mud cracks along the thickness direction in $\mathrm { Y b } _ { 2 } \mathrm { S i } _ { 2 } \mathrm { O } _ { 7 }$ layer and leading to the bifurcation of vertical mud cracks at the interface."
chart_0008,9,../02_images/figures/chart_0008.jpg,F o .,0.337092,low,"This further shows that when investigating HEE, precharged specimens tested in air may lead to an incorrect prediction on the behavior of materials.",0.336978,low,"As vertical mud cracks subsequently penetrated $\mathrm { Y b } _ { 2 } \mathrm { S i } _ { 2 } \mathrm { O } _ { 7 } / \mathrm { Y b } _ { 2 } \mathrm { S i O } _ { 5 }$ interface, ${ \mathrm { Y b } } _ { 2 } { \mathrm { S i } } _ { 2 } { \mathrm { O } } _ { 7 }$ layer relied on plastic deformation (twinning and dislocations) to relieve thermal stress, preventing further extension of vertical mud cracks along the thickness direction in $\mathrm { Y b } _ { 2 } \mathrm { S i } _ { 2 } \mathrm { O } _ { 7 }$ layer and leading to the bifurcation of vertical mud cracks at the interface.",0.332094,low,"Though, for the HEE specimens, since the fracture behavior is continuous over a large temperature range and may be correlated with the trapping energy on the grain boundary carbides, this would support a hypothesis that thecarbieatri nteacntrols heacture beavor.",0.331317,low,"Furthermore, additional simulations (including strain, equivalent stress, and principal stress) were conducted under the same conditions but with varying distances between the vertical and bifurcated cracks, as detailed in Figs.",0.329653,low,The strain profile ahead of the crack may be used to understand the increased embrittlement of the HEE specimen.
chart_0009,10,../02_images/figures/chart_0009.jpg,Fig. 14. The strain profile ahead of a crack for the IHE and HEE specimens that failed at 44 $\mathrm { { M P a } } _ { \mathrm { { V } } } / \mathrm { { m } } .$,0.541071,high,"Fig. 14 shows the strain profile, calculated from the work of Rice and Johnson [32], for the IHE specimen and the HEE specimens that failed at \~44 MPa/m.",0.537396,high,"where $\rho$ is the dislocation density, and $\rho = 3 . 6 1 \times 1 0 ^ { 1 4 }$ $\mathrm { m } ^ { - 2 }$ in the HAM-HT sample as calculated in Figure 14(a).",0.49028,high,Fig. 14 shows the subsurface microstructure morphology of the workpiece ground at a speed of 240 m/s.,0.489003,high,Fig. 14 illustrates constant load creep performance for all the investigated alloys at 750 °C/455 MPa.,0.485863,high,"The spheroidization of crack still occurred after 10 h heat treatment at $1 2 0 0 ^ { \circ } \mathrm { C }$ , as shown in Fig. 14a4."
