figure_id,figure_index,figure_path,caption,rank,score,cosine_score,confidence,text_token_id,source,text
image_0000,1,../02_images/figures/image_0000.jpg,images (O). (A colour version of this figure can be viewed online),1,0.372737,0.322737,low,paper::sent::65,text_item,"The feedstock powders observed in the SEM images are uniformly distributed in terms of particle size and showed spherical and agglomerated shapes, which is the typical shape of the spray-granulating suitable for APS technology."
image_0000,1,../02_images/figures/image_0000.jpg,images (O). (A colour version of this figure can be viewed online),2,0.370067,0.320067,low,paper::sent::87,text_item,"OM micrographs of shape, size, and distribution of grains and porosity of differently sintered samples (Suppl."
image_0000,1,../02_images/figures/image_0000.jpg,images (O). (A colour version of this figure can be viewed online),3,0.369954,0.319954,low,paper::sent::64,text_item,"The number density per unit area, volume fraction and size of nanoparticles were measured based on at least ten SEM images via ImageJ."
image_0000,1,../02_images/figures/image_0000.jpg,images (O). (A colour version of this figure can be viewed online),4,0.366976,0.316976,low,paper::sent::96,text_item,"Thus, the segregation of B atoms can improve the cohesive strength of the grain boundaries in present CCIMA and reduce the tendency of brittle morphologies of deformation substructures of the CCIMA at different strains. g, i High-resolution TEM and corresponding FFT images (insets) revealing the changes in the types of deformation substructures from APB-coupled superlattice dislocations (5%) to intersected SFs (35%). h Atomic-resolution STEM-HAADF image illustrating the existence of SISF at a strain of 15%."
image_0000,1,../02_images/figures/image_0000.jpg,images (O). (A colour version of this figure can be viewed online),5,0.366371,0.316371,low,paper::sent::42,text_item,"LPS with four different average particle sizes (8, 5, 3, and 1.5 µm) was tested with LZO-coated NMC particles with average particle sizes of 5 and 12 µm."
chart_0001,2,../02_images/figures/chart_0001.jpg,figure can be viewed online),1,0.391465,0.341465,low,paper::sent::64,text_item,The comparative grain sizes implied no significant grain coarsening after heat treatment at elevated temperatures occurred in this LPBF-fabricated Al-Cu-Li-Sc-Zr alloy.
chart_0001,2,../02_images/figures/chart_0001.jpg,figure can be viewed online),2,0.388982,0.338982,low,paper::sent::134,text_item,"Furthermore, the published study reveals that only a slight surface oxidization of wC-Co can be observed after isothermal oxidating for 10 h at 500 °C [27], which is attributed to the oxidation of Co binder phase."
chart_0001,2,../02_images/figures/chart_0001.jpg,figure can be viewed online),3,0.386012,0.336012,low,paper::sent::101,text_item,These results indicate that the CTE of PDC SiC and $\mathrm { S i C _ { f } } / \mathrm { S i C }$ composites do not change below the preparation temperature of UD SiCf/SiC composites and PDC SiC.
chart_0001,2,../02_images/figures/chart_0001.jpg,figure can be viewed online),4,0.381844,0.331844,low,paper::sent::77,text_item,"Dielectric & mechanical properties, heat resistance, and intrinsic thermal conductivities of $F E _ { 0 } – B A D C y ,$ LCFE2-BADCy and $L C F E _ { 5 } – B A D C y$ resins"
chart_0001,2,../02_images/figures/chart_0001.jpg,figure can be viewed online),5,0.379783,0.329783,low,paper::sent::17,text_item,"$^ \circ \mathrm { C }$ in AMS5664 was selected as one temperature, and the onset temperature $1 1 0 0 ~ ^ { \circ } \mathrm { C }$ of the recrystallization of the AM Inconel 718 specimens designated HA1065 and HA1100 were homogenized at 1065 °C and $1 1 0 0 ^ { \circ } \mathrm { C }$ for 1 h, respectively, and then subjected to a two-step aging of $7 6 0 \ ^ { \circ } \mathrm { C } \cdot 1 0$ h/furnace cooling to $6 5 0 ~ ^ { \circ } \mathrm { C }$ at $5 5 ^ { \circ } \mathrm { C } / h + 6 5 0 ^ { \circ } \mathrm { C } - 8$ h/air cooling to RT."
