figure_id,figure_index,figure_path,caption,top1_score,top1_confidence,top1_text,top2_score,top2_confidence,top2_text,top3_score,top3_confidence,top3_text,top4_score,top4_confidence,top4_text,top5_score,top5_confidence,top5_text
image_0000,1,../02_images/figures/image_0000.jpg,"Fig. 1. Sample preparation. (a) CAD models illustrating the cut-out process of tensile coupon specimens from an as-deposited cuboid block. The printing directions, i.e., scan direction (SD), transverse direction (TD), and build direction (BD) are labelled. (b) Schematics of the designed homogenous and heterostructured tensile coupons.",0.564821,high,Fig. 1 shows the tensile behaviors in various gradient structured specimens as well as the CG specimens for comparison.,0.554715,high,The representative tensile curves of the AF and HT aluminum alloy samples at various testing temperatures are presented in Figure 1(a) and Figure 1(b).,0.551624,high,"S1(a)), yielding HS samples with four configurations (A, B, C, and D) as shown in Fig. 1(b).",0.550481,high,"Using each technology, round bars were built in two orientations (i.e. horizontal or X direction, and vertical or Z direction, as referred in Fig. 1) for evaluation and testing of mechanical properties.",0.549963,high,Fig. 1 provides the microstructural characterization of the H230 and H230AM samples.
chart_0001,2,../02_images/figures/chart_0001.jpg,Fig. 5. xRD measurements of the homogenous samples and the heterostructured samples. No new phase is presented in the heterostructured samples.,0.5735,high,Fig. 5 illustrates the phase analysis of the as-fabricated homogenous and HS samples.,0.571202,high,"Fig. 5(d) demonstrates the influence of PAAs sizing agent molecular weight on CF moisture absorption, showing a slight increase post-sizing due to the hydrophilic nature of water-based PAAs.",0.566869,high,Fig. 5(c) shows the MD simulation results of the microstructural evolution during LPBF of CoCrFeNi high-entropy aloy at varying laser energy densities.,0.565361,high,The grain size distribution in the PBF-EB samples was also more uniform than that in the PBF-LB samples (Fig. 5(c) and 5(d)).,0.562852,high,"Compared with the PBF-LB samples, the average grain diameter of the β phase in the PBF-EB samples was reduced by approximately 30 %, as shown in Fig. 5(a) and 5(b), and Table 2."
image_0002,3,../02_images/figures/image_0002.jpg,rows. The necking-induced and shear-induced deformations are marked with black dotted lines.,0.402904,medium,"Stage II (deformation mode coupling): A reduced work-hardening rate slope emerges as deformation mechanisms transition from dislocation slip dominance to a synergistic interplay of twinning, phase transformation, and localized shear banding.",0.392391,low,A stacking fault ribbon consists of four different Shockley partials (denoted throughout the paper as P1 through P4) that shear consecutively on the same {111} slip plane.,0.392206,low,"Furthermore, the greater elastic modulus and stiffness at the interface of PBO fibers/FABPBO-BADCy composites allows for better stress transfer, further enhancing the ILSS and flexural strength (It can be illustrated by the large quantity of BADCy resins adhered to the surface of PBO fibers in Figure S8).",0.389382,low,The enhanced ILSS and flexural strength of CF/PEI composites with PI2/PI3 blend sizing are attributed to the distinct interfacial microstructure formed under melt processing.,0.387055,low,"Secondary cracking is also observed along the prior austenite grain boundaries of the CGHAZ (as highlighted with yellow arrows), which is attributed to a high localized hydrogen concentration at these interfaces located ahead of the primary crack, where hydrostatic tensile stress is maximum."
image_0003,4,../02_images/figures/image_0003.jpg,C Mi indicated using a black box on each of the HS schematic.,0.369323,low,"From these results, the authors suggest the promotion of slow diffusers (especially W) to segregate along stacking faults as well as the formation of n phase along SESFs and χ phase along SISFs for optimal creep properties in future disk superalloys.",0.36738,low,This approach offers significant potential for tailoring precipitation microstructures and enhancing properties in other multiphase compositionally complex alloys.,0.366633,low,"Focus variation microscopy is also a capable surface roughness characterisation technique, with results that are in strong agreement with high-resolution $( 5 \mu \mathrm { m } )$ computed tomography (CT) surface characterisation data presented in [61].",0.365898,low,"From the atomic-scale STEM EDS and HAADF-STEM characterization of active γ' shearing modes following creep at 760 °C and 552 MPa, several notable conclusions can be drawn.",0.363541,low,"Yadollahi et al. reported a surface defect layer of approximately 200 µm [62] and in this research > 200 µm was removed on average in the polishing process (Section 2.4), thus suggesting the improvement in fatigue performance is truly attributed to the elimination of surface defects."
image_0004,5,../02_images/figures/image_0004.jpg,", ive magnification for Samples A and B, respectively. Shear traces are pointed with black arrows.",0.382008,low,Mechanical properties of as-EBM alloy at room temperature exhibited strong plastic anisotropy depending on θ.,0.381133,low,"In addition, the crack deflection at the CVI SiC/PIP SiC interface played an important role in the synergistic improvement of strength and fracture toughness of the SiCf/SiC composites.",0.380343,low,"In this study, a novel strategy is proposed that the interface compressive stress can be used to adjust the interface bonding strength and thus to control the mechanical properties of the SiCf/SiC composites.",0.375084,low,"Deformation, diffusion and fatigue crack growth are coupled, with the model capturing the solubility dependence on the hydrostatic stress and the evolving environment-diffusion interface.",0.374896,low,The present study investigates the high-temperature mechanical properties and microstructural evolution of an Al-Cu-Li-Sc-Zr alloy fabricated using LPBF technology.
image_0005,6,../02_images/figures/image_0005.jpg,bands. (g) Stacking faults in the 316L region.,0.396284,low,"The corresponding FFT pattern reveals stacking faults habit plane is (001). e An inverse FFT image masking circled diffraction spots shows lattice distortion around stacking faults with some additional half planes, indicating the existence of dislocations. f An HRTEM micrograph for the Al9(Fe,Co,Ni)2 particle in (b) slightly off the pillar top with planar defects.",0.386412,low,"To gain deeper insight into the unique strengthening effect from the one-dimensional architecture of the nano-whiskers, TEM observations were performed on both in-situ tensile test and post-deformation specimens.",0.377899,low,(1) Cracks were absent in the laser glazing regions when inoculating the Al4Cu1Li alloy with 0.8Sc0.4Zr and 1.0Sc0.5Zr.,0.377212,low,The large ductility of the alloys at 1023 K is attributed to the fine microstructure and the change in the fracture mode from brittle fracture mode to ductile fracture mode due to softening of the γ phase and the $\alpha _ { 2 } / \gamma$ lamellar region with low $\mathrm { c r . }$,0.375354,low,This dislocation behavior suggests that nanowhiskers not only strengthen the alloy through interfacial blocking effects but also promote multi-system dislocation slip.
image_0006,7,../02_images/figures/image_0006.jpg,Phase map at the interface after deformation.,0.36085,low,"Finally, the uniform distribution of Cr in the Cu-containing steel promotes the formation of dense (Cr,Mo)-rich passive films, enhancing corrosion resistance.",0.357211,low,"These results indicate the (Ce,Cu)-rich intermetallic particles are the dominant strengthening factor in the as-fabricated alloy.",0.352757,low,High stress regions can be favoured for roughness reduction orientations i.e. high stress zone has surfaces with >40° orientation.,0.352733,low,Joeris et al. [26] reported that pre-oxidizing the bond coat in argon prior to depositing the topcoat extended the lifetime of the columnar SPS coating due to changes in failure behavior.,0.351795,low,"In the undeformed region, residual stresses are localized at grain boundaries, while low-stress domains (blue-dominated areas) dominate most grains."
chart_0007,8,../02_images/figures/chart_0007.jpg,"a deor smle, repevely. ) n ) ens stm the maps ) n , pevly.",0.402996,medium,The elastic modulus mismatch between the matrix and nanoparticles can also lead to increased GND during deformation.,0.391355,low,"On the PH17-4 side, the GNDs are more tangled, corresponding to necking-induced deformation.",0.379883,low,"GA samples were denser than WA samples, due to higher green density and lower oxygen content, with the highest density (99.2%) reached after sintering at 1285°C.",0.377925,low,The primary diffraction peak observed in all samples is α-Al.,0.376176,low,"In HS materials with heterogeneity in the range of roughly a few nanometers to a hundred nanometers, the HDI hardening effect is reported to have a dominating effect [2931]."
image_0008,9,../02_images/figures/image_0008.jpg,"Sample A, Band C respectively Necking locatons aremarked wih yelow arrows the at-acture ages.",0.36608,low,"In addition to the initial assessment of thermal stress accumulation within a multilayer coating system utilizing thermal mismatch stress, an in-depth evaluation of the interface stability between m-TGO and both the bottom CMC and the top $\mathrm { Y b } _ { 2 } \mathrm { S i } _ { 2 } \mathrm { O } _ { 7 }$ layer is needed.",0.364561,low,The large ductility of the alloys at 1023 K is attributed to the fine microstructure and the change in the fracture mode from brittle fracture mode to ductile fracture mode due to softening of the γ phase and the $\alpha _ { 2 } / \gamma$ lamellar region with low $\mathrm { c r . }$,0.361213,low,Microstructural evolution of the AMed alloys is associated with the chemical composition of CoCrNi(Al0.6Ti-Fe)x alloys.,0.358875,low,"As a result, the coprecipitation of Cu-rich, Ni3Ti and austenite phases leads to an optimal combination of high yield strength and improved ductility.",0.358615,low,The synergistic effects of Al depletion and O enrichment govern microstructural evolution in EB-PBF TiAl alloys.
image_0009,10,../02_images/figures/image_0009.jpg,locions of global multi-necking due to local confined-necking co-deformation.,0.387806,low,"This improvement is attributed to the robust interfacial structure induced by the PAA-based coating, which not only suppresses microcrack propagation but also maintains interface stability under sustained shear and frictional stress.",0.386637,low,"As beneficial elements for passivation, a moderate increase of ${ \sf A l } _ { 2 } { \sf O } _ { 3 }$ and $\mathrm { T i O } _ { 2 }$ within the passive film can promote the protective and robust nature of the passive film, thus enhancing the corrosion resistance of the aged alloy [9295].",0.384313,low,"In short, the excellent corrosion resistance of aged alloys can be attributed to the nanoscale amorphous passive film with $\mathrm { C r } _ { 2 } 0 _ { 3 } , \mathrm { A l } _ { 2 } 0 _ { 3 } ,$ and $\mathrm { T i O } _ { 2 }$ as the main constituents that are strongly adhered to the alloy matrix.",0.383324,low,"This study revealed the formation mechanisms of white and dark layers induced by grinding, demonstrating the critical role of carbon redistribution in differentiating the physicomechanical properties between the superficial and subsurface layers.",0.381546,low,"The interplay between highly localised deformation, stress concentration, and the formation of microvoids at grain boundaries and induced by coarse intermetallic compounds contributes to a reduction in the elongation and fracture toughness of the alloy [56]."
