figure_id,figure_index,figure_path,caption,rank,score,cosine_score,confidence,text_token_id,source,text
image_0000,1,../02_images/figures/image_0000.jpg,B/ABCC v- m .,1,0.351469,0.301469,low,paper::sent::35,text_item,And the modified BADCy resins are further prepared by copolymerization between the $\mathrm { L C F E } _ { 2 }$ & $\mathrm { L C F E } _ { 5 }$ and BADCy matrix.
image_0000,1,../02_images/figures/image_0000.jpg,B/ABCC v- m .,2,0.34876,0.29876,low,paper::sent::51,text_item,The different composites are used to build half-cells with $\mathrm { L i } _ { 5 . 5 } \mathrm { P S } _ { 4 . 5 } \mathrm { C l } _ { 1 . 5 }$ as the separator and In/LiIn alloy as the counter electrode. $\mathrm { L i } _ { 5 . 5 } \mathrm { P S } _ { 4 . 5 } \mathrm { C l } _ { 1 . 5 }$ was used as the separator because it has a conductivity of 8 mS $\mathrm { c m ^ { - 1 } }$ that ensures a low resistance of the separator and only a low effect on the performance of the cell.[14] The cells are either charged and discharged at various C-rates or at 0.1 C for 50 cycles.
image_0000,1,../02_images/figures/image_0000.jpg,B/ABCC v- m .,3,0.347523,0.297523,low,paper::sent::39,text_item,"Liquid vinyl-containing hydrogen polycarbosilane (VH-PCS, Institute of Chemistry, Chinese Academy of Sciences) with molecular weight 600010000 was used as polymer precursor for the"
image_0000,1,../02_images/figures/image_0000.jpg,B/ABCC v- m .,4,0.346801,0.296801,low,paper::sent::29,text_item,"Li and Chuang [50] utilized bisphenol A diglycidyl ether (DGEBA) and 4,4′-bis(2,3-epoxy-propoxy) biphenyl (BP) to prepare DGEBA/CE and BP/CE resins."
image_0000,1,../02_images/figures/image_0000.jpg,B/ABCC v- m .,5,0.344319,0.294319,low,paper::sent::33,text_item,Li et al.[19] fabricated a novel AlMgScZr alloy by LPBF and achieved a yield strength of
chart_0001,2,../02_images/figures/chart_0001.jpg,"Fi. 2.1H NMR, 13C NMR, and FT-IR spectra of FE0, LCFE2, and LCFE5.",1,0.388173,0.338173,low,paper::sent::66,text_item,Electrochemical stability was assessed by linear sweep voltammetry (LSV) using Li/SSE/SS cells within 27 V at 10 mV $\thinspace \thinspace \thinspace \thinspace \thinspace s ^ { - 1 }$ at 25 and $5 5 ~ ^ { \circ } \mathrm { C }$ The $\mathrm { L i ^ { + } }$ transference number (tti) was determined from DC polarization and EIS analysis of Li symmetric cells at 55 °C using the BruceVincent equation (Eq. (4)):
chart_0001,2,../02_images/figures/chart_0001.jpg,"Fi. 2.1H NMR, 13C NMR, and FT-IR spectra of FE0, LCFE2, and LCFE5.",2,0.386343,0.336343,low,paper::sent::38,text_item,"The resulting LPS SE shows an ionic conductivity of 0.39 mS $\mathrm { c m } ^ { - 1 }$ , consistent with previous reports.[27] The smallparticle-size LPS used in the cathode composite was prepared by wet ball milling the LPS SE with heptane and dibutyl ether using a Retsch PM200 ball mill.[7] LPS particles with different average diameters were prepared using $\mathrm { Z r O } _ { 2 }$ balls ranging in size from 1 to 10 mm under different ball-milling conditions."
chart_0001,2,../02_images/figures/chart_0001.jpg,"Fi. 2.1H NMR, 13C NMR, and FT-IR spectra of FE0, LCFE2, and LCFE5.",3,0.385258,0.335258,low,paper::sent::68,text_item,Lithium plating/ stripping stability was examined by cyclic voltammetry (CV) of Li/SSE/ Cu cells between −0.2 and 3.0 V.
chart_0001,2,../02_images/figures/chart_0001.jpg,"Fi. 2.1H NMR, 13C NMR, and FT-IR spectra of FE0, LCFE2, and LCFE5.",4,0.37947,0.32947,low,paper::sent::148,text_item,Recent results by Marchese et al. characterized the evolution of LPBF processed Inconel 625.
chart_0001,2,../02_images/figures/chart_0001.jpg,"Fi. 2.1H NMR, 13C NMR, and FT-IR spectra of FE0, LCFE2, and LCFE5.",5,0.379023,0.329023,low,paper::sent::60,text_item,"Ionic conductivity was measured using stainless steel (SS)/ solid-state electrolyte (SSE)/SS symmetric cells by electrochemical impedance spectroscopy (EIS, Zive SP1, Wonatech) over a frequency range of $1 0 ^ { 6 } – 1 0 ^ { - 1 }$ Hz with a 5 mV amplitude between 25 and $1 0 5 ^ { \circ } \mathrm { C } .$ Conductivity (σ) was calculated using Eq. (1):"
