figure_id,figure_index,figure_path,caption,rank,score,cosine_score,confidence,text_token_id,source,text
image_0000,1,../02_images/figures/image_0000.jpg,"Fig. 1 T colour in this figure legend, the reader is referred to the web version of this article.)",1,0.388023,0.338023,low,paper::sent::32,text_item,"With multi-probe microstructure analysis and mechanical testing, the phase formation kinetics of newly designed alloys are evaluated, and the mechanical effects of precipitation and austenite reversion are discussed."
image_0000,1,../02_images/figures/image_0000.jpg,"Fig. 1 T colour in this figure legend, the reader is referred to the web version of this article.)",2,0.384083,0.334083,low,paper::sent::34,text_item,"It is worth emphasizing that the present work offers an improved understanding of the high-temperature stress rupture behavior and mechanism of DED-manufactured advanced precipitation strengthening Ni-based superalloy, which is important for its high-temperature practical applications."
image_0000,1,../02_images/figures/image_0000.jpg,"Fig. 1 T colour in this figure legend, the reader is referred to the web version of this article.)",3,0.383911,0.333911,low,paper::sent::26,text_item,Nie et al. [16] utilized the Finite Element Method (FEM) followed by a stochastic analysis for temperature distribution and microstructure predictions.
image_0000,1,../02_images/figures/image_0000.jpg,"Fig. 1 T colour in this figure legend, the reader is referred to the web version of this article.)",4,0.381602,0.331602,low,paper::sent::24,text_item,"Jia et al. [22] discovered that the area fraction of the O phase increased after solution treatment of hot extrusion samples, which indicated that the lower cooling rate contributed to the precipitation and growth of the O phase from the B2 phase."
image_0000,1,../02_images/figures/image_0000.jpg,"Fig. 1 T colour in this figure legend, the reader is referred to the web version of this article.)",5,0.378405,0.328405,low,paper::sent::33,text_item,We aim for optimal precipitation and austenite reversion through a single annealing step.
chart_0001,2,../02_images/figures/chart_0001.jpg,diffusivity of the different elements in the martensite matrix at $\mathrm { ( _ { 1 } ) 5 3 0 ^ { \circ } C }$ and $\mathrm { ( _ { 2 } ) 5 8 0 ^ { \circ } C ; }$ and (d) the maximum normalized bcc→fcc phase transformation driving force (dG/RT) and equilibrium austenite (fcc) fraction with different alloying elements at $\mathrm { ( _ { 1 } ) 5 3 0 ~ ^ { \circ } C }$ and $\left( _ { 2 } \right) 5 8 0 ^ { \circ } \mathbf { C } .$,1,0.370549,0.320549,low,paper::sent::117,text_item,"In the as-sintered condition, the coarser fraction ranges in size approximately from one to two micrometers, while the finer fraction shows precipitates with sizes smaller than one micron."
chart_0001,2,../02_images/figures/chart_0001.jpg,diffusivity of the different elements in the martensite matrix at $\mathrm { ( _ { 1 } ) 5 3 0 ^ { \circ } C }$ and $\mathrm { ( _ { 2 } ) 5 8 0 ^ { \circ } C ; }$ and (d) the maximum normalized bcc→fcc phase transformation driving force (dG/RT) and equilibrium austenite (fcc) fraction with different alloying elements at $\mathrm { ( _ { 1 } ) 5 3 0 ~ ^ { \circ } C }$ and $\left( _ { 2 } \right) 5 8 0 ^ { \circ } \mathbf { C } .$,2,0.365027,0.315027,low,paper::sent::100,text_item,The near absence of Cu segregation in the laser glazing region indicates that the Cu element segregated at the equiaxed grain boundaries in the cast region was nearly solutionized in the Al matrix in the laser glazing region owing to the high cooling rate during solidification froze most solutes in the Al matrix.
chart_0001,2,../02_images/figures/chart_0001.jpg,diffusivity of the different elements in the martensite matrix at $\mathrm { ( _ { 1 } ) 5 3 0 ^ { \circ } C }$ and $\mathrm { ( _ { 2 } ) 5 8 0 ^ { \circ } C ; }$ and (d) the maximum normalized bcc→fcc phase transformation driving force (dG/RT) and equilibrium austenite (fcc) fraction with different alloying elements at $\mathrm { ( _ { 1 } ) 5 3 0 ~ ^ { \circ } C }$ and $\left( _ { 2 } \right) 5 8 0 ^ { \circ } \mathbf { C } .$,3,0.363429,0.313429,low,paper::sent::108,text_item,"The resulting line profile confirms the segregation of Co, W, and Cr along the fault as well as the depletion of Ni and Al."
chart_0001,2,../02_images/figures/chart_0001.jpg,diffusivity of the different elements in the martensite matrix at $\mathrm { ( _ { 1 } ) 5 3 0 ^ { \circ } C }$ and $\mathrm { ( _ { 2 } ) 5 8 0 ^ { \circ } C ; }$ and (d) the maximum normalized bcc→fcc phase transformation driving force (dG/RT) and equilibrium austenite (fcc) fraction with different alloying elements at $\mathrm { ( _ { 1 } ) 5 3 0 ~ ^ { \circ } C }$ and $\left( _ { 2 } \right) 5 8 0 ^ { \circ } \mathbf { C } .$,4,0.362672,0.312672,low,paper::sent::78,text_item,The cell impedance $Z _ { \mathrm { C C } }$ of the ionic blocking cell is described as
chart_0001,2,../02_images/figures/chart_0001.jpg,diffusivity of the different elements in the martensite matrix at $\mathrm { ( _ { 1 } ) 5 3 0 ^ { \circ } C }$ and $\mathrm { ( _ { 2 } ) 5 8 0 ^ { \circ } C ; }$ and (d) the maximum normalized bcc→fcc phase transformation driving force (dG/RT) and equilibrium austenite (fcc) fraction with different alloying elements at $\mathrm { ( _ { 1 } ) 5 3 0 ~ ^ { \circ } C }$ and $\left( _ { 2 } \right) 5 8 0 ^ { \circ } \mathbf { C } .$,5,0.362185,0.312185,low,paper::sent::159,text_item,"The alloys compositions are measured by EDS (Table 1), which revealed 1\~2 wt.% variation between the nominal composition and the final cast composition."
chart_0002,3,../02_images/figures/chart_0002.jpg,Fig. 3. Calculated (a) Ms temperatures (C) [39] and (b) equilibrium phases (at $1 0 0 0 ~ ^ { \circ } \mathrm { C } )$ for the Fe-13Cr-xNi-1Al-yMo alloys with different Mo and Ni concentrations. The test alloys are shown as black dots.,1,0.566493,0.316493,high,paper::sent::116,text_item,"Moreover, no oxidation of SiC fibers or the SiC matrix in the CMC substrate was detected, nor was there any formation of a SiO2 scale at the CMC/bond coating interface (Figs. 3(d2) and 3(d3))."
