figure_id,figure_index,figure_path,caption,rank,score,cosine_score,confidence,text_token_id,source,text
chart_0000,1,../02_images/figures/chart_0000.jpg,Fi 2. with error bars representing ± 1 standard deviation).,1,0.373493,0.323493,low,paper::sent::39,text_item,Chen et al.[24] developed an effective ultrasonic surface rolling process technology to improve the fatigue life of AM-processed CoCrNi alloy.
chart_0000,1,../02_images/figures/chart_0000.jpg,Fi 2. with error bars representing ± 1 standard deviation).,2,0.371825,0.321825,low,paper::sent::64,text_item,The comparative grain sizes implied no significant grain coarsening after heat treatment at elevated temperatures occurred in this LPBF-fabricated Al-Cu-Li-Sc-Zr alloy.
chart_0000,1,../02_images/figures/chart_0000.jpg,Fi 2. with error bars representing ± 1 standard deviation).,3,0.371568,0.321568,low,paper::sent::65,text_item,The corrosion behaviors of Cu-free and Cu-containing steels were evaluated in an SRB-inoculated solution with an initial bacterial concentration of ${ 1 0 } ^ { 6 }$ cfu/mL at a temperature $3 0 \pm 3 ^ { \circ } \mathrm { C }$ over 14 days.
chart_0000,1,../02_images/figures/chart_0000.jpg,Fi 2. with error bars representing ± 1 standard deviation).,4,0.371282,0.321282,low,paper::sent::85,text_item,The B2 phase's limited deformability contributes to this reduction in ductility.
chart_0000,1,../02_images/figures/chart_0000.jpg,Fi 2. with error bars representing ± 1 standard deviation).,5,0.369813,0.319813,low,paper::sent::105,text_item,"After PI sizing, the CC content decreased markedly, while C=O and CN contents increased, confirming the successful deposition of imide-rich polymer coatings on the carbon fiber surfaces."
image_0001,2,../02_images/figures/image_0001.jpg,"P, rox of this article).",1,0.370185,0.320185,low,paper::sent::92,text_item,"To further demonstrate this mechanism, SEM was used to characterize powders with different cycles."
image_0001,2,../02_images/figures/image_0001.jpg,"P, rox of this article).",2,0.369681,0.319681,low,paper::sent::68,text_item,"EDS mapping indicates that the composition of the nanoparticle is 78.7 ± 3.5 at% of B, 18.8 ± 3.6 at% of C and 2.5 ± 0.7% of Al, with little elemental diffusion or reaction at the interface. g The representative SEM image and HAADF-STEM image of as-built Cu- $\mathrm { C r } \mathsf { B } _ { 2 }$ composites."
image_0001,2,../02_images/figures/image_0001.jpg,"P, rox of this article).",3,0.366182,0.316182,low,paper::sent::47,text_item,"The gas-atomized spherical AlMgSc powder (Al-4.7 Mg-1.3Sc-0.6Zr-0.8Mn-0.01Si, wt%) was used as feedstock."
image_0001,2,../02_images/figures/image_0001.jpg,"P, rox of this article).",4,0.365113,0.315113,low,paper::sent::130,text_item,"Therefore, the decrease in IFSS could be attributed to the crystallization of BN interphase."
image_0001,2,../02_images/figures/image_0001.jpg,"P, rox of this article).",5,0.357633,0.307633,low,paper::sent::118,text_item,"Therefore, high-density nanotwins are formed within the FCC precipitates."
chart_0002,3,../02_images/figures/chart_0002.jpg,(b); Ratio (RIR) method.,1,0.355758,0.305758,low,paper::sent::93,text_item,"However, for the AM samples, owing to the increase of NbC carbides from almost 0 % in sample AM20m to 0.36 % in sample AM12h (Table 3), it can be inferred that the formation of NbC is due to the accumulation of Nb near the NbC nuclei."
chart_0002,3,../02_images/figures/chart_0002.jpg,(b); Ratio (RIR) method.,2,0.353144,0.303144,low,paper::sent::97,text_item,"In order to further quantify the Nb homogeneity, the Nb concentration distribution of the γ matrix in the vicinity of NbC carbides was determined by EDS point identification."
chart_0002,3,../02_images/figures/chart_0002.jpg,(b); Ratio (RIR) method.,3,0.351355,0.301355,low,paper::sent::129,text_item,"No new phase is observed for the HS samples, and no obvious difference is observed across different HS designs, in consistent with the literature [61]."
chart_0002,3,../02_images/figures/chart_0002.jpg,(b); Ratio (RIR) method.,4,0.351289,0.301289,low,paper::sent::94,text_item,This behavior was previously observed by Vargas-Arista et al. [48] in the HAZ of a 42CrMo4 steel with different grain sizes and yield strengths.
chart_0002,3,../02_images/figures/chart_0002.jpg,(b); Ratio (RIR) method.,5,0.351176,0.301176,low,paper::sent::121,text_item,Titration analysis revealed the Al content evolution in recycled powders (Table. 2).
image_0003,4,../02_images/figures/image_0003.jpg,scan energy spectrum of typical microstructures of powders.,1,0.372127,0.322127,low,paper::sent::174,text_item,unidirectional (UD) SiCf/SiC composites with CVI BN interphase were fabricated by PIP process.
image_0003,4,../02_images/figures/image_0003.jpg,scan energy spectrum of typical microstructures of powders.,2,0.37126,0.32126,low,paper::sent::81,text_item,Such an improvement of microstructural consistency and the elimination of printing porosities would help the nanocomposites to fully display their intrinsic mechanical properties.
image_0003,4,../02_images/figures/image_0003.jpg,scan energy spectrum of typical microstructures of powders.,3,0.370179,0.320179,low,paper::sent::141,text_item,"The development of similar microstructures were previously reported by Loeber et al. [15] and Terner et al. [31] in Ti-(46-48)Al-2Cr-2Nb and Ti-(47-48)Al-2Cr-8Nb EBM alloys, although the term ""layer"" was not mentioned."
image_0003,4,../02_images/figures/image_0003.jpg,scan energy spectrum of typical microstructures of powders.,4,0.369837,0.319837,low,paper::sent::96,text_item,"Thus, the segregation of B atoms can improve the cohesive strength of the grain boundaries in present CCIMA and reduce the tendency of brittle morphologies of deformation substructures of the CCIMA at different strains. g, i High-resolution TEM and corresponding FFT images (insets) revealing the changes in the types of deformation substructures from APB-coupled superlattice dislocations (5%) to intersected SFs (35%). h Atomic-resolution STEM-HAADF image illustrating the existence of SISF at a strain of 15%."
image_0003,4,../02_images/figures/image_0003.jpg,scan energy spectrum of typical microstructures of powders.,5,0.369788,0.319788,low,paper::sent::88,text_item,"These findings demonstrate that the in-situ generation of $\mathrm { M g A l B } _ { 4 }$ phase effectively mitigates key challenges associated with LPBF processing of commercial AA2024, including coarse columnar grains, extensive hot cracking, and high defect density."
