figure_id,figure_index,figure_path,caption,rank,score,cosine_score,confidence,text_token_id,source,text
image_0000,1,../02_images/figures/image_0000.jpg,Fig. 1. Schematic drawings of the short (a) and long (b) 444 alloy rods fabricated by the EBM and the specimen configuration for tensile tests (c).,1,0.575347,0.325347,high,paper::sent::65,text_item,Fig. 1 shows the tensile behaviors in various gradient structured specimens as well as the CG specimens for comparison.
image_0000,1,../02_images/figures/image_0000.jpg,Fig. 1. Schematic drawings of the short (a) and long (b) 444 alloy rods fabricated by the EBM and the specimen configuration for tensile tests (c).,2,0.575156,0.325156,high,paper::sent::38,text_item,The representative tensile curves of the AF and HT aluminum alloy samples at various testing temperatures are presented in Figure 1(a) and Figure 1(b).
image_0000,1,../02_images/figures/image_0000.jpg,Fig. 1. Schematic drawings of the short (a) and long (b) 444 alloy rods fabricated by the EBM and the specimen configuration for tensile tests (c).,3,0.570892,0.320892,high,paper::sent::94,text_item,"At the tensile strains of 0.05 and 0.1 prior to the onset of Θ rise (Fig. 1(d)),"
image_0000,1,../02_images/figures/image_0000.jpg,Fig. 1. Schematic drawings of the short (a) and long (b) 444 alloy rods fabricated by the EBM and the specimen configuration for tensile tests (c).,4,0.570622,0.320622,high,paper::sent::75,text_item,"Fig. 1(a) shows the increase of yield strength $\left( \sigma _ { 0 . 2 } \right)$ of all gradient-structured specimens of 1-mm thick (superscript represents specimen thickness in mm) with increasing SMAT duration (subscript, minutes), with a slight decrease of uniform tensile elongation $\varepsilon _ { u \cdot }$ For example, the processing by SMAT for 15 min, i.e. $\mathsf { G S } _ { 1 5 } ^ { 1 } ,$ increased $\sigma _ { 0 . 2 }$ by 132% while $\varepsilon _ { u }$ dropped by only 30%, which is consistent with an early report on gradient structured IF steel [29]."
image_0000,1,../02_images/figures/image_0000.jpg,Fig. 1. Schematic drawings of the short (a) and long (b) 444 alloy rods fabricated by the EBM and the specimen configuration for tensile tests (c).,5,0.569544,0.319544,high,paper::sent::37,text_item,Fig. 1 shows an image of representative tensile sample.
image_0001,2,../02_images/figures/image_0001.jpg,Fig. 3. ED-v process map for $E _ { \mathrm { d } }$ of the 444 alloy rods fabricated by the EBM.,1,0.574993,0.324993,high,paper::sent::78,text_item,"Additionally, to examine the internal nanostructure of recrystallized layer, observation samples were prepared using a focused ion beam system (Helios 600i), as depicted in Fig. 3."
image_0001,2,../02_images/figures/image_0001.jpg,Fig. 3. ED-v process map for $E _ { \mathrm { d } }$ of the 444 alloy rods fabricated by the EBM.,2,0.562122,0.312122,high,paper::sent::95,text_item,"At R15, two distinct types of irregular particles emerged: (1) fused satellite particles adhering to larger counterparts (Fig. 3 d, h2), and (2) particles with partial surface melting traces without complete fusion (Fig. 3 h3, h4)."
image_0001,2,../02_images/figures/image_0001.jpg,Fig. 3. ED-v process map for $E _ { \mathrm { d } }$ of the 444 alloy rods fabricated by the EBM.,3,0.560827,0.310827,high,paper::sent::90,text_item,"Both in Fig. 3(a) and Figs. 3(c-e), the occurrence of nitrogen components in PAAs treated CF proved the successful coating of PAAs on CF surface."
image_0001,2,../02_images/figures/image_0001.jpg,Fig. 3. ED-v process map for $E _ { \mathrm { d } }$ of the 444 alloy rods fabricated by the EBM.,4,0.560081,0.310081,high,paper::sent::82,text_item,"A notable increase of the particle size of NbC carbides can be identified in sample AM12h (Fig. 3(h)) after 12-h homogenization by comparing with samples AM20m (20-min, Fig. 3(f)) and AM1h (1-h, Fig. 3(g))."
image_0001,2,../02_images/figures/image_0001.jpg,Fig. 3. ED-v process map for $E _ { \mathrm { d } }$ of the 444 alloy rods fabricated by the EBM.,5,0.554538,0.304538,high,paper::sent::61,text_item,Microstructure evolution in suction-cast and LPBF alloys during homogenization are shown in Fig. 3 as SEM-BSE (backscattered electron) images for comparison.
