figure_id,figure_index,figure_path,caption,top1_score,top1_confidence,top1_text,top2_score,top2_confidence,top2_text,top3_score,top3_confidence,top3_text,top4_score,top4_confidence,top4_text,top5_score,top5_confidence,top5_text
image_0000,1,../02_images/figures/image_0000.jpg,in mm.,0.360903,low,The generalized plane strain equation was employed to conduct a linear static structural analysis.,0.35787,low,The interfacial shear strength (τi) can be calculated by Equations (4)(6):,0.357527,low,"Specifically, the questions we aim to answer are: (i) What are the tensile strength and ductility that we can achieve in bi-metallic HSs made by L-DED? (ii) What is the dominating mechanism that leads to the improvements in the tensile strength and ductility of bi-metallic HSs? (ii) How can one design the bi-metallic HS parameters, including the lamella thickness, the material volume friction, and the number of interfaces, to achieve HSs with improved tensile strength and ductility?",0.356419,low,"In this work, interfacial shear strength and interfacial dynamic friction shear strength were determined by micro-shear tests.",0.355992,low,The flexural strength was measured by three-point bending test (specimen size of $4 0 ^ { 1 }$ mm $\times 5 ^ { \mathrm { w } }$ mm $\times 3 ^ { \mathrm { h } }$ mm) with a support span length of 30 mm and a cross-head speed of 0.5 mm/ min using a universal testing machine (HD-609B; Haida Qualitative Analysis).
image_0001,2,../02_images/figures/image_0001.jpg,b); used for flat specimens manufactured at inclination less than 40°.,0.359033,low,"Three-dimensional CAD models were created replicating the geometrical signatures, i.e., shape and material arrangements, of the tested HS samples.",0.35851,low,The role of microstructural trapping sites in slowing diffusion can be accounted for by considering D to be the effective diffusion coefficient (as opposed to the lattice one).,0.358196,low,Shallow impact angles and shadowing effects from surface topography contribute to the development of columnar structures in the deposited coatings [21].,0.356773,low,"To protect the passive film from $G \mathfrak { a } ^ { + }$ damage, a thin Au layer was previously coated onto the specimen surface using a vacuum sputtering device (Smart Coater, JEOL).",0.355577,low,"We noticed the as-built samples exhibit reduced ductility compared to the additively manufactured $_ \mathrm { A l C o C r F e N i _ { 2 } }$ EHEA reported by Ren et $\mathrm { { a l . } }$ , despite having similar $\sigma _ { u } ~ [ 1 4 ] .$ This discrepancy is attributed to the significantly higher volume fraction of the B2 phase (\~83.6 %) in the current samples, which is 50 % more than that in the previously additive-manufactured samples [14]."
image_0002,3,../02_images/figures/image_0002.jpg,colour key for HCP phase is shown along with build direction (BD).,0.383397,low,"To further elucidate the excellent comprehensive mechanical properties of the N1-LAG material with gradient structure, detailed TEM characterizations were performed before and after tensile deformation.",0.378287,low,"fibers/BADCy micro-composites; SEM images of PBO fibers after single fiber pull-out test $\ ( { \mathsf { d } } _ { 1 } - { \mathsf { d } } _ { 4 } ) ;$ TEM images of the interface of PBO fibers/BADCy $\displaystyle \left( \mathsf { e } _ { 1 } \mathrm { - } \mathsf { e } _ { 3 } \right)$ micro-composites by the technique of ultrathin section; Digital photos of the samples $( \mathsf { f } _ { 1 } - \mathsf { f } _ { 2 } )$ and indentation point distribution (f3) of a/A $\displaystyle ( \mathtt { g } _ { 1 } - \mathtt { g } _ { 3 } ) ;$ Digital photos of the samples before and after transverse tensile test $( h _ { 1 } - h _ { 3 } ) .$ , and the stress analysis of PBO fibers/BADCy during tensile process $( \mathsf { h } _ { 4 } ) ;$ Contact angles between PBO fibers and different BADCy matrix $( \mathfrak { i } _ { 1 } - \mathfrak { i } _ { 3 } ) ;$ Optimized structures and binding energies of different PBO fibers/BADCy micro-composites (j); Theoretical molecular interaction of PBO fibers/ BADCy composites $( \mathsf { k } _ { 1 } )$ and PBO fiber/FABPBO interfacial compatibilizer (k2); Schematic diagram of interfacial enhancement mechanism for PBO fibers/FABPBO-BADCy micro-composites (I).",0.377861,low,"In addition to the surface morphology normal to the BD, the microstructure along the BD also has an important influence on the properties of Ti-22Al-25 Nb alloy.",0.377263,low,Microstructure and morphology characteristics analysis of the white and dark layers under SEM,0.376051,low,Amato et al. described the microstructure of HIPed Inconel 625 processed by LPBF as consisting of a NiCr equiaxed grains with the presence of annealing twins.
image_0003,4,../02_images/figures/image_0003.jpg,direction and scale is indicated in each image.,0.390051,low,The orientation dependence of the deformation behavior of the as-EBM alloys derived from this layered microstructure is described in the next section.; 1;,0.383882,low,"To reveal the crucial effect of the DINL in eliminating the intergranular embrittlement, geometrically-necessary dislocation (GND) distributions under different deformation strains were measured using the EBSD method.",0.378945,low,The above results indicate that dislocation slip and deformation twinning are the dominant deformation mechanisms in the N1-LAG material.,0.377473,low,"To further uncover the intrinsic origins of the ultrahigh WHR, detailed deformation mechanisms under different deformation stages were studied using TEM coupled with density functional theory (DFT) simulations.",0.376147,low,"Thus, the segregation of B atoms can improve the cohesive strength of the grain boundaries in present CCIMA and reduce the tendency of brittle morphologies of deformation substructures of the CCIMA at different strains. g, i High-resolution TEM and corresponding FFT images (insets) revealing the changes in the types of deformation substructures from APB-coupled superlattice dislocations (5%) to intersected SFs (35%). h Atomic-resolution STEM-HAADF image illustrating the existence of SISF at a strain of 15%."
chart_0004,5,../02_images/figures/chart_0004.jpg,Downward Facing Upward Facing Side Facing; Downward Facing Upward Facing Side facing,0.365278,low,Amato et al. reported an increase in hardness and UTS at the expense of elongation for LPBF printed Inconel 625 specimens that were HIPed versus as-fabricated.,0.365226,low,"The grain size is not significantly increased after 12-h homogenization at 1180 °C from sample AM1h to sample AM12h, especially when compared with that in the cast alloys.",0.36462,low,This is primarily attributed to the diminishing impact of dislocation strengthening of the as-annealed samples compared with that of the as-built ones.,0.360861,low,The results obtained in this manuscript show that HIPing of binder jetting printed parts enabled higher strength values compared to other reported values for Inconel 625 in the aged condition.,0.356844,low,"The results show that the friction coefficient of the N1-LAG material increased rapidly at the beginning, owing to the unsatisfactory contact conditions caused by work hardening layer with high hardness."
chart_0005,6,../02_images/figures/chart_0005.jpg,Downward Facing Upward Facing Side facing; Downward Facing Upward Facing Side Facing,0.369762,low,This is primarily attributed to the diminishing impact of dislocation strengthening of the as-annealed samples compared with that of the as-built ones.,0.365845,low,Amato et al. reported an increase in hardness and UTS at the expense of elongation for LPBF printed Inconel 625 specimens that were HIPed versus as-fabricated.,0.364685,low,"Results of mechanical testing for the three technologies were compared to the ASTM standard F3056-14 as this specification provides a baseline for components produced by AM technologies to meet mechanical properties equivalent to those of forged and/or wrought nickel alloy products (ASTM International, 2014a).",0.362327,low,"Decarburization during different stages of sintering is not unusual and is a known phenomenon in Metal Injection Molding, which follows a similar process-chain as Binder Jetting [37,38].",0.360929,low,"Contrarily, no pinning effect was found in suction-cast alloys mainly due to the large NbC particle size in the early stage of homogenization and their average distribution inside of the matrix of the grains."
image_0006,7,../02_images/figures/image_0006.jpg,variation data (m)(p).,0.372792,low,"These results suggest that the γ phase and the coarse lamellar region are primarily responsible for the deformation, while the β phase and the ultrafine lamellar grain are barely deformed at 1023 K.",0.371296,low,The present study investigates the high-temperature mechanical properties and microstructural evolution of an Al-Cu-Li-Sc-Zr alloy fabricated using LPBF technology.,0.369797,low,The enhanced ILSS and flexural strength of CF/PEI composites with PI2/PI3 blend sizing are attributed to the distinct interfacial microstructure formed under melt processing.,0.366471,low,The precipitates of LPBF-fabricated Al-Cu-Li-Sc-Zr alloy exhibited superior thermal stability during aging at 300 a.,0.365974,low,EBSD analysis was performed with a step size of 0.2 µm to analyze the grain size distribution and generated the kernel average misorientation (KAM) map.
image_0007,8,../02_images/figures/image_0007.jpg,observed iii) secondary cracks. Loading direction (LD) is indicated.,0.403758,medium,"The corresponding FFT pattern reveals stacking faults habit plane is (001). e An inverse FFT image masking circled diffraction spots shows lattice distortion around stacking faults with some additional half planes, indicating the existence of dislocations. f An HRTEM micrograph for the Al9(Fe,Co,Ni)2 particle in (b) slightly off the pillar top with planar defects.",0.376032,low,"The inter-lamellar fracture characterised by many parallel micro-cracks across the lamellae, contributes to local plasticity near the crack tip [43].",0.373647,low,"The amorphous layer and crystal damage in the subsurface generate residual stress and weaken the Raman peak intensity, corresponding to the previous description.",0.372324,low,"Dimples evident in the fracture surface are caused during the plastic flow of the matrix metal surrounding nucleation sites, leading to the formation of micro-voids (Hertzberg, 1989).",0.37033,low,"Pink solid line segments help to visualize the direction change of crystal planes. g An HRTEM micrograph on the end of a stacking fault ribbon. h An inverse FFT image masking the extra spots in the inserted FFT confirms they result from the stacking fault ribbon. i An HRTEM image for Alg(Fe,Co,Ni)2 showing a low-angle grain boundary (LAGB) - 5° close to (10) plane where atomic disorder is observed."
image_0008,9,../02_images/figures/image_0008.jpg,"parameters $R _ { \nu } , R _ { p } ,$ R relative to loading direction (LD). c) Definition of surface roughness parameters $R _ { a }$ and $R _ { q }$ relative to LD.",0.372203,low,"The higher lattice misfit in alloy T5 leads to a denser $\gamma / \gamma ^ { \prime }$ interfacial dislocation network, which significantly contributes to the superior creep strength.",0.36702,low,"The mechanisms that trigger the formation of abundant stacking faults in monolithic ${ \bf A l } _ { 9 } ( \mathrm { F e } , \mathrm { C o } , \mathrm { N i } ) _ { 2 }$ remain to be illuminated by future modeling investigations.",0.365347,low,"Since these stresses arise from internal reaction forces generated when atoms experience a relative displacement from their equilibrium positions, they can only be related to lattice deformations because shape deformations do not necessarily follow the deformation of the underlying crystal lattice.",0.364978,low,An unresolved computational fluid dynamics (CFD) and discrete element method (DEM) coupling model was applied to elucidate the laser powder bed fusion process of mixed copper and B4C powders40.,0.363035,low,"These findings suggest that the dislocation density in LPBF-fabricated CoCrFeNi HEA microstructures is related to the fraction of the crystal boundary, which, in turn, is associated with the grain size."
chart_0009,10,../02_images/figures/chart_0009.jpg,statistic and adjusted $R ^ { 2 }$ values are presented. Runout data is excluded from regression analysis.,0.38448,low,"In summary, this study was the first to apply a data-driven approach to overcome the inherent trade-offs between strength and ductility in LPBF-fabricated Ti-6Al-4V alloys and to identify combinations of LPBF process parameters and HT conditions that can produce alloys with high UTS and TE.",0.378586,low,"Wen et al. evaluated the generalised planar fault energy of TiAl alloys with different Al concentrations by first-principles calculations with continuous density function theory, and the critical twinning stress of Ti-48Al alloy was calculated as 126 MPa [52].",0.374774,low,We estimated the dislocation density (ρ) in our as-built Cu-12%-ANP to be $( 2 . 3 \pm 0 . 3 ) \times 1 0 ^ { 1 4 } \mathrm { { m } } ^ { - 2 }$ according to the modified Williamson-Hall method3 Their contribution to yield sress $( \Delta \sigma _ { \mathrm { D i s } } )$ was estimated from the classical Taylor relationship:,0.374037,low,"The $\mathrm { R L } _ { \mathrm { m i n } }$ decreased from —44.2 dB $\mathrm { t } 0 \ \mathrm { ~ \normalfont ~ - } 5 1 . 2$ dB, and the effective bandwidth of FMCM-2 reached 6.5 GHz (11.5-18 GHz).",0.371157,low,"Based on the EBSD statistics, for the LPBF Al-Cu-Li-Sc-Zr alloy, $\alpha = 0 . 7 5 , D _ { 1 } =$ 0.6μm, and $D _ { 2 } = 1$ .6µm; for the LPBF 2195 alloy, α = 0 and $D _ { 2 } = 3 0 \mu \mathrm { m } .$ The calculation results gave that the grain boundary strengthening of the LPBF AlCuLi-Sc-Zr alloy and 2195 alloy were estimated to be 198 MPa and 31 MPa, respectively."
