figure_id,figure_index,figure_path,caption,rank,score,cosine_score,confidence,text_token_id,source,text
chart_0000,1,../02_images/figures/chart_0000.jpg,Fig. 1. (a) Surface morphology and (b) EDS map of SiCp/Al composite.,1,0.561723,0.311723,high,paper::sent::84,text_item,"The polished morphology and EDS (Energy Dispersive Spectrometer) map are shown in Fig. 1, measured by the focusing ion and electron double beam system (Helios NanoLab G3 CX, FEI, Czech Republic)."
chart_0000,1,../02_images/figures/chart_0000.jpg,Fig. 1. (a) Surface morphology and (b) EDS map of SiCp/Al composite.,2,0.558169,0.308169,high,paper::sent::81,text_item,"Fig. 1(a), (d), and (g) show uniform distribution of SiC fibers in all the samples."
chart_0000,1,../02_images/figures/chart_0000.jpg,Fig. 1. (a) Surface morphology and (b) EDS map of SiCp/Al composite.,3,0.554971,0.304971,high,paper::sent::68,text_item,"As shown in the EDS results in Figs. 1(d) and 1(e), the darker contrast part was the Si phase (85 mol%), whereas the remaining part was the $\mathrm { H f O } _ { 2 }$ phase (15 mol%), which was homogeneously mixed with the Si phase."
chart_0000,1,../02_images/figures/chart_0000.jpg,Fig. 1. (a) Surface morphology and (b) EDS map of SiCp/Al composite.,4,0.554617,0.304617,high,paper::sent::84,text_item,Fig. 1 demonstrates the initial microstructure in the dendrite cores and interdendritic regions of alloys T0 and T5 obtained after the complete heat treatment.
chart_0000,1,../02_images/figures/chart_0000.jpg,Fig. 1. (a) Surface morphology and (b) EDS map of SiCp/Al composite.,5,0.550808,0.300808,high,paper::sent::75,text_item,"Fig. 1(a) shows the increase of yield strength $\left( \sigma _ { 0 . 2 } \right)$ of all gradient-structured specimens of 1-mm thick (superscript represents specimen thickness in mm) with increasing SMAT duration (subscript, minutes), with a slight decrease of uniform tensile elongation $\varepsilon _ { u \cdot }$ For example, the processing by SMAT for 15 min, i.e. $\mathsf { G S } _ { 1 5 } ^ { 1 } ,$ increased $\sigma _ { 0 . 2 }$ by 132% while $\varepsilon _ { u }$ dropped by only 30%, which is consistent with an early report on gradient structured IF steel [29]."
image_0001,2,../02_images/figures/image_0001.jpg,. he h n eal - ut .,1,0.410507,0.360507,medium,paper::sent::150,text_item,The experimental results reveal that the in-situ laser assisted diamond cutting technique helps improve the machinability of SiCp/Al composite and enhance the surface quality.
image_0001,2,../02_images/figures/image_0001.jpg,. he h n eal - ut .,2,0.400619,0.350619,medium,paper::sent::66,text_item,"In this study, the large-scale atomic/molecular massively parallel simulator (LAMMPS) is utilized to establish the binderless WC inprocess-heat laser-assisted nanometric cutting model."
image_0001,2,../02_images/figures/image_0001.jpg,. he h n eal - ut .,3,0.398869,0.348869,low,paper::sent::68,text_item,"In recent years, in-situ laser assisted diamond cutting has been gradually developed and successfully applied to ultra-precision machining of single-crystal silicon (Chen et al., 2020), fused silica glass (Shahinian et al., 2019), sapphire (Hossein and Patten, 2017), tungsten carbide (You and Fang, 2022), and other difficult-to-cut materials."
image_0001,2,../02_images/figures/image_0001.jpg,. he h n eal - ut .,4,0.395153,0.345153,low,paper::sent::66,text_item,"When the cutting fluid is used, it interacts with the laser beam and increases the uncertainty in locating the laser spots (You et al., 2020)."
image_0001,2,../02_images/figures/image_0001.jpg,. he h n eal - ut .,5,0.392739,0.342739,low,paper::sent::62,text_item,"A blade mechanism spreads a new powder layer onto the build area, where the laser beam then selectively fuses powder particles together, generating fully dense components (Bremen et al., 2012)."
chart_0002,3,../02_images/figures/chart_0002.jpg,Fig. 3. Plot of the surface roughness Sa versus laser power.,1,0.588347,0.338347,high,paper::sent::117,text_item,The surface roughness Sa obtained with different laser powers is shown in Fig. 3.
