figure_id,figure_index,figure_path,caption,rank,score,cosine_score,confidence,text_token_id,source,text
chart_0000,1,../02_images/figures/chart_0000.jpg,Fig. 1. The morphology and XRD patterns of (a) $\mathrm { Y b _ { 2 } S i _ { 2 } O _ { 7 } { \cdot } Y b _ { 2 } S i O _ { 5 } }$ (b) ${ \mathrm { Y b } } _ { 2 } { \mathrm { S i O } } _ { 5 }$ and (c) LaMgAl11019 particles.,1,0.550781,0.300781,high,paper::sent::83,text_item,The flow stress reached as high as 2 GPa in $\mathbf { G } \mathbf { L } _ { 5 } ^ { 0 . 0 4 }$ Fig. 1(d) shows global strain hardening responses of all GS samples.
chart_0000,1,../02_images/figures/chart_0000.jpg,Fig. 1. The morphology and XRD patterns of (a) $\mathrm { Y b _ { 2 } S i _ { 2 } O _ { 7 } { \cdot } Y b _ { 2 } S i O _ { 5 } }$ (b) ${ \mathrm { Y b } } _ { 2 } { \mathrm { S i O } } _ { 5 }$ and (c) LaMgAl11019 particles.,2,0.548817,0.298817,high,paper::sent::35,text_item,Fig. 1 displays the powder morphology with the particle size distribution.
chart_0000,1,../02_images/figures/chart_0000.jpg,Fig. 1. The morphology and XRD patterns of (a) $\mathrm { Y b _ { 2 } S i _ { 2 } O _ { 7 } { \cdot } Y b _ { 2 } S i O _ { 5 } }$ (b) ${ \mathrm { Y b } } _ { 2 } { \mathrm { S i O } } _ { 5 }$ and (c) LaMgAl11019 particles.,3,0.546901,0.296901,high,paper::sent::33,text_item,"As shown in Fig. 1a1, the YbMS/YbDS phase ratio (about $0 . 1 7 )$ in as-sprayed YbDS-YbMS powder can be quantitatively estimated by the intensity ratio of main peak of YbMS (-402) and YbDS (021) respectively [26]."
chart_0000,1,../02_images/figures/chart_0000.jpg,Fig. 1. The morphology and XRD patterns of (a) $\mathrm { Y b _ { 2 } S i _ { 2 } O _ { 7 } { \cdot } Y b _ { 2 } S i O _ { 5 } }$ (b) ${ \mathrm { Y b } } _ { 2 } { \mathrm { S i O } } _ { 5 }$ and (c) LaMgAl11019 particles.,4,0.544662,0.294662,high,paper::sent::81,text_item,"Fig. 1(a), (d), and (g) show uniform distribution of SiC fibers in all the samples."
chart_0000,1,../02_images/figures/chart_0000.jpg,Fig. 1. The morphology and XRD patterns of (a) $\mathrm { Y b _ { 2 } S i _ { 2 } O _ { 7 } { \cdot } Y b _ { 2 } S i O _ { 5 } }$ (b) ${ \mathrm { Y b } } _ { 2 } { \mathrm { S i O } } _ { 5 }$ and (c) LaMgAl11019 particles.,5,0.543672,0.293672,high,paper::sent::75,text_item,"Fig. 1(a) shows the increase of yield strength $\left( \sigma _ { 0 . 2 } \right)$ of all gradient-structured specimens of 1-mm thick (superscript represents specimen thickness in mm) with increasing SMAT duration (subscript, minutes), with a slight decrease of uniform tensile elongation $\varepsilon _ { u \cdot }$ For example, the processing by SMAT for 15 min, i.e. $\mathsf { G S } _ { 1 5 } ^ { 1 } ,$ increased $\sigma _ { 0 . 2 }$ by 132% while $\varepsilon _ { u }$ dropped by only 30%, which is consistent with an early report on gradient structured IF steel [29]."
image_0001,2,../02_images/figures/image_0001.jpg,"Fig. 2. Cross-sectional micrographs of plasma sprayed Si/YbDS-YbMS/YbMS/LMA coating deposited onto $\mathrm { S i C _ { f } } / \mathrm { S i C }$ substrate: (a) overview of coating, () interface between YbMS and LMA.",1,0.560566,0.310566,high,paper::sent::47,text_item,"The spherical nanoparticles are mainly distributed at the grooves of dendrites (Fig. 2c), as confirmed by the elemental mapping (Fig. 2di), acquired using energy dispersive X-ray spectroscopy (EDS) in scanning electron microscope (SEM)."
image_0001,2,../02_images/figures/image_0001.jpg,"Fig. 2. Cross-sectional micrographs of plasma sprayed Si/YbDS-YbMS/YbMS/LMA coating deposited onto $\mathrm { S i C _ { f } } / \mathrm { S i C }$ substrate: (a) overview of coating, () interface between YbMS and LMA.",2,0.553153,0.303153,high,paper::sent::65,text_item,Fig. 2 shows (a) a typical SEM image and (b) particle diameter distribution of the raw powder.
image_0001,2,../02_images/figures/image_0001.jpg,"Fig. 2. Cross-sectional micrographs of plasma sprayed Si/YbDS-YbMS/YbMS/LMA coating deposited onto $\mathrm { S i C _ { f } } / \mathrm { S i C }$ substrate: (a) overview of coating, () interface between YbMS and LMA.",3,0.550576,0.300576,high,paper::sent::83,text_item,The inverse pole figure (IPF) image (Fig. 2(a)) first shows that the as-printed alloy has a conventional polycrystalline morphology with an average grain size of 29.7 µm (inset in Fig. 2(a)).
image_0001,2,../02_images/figures/image_0001.jpg,"Fig. 2. Cross-sectional micrographs of plasma sprayed Si/YbDS-YbMS/YbMS/LMA coating deposited onto $\mathrm { S i C _ { f } } / \mathrm { S i C }$ substrate: (a) overview of coating, () interface between YbMS and LMA.",4,0.547495,0.297495,high,paper::sent::90,text_item,Fig. 2 $\mathrm { { d - f ) } }$ since super-solidus liquid phase sintering was active.
image_0001,2,../02_images/figures/image_0001.jpg,"Fig. 2. Cross-sectional micrographs of plasma sprayed Si/YbDS-YbMS/YbMS/LMA coating deposited onto $\mathrm { S i C _ { f } } / \mathrm { S i C }$ substrate: (a) overview of coating, () interface between YbMS and LMA.",5,0.547443,0.297443,high,paper::sent::112,text_item,"Powder images for the three powders used for fabrication are seen in Fig. 2, where EPBF and LPBF powders are nearly all spherical; a typical feature of gas atomized powders used for PBF AM processes."
image_0002,3,../02_images/figures/image_0002.jpg,Se e $\mathrm { Y b } _ { 2 } \mathrm { S i O } _ { 5 }$ splat in the monocrystalline silicon.,1,0.363558,0.313558,low,paper::sent::53,text_item,"In this study, the interlayer pores and the closed pores within fiber bundles were assumed as the internal defects, because of their large volume fraction and non-uniform distribution."
image_0002,3,../02_images/figures/image_0002.jpg,Se e $\mathrm { Y b } _ { 2 } \mathrm { S i O } _ { 5 }$ splat in the monocrystalline silicon.,2,0.362583,0.312583,low,paper::sent::96,text_item,It is believed that rupture life and ductility can be improved by enveloping the brittle grain boundary carbides and therefore retarding crack initiation at high temperatures[39].
image_0002,3,../02_images/figures/image_0002.jpg,Se e $\mathrm { Y b } _ { 2 } \mathrm { S i O } _ { 5 }$ splat in the monocrystalline silicon.,3,0.361238,0.311238,low,paper::sent::97,text_item,These nanoscale TiV particles may also impede cell growth via the Zener pinning mechanism [3].
image_0002,3,../02_images/figures/image_0002.jpg,Se e $\mathrm { Y b } _ { 2 } \mathrm { S i O } _ { 5 }$ splat in the monocrystalline silicon.,4,0.360539,0.310539,low,paper::sent::59,text_item,"Altogether, the extreme solidification conditions of PBF-LB create a hierarchical microstructure characterized by a high degree of metastability, thus offering great opportunities for distinct microstructural evolution compared to as-cast counterparts during the subsequent heat treatment."
image_0002,3,../02_images/figures/image_0002.jpg,Se e $\mathrm { Y b } _ { 2 } \mathrm { S i O } _ { 5 }$ splat in the monocrystalline silicon.,5,0.357699,0.307699,low,paper::sent::47,text_item,"The shrinkage solidification of splat and CTE mismatch of coating between substrate would produce residual stress during coating deposition, which formed microcracks in the coating to release stress."
chart_0003,4,../02_images/figures/chart_0003.jpg,"coating, (c) YbMS coating, and (d) LMA coating.",1,0.382743,0.332743,low,paper::sent::96,text_item,"And with the increase of annealing temperature, the weight loss of SiC matrix increases and reaches a maximum of nearly 1 % at $1 4 0 0 \ { } ^ { \circ } \mathrm { C } .$ SiC fibers almost have no weight change after annealing at temperatures below 1300 °C for 1 h."
chart_0003,4,../02_images/figures/chart_0003.jpg,"coating, (c) YbMS coating, and (d) LMA coating.",2,0.381029,0.331029,low,paper::sent::105,text_item,"These results also prove the above conclusion that PDC SiC is thermostable at the temperature below the preparing temperature of $9 0 0 ^ { \circ } \mathrm { C } .$ In region I, the thermal expansion behaviors of SS0, SS90 and"
chart_0003,4,../02_images/figures/chart_0003.jpg,"coating, (c) YbMS coating, and (d) LMA coating.",3,0.380711,0.330711,low,paper::sent::17,text_item,"$^ \circ \mathrm { C }$ in AMS5664 was selected as one temperature, and the onset temperature $1 1 0 0 ~ ^ { \circ } \mathrm { C }$ of the recrystallization of the AM Inconel 718 specimens designated HA1065 and HA1100 were homogenized at 1065 °C and $1 1 0 0 ^ { \circ } \mathrm { C }$ for 1 h, respectively, and then subjected to a two-step aging of $7 6 0 \ ^ { \circ } \mathrm { C } \cdot 1 0$ h/furnace cooling to $6 5 0 ~ ^ { \circ } \mathrm { C }$ at $5 5 ^ { \circ } \mathrm { C } / h + 6 5 0 ^ { \circ } \mathrm { C } - 8$ h/air cooling to RT."
chart_0003,4,../02_images/figures/chart_0003.jpg,"coating, (c) YbMS coating, and (d) LMA coating.",4,0.377618,0.327618,low,paper::sent::101,text_item,These results indicate that the CTE of PDC SiC and $\mathrm { S i C _ { f } } / \mathrm { S i C }$ composites do not change below the preparation temperature of UD SiCf/SiC composites and PDC SiC.
chart_0003,4,../02_images/figures/chart_0003.jpg,"coating, (c) YbMS coating, and (d) LMA coating.",5,0.376723,0.326723,low,paper::sent::86,text_item,"The thermal expansion behaviors in the temperature range of $9 0 0 { - } 1 4 0 0 \ { \mathrm { ~ } } ^ { \circ } { \mathrm { C } }$ of SSO, SS90 and PDC SiC were studied."
chart_0004,5,../02_images/figures/chart_0004.jpg,(b); Fig. 5. The XRD patterns of as-deposited YbDS-YbMS and YbMS coating after heat treatment between $9 5 0 ~ ^ { \circ } \mathrm { C }$ and $1 3 0 0 ^ { \circ } \mathsf C .$,1,0.536587,0.286587,high,paper::sent::85,text_item,"In order to further interpret the appearance of second exothermal peak in the DSC curves, the phase compositions of YbDS-YbMS and YbMS coatings during heat treatment was detected by XRD, as shown in Fig. 5."
chart_0004,5,../02_images/figures/chart_0004.jpg,(b); Fig. 5. The XRD patterns of as-deposited YbDS-YbMS and YbMS coating after heat treatment between $9 5 0 ~ ^ { \circ } \mathrm { C }$ and $1 3 0 0 ^ { \circ } \mathsf C .$,2,0.53536,0.28536,high,paper::sent::92,text_item,"Initially, we detected the formation of unstable HCP-structured primary precipitates with high-density SFs at the early stage of heat treatment, i.e., 600 °C for 5 and 30 min (Fig. 5)."
chart_0004,5,../02_images/figures/chart_0004.jpg,(b); Fig. 5. The XRD patterns of as-deposited YbDS-YbMS and YbMS coating after heat treatment between $9 5 0 ~ ^ { \circ } \mathrm { C }$ and $1 3 0 0 ^ { \circ } \mathsf C .$,3,0.525014,0.275014,high,paper::sent::113,text_item,"Further quantitative characterization of the elemental partitioning behavior between the two phases in the aged alloy was carried out with the aid of APT, as shown in Fig. 5."
chart_0004,5,../02_images/figures/chart_0004.jpg,(b); Fig. 5. The XRD patterns of as-deposited YbDS-YbMS and YbMS coating after heat treatment between $9 5 0 ~ ^ { \circ } \mathrm { C }$ and $1 3 0 0 ^ { \circ } \mathsf C .$,4,0.523585,0.273585,high,paper::sent::119,text_item,"Microstructures of irregular powders like R70 were non-uniform due to varying Al loss during melting, resulting in uneven Al content within the powder and appearing as lamellar agglomerates (α2 + γ) in Al-poor areas (Fig. 5 e2)."
chart_0004,5,../02_images/figures/chart_0004.jpg,(b); Fig. 5. The XRD patterns of as-deposited YbDS-YbMS and YbMS coating after heat treatment between $9 5 0 ~ ^ { \circ } \mathrm { C }$ and $1 3 0 0 ^ { \circ } \mathsf C .$,5,0.522437,0.272437,high,paper::sent::140,text_item,Fig. 5 summarizes the microstructural changes in the $_ { \mathrm { A l - Z r - C e - C u } }$ alloy after peak aging (375 C/100 h).
chart_0005,6,../02_images/figures/chart_0005.jpg,Fig. 6. The XRD patterns of as-deposited LMA coating after heat treatment between 950 C and 1300 .,1,0.563539,0.313539,high,paper::sent::107,text_item,"Fig. 6(a) is representative of the grain boundary area atom probe reconstruction from the boron-free alloy, from which information about the composition of individual $\gamma , \gamma$ and $\mathsf { M } _ { 2 3 } \mathsf { C } _ { 6 }$ phases can be extracted."
chart_0005,6,../02_images/figures/chart_0005.jpg,Fig. 6. The XRD patterns of as-deposited LMA coating after heat treatment between 950 C and 1300 .,2,0.562871,0.312871,high,paper::sent::118,text_item,Fig. 6(b) shows the dielectric and theoretical wave-transparent performances of PBO fibers/BADCy composites under $2 5 \mathrm { - } 2 0 0 ~ ^ { \circ } C$ at $1 0 ^ { 6 }$ Hz.
chart_0005,6,../02_images/figures/chart_0005.jpg,Fig. 6. The XRD patterns of as-deposited LMA coating after heat treatment between 950 C and 1300 .,3,0.559691,0.309691,high,paper::sent::121,text_item,Fig. 6(a) shows the potentiodynamic traces of the as-printed and aged Al5Ti5 alloys recorded in 3.5 wt.% NaCl solution.
chart_0005,6,../02_images/figures/chart_0005.jpg,Fig. 6. The XRD patterns of as-deposited LMA coating after heat treatment between 950 C and 1300 .,4,0.556275,0.306275,high,paper::sent::99,text_item,"Fig. 6 shows the XRD patterns of LMA coating after heat treatment between $9 5 0 ~ ^ { \circ } \mathrm { C }$ and $1 3 5 0 ~ ^ { \circ } \mathrm { C } .$ The amorphous phase, $\mathrm { { A l } _ { 2 } \mathrm { { O } _ { 3 } } }$ and LMA phase can found at as-deposited LMA coating, as shown in Fig. 6a."
chart_0005,6,../02_images/figures/chart_0005.jpg,Fig. 6. The XRD patterns of as-deposited LMA coating after heat treatment between 950 C and 1300 .,5,0.555909,0.305909,high,paper::sent::114,text_item,"The $\varepsilon ,$ tanδ, and $| T | ^ { 2 }$ of PBO fibers/BADCy wave-transparent laminated composites at $1 0 ^ { 4 } – 1 0 ^ { 7 }$ Hz are shown in Fig. 6(a)."
image_0006,7,../02_images/figures/image_0006.jpg,ig. 7-//,1,0.392191,0.342191,low,paper::sent::64,text_item,The comparative grain sizes implied no significant grain coarsening after heat treatment at elevated temperatures occurred in this LPBF-fabricated Al-Cu-Li-Sc-Zr alloy.
image_0006,7,../02_images/figures/image_0006.jpg,ig. 7-//,2,0.390054,0.340054,low,paper::sent::95,text_item,The precipitates of LPBF-fabricated Al-Cu-Li-Sc-Zr alloy exhibited superior thermal stability during aging at 300 a.
image_0006,7,../02_images/figures/image_0006.jpg,ig. 7-//,3,0.382899,0.332899,low,paper::sent::158,text_item,"These results suggest that the γ phase and the coarse lamellar region are primarily responsible for the deformation, while the β phase and the ultrafine lamellar grain are barely deformed at 1023 K."
image_0006,7,../02_images/figures/image_0006.jpg,ig. 7-//,4,0.381614,0.331614,low,paper::sent::129,text_item,This strongly suggests that γ bands act as effective ductile components in the as-EBM alloy.
image_0006,7,../02_images/figures/image_0006.jpg,ig. 7-//,5,0.38131,0.33131,low,paper::sent::130,text_item,"These results demonstrate that the aged alloy containing the $\mathrm { L } 1 _ { 2 }$ phase tends to form a more stable and robust passive film in dilute chloride solution than the as-printed alloy, thus exhibiting superior corrosion resistance."
image_0007,8,../02_images/figures/image_0007.jpg,F. 8//,1,0.402338,0.352338,medium,paper::sent::135,text_item,"At the same time, the tensile stress caused by CTE mismatch would concentrate near cracks and pores in YbMS coating, leading to further crack propagation."
image_0007,8,../02_images/figures/image_0007.jpg,F. 8//,2,0.396791,0.346791,low,paper::sent::131,text_item,"The above results suggested that after oxidation at $1 1 0 0 ^ { \circ } \mathrm { C }$ for 100 h, cracks appeared in the ZC20 coating, and the morphologies of the MC20 and YC20 coatings remained intact."
image_0007,8,../02_images/figures/image_0007.jpg,F. 8//,3,0.395725,0.345725,low,paper::sent::148,text_item,"However, not all horizontal cracks in the YbDS-YbMS layer are the result of crack bifurcation."
image_0007,8,../02_images/figures/image_0007.jpg,F. 8//,4,0.395474,0.345474,low,paper::sent::126,text_item,"It can be found that after oxidation at $1 2 0 0 ~ ^ { \circ } \mathrm { C }$ for 100 h, there were significant penetrating cracks in both MC20 and YC20 coatings, the combination between the coating and the Si bonding layer was relatively good, and the bonding layer was oxidized to form a thicker TGO layer, and there were both horizontal cracks and intensive porosity regions inside the MC20 coating."
image_0007,8,../02_images/figures/image_0007.jpg,F. 8//,5,0.394979,0.344979,low,paper::sent::132,text_item,"The microscopic morphologies results revealed that the ZC20 and MC20 coatings possessed apparent penetrating cracks, and the YC20 coating presented more microcracks without penetrating cracks."
image_0008,9,../02_images/figures/image_0008.jpg,Fi.9.//.,1,0.373279,0.323279,low,paper::sent::174,text_item,unidirectional (UD) SiCf/SiC composites with CVI BN interphase were fabricated by PIP process.
image_0008,9,../02_images/figures/image_0008.jpg,Fi.9.//.,2,0.371158,0.321158,low,paper::sent::162,text_item,"These results indicate that mechanical properties improve as the oxide content increases toward an optimal point, but declines thereafter due to particle aggregation in the over-thick oxide-rich layer."
image_0008,9,../02_images/figures/image_0008.jpg,Fi.9.//.,3,0.370376,0.320376,low,paper::sent::95,text_item,The precipitates of LPBF-fabricated Al-Cu-Li-Sc-Zr alloy exhibited superior thermal stability during aging at 300 a.
image_0008,9,../02_images/figures/image_0008.jpg,Fi.9.//.,4,0.370015,0.320015,low,paper::sent::106,text_item,"More obvious cellular structures were observed when compared to CoCrNi(Al0.6TiFe)0.4 alloy, in which the FCC phase is encircled by bright precipitates."
image_0008,9,../02_images/figures/image_0008.jpg,Fi.9.//.,5,0.369846,0.319846,low,paper::sent::130,text_item,"These results demonstrate that the aged alloy containing the $\mathrm { L } 1 _ { 2 }$ phase tends to form a more stable and robust passive film in dilute chloride solution than the as-printed alloy, thus exhibiting superior corrosion resistance."
