index,dataset_dir,topic,paper_title,has_pdf,has_extracted_json,has_human_annotation,has_alignment,has_figures,alignment_files,figure_records,alignment_pairs
1,/Users/home/Desktop/organized_75papers_dataset/papers/001__Combining gradient structure and TRIP effect to produce austenite stainless steel with high strength and ductility,不锈钢方向,Combining gradient structure and TRIP effect to produce austenite stainless steel with high strength and ductility,True,True,True,True,True,9,10,50
2,/Users/home/Desktop/organized_75papers_dataset/papers/002__Confined necking and improved tensile ductility in heterostructured bi-metallic steels made by additive manufacturing,不锈钢方向,Confined necking and improved tensile ductility in heterostructured bi-metallic steels made by additive manufacturing,True,True,True,True,True,9,11,55
3,/Users/home/Desktop/organized_75papers_dataset/papers/003__Controlling strength and ductility_ Dislocation-based model of necking instability and its verification for ultrafine grain 316L steel,不锈钢方向,Controlling strength and ductility: Dislocation-based model of necking instability and its verification for ultrafine grain 316L steel,True,True,True,True,True,9,7,35
4,"/Users/home/Desktop/organized_75papers_dataset/papers/004__Cu-rich nano precipitates simultaneously enhance the tensile properties, antibacterial efficacy, and corrosion resistance of ultra-high strength steel",不锈钢方向,"Cu-rich nano precipitates simultaneously enhance the tensile properties, antibacterial efficacy, and corrosion resistance of ultra-high strength steel",True,True,True,True,True,9,10,50
5,/Users/home/Desktop/organized_75papers_dataset/papers/005__Calphad-assisted design of high strength – ductility martensitic stainless-steels with reverted austenite,不锈钢方向,Calphad-assisted design of high strength – ductility martensitic stainless-steels with reverted austenite,True,True,True,True,True,9,12,60
6,/Users/home/Desktop/organized_75papers_dataset/papers/006__A cathode homogenization strategy for enabling long-cycle-life all-solid-state lithium batteries,储能材料模型,A cathode homogenization strategy for enabling long-cycle-life all-solid-state lithium batteries,True,True,True,True,True,9,7,35
7,/Users/home/Desktop/organized_75papers_dataset/papers/007__Zwitterionic Engineering of Vinylene-Linked Covalent Organic Frameworks for Superior Protonic Electrolytes,储能材料模型,Zwitterionic Engineering of Vinylene-Linked Covalent Organic Frameworks for Superior Protonic Electrolytes,True,True,True,True,True,9,5,25
8,/Users/home/Desktop/organized_75papers_dataset/papers/008__Impact of the Solid Electrolyte Particle Size Distribution in Sulfide-Based Solid-State Battery Composites,储能材料模型,Impact of the Solid Electrolyte Particle Size Distribution in Sulfide-Based Solid-State Battery Composites,True,True,True,True,True,9,6,30
9,/Users/home/Desktop/organized_75papers_dataset/papers/009__Dual-layer hybrid solid electrolyte for improved interfacial stability in solid-state lithium batteries,储能材料模型,Dual-layer hybrid solid electrolyte for improved interfacial stability in solid-state lithium batteries,True,True,True,True,True,9,7,35
10,/Users/home/Desktop/organized_75papers_dataset/papers/010__High Active Material Loading in All-Solid-State Battery Electrode via Particle Size Optimization,储能材料模型,High Active Material Loading in All-Solid-State Battery Electrode via Particle Size Optimization,True,True,True,True,True,9,8,40
