figure_id,figure_index,figure_path,caption,rank,score,cosine_score,confidence,text_token_id,source,text
chart_0000,1,../02_images/figures/chart_0000.jpg,"Fig. 1 Morphology and phase analysis of spherical feedstock. (a, b) SEM images of $\mathrm { Y b } _ { 2 } \mathrm { S i O } _ { 5 }$ and ${ \mathrm { Y b } } _ { 2 } { \mathrm { S i } } _ { 2 } { \mathrm { O } } _ { 7 }$ feedstocks; (c-e) back-scattered SEM images and corresponding EDS-mappings of Si-HfO eedstock; (f) XRD patterns of Yb2SiO and refined XRD patterns of ${ \mathrm { Y b } } _ { 2 } { \mathrm { S i } } _ { 2 } { \mathrm { O } } _ { 7 }$ and Si-HfO2.",1,0.54608,0.29608,high,paper::sent::81,text_item,The deconvolution results of the (220) peak (Fig. 1(c)) further indicate that there is a small lattice mismatch $( \delta \ : = \ : 0 . 2 8 \% )$ between the FCC matrix and the $\mathrm { L } 1 _ { 2 }$ phase in the aged alloy.
chart_0000,1,../02_images/figures/chart_0000.jpg,"Fig. 1 Morphology and phase analysis of spherical feedstock. (a, b) SEM images of $\mathrm { Y b } _ { 2 } \mathrm { S i O } _ { 5 }$ and ${ \mathrm { Y b } } _ { 2 } { \mathrm { S i } } _ { 2 } { \mathrm { O } } _ { 7 }$ feedstocks; (c-e) back-scattered SEM images and corresponding EDS-mappings of Si-HfO eedstock; (f) XRD patterns of Yb2SiO and refined XRD patterns of ${ \mathrm { Y b } } _ { 2 } { \mathrm { S i } } _ { 2 } { \mathrm { O } } _ { 7 }$ and Si-HfO2.",2,0.544824,0.294824,high,paper::sent::33,text_item,"As shown in Fig. 1a1, the YbMS/YbDS phase ratio (about $0 . 1 7 )$ in as-sprayed YbDS-YbMS powder can be quantitatively estimated by the intensity ratio of main peak of YbMS (-402) and YbDS (021) respectively [26]."
chart_0000,1,../02_images/figures/chart_0000.jpg,"Fig. 1 Morphology and phase analysis of spherical feedstock. (a, b) SEM images of $\mathrm { Y b } _ { 2 } \mathrm { S i O } _ { 5 }$ and ${ \mathrm { Y b } } _ { 2 } { \mathrm { S i } } _ { 2 } { \mathrm { O } } _ { 7 }$ feedstocks; (c-e) back-scattered SEM images and corresponding EDS-mappings of Si-HfO eedstock; (f) XRD patterns of Yb2SiO and refined XRD patterns of ${ \mathrm { Y b } } _ { 2 } { \mathrm { S i } } _ { 2 } { \mathrm { O } } _ { 7 }$ and Si-HfO2.",3,0.544783,0.294783,high,paper::sent::77,text_item,"The $\sigma _ { \mathrm { e } }$ gain with four Li\* ions insertion being due to the reduction of $\mathrm { T i ^ { 4 + } }$ to $\mathsf { T i } ^ { 2 + }$ generating extra electrons in the d band (Supplementary Fig. 1) is reasonable, which is validated by the DOS shown in Fig. 3b."
chart_0000,1,../02_images/figures/chart_0000.jpg,"Fig. 1 Morphology and phase analysis of spherical feedstock. (a, b) SEM images of $\mathrm { Y b } _ { 2 } \mathrm { S i O } _ { 5 }$ and ${ \mathrm { Y b } } _ { 2 } { \mathrm { S i } } _ { 2 } { \mathrm { O } } _ { 7 }$ feedstocks; (c-e) back-scattered SEM images and corresponding EDS-mappings of Si-HfO eedstock; (f) XRD patterns of Yb2SiO and refined XRD patterns of ${ \mathrm { Y b } } _ { 2 } { \mathrm { S i } } _ { 2 } { \mathrm { O } } _ { 7 }$ and Si-HfO2.",4,0.544711,0.294711,high,paper::sent::83,text_item,The flow stress reached as high as 2 GPa in $\mathbf { G } \mathbf { L } _ { 5 } ^ { 0 . 0 4 }$ Fig. 1(d) shows global strain hardening responses of all GS samples.
chart_0000,1,../02_images/figures/chart_0000.jpg,"Fig. 1 Morphology and phase analysis of spherical feedstock. (a, b) SEM images of $\mathrm { Y b } _ { 2 } \mathrm { S i O } _ { 5 }$ and ${ \mathrm { Y b } } _ { 2 } { \mathrm { S i } } _ { 2 } { \mathrm { O } } _ { 7 }$ feedstocks; (c-e) back-scattered SEM images and corresponding EDS-mappings of Si-HfO eedstock; (f) XRD patterns of Yb2SiO and refined XRD patterns of ${ \mathrm { Y b } } _ { 2 } { \mathrm { S i } } _ { 2 } { \mathrm { O } } _ { 7 }$ and Si-HfO2.",5,0.543228,0.293228,high,paper::sent::70,text_item,"Furthermore, XRD results in Fig. 1(f) reveal that the ${ \mathrm { Y b } } _ { 2 } { \mathrm { S i O } } _ { 5 }$ feedstock was indexed as the pure ${ \mathrm { X } } 2 { \mathrm { - Y b } } _ { 2 } { \mathrm { S i O } } _ { 5 }$ phase."
image_0001,2,../02_images/figures/image_0001.jpg,Fig.2 Micromorphology and component analysis of $\mathrm { S i { - } H f O _ { 2 } / Y b _ { 2 } S i _ { 2 } O _ { 7 } / Y b _ { 2 } S i O _ { 5 } }$ coating. (a) Cross-sectional morphology and corresponding EDS results and (b) surface morphology.,1,0.577301,0.327301,high,paper::sent::65,text_item,Fig. 2 shows (a) a typical SEM image and (b) particle diameter distribution of the raw powder.
image_0001,2,../02_images/figures/image_0001.jpg,Fig.2 Micromorphology and component analysis of $\mathrm { S i { - } H f O _ { 2 } / Y b _ { 2 } S i _ { 2 } O _ { 7 } / Y b _ { 2 } S i O _ { 5 } }$ coating. (a) Cross-sectional morphology and corresponding EDS results and (b) surface morphology.,2,0.570155,0.320155,high,paper::sent::100,text_item,"Powders near melt zones showed larger sizes than distal regions (S-Fig. 2 b), with SEM confirming irregular oversized particles in melt-adjacent areas (S-Fig. 2b2-3)."
image_0001,2,../02_images/figures/image_0001.jpg,Fig.2 Micromorphology and component analysis of $\mathrm { S i { - } H f O _ { 2 } / Y b _ { 2 } S i _ { 2 } O _ { 7 } / Y b _ { 2 } S i O _ { 5 } }$ coating. (a) Cross-sectional morphology and corresponding EDS results and (b) surface morphology.,3,0.566867,0.316867,high,paper::sent::65,text_item,Fig. 2 shows the overall viewing (observation direction parallels the building direction) of microstructures of as-built alloy ZGH451 obtained by SEM and TEM.
image_0001,2,../02_images/figures/image_0001.jpg,Fig.2 Micromorphology and component analysis of $\mathrm { S i { - } H f O _ { 2 } / Y b _ { 2 } S i _ { 2 } O _ { 7 } / Y b _ { 2 } S i O _ { 5 } }$ coating. (a) Cross-sectional morphology and corresponding EDS results and (b) surface morphology.,4,0.564008,0.314008,high,paper::sent::77,text_item,These particles exhibit the brightest Z contrast in the backscattered images and have a cubic structure which corresponds to MC-type carbides; a TEM micrograph of a typical grain boundary MC carbide is given in Fig. 2.
image_0001,2,../02_images/figures/image_0001.jpg,Fig.2 Micromorphology and component analysis of $\mathrm { S i { - } H f O _ { 2 } / Y b _ { 2 } S i _ { 2 } O _ { 7 } / Y b _ { 2 } S i O _ { 5 } }$ coating. (a) Cross-sectional morphology and corresponding EDS results and (b) surface morphology.,5,0.562859,0.312859,high,paper::sent::47,text_item,"The spherical nanoparticles are mainly distributed at the grooves of dendrites (Fig. 2c), as confirmed by the elemental mapping (Fig. 2di), acquired using energy dispersive X-ray spectroscopy (EDS) in scanning electron microscope (SEM)."
image_0002,3,../02_images/figures/image_0002.jpg,"Fig. 3 SEM images and EDS mapp of $\mathrm { \dot { S } i - H f O _ { 2 } / Y b _ { 2 } S i _ { 2 } O _ { 7 } / Y b _ { 2 } S i O _ { 5 } }$ coating after thermal cycling at 1400°C: (a1, b1, c1, and d1) Surface micromorphologies after 50, 50, 100, 150, and 200 h, respectively.",1,0.576136,0.326136,high,paper::sent::91,text_item,The initial microstructure characterization of the aged alloy is shown in Fig. 3.
image_0002,3,../02_images/figures/image_0002.jpg,"Fig. 3 SEM images and EDS mapp of $\mathrm { \dot { S } i - H f O _ { 2 } / Y b _ { 2 } S i _ { 2 } O _ { 7 } / Y b _ { 2 } S i O _ { 5 } }$ coating after thermal cycling at 1400°C: (a1, b1, c1, and d1) Surface micromorphologies after 50, 50, 100, 150, and 200 h, respectively.",2,0.567941,0.317941,high,paper::sent::125,text_item,"Samples produced through binder jetting showed a consistent microstructure regardless of build orientation, with an amount of porosity present in both microstructural directions (Fig. 3(A))."
image_0002,3,../02_images/figures/image_0002.jpg,"Fig. 3 SEM images and EDS mapp of $\mathrm { \dot { S } i - H f O _ { 2 } / Y b _ { 2 } S i _ { 2 } O _ { 7 } / Y b _ { 2 } S i O _ { 5 } }$ coating after thermal cycling at 1400°C: (a1, b1, c1, and d1) Surface micromorphologies after 50, 50, 100, 150, and 200 h, respectively.",3,0.567749,0.317749,high,paper::sent::67,text_item,The EDS map obtained from the equiaxed grain area of the AF sample (Figure 3(a)) revealed the stacking of Cu-rich and Sc-rich precipitates along the equiaxed grain boundaries.
image_0002,3,../02_images/figures/image_0002.jpg,"Fig. 3 SEM images and EDS mapp of $\mathrm { \dot { S } i - H f O _ { 2 } / Y b _ { 2 } S i _ { 2 } O _ { 7 } / Y b _ { 2 } S i O _ { 5 } }$ coating after thermal cycling at 1400°C: (a1, b1, c1, and d1) Surface micromorphologies after 50, 50, 100, 150, and 200 h, respectively.",4,0.566054,0.316054,high,paper::sent::101,text_item,"Although localized agglomeration of hafnia-rich precipitates into masses was observed (Fig. 3(b3)), these instances were uniformly distributed across the bond coating, ensuring that the overall distribution remained uniform, as shown in Fig."
image_0002,3,../02_images/figures/image_0002.jpg,"Fig. 3 SEM images and EDS mapp of $\mathrm { \dot { S } i - H f O _ { 2 } / Y b _ { 2 } S i _ { 2 } O _ { 7 } / Y b _ { 2 } S i O _ { 5 } }$ coating after thermal cycling at 1400°C: (a1, b1, c1, and d1) Surface micromorphologies after 50, 50, 100, 150, and 200 h, respectively.",5,0.563358,0.313358,high,paper::sent::92,text_item,"From the microstructure of the bond coating in Fig. 3(a3) and EDS analysis in Fig. 3(a4), it can be seen that the light gray hafnium-rich precipitates were primarily distributed within the dark gray Si-rich phase."
image_0003,4,../02_images/figures/image_0003.jpg,"50, 100, 150, and 200 h, respectively.",1,0.396862,0.346862,low,paper::sent::119,text_item,"After identifying LPBF process parameters and post-HT conditions that could lead to the production of Ti-6Al-4V alloys with high strength and ductility, microstructural analyses were conducted to validate the source of their strength and ductility; aiming to confirm whether the microstructures of the alloys produced in this study simultaneously exhibit the microstructural characteristics of those with high UTS and those with high TE that were respectively identified in previous studies."
image_0003,4,../02_images/figures/image_0003.jpg,"50, 100, 150, and 200 h, respectively.",2,0.39518,0.34518,low,paper::sent::95,text_item,The precipitates of LPBF-fabricated Al-Cu-Li-Sc-Zr alloy exhibited superior thermal stability during aging at 300 a.
image_0003,4,../02_images/figures/image_0003.jpg,"50, 100, 150, and 200 h, respectively.",3,0.391603,0.341603,low,paper::sent::132,text_item,The present study investigates the high-temperature mechanical properties and microstructural evolution of an Al-Cu-Li-Sc-Zr alloy fabricated using LPBF technology.
image_0003,4,../02_images/figures/image_0003.jpg,"50, 100, 150, and 200 h, respectively.",4,0.386279,0.336279,low,paper::sent::125,text_item,"Yadollahi et al. reported a surface defect layer of approximately 200 µm [62] and in this research > 200 µm was removed on average in the polishing process (Section 2.4), thus suggesting the improvement in fatigue performance is truly attributed to the elimination of surface defects."
image_0003,4,../02_images/figures/image_0003.jpg,"50, 100, 150, and 200 h, respectively.",5,0.386062,0.336062,low,paper::sent::169,text_item,"Microstructural features, phase compositions, crystal structures, and deformation substructure were characterized using TEM (JEOL 2100 F and Talos F200) coupled with EDS and SAED."
image_0004,5,../02_images/figures/image_0004.jpg,"5, 100, 150 an200h, pvy.",1,0.395247,0.345247,low,paper::sent::95,text_item,The precipitates of LPBF-fabricated Al-Cu-Li-Sc-Zr alloy exhibited superior thermal stability during aging at 300 a.
image_0004,5,../02_images/figures/image_0004.jpg,"5, 100, 150 an200h, pvy.",2,0.394507,0.344507,low,paper::sent::132,text_item,The present study investigates the high-temperature mechanical properties and microstructural evolution of an Al-Cu-Li-Sc-Zr alloy fabricated using LPBF technology.
image_0004,5,../02_images/figures/image_0004.jpg,"5, 100, 150 an200h, pvy.",3,0.38767,0.33767,low,paper::sent::169,text_item,"Microstructural features, phase compositions, crystal structures, and deformation substructure were characterized using TEM (JEOL 2100 F and Talos F200) coupled with EDS and SAED."
image_0004,5,../02_images/figures/image_0004.jpg,"5, 100, 150 an200h, pvy.",4,0.382883,0.332883,low,paper::sent::151,text_item,This approach offers significant potential for tailoring precipitation microstructures and enhancing properties in other multiphase compositionally complex alloys.
image_0004,5,../02_images/figures/image_0004.jpg,"5, 100, 150 an200h, pvy.",5,0.381609,0.331609,low,paper::sent::207,text_item,"The microstructure and tensile deformation properties of Ti-48Al-2Cr-2Nb alloy fabricated by EBM were examined, focusing on the development of a unique layered microstructure."
image_0005,6,../02_images/figures/image_0005.jpg,"(ce) corresponding EDS mappings, (f) SAED pattern for Zone I, and (g) high-resolution image for Zone I.",1,0.375241,0.325241,low,paper::sent::173,text_item,"To gain deeper insight into the unique strengthening effect from the one-dimensional architecture of the nano-whiskers, TEM observations were performed on both in-situ tensile test and post-deformation specimens."
image_0005,6,../02_images/figures/image_0005.jpg,"(ce) corresponding EDS mappings, (f) SAED pattern for Zone I, and (g) high-resolution image for Zone I.",2,0.374213,0.324213,low,paper::sent::173,text_item,"The corresponding FFT pattern reveals stacking faults habit plane is (001). e An inverse FFT image masking circled diffraction spots shows lattice distortion around stacking faults with some additional half planes, indicating the existence of dislocations. f An HRTEM micrograph for the Al9(Fe,Co,Ni)2 particle in (b) slightly off the pillar top with planar defects."
image_0005,6,../02_images/figures/image_0005.jpg,"(ce) corresponding EDS mappings, (f) SAED pattern for Zone I, and (g) high-resolution image for Zone I.",3,0.372732,0.322732,low,paper::sent::166,text_item,"The nano-CT image showed that after loading to the level IV, the interlayer defects in the composite material got interconnected and delaminated failure occurred."
image_0005,6,../02_images/figures/image_0005.jpg,"(ce) corresponding EDS mappings, (f) SAED pattern for Zone I, and (g) high-resolution image for Zone I.",4,0.371198,0.321198,low,paper::sent::161,text_item,"To further verify the phase composition and microstructure of SiHfO2 bond coating in the early stages of thermal cycling, a sample was analyzed via TEM after just 25 h, which was earlier than the 50 h interval previously examined."
image_0005,6,../02_images/figures/image_0005.jpg,"(ce) corresponding EDS mappings, (f) SAED pattern for Zone I, and (g) high-resolution image for Zone I.",5,0.370802,0.320802,low,paper::sent::173,text_item,"It is noted that a recent study has achieved room-temperature strength exceeding 800 MPa and high elevated-temperature strengths in a 3D-printed Al-Fe-V-Si-Sc alloy [10], relying on the in situ formation of multiscale heterogeneous structures comprising abundant nanoscale amorphous bands and crystalline precipitates, as well as the incorporation of costly Sc element."
chart_0006,7,../02_images/figures/chart_0006.jpg,Fig.8 Oxidation kinetics mechanism of m-TGO: (a) m-TGO thickness beneath $\mathrm { Y b } _ { 2 } \mathrm { S i } _ { 2 } \mathrm { O } _ { 7 } / \mathrm { Y b } _ { 2 } \mathrm { S i O } _ { 5 }$ layers as fncton ofeuri thermal cg t; (b) temperature dependence of parabolic oxidation rate constant for m-TGO.,1,0.565712,0.315712,high,paper::sent::177,text_item,Fig. 8 shows that the HIP2 temperature of $1 1 8 0 ^ { \circ } \mathrm { C }$ is just below the temperature where the y'-phase is no longer stable.
chart_0006,7,../02_images/figures/chart_0006.jpg,Fig.8 Oxidation kinetics mechanism of m-TGO: (a) m-TGO thickness beneath $\mathrm { Y b } _ { 2 } \mathrm { S i } _ { 2 } \mathrm { O } _ { 7 } / \mathrm { Y b } _ { 2 } \mathrm { S i O } _ { 5 }$ layers as fncton ofeuri thermal cg t; (b) temperature dependence of parabolic oxidation rate constant for m-TGO.,2,0.565252,0.315252,high,paper::sent::180,text_item,"In the thermal cycling tests at 1400, 1450, and $1 5 0 0 ~ ^ { \circ } \mathrm { C } ,$ the changes in the thickness increment (∆h) of m-TGO calculated from Table 3 over time are shown in Fig. 8(a)."
chart_0006,7,../02_images/figures/chart_0006.jpg,Fig.8 Oxidation kinetics mechanism of m-TGO: (a) m-TGO thickness beneath $\mathrm { Y b } _ { 2 } \mathrm { S i } _ { 2 } \mathrm { O } _ { 7 } / \mathrm { Y b } _ { 2 } \mathrm { S i O } _ { 5 }$ layers as fncton ofeuri thermal cg t; (b) temperature dependence of parabolic oxidation rate constant for m-TGO.,3,0.56429,0.31429,high,paper::sent::204,text_item,Note that the increase in ED raises the temperature of the thermal effect from the melt pool and increases the fraction of the $\alpha _ { 2 } / \beta / \gamma$ mixed structure (area 2) and decreases the ultrafine $\alpha _ { 2 } / \gamma$ lamellar grain with the $\beta / \gamma$ cell (area 3) (Fig. 8(a)).
chart_0006,7,../02_images/figures/chart_0006.jpg,Fig.8 Oxidation kinetics mechanism of m-TGO: (a) m-TGO thickness beneath $\mathrm { Y b } _ { 2 } \mathrm { S i } _ { 2 } \mathrm { O } _ { 7 } / \mathrm { Y b } _ { 2 } \mathrm { S i O } _ { 5 }$ layers as fncton ofeuri thermal cg t; (b) temperature dependence of parabolic oxidation rate constant for m-TGO.,4,0.558949,0.308949,high,paper::sent::171,text_item,"A further analysis of the fracture surfaces of the CL and PL tensile samples is presented in Figure 8(a—f) and (g-I), respectively."
chart_0006,7,../02_images/figures/chart_0006.jpg,Fig.8 Oxidation kinetics mechanism of m-TGO: (a) m-TGO thickness beneath $\mathrm { Y b } _ { 2 } \mathrm { S i } _ { 2 } \mathrm { O } _ { 7 } / \mathrm { Y b } _ { 2 } \mathrm { S i O } _ { 5 }$ layers as fncton ofeuri thermal cg t; (b) temperature dependence of parabolic oxidation rate constant for m-TGO.,5,0.545004,0.295004,high,paper::sent::183,text_item,"To further understand the transport mechanism of the oxidant in the trilayer EBC, Arrhenius plots of the temperature dependence of the parabolic oxidation of m-TGO are shown in Fig. 8(b)."
image_0007,8,../02_images/figures/image_0007.jpg,Fig. 9 Schematic diagram of reaction and growth mechanism of SiO2 and HfSiO4 phases within m-TGO.,1,0.545288,0.295288,high,paper::sent::176,text_item,The main precipitates in this alloy were identified as Al3Sc and $\mathrm { A l } _ { 3 } \mathrm { Z r }$ by XRD scan (Figure 9) together with phase diagram calculation in Supplementary Figure S3.
image_0007,8,../02_images/figures/image_0007.jpg,Fig. 9 Schematic diagram of reaction and growth mechanism of SiO2 and HfSiO4 phases within m-TGO.,2,0.52311,0.27311,high,paper::sent::192,text_item,"In contrast, at 980 C/260 MPa, the initial carbides mainly decompose into typical $\mathsf { M } _ { 6 } \mathsf { C }$ carbides enriched Mo and W, which precipitate at higher temperatures (870 ${ } ^ { \circ } \mathsf { C } ) .$ Due to the relatively short time of stress rupture life, the $\mathsf { M } _ { 6 } C$ carbides grow up insufficiently even at high temperatures, showing a shape of discontinuous fine granular (Fig. 9(e))."
