figure_id,figure_index,figure_path,caption,top1_score,top1_confidence,top1_text,top2_score,top2_confidence,top2_text,top3_score,top3_confidence,top3_text,top4_score,top4_confidence,top4_text,top5_score,top5_confidence,top5_text
image_0000,1,../02_images/figures/image_0000.jpg,(c); (Assembly details grindable K-type thermocouple an schematicdiagram f the data acquisition system.,0.39088,low,X-ray diffraction (XRD) measuements were performed to obtain the phase transfor- mation information during tensile tests using a Philips Xpert X-ray diffractometer with Cu Kα radiation.,0.381782,low,"X-ray diffractometer (XRD, D8 ADVANCE, Bruker, Germany) with Cu Kα rays $( \lambda = 0 . 1 5 4 0 6$ nm) was used to measure the phase compositions of the samples.",0.38171,low,The phase components of the as-printed samples were identified by an X-ray diffractometer (XRD; Bruker D8 Advance) scanning in the range of 30°90°.,0.379679,low,"Using TENSOR27 FTIR spectrometer (Bruker, Germany) to record fourier transform infrared spectrum in the range of 400—4000 cm−1.",0.379622,low,"X-ray diffraction analysis of the ground surface and subsurface was carried out using a microzone diffractometer (XRD, Rapid-IIR, Rigaku, Japan) with a scanning range of 40° to 100° and an incremental step of 0.02° using a Cu target."
chart_0001,2,../02_images/figures/chart_0001.jpg,"(b); $1 . 3 \times 1 0 ^ { 5 } ^ { \circ } \mathsf { C } / \mathsf { s } ,$ and a cooling rate of $2 . 1 \times 1 0 ^ { 3 } ~ \mathrm { { ^ circ } C / s } .$",0.3739,low,The results indicated that the appearance of first exothermal peak at 1051 °C in the DSC curves can be attributed to the crystallization of amorphous phase.,0.370421,low,"For the charge and discharge curves at 1.0 C, the shape of the discharge curves changes as the particle sizes increase.",0.367819,low,"Meanwhile, transmission Kikuchi diffraction (TKD) technique was utilized to calibrate information on nanocrystals in the recrystallized layer, with a uniform scanning step of 5 nm, and setting scanning voltage and current to 30 kV and 6.4 nA, respectively.",0.366603,low,The tensile properties of LPBF GH4169 were assessed through a quasi-static tension test (with a strain rate of $2 . 5 \times 1 0 ^ { - 4 } )$ conducted at room temperature.,0.366431,low,"When the calcination temperature reached 850 °C, a single-phase LATP was successfully obtained."
image_0002,3,../02_images/figures/image_0002.jpg,(d); o akex. o.,0.388938,low,"To further elucidate the excellent comprehensive mechanical properties of the N1-LAG material with gradient structure, detailed TEM characterizations were performed before and after tensile deformation.",0.386323,low,"The characterization of the elemental distribution across the lateral passive film, as well as the correlated structural features, were performed on a dual spherical aberrationcorrected (scanning) TEM (Titan Cubed Themis G2 300, FEI) at an accelerating voltage of 300 kV.",0.385489,low,The dislocation structures in the tensile-deformed specimens were analyzed by TEM.,0.38396,low,"To further reveal the microstructure evolution before and after tensile tests of the studied materials, the JEOL JEM-2100F transmission electron microscope (TEM) was utilized.",0.382162,low,Transmission electron microscopy (TEM) investigations were carried out using FEI Tecnai Cube and aberration-corrected Titan G260-300 microscopes.
image_0003,4,../02_images/figures/image_0003.jpg,(c); F retaining the original microstructure.,0.381446,low,"The selected grain boundaries contain both the carbides and borides, as identified in the SEM and TEM investigations.",0.377495,low,"Highermagnifi cation observations revealed the formation of small, light-colored precipitates inside the grains and in the grain boundaries with enriched in Nb and C (EDS), suggesting the formation of NbC carbide [2730].",0.376106,low,"Additionally, the SAED pattern showed significant α-BCC martensite and γ-FCC austenite in the microstructure of the near-ground surface, but no ε or θ carbides were detected.",0.375965,low,This study shows that the particle size distribution of $\mathrm { L i } _ { 6 } \mathrm { P S } _ { 5 } \mathrm { C l }$ in solid-state battery composites is a key factor in determining the overall cell performance.,0.374271,low,Careful examination of the contrast variations in these microstructures reveals the precipitation of particles and various types of carbides and the presence of what we will identify below as grain boundary borides in the boron containing alloys.
image_0004,5,../02_images/figures/image_0004.jpg,primary constituent with trace acicular martensite.; (a),0.373218,low,"In sharp contrast, the darkfield (DF) TEM image captured from the superlattice reflections of the L12 phase (marked by the yellow circles) demonstrates high-density L12 nanoprecipitation in the wall.",0.366701,low,"At the locations with bright spots on the backscatter electron images, the Ni content is low, strongly indicating that these particles are carbides.",0.363878,low,"Specifically, the two-beam brightfield TEM images show random distributions of dislocations inside the copper grains, and no discernible dislocation pile-ups are observed at the matrix-nanoparticle interface.",0.361017,low,"Considering that the microstructure of the cryptocrystalline region was refined to nanoscale, FIB-TEM was adopted instead of conventional SEM to examine the microstructure accurately.",0.356445,low,"As the cycle number increased, the microstructures exhibited an increased presence of bright spots."
image_0005,6,../02_images/figures/image_0005.jpg,(c); Tanio demonstrating randomly oriented refined polycrystals.,0.37949,low,"The abundant presence of nano-sized precipitates encircling nano-scale equiaxed grains gave rise to a distinctive ring-shaped structure at the nanoscale, while those located along columnar grain boundaries formed a strip-shaped structure.",0.374861,low,"Despite minor coarsening, these structures were stabilized as the nano-sized precipitates still effectively impeded grain boundary migration, thereby providing robust resistance against grain coarsening.",0.369193,low,"Pyczak et al. [34] reported that in the Ni-based alloys with $1 0 – 3 0 \mathrm { v o l } . \% \mathrm { C r } , \mathrm { C r } _ { 2 } 0 _ { 3 }$ was observed as external scales above the grain boundaries in addition to internal $\mathrm { C r } _ { 2 } \mathrm { O } _ { 3 } ,$ which are both expected to form in our sintered parts with 21.2 wt.% of Cr [34].",0.369188,low,Excessive grain boundary $\gamma$ layers are not observed in the boronfree alloy.,0.366462,low,The boundaries of grains in this nanocrystalline layer were more distinct compared to other areas.
image_0006,7,../02_images/figures/image_0006.jpg,(e); 20 nm recrystallization nuclei.,0.361612,low,"Gas-atomized copper powders with an average diameter of -30 µm were mixed with highly crystallized $\mathtt { B _ { 4 } C }$ particles with sizes ranging from 2 to 4 µm (Aladdin Ltd., Shanghai, China).",0.360523,low,"After annealing, a unique nanoprecipitation microstructure characterized by ultrafine twin thicknesses is achieved in the EHEA, which enables exceptional mechanical performance across a wide temperature range from RT to $6 0 0 ^ { \circ } \mathrm { C } .$ Such NT nanoprecipitates have not been previously reported in other HEAs and form through an intriguing two-step process.",0.359033,low,The carbon segregation at grain boundaries also provided nucleation sites for film-like MC and M6C.,0.358738,low,"To uncover the in-situ formation mechanism of $\mathrm { M g A l B } _ { 4 }$ nano-whiskers, the impact of undercooling and pressure on the critical nucleation barriers are first analyzed.",0.358713,low,"This approach eliminates the need for highly expensive Sc element additions which are commonly employed to facilitate heterogeneous nucleation through the in situ formation of nanoscale Al3Sc nucleants [10,25]."
image_0007,8,../02_images/figures/image_0007.jpg,"top surface, with an enlarged HRTEM image (marked by the red box) highlighting carbide internal defects.",0.386032,low,"At the same time, the tensile stress caused by CTE mismatch would concentrate near cracks and pores in YbMS coating, leading to further crack propagation.",0.383547,low,The Burgers vector of the dislocations observed after the tensile deformation was determined by g·b contrast analysis on the bright-field TEM images with several different reflection vectors (g vectors).,0.381321,low,"Specifically, the two-beam brightfield TEM images show random distributions of dislocations inside the copper grains, and no discernible dislocation pile-ups are observed at the matrix-nanoparticle interface.",0.380634,low,"Under transverse tensile stress, cracks preferentially extended along the BN interface due to the low resistance, which weakened the mechanical properties of the composite.",0.375712,low,Liu et al. examined the effect of Al content on the lamellar spacing in the TiAl alloys with the fully lamellar structure [55].
image_0008,9,../02_images/figures/image_0008.jpg,"top surface, with an enlarged view (marked by the red box) highlighting carbide boundary characteristics.",0.383481,low,"The enlarged HRTEM image further revealed that there was a stacking fault within the carbide particle, while the overall morphological change of the carbide particle was insignificant and no slip band was observed.",0.379251,low,"The corresponding FFT pattern reveals stacking faults habit plane is (001). e An inverse FFT image masking circled diffraction spots shows lattice distortion around stacking faults with some additional half planes, indicating the existence of dislocations. f An HRTEM micrograph for the Al9(Fe,Co,Ni)2 particle in (b) slightly off the pillar top with planar defects.",0.370241,low,"In in-situ laser assisted diamond cutting, due to the presence of defects caused by SiC particles pulled-out, the scale of the damage layer is beyond the analysis scope of TEM.",0.369033,low,"Third, the interfaces between the two nanoscale intermetallic phases may have increased the fracture strength in the fine rosette region, so that plastic yielding can occur before fracture.",0.368896,low,"To gain deeper insight into the unique strengthening effect from the one-dimensional architecture of the nano-whiskers, TEM observations were performed on both in-situ tensile test and post-deformation specimens."
chart_0009,10,../02_images/figures/chart_0009.jpg,"Fig. 10. xRD diffraction patterns of the white layer, dark layer, and bulk material. White layer: Austenite peaks intensify with martensite peak broadening and high-angle shifting. Dark layer: Austenite phase disappears; martensite peaks show intensified and narrowed profiles.",0.538461,high,Fig. 10 shows the cross-sectional microstructure of Si/YbDS-YbMS/ YbMS/LMA coating after heat treatment at 1300 °C for 10 h.,0.538115,high,"First, for samples after annealing at 530 °C (Fig. 10, circle points), the overall UTS of 8Ni4Mo samples is higher than 8Ni and 10Ni4Mo.",0.530824,high,"Fig. 10 shows the XRD diffraction patterns of the white layer, dark layer, and bulk material.",0.530082,high,"XRD patterns of the sintered samples had additional (compared to feedstock powder) small peaks indicating the formation of precipitates of intermetallic phases such as γ' (NiAl), γ"" (NiNb), δ (NiNb) and various carbides during the sintering process (Fig. 10).",0.529682,high,"The compositions of $\gamma$ and $\gamma ^ { \prime }$ and the partitioning coefficients of the alloying elements in alloys T0 and T5, as well as several commercial superalloys [4346], are demonstrated explicitly in Fig. 10."
