figure_id,figure_index,figure_path,caption,rank,score,cosine_score,confidence,text_token_id,source,text
image_0000,1,../02_images/figures/image_0000.jpg,FR S AMlCA0.CA0. E CoCrNi(AI0.6TiFe)0.3; F CoCrNi(AI0.6TiFe)0.4; G CoCrNi(AI0.6TiFe)0.5,1,0.374022,0.324022,low,paper::sent::71,text_item,"Notably, distinct microstructural variations are evident in CoCrNi(Al0.6TiFe)0.4 and CoCr-Ni(Al0.6TiFe)0.5 alloys, where micrometer-sized BCC precipitates are observed within the primary dendritic network."
image_0000,1,../02_images/figures/image_0000.jpg,FR S AMlCA0.CA0. E CoCrNi(AI0.6TiFe)0.3; F CoCrNi(AI0.6TiFe)0.4; G CoCrNi(AI0.6TiFe)0.5,2,0.365002,0.315002,low,paper::sent::96,text_item,"Thus, the segregation of B atoms can improve the cohesive strength of the grain boundaries in present CCIMA and reduce the tendency of brittle morphologies of deformation substructures of the CCIMA at different strains. g, i High-resolution TEM and corresponding FFT images (insets) revealing the changes in the types of deformation substructures from APB-coupled superlattice dislocations (5%) to intersected SFs (35%). h Atomic-resolution STEM-HAADF image illustrating the existence of SISF at a strain of 15%."
image_0000,1,../02_images/figures/image_0000.jpg,FR S AMlCA0.CA0. E CoCrNi(AI0.6TiFe)0.3; F CoCrNi(AI0.6TiFe)0.4; G CoCrNi(AI0.6TiFe)0.5,3,0.36211,0.31211,low,paper::sent::134,text_item,"Furthermore, the published study reveals that only a slight surface oxidization of wC-Co can be observed after isothermal oxidating for 10 h at 500 °C [27], which is attributed to the oxidation of Co binder phase."
image_0000,1,../02_images/figures/image_0000.jpg,FR S AMlCA0.CA0. E CoCrNi(AI0.6TiFe)0.3; F CoCrNi(AI0.6TiFe)0.4; G CoCrNi(AI0.6TiFe)0.5,4,0.359354,0.309354,low,paper::sent::55,text_item,"The overall chemical composition of the thermal-stabilized CCIMA measured by SEM-EDS is $\mathrm { N i _ { 5 8 . 1 } C o _ { 1 9 . 5 } S i _ { 1 1 . 5 } T i _ { 6 . 6 } A l _ { 4 . 3 } }$ (at. %), showing a very small chemical change compared with the pre-alloyed powder."
image_0000,1,../02_images/figures/image_0000.jpg,FR S AMlCA0.CA0. E CoCrNi(AI0.6TiFe)0.3; F CoCrNi(AI0.6TiFe)0.4; G CoCrNi(AI0.6TiFe)0.5,5,0.358688,0.308688,low,paper::sent::64,text_item,The comparative grain sizes implied no significant grain coarsening after heat treatment at elevated temperatures occurred in this LPBF-fabricated Al-Cu-Li-Sc-Zr alloy.
image_0001,2,../02_images/figures/image_0001.jpg,M/STEuMCrlBFTEE corresponding STEM-EDS maps,1,0.39037,0.34037,low,paper::sent::70,text_item,"In sharp contrast, the darkfield (DF) TEM image captured from the superlattice reflections of the L12 phase (marked by the yellow circles) demonstrates high-density L12 nanoprecipitation in the wall."
image_0001,2,../02_images/figures/image_0001.jpg,M/STEuMCrlBFTEE corresponding STEM-EDS maps,2,0.379451,0.329451,low,paper::sent::94,text_item,"Specifically, the two-beam brightfield TEM images show random distributions of dislocations inside the copper grains, and no discernible dislocation pile-ups are observed at the matrix-nanoparticle interface."
image_0001,2,../02_images/figures/image_0001.jpg,M/STEuMCrlBFTEE corresponding STEM-EDS maps,3,0.373504,0.323504,low,paper::sent::93,text_item,"Due to the visibility of carbides in the micrographs, a determination of relative density through light optical microscopy and image analysis is not feasible."
image_0001,2,../02_images/figures/image_0001.jpg,M/STEuMCrlBFTEE corresponding STEM-EDS maps,4,0.368968,0.318968,low,paper::sent::109,text_item,"Considering that the microstructure of the cryptocrystalline region was refined to nanoscale, FIB-TEM was adopted instead of conventional SEM to examine the microstructure accurately."
image_0001,2,../02_images/figures/image_0001.jpg,M/STEuMCrlBFTEE corresponding STEM-EDS maps,5,0.368713,0.318713,low,paper::sent::64,text_item,"The number density per unit area, volume fraction and size of nanoparticles were measured based on at least ten SEM images via ImageJ."
