figure_id,figure_index,figure_path,caption,rank,score,cosine_score,confidence,text_token_id,source,text
image_0000,1,../02_images/figures/image_0000.jpg,diagram. (f) Ultrasonic fatigue test system.,1,0.378273,0.328273,low,paper::sent::178,text_item,"This study did not intend to study the influence of machining parameters on tool wear, only focusing on the tool wear mechanism with conventional and in-situ laser assisted diamond cutting."
image_0000,1,../02_images/figures/image_0000.jpg,diagram. (f) Ultrasonic fatigue test system.,2,0.37502,0.32502,low,paper::sent::29,text_item,"In this paper, machining that exceeds the critical speed of ductilebrittle transition of the material is defined as UHSM [17], and machining speed that falls between conventional and ultra-high speeds is defined as high-speed machining."
image_0000,1,../02_images/figures/image_0000.jpg,diagram. (f) Ultrasonic fatigue test system.,3,0.374143,0.324143,low,paper::sent::19,text_item,This work highlights a novel approach for processing complex-structured ultrahigh strength Al alloy components by hybrid additive manufacturing.
image_0000,1,../02_images/figures/image_0000.jpg,diagram. (f) Ultrasonic fatigue test system.,4,0.37342,0.32342,low,paper::sent::56,text_item,"After conventional casting (CC), a hot isostatic press (HIP) was used to consolidate the as-cast bars, in order to eliminate microporosity and improve mechanical properties."
image_0000,1,../02_images/figures/image_0000.jpg,diagram. (f) Ultrasonic fatigue test system.,5,0.372705,0.322705,low,paper::sent::20,text_item,"However, due to limited fabricating control over composition and spatial structure, conventional fabrication techniques such as casting or forging struggle to produce phase-tunable materials with tailored microstructures."
image_0001,2,../02_images/figures/image_0001.jpg,"c blocky $\overline { { \boldsymbol { \gamma } ^ { \prime } } }$ and needle-like $\gamma ^ { \prime \prime }$ $\gamma ^ { \prime \prime } ,$ Fst ourr normFT) aes; ( m ow the σ phase.",1,0.374747,0.324747,low,paper::sent::96,text_item,"Thus, the segregation of B atoms can improve the cohesive strength of the grain boundaries in present CCIMA and reduce the tendency of brittle morphologies of deformation substructures of the CCIMA at different strains. g, i High-resolution TEM and corresponding FFT images (insets) revealing the changes in the types of deformation substructures from APB-coupled superlattice dislocations (5%) to intersected SFs (35%). h Atomic-resolution STEM-HAADF image illustrating the existence of SISF at a strain of 15%."
image_0001,2,../02_images/figures/image_0001.jpg,"c blocky $\overline { { \boldsymbol { \gamma } ^ { \prime } } }$ and needle-like $\gamma ^ { \prime \prime }$ $\gamma ^ { \prime \prime } ,$ Fst ourr normFT) aes; ( m ow the σ phase.",2,0.373546,0.323546,low,paper::sent::69,text_item,"High-resolution microstructural examination was conducted using a Zeiss SUPRA 55 field emission SEM in backscattered electron (BSE) mode (20 kV, WD = 10 mm) and electron back scatter diffraction (EBSD) analysis on a Zeiss Gemini 450 SEM (step sizes 0.82.5 µm, 20 kV), with samples prepared by electrochemical polishing in a 5 % HClO4-35 % n-butanol-60 % methanol solution (—30 °C, 30 V)."
image_0001,2,../02_images/figures/image_0001.jpg,"c blocky $\overline { { \boldsymbol { \gamma } ^ { \prime } } }$ and needle-like $\gamma ^ { \prime \prime }$ $\gamma ^ { \prime \prime } ,$ Fst ourr normFT) aes; ( m ow the σ phase.",3,0.373232,0.323232,low,paper::sent::92,text_item,Microstructure and morphology characteristics analysis of the white and dark layers under SEM
image_0001,2,../02_images/figures/image_0001.jpg,"c blocky $\overline { { \boldsymbol { \gamma } ^ { \prime } } }$ and needle-like $\gamma ^ { \prime \prime }$ $\gamma ^ { \prime \prime } ,$ Fst ourr normFT) aes; ( m ow the σ phase.",4,0.372747,0.322747,low,paper::sent::87,text_item,"OM micrographs of shape, size, and distribution of grains and porosity of differently sintered samples (Suppl."
image_0001,2,../02_images/figures/image_0001.jpg,"c blocky $\overline { { \boldsymbol { \gamma } ^ { \prime } } }$ and needle-like $\gamma ^ { \prime \prime }$ $\gamma ^ { \prime \prime } ,$ Fst ourr normFT) aes; ( m ow the σ phase.",5,0.372471,0.322471,low,paper::sent::55,text_item,"The quantitative analyses of the defects, pores and microstructures were performed based on the OM and SEM images of the rods using the software ImageJ."
