figure_id,figure_index,figure_path,caption,rank,score,cosine_score,confidence,text_token_id,source,text
image_0000,1,../02_images/figures/image_0000.jpg,"Fig. 1. a) Top view, and b) and c) side views of the micro-shear specimen of B100C20.",1,0.557077,0.307077,high,paper::sent::68,text_item,The typical SEM morphologies of the micro-shear specimen are shown in Fig. 1.
image_0000,1,../02_images/figures/image_0000.jpg,"Fig. 1. a) Top view, and b) and c) side views of the micro-shear specimen of B100C20.",2,0.553513,0.303513,high,paper::sent::62,text_item,Fig. 1 provides the microstructural characterization of the H230 and H230AM samples.
image_0000,1,../02_images/figures/image_0000.jpg,"Fig. 1. a) Top view, and b) and c) side views of the micro-shear specimen of B100C20.",3,0.553233,0.303233,high,paper::sent::84,text_item,Fig. 1 demonstrates the initial microstructure in the dendrite cores and interdendritic regions of alloys T0 and T5 obtained after the complete heat treatment.
image_0000,1,../02_images/figures/image_0000.jpg,"Fig. 1. a) Top view, and b) and c) side views of the micro-shear specimen of B100C20.",4,0.551393,0.301393,high,paper::sent::37,text_item,Fig. 1 shows an image of representative tensile sample.
image_0000,1,../02_images/figures/image_0000.jpg,"Fig. 1. a) Top view, and b) and c) side views of the micro-shear specimen of B100C20.",5,0.550406,0.300406,high,paper::sent::114,text_item,Fig. 1 summarizes the typical as-fabricated microstructures of the AM Al-Zr-Ce-Cu alloy.
chart_0001,2,../02_images/figures/chart_0001.jpg,"Fig. 4. Coefficient of thermal expansion of B100C40, B100C20 and the PIP ${ \mathrm { S i C } } _ { \mathrm { f } } / { \mathrm { S i C } } .$",1,0.575405,0.325405,high,paper::sent::104,text_item,"We obtained results for the STGB and ATGB by the PFC method with a temperature cycling frequency of $3 . 7 \times 1 0 ^ { 3 } \ \mathrm { s ^ { - 1 } }$ (the absolute value of the temperature is a phenomenological parameter in PFC; table S4) (Fig. 4, E and F)."
chart_0001,2,../02_images/figures/chart_0001.jpg,"Fig. 4. Coefficient of thermal expansion of B100C40, B100C20 and the PIP ${ \mathrm { S i C } } _ { \mathrm { f } } / { \mathrm { S i C } } .$",2,0.570934,0.320934,high,paper::sent::85,text_item,"IPF figures obtained using EBSD for specimens manufactured at 0°, 30° and $9 0 ^ { \circ }$ are presented in Fig. 4."
chart_0001,2,../02_images/figures/chart_0001.jpg,"Fig. 4. Coefficient of thermal expansion of B100C40, B100C20 and the PIP ${ \mathrm { S i C } } _ { \mathrm { f } } / { \mathrm { S i C } } .$",3,0.560508,0.310508,high,paper::sent::88,text_item,XRD data of annealed SiC fibers and annealed SiC matrix at 9001400 °C for 1 h in Ar atmosphere are shown in Fig. 4.
chart_0001,2,../02_images/figures/chart_0001.jpg,"Fig. 4. Coefficient of thermal expansion of B100C40, B100C20 and the PIP ${ \mathrm { S i C } } _ { \mathrm { f } } / { \mathrm { S i C } } .$",4,0.560011,0.310011,high,paper::sent::112,text_item,The HR TEM images showed that the order degree of BN interphase increased with increase in PIP temperature (Fig. 4).
chart_0001,2,../02_images/figures/chart_0001.jpg,"Fig. 4. Coefficient of thermal expansion of B100C40, B100C20 and the PIP ${ \mathrm { S i C } } _ { \mathrm { f } } / { \mathrm { S i C } } .$",5,0.556628,0.306628,high,paper::sent::67,text_item,"To determine the appropriate sintering temperature range for our samples, the powder DSC measurements (Fig. 4) were analyzed show ing that melting begins at $1 3 0 4 ^ { \circ } \mathrm { C }$ and ends at 1334 °C, which is in the range of reported values of cast alloy 625 materials between 1290 and $1 3 5 0 ^ { \circ } \mathrm { C }$ [11] and close to the solidus of $1 2 9 4 ^ { \circ } \mathrm { C }$ for an alloy 625 powder reported by Simchi [17]."
