figure_id,figure_index,figure_path,caption,rank,score,cosine_score,confidence,text_token_id,source,text
image_0000,1,../02_images/figures/image_0000.jpg,Fig. 1. Flow stress and strain hardening of anisotropic materials are tensor quantities.,1,0.550018,0.300018,high,paper::sent::75,text_item,"Fig. 1(a) shows the increase of yield strength $\left( \sigma _ { 0 . 2 } \right)$ of all gradient-structured specimens of 1-mm thick (superscript represents specimen thickness in mm) with increasing SMAT duration (subscript, minutes), with a slight decrease of uniform tensile elongation $\varepsilon _ { u \cdot }$ For example, the processing by SMAT for 15 min, i.e. $\mathsf { G S } _ { 1 5 } ^ { 1 } ,$ increased $\sigma _ { 0 . 2 }$ by 132% while $\varepsilon _ { u }$ dropped by only 30%, which is consistent with an early report on gradient structured IF steel [29]."
image_0000,1,../02_images/figures/image_0000.jpg,Fig. 1. Flow stress and strain hardening of anisotropic materials are tensor quantities.,2,0.549376,0.299376,high,paper::sent::8,text_item,The statement above means that such flow curves represent an incomplete description of plastic deformation as they reduce a six-dimensional yield surface and its change upon loading to a one-dimensional (scalar) yield curve (see Fig. 1).
image_0000,1,../02_images/figures/image_0000.jpg,Fig. 1. Flow stress and strain hardening of anisotropic materials are tensor quantities.,3,0.543282,0.293282,high,paper::sent::65,text_item,Fig. 1 shows the tensile behaviors in various gradient structured specimens as well as the CG specimens for comparison.
image_0000,1,../02_images/figures/image_0000.jpg,Fig. 1. Flow stress and strain hardening of anisotropic materials are tensor quantities.,4,0.543255,0.293255,high,paper::sent::45,text_item,"The workflow of this study is shown in Fig. 1 and proceeds in the order of initial dataset construction, implementation of the Pareto active learning framework, and microstructure analysis."
image_0000,1,../02_images/figures/image_0000.jpg,Fig. 1. Flow stress and strain hardening of anisotropic materials are tensor quantities.,5,0.537282,0.287282,high,paper::sent::101,text_item,This observation confirms that all austenite observed in Fig. 1 originates from phase reversion during the aging process.
image_0001,2,../02_images/figures/image_0001.jpg,"Fi w corners. If the strain is homogeneous, this situation leads to different stresses in each crystal $[ 1 , 2 ] , \tau _ { c r i t } \colon$ critical shear stress. TaylorBishopHill tress state (stress required to reach a yield corner).",1,0.378742,0.328742,low,paper::sent::27,text_item,"Complex dislocation structures and stacking faults are present in the sandwiched monoclinic brittle ${ \bf A l } _ { 9 } ( \mathrm { F e } , \mathrm { C o } , \mathrm { N i } ) _ { 2 }$ phase."
image_0001,2,../02_images/figures/image_0001.jpg,"Fi w corners. If the strain is homogeneous, this situation leads to different stresses in each crystal $[ 1 , 2 ] , \tau _ { c r i t } \colon$ critical shear stress. TaylorBishopHill tress state (stress required to reach a yield corner).",2,0.373992,0.323992,low,paper::sent::97,text_item,Densification of hexagonal tensile specimens and part-to-part density variation
image_0001,2,../02_images/figures/image_0001.jpg,"Fi w corners. If the strain is homogeneous, this situation leads to different stresses in each crystal $[ 1 , 2 ] , \tau _ { c r i t } \colon$ critical shear stress. TaylorBishopHill tress state (stress required to reach a yield corner).",3,0.368082,0.318082,low,paper::sent::54,text_item,"While these concepts are wellestablished, a succinct presentation is essential as this work demonstrates that combining fundamental fracture mechanics principles with energy-controlled phase-field models can achieve remarkable accuracy and computational efficiency."
image_0001,2,../02_images/figures/image_0001.jpg,"Fi w corners. If the strain is homogeneous, this situation leads to different stresses in each crystal $[ 1 , 2 ] , \tau _ { c r i t } \colon$ critical shear stress. TaylorBishopHill tress state (stress required to reach a yield corner).",4,0.367892,0.317892,low,paper::sent::101,text_item,The case of a square plate with an initial crack subjected to uniaxial tension has become a paradigmatic benchmark in the phase field fracture community.
image_0001,2,../02_images/figures/image_0001.jpg,"Fi w corners. If the strain is homogeneous, this situation leads to different stresses in each crystal $[ 1 , 2 ] , \tau _ { c r i t } \colon$ critical shear stress. TaylorBishopHill tress state (stress required to reach a yield corner).",5,0.365068,0.315068,low,paper::sent::33,text_item,The initial microstructure and crystallographic texture as well as the microstructure evolution and corresponding deformation mechanism after stress rupture tests are studied in detail using a range of techniques.
image_0002,3,../02_images/figures/image_0002.jpg,"F wa of 45, giving evidence of the enormous orientation-dependent heterogeneity of plasticity even in pure metals.",1,0.362428,0.312428,low,paper::sent::109,text_item,"These findings, supported by XRD, Rietveld refinement, SEMEDS mapping, and XPS analysis, confirmed the successful incorporation of Zr into the LATP lattice."
image_0002,3,../02_images/figures/image_0002.jpg,"F wa of 45, giving evidence of the enormous orientation-dependent heterogeneity of plasticity even in pure metals.",2,0.35871,0.30871,low,paper::sent::148,text_item,"Thus, based on these findings, it is determined that to test the alloy design concept Mo can be introduced to delay the precipitation process, and Ni to promote the austenite reversion process."
image_0002,3,../02_images/figures/image_0002.jpg,"F wa of 45, giving evidence of the enormous orientation-dependent heterogeneity of plasticity even in pure metals.",3,0.358628,0.308628,low,paper::sent::43,text_item,"Due to the challenges of modifying individual melt pool characteristics, this study explores a strategy that leverages the overlapping remelting effects of multiple melt pools in 3D space."
image_0002,3,../02_images/figures/image_0002.jpg,"F wa of 45, giving evidence of the enormous orientation-dependent heterogeneity of plasticity even in pure metals.",4,0.358383,0.308383,low,paper::sent::65,text_item,The precipitation behavior significantly influences the mechanical properties of the LPBF-fabricated Al-Cu-Li-Sc-Zr alloy at elevated temperatures.
image_0002,3,../02_images/figures/image_0002.jpg,"F wa of 45, giving evidence of the enormous orientation-dependent heterogeneity of plasticity even in pure metals.",5,0.355669,0.305669,low,paper::sent::71,text_item,"Surface roughness and microhardness values were measured respectively using a non-contact optical 3D profilometer (Taylor Hobson CCI HD) and a microhardness tester (HXD-1000TMC/LCD), applying a"
image_0003,4,../02_images/figures/image_0003.jpg,"Fig. 4. Schematic presentation of the conceptual ingredients in CPFE simulations. (a) Example of a case with one type of deformation mechanism (lattice dislocations) and one phase. (b) Example of a case with different deformation mechanisms, phases, orientations and homogenization schemes at the same integration point.",1,0.564026,0.314026,high,paper::sent::104,text_item,"Thin films of pure L-PAAs, M-PAAs and H-PAAs were produced by solution casting from their solutions with concentration of 1 wt%, and the data of contact angle were measured and listed in Fig. 4(h)."
image_0003,4,../02_images/figures/image_0003.jpg,"Fig. 4. Schematic presentation of the conceptual ingredients in CPFE simulations. (a) Example of a case with one type of deformation mechanism (lattice dislocations) and one phase. (b) Example of a case with different deformation mechanisms, phases, orientations and homogenization schemes at the same integration point.",2,0.551419,0.301419,high,paper::sent::165,text_item,"Consequently, the incomplete melting of powder particles may leave voids between them, which in turn lead to the presence of internal defects in the solidified part (Fig. 3 (a) and panels i of Fig. 4(a)) reflected in a low relative density of the LPBF-fabricated specimen."
image_0003,4,../02_images/figures/image_0003.jpg,"Fig. 4. Schematic presentation of the conceptual ingredients in CPFE simulations. (a) Example of a case with one type of deformation mechanism (lattice dislocations) and one phase. (b) Example of a case with different deformation mechanisms, phases, orientations and homogenization schemes at the same integration point.",3,0.544067,0.294067,high,paper::sent::106,text_item,Fig. 4(e) provides finer details on the interface through TEM observations.
image_0003,4,../02_images/figures/image_0003.jpg,"Fig. 4. Schematic presentation of the conceptual ingredients in CPFE simulations. (a) Example of a case with one type of deformation mechanism (lattice dislocations) and one phase. (b) Example of a case with different deformation mechanisms, phases, orientations and homogenization schemes at the same integration point.",4,0.541653,0.291653,high,paper::sent::131,text_item,"Figures 4(d3) and 4(d4) also show that as the coating was thermally cycled, the thermal stress accumulated continuously, contributing to the ongoing initiation, propagation, and transformation of oriented cracks into interconnected cracks."
