figure_id,figure_index,figure_path,caption,top1_score,top1_confidence,top1_text,top2_score,top2_confidence,top2_text,top3_score,top3_confidence,top3_text,top4_score,top4_confidence,top4_text,top5_score,top5_confidence,top5_text
chart_0000,1,../02_images/figures/chart_0000.jpg,Fi. 1 (0 $( \delta = 0 . 2 8 \% )$ between the FCC matrix and $\mathbf { L } 1 _ { 2 }$ precipitates.,0.381077,low,"The average thicknesses of the FCC and B2 nanolayers are measured as $\lambda _ { \mathrm { F C C } } = 8 7$ nm and $\lambda _ { \mathrm { B } 2 } = 1 6 0 ~ \mathrm { n m }$ ,respectively.",0.378079,low,"Recently, Di Stefano et al. verify LTPS shows exceptional lithium diffusion $( D _ { \mathrm { L i ^ { + } } } )$ of $1 . 2 \times 1 0 ^ { - 7 }$ cm{2 s-1 at room temperature due to the frustrated energy landscape""9.",0.377328,low,"However, the characteristic peaks of chemical ordering, such as (100) and (110), were found in the high-resolution XRD spectra of the aged alloy, demonstrating the precipitation of an ordered FCC phase (i.e., the $\mathrm { L } 1 _ { 2 }$ phase),",0.37451,low,The small lattice mismatch between the FCC matrix and the $\mathbf { L } 1 _ { 2 }$ phase is also evidenced by the high-resolution,0.374354,low,"And the mass/charge ratio (m/e) corresponding to the molecular ion peak of $\mathrm { F E } _ { 0 }$ , LCFE2, and LCFE5 are 544.19, 548.15, and 632.15, which is consistent with its molecular mass (544.18 for $\mathrm { F E } _ { 0 } ,$ 548.44 for $\operatorname { L C F E } _ { 2 } ,$ and 632.60 for $\mathrm { L C F E } _ { 5 } )$ The above characterization results indicate that $\mathrm { F E } _ { 0 } ,$ $\mathrm { L C F E } _ { 2 } ,$ and $\mathrm { L C F E } _ { 5 }$ have been successfully synthesized."
image_0001,2,../02_images/figures/image_0001.jpg,(a); (b),0.342878,low,Flow3D software was used to simulate the temperature distribution in the molten pool.,0.341127,low,The numerical simulation method is considered to be an effective way to calculate the comprehensive thermal field with complex boundary conditions.,0.340219,low,"The darker regions in the Cr and Co maps show higher elemental concentrations, indicating this is γ-phase (Ni-matrix) in",0.340065,low,"The analysis in this section focuses exclusively on the EDS results for the stacking faults in LSHR since the segregation of γ formers along SESFs [9,34] and SISFs [28,29] in ME3 has been widely reported and is in agreement with the ME3 chemical mapping performed for this study.",0.338588,low,"Additionally, both IPF maps exhibited similar characteristics of fine equiaxed grains and coarse columnar grains."
image_0002,3,../02_images/figures/image_0002.jpg,(d); (e),0.372139,low,"Such a remarkable grain refinement arises from the in-situ formed nanowhiskers, which act as abundant heterogeneous nucleation sites during solidification, promoting the direct formation of equiaxed grains and suppressing epitaxial columnar growth [25].",0.366798,low,"The in-situ strategy effectively eliminates various LPBF-induced defects in high-strength Al alloys while introducing a high density of onedimensional nano-whisker reinforcements, resulting in a substantial enhancement of mechanical performance.",0.366517,low,The inserted optical micrographs reflect the typical barreling phenomenon for ductile metallic materials.,0.36647,low,"It's noteworthy that the equiaxed grains observed in TEM and TKD results could be as small as a few hundred nanometers, indicating the presence of a nanoscale structure in the LPBF-fabricated Al-Cu-Li-Sc-Zr alloy.",0.365332,low,"Only by the simple thermal treatment, we achieved microstructures consisting of L12-type ordered grains whose boundaries are decorated with disordered nanoscale FCC interfaces co-segregated with elements B and Co."
image_0003,4,../02_images/figures/image_0003.jpg,"μm and $0 . 6 7 ^ { \circ } ,$ inset) demonstrate that the lamellar $\mathbf { L } 1 _ { 2 }$ $\mathrm { L } 1 _ { 2 }$ transform (FFT) images of the $\mathrm { L } 1 _ { 2 }$ phase and the FCC matrix, respectively.",0.361251,low,"Only by the simple thermal treatment, we achieved microstructures consisting of L12-type ordered grains whose boundaries are decorated with disordered nanoscale FCC interfaces co-segregated with elements B and Co.",0.357797,low,The small lattice mismatch between the FCC matrix and the $\mathbf { L } 1 _ { 2 }$ phase is also evidenced by the high-resolution,0.356338,low,"Nano-CT results showed that the content of defects inside the fiber bundles was low, which was also evident from the actual cracking situation that cracks tended to generate and propagate in the region of several transverse fibers.",0.355655,low,"In our study, a severe PBF-LB protocol was implemented using a small laser spot size of 40 µm, a high laser power of 100 W, a high scan speed of 1000 mm/s, and no preheating.",0.355347,low,"And when the tensile stress parallel to the axial direction of SiC fibers is large enough, the PDC SiC matrix will crack."
chart_0004,5,../02_images/figures/chart_0004.jpg,"FAE $\mathbf { L } 1 _ { 2 }$ nanorods are enriched in Ni, Al, and Ti, but depleted in in addition to the original Ti enrichment.",0.366384,low,Here we particularly focus on the segregation energies of Ni-Ti and Co-Ti binary alloys.,0.361243,low,"Besides the boron enrichment, higher concentrations of cobalt were found at the γ/MB3 interface in both reconstructions.",0.360794,low,Our findings indicate that a larger λ is beneficial for improving cathode utilization and enables higher cathode loading.,0.358361,low,"This indicates that decomposition reactions have occurred within the heterogeneous cathode, accounting for the rapid capacity decay and short cycle life of ASLBs with NCM811 heterogeneous cathodes.",0.358347,low,"More obvious cellular structures were observed when compared to CoCrNi(Al0.6TiFe)0.4 alloy, in which the FCC phase is encircled by bright precipitates."
chart_0005,6,../02_images/figures/chart_0005.jpg,2D projection of (b). (d) Proximity histogram across the L12/FCC interphase boundary.,0.389003,low,"During the further 8 h annealing, the metastability of the HCP phase relative to the FCC phase provides an additional thermodynamic driving force [63].",0.385409,low,"Generally, the single-phase FCC alloys with low SF energy (about $1 0 { - } 4 0 \ \mathrm { m J / m ^ { 2 } } )$ show a high propensity of mechanical twinning [57,58].",0.384363,low,"The resulting electrolyte exhibited a wide electrochemical stability window of $2 . 7 \mathrm { V } ,$ and the highest proton conductivity of $5 . 3 4 \times 1 0 ^ { - 2 } \mathrm { ~ S ~ c m ^ { - 1 } }$ under ambient conditions among all reported COF-based protonic electrolytes, alongside remarkable long-term stability.",0.383986,low,Smaller particle sizes of $\mathrm { L i } _ { 6 } \mathrm { P S } _ { 5 } \mathrm { C l }$ result in higher capacities and better rate performance of the composite electrodes.,0.383649,low,"Experimentally, we demonstrated that both increasing the CAM particle size and reducing the SE particle size are effective ways to achieve a larger λ and therefore higher $f _ { \mathrm { C A M } }$ It may seem counterintuitive that a larger cathode particle size actually improves performance as larger particle sizes are associated with longer diffusion paths."
chart_0006,7,../02_images/figures/chart_0006.jpg,(b); $\mathsf { a t } - 0 . 8 ~ \mathsf { V } _ { \mathsf { S C E } }$ for 300 s.,0.376623,low,"Aging (745 C, 20 h) on optimally sintered samples further improved mechanical properties.",0.373322,low,The foregoing single equilibrium calculations predict microstructural features after aging.,0.368603,low,"HT1, comprising age hardening at 700 °C after solution heat treatment, resulted in the finest dispersion of $\gamma ^ { \ast }$ while HT2, including double-stage aging, had a similar size of γ' -precipitates, including a fraction of larger γ-precipitates.",0.368492,low,"For the aged alloy, the minimum strain rate increased, while creep lifetime decreased with stress.",0.367204,low,The figure provides a comprehensive comparison of fatigue life predictions obtained from various approaches.
chart_0007,8,../02_images/figures/chart_0007.jpg,(d); T,0.368094,low,"Namely, a similar level of embrittlement is attained at the beginning of the test but the FCGR curves quickly reach a plateau for the ex-situ experiments.",0.365994,low,"This indicates that decomposition reactions have occurred within the heterogeneous cathode, accounting for the rapid capacity decay and short cycle life of ASLBs with NCM811 heterogeneous cathodes.",0.365385,low,Inoculating with Sc and Zr had a negligible influence on solidification curves.,0.361698,low,A statistical analysis of the number of atoms evaporated per unit time was performed to obtain the corresponding atomic evaporation rate.,0.361565,low,"Although the rapid solidification resulting from laser additive manufacturing allows for Zr supersaturation higher than 0.34 wt. % Zr (equivalent to 0.10 at. % Zr), this level of Zr addition was selected to study the feasibility of retarding dislocation climb (the mechanism that activates at elevated temperatures in Al alloys) while producing minimal conductivity loss."
chart_0008,9,../02_images/figures/chart_0008.jpg,(a); (b),0.378857,low,"In the process of high-temperature oxidation, the $\mathrm { C a F _ { 2 } }$ and Si bonding layer inside the coating were oxidized to form the CaO and $\mathrm { S i O _ { 2 } }$ phases.",0.375493,low,The thermophysical properties (and the temperaturedependent thermophysical parameters) of copper and $\mathtt { B 4 C }$ are listed in Supplementary Tables 2-4.,0.362611,low,"According to the LSW theory [60], the coarsening is determined by elements diffusion coefficient and interface energy.",0.362451,low,"Hence, it is suggested that a reduction of carbon content may further improve the creep properties of STAL-15CC.",0.361022,low,"The Cu-containing steel shows a much higher density of Ni3Ti precipitates $( 9 . 8 \times 1 0 ^ { 2 3 } \mathrm { m } ^ { - 3 } )$ compared to the Cu-free steel $( 1 . 9 \times 1 0 ^ { 2 3 }$ $\mathbf { m } ^ { - 3 } ) ,$ accompanied by a significant increase in precipitate volume fraction."
chart_0009,10,../02_images/figures/chart_0009.jpg,(d); (e),0.371253,low,"According to the LSW theory [60], the coarsening is determined by elements diffusion coefficient and interface energy.",0.366546,low,"Hence, it is suggested that a reduction of carbon content may further improve the creep properties of STAL-15CC.",0.365873,low,The thermophysical properties (and the temperaturedependent thermophysical parameters) of copper and $\mathtt { B 4 C }$ are listed in Supplementary Tables 2-4.,0.361456,low,This can be at least partially explained by the much higher mobility of boron compared to that of carbon.,0.359179,low,"In the process of high-temperature oxidation, the $\mathrm { C a F _ { 2 } }$ and Si bonding layer inside the coating were oxidized to form the CaO and $\mathrm { S i O _ { 2 } }$ phases."
