figure_id,figure_index,figure_path,caption,rank,score,cosine_score,confidence,text_token_id,source,text
image_0000,1,../02_images/figures/image_0000.jpg,"Fig. 1 | Schematic illustration of cathode microstructure evolution during charging. a,b, Conventional heterogeneous composite cathode (a) and the proposed homogeneous cathode with efficient mixed conduction (b). In heterogeneous cathodes, Li\* and electrons transport along each other's tortuous conduction pathways to slow the carrier transport dynamics, the heterogeneous interface incompatibility results in high-resistance phases to shrink the active",1,0.54173,0.29173,high,paper::sent::114,text_item,Fig. 1 summarizes the typical as-fabricated microstructures of the AM Al-Zr-Ce-Cu alloy.
image_0000,1,../02_images/figures/image_0000.jpg,"Fig. 1 | Schematic illustration of cathode microstructure evolution during charging. a,b, Conventional heterogeneous composite cathode (a) and the proposed homogeneous cathode with efficient mixed conduction (b). In heterogeneous cathodes, Li\* and electrons transport along each other's tortuous conduction pathways to slow the carrier transport dynamics, the heterogeneous interface incompatibility results in high-resistance phases to shrink the active",2,0.53832,0.28832,high,paper::sent::53,text_item,The mean intercept grain size was 125 µm with small discrete $\mathbf { M } _ { 2 3 } \mathbf { C } _ { 6 }$ carbide precipitates decorating the grain boundaries as shown in Fig. 1.
image_0000,1,../02_images/figures/image_0000.jpg,"Fig. 1 | Schematic illustration of cathode microstructure evolution during charging. a,b, Conventional heterogeneous composite cathode (a) and the proposed homogeneous cathode with efficient mixed conduction (b). In heterogeneous cathodes, Li\* and electrons transport along each other's tortuous conduction pathways to slow the carrier transport dynamics, the heterogeneous interface incompatibility results in high-resistance phases to shrink the active",3,0.53794,0.28794,high,paper::sent::34,text_item,A dual-phase hierarchical microstructure is achieved in the as-built AlCoCrFeNi2.1 EHEA by optimizing the PBF-LB process (Fig. 1).
image_0000,1,../02_images/figures/image_0000.jpg,"Fig. 1 | Schematic illustration of cathode microstructure evolution during charging. a,b, Conventional heterogeneous composite cathode (a) and the proposed homogeneous cathode with efficient mixed conduction (b). In heterogeneous cathodes, Li\* and electrons transport along each other's tortuous conduction pathways to slow the carrier transport dynamics, the heterogeneous interface incompatibility results in high-resistance phases to shrink the active",4,0.537669,0.287669,high,paper::sent::54,text_item,"In this work, the use of densely packed, uniformly composed ${ \mathrm { S i - H f O } } _ { 2 }$ spherical powders (Fig. 1(c)) enhanced $\mathrm { H f O } _ { 2 }$ and $\mathrm { S i O } _ { 2 }$ contact during thermal cycling, effectively shortening the incubation period for $\mathrm { H f S i O _ { 4 } }$ growth."
image_0000,1,../02_images/figures/image_0000.jpg,"Fig. 1 | Schematic illustration of cathode microstructure evolution during charging. a,b, Conventional heterogeneous composite cathode (a) and the proposed homogeneous cathode with efficient mixed conduction (b). In heterogeneous cathodes, Li\* and electrons transport along each other's tortuous conduction pathways to slow the carrier transport dynamics, the heterogeneous interface incompatibility results in high-resistance phases to shrink the active",5,0.533741,0.283741,high,paper::sent::50,text_item,The corresponding microstructure evolution from continuous to pulsed laser in bulk samples is illustrated in Figure 1(df).
chart_0001,2,../02_images/figures/chart_0001.jpg,"Fig. 2 | Structure, morphology and conductivity ofSe-tuned L $\Gamma \mathbf { G } _ { 0 . 2 5 } \mathbf { P } \mathbf { S } .$ a, Schematic band structure of LTPS and LiTiz(PSe4)3 guided by the DOS. b, $\sigma _ { \mathrm { L i ^ { + } } }$ and $\sigma _ { \mathrm { e } }$ $\mathbf { \bar { G } } _ { 0 . 2 5 } \mathbf { P S }$ as a function of the Se doping content. The error bars of $\cdot \sigma _ { \mathrm { L i ^ { + } } }$ and $\sigma _ { \mathrm { e } }$ are the standard deviation of three measurements and indicate a low",1,0.534369,0.284369,high,paper::sent::95,text_item,"Interestingly, porosity varies significantly for diverse combinations of P and v even under the same $E _ { \nu }$ The red border area in Figure 2(a) represents suitable printing parameters."
chart_0001,2,../02_images/figures/chart_0001.jpg,"Fig. 2 | Structure, morphology and conductivity ofSe-tuned L $\Gamma \mathbf { G } _ { 0 . 2 5 } \mathbf { P } \mathbf { S } .$ a, Schematic band structure of LTPS and LiTiz(PSe4)3 guided by the DOS. b, $\sigma _ { \mathrm { L i ^ { + } } }$ and $\sigma _ { \mathrm { e } }$ $\mathbf { \bar { G } } _ { 0 . 2 5 } \mathbf { P S }$ as a function of the Se doping content. The error bars of $\cdot \sigma _ { \mathrm { L i ^ { + } } }$ and $\sigma _ { \mathrm { e } }$ are the standard deviation of three measurements and indicate a low",2,0.531461,0.281461,high,paper::sent::70,text_item,"In addition, there were different contrast differences within the coatings, which can be attributed to the different $\mathrm { C a F } _ { 2 }$ content and the decomposition of the Yb2SiO5 and Yb2Si2O7 (Fig. 2(df))."
chart_0001,2,../02_images/figures/chart_0001.jpg,"Fig. 2 | Structure, morphology and conductivity ofSe-tuned L $\Gamma \mathbf { G } _ { 0 . 2 5 } \mathbf { P } \mathbf { S } .$ a, Schematic band structure of LTPS and LiTiz(PSe4)3 guided by the DOS. b, $\sigma _ { \mathrm { L i ^ { + } } }$ and $\sigma _ { \mathrm { e } }$ $\mathbf { \bar { G } } _ { 0 . 2 5 } \mathbf { P S }$ as a function of the Se doping content. The error bars of $\cdot \sigma _ { \mathrm { L i ^ { + } } }$ and $\sigma _ { \mathrm { e } }$ are the standard deviation of three measurements and indicate a low",3,0.530955,0.280955,high,paper::sent::57,text_item,"Before implementing the Pareto active learning framework, pairwise plots (Fig. 2) were generated using the initial dataset to determine whether combinations of LPBF process parameters and post-HT conditions that can produce Ti-6Al-4V alloys with high UTS and TE could be designed based solely on the pairwise relationships between each parameter and mechanical properties, and to understand the individual effects of LPBF process parameters and post-HT conditions on UTS and TE."
chart_0001,2,../02_images/figures/chart_0001.jpg,"Fig. 2 | Structure, morphology and conductivity ofSe-tuned L $\Gamma \mathbf { G } _ { 0 . 2 5 } \mathbf { P } \mathbf { S } .$ a, Schematic band structure of LTPS and LiTiz(PSe4)3 guided by the DOS. b, $\sigma _ { \mathrm { L i ^ { + } } }$ and $\sigma _ { \mathrm { e } }$ $\mathbf { \bar { G } } _ { 0 . 2 5 } \mathbf { P S }$ as a function of the Se doping content. The error bars of $\cdot \sigma _ { \mathrm { L i ^ { + } } }$ and $\sigma _ { \mathrm { e } }$ are the standard deviation of three measurements and indicate a low",4,0.530239,0.280239,high,paper::sent::78,text_item,"Fig. 2(b) shows the UTS and elongation at break (EL) of the tested homogenous and HS samples, along with various typical L-DED-fabricated [3951], wrought, and as-cast [46,52] 316L and PH174 datapoints from the literature."
chart_0001,2,../02_images/figures/chart_0001.jpg,"Fig. 2 | Structure, morphology and conductivity ofSe-tuned L $\Gamma \mathbf { G } _ { 0 . 2 5 } \mathbf { P } \mathbf { S } .$ a, Schematic band structure of LTPS and LiTiz(PSe4)3 guided by the DOS. b, $\sigma _ { \mathrm { L i ^ { + } } }$ and $\sigma _ { \mathrm { e } }$ $\mathbf { \bar { G } } _ { 0 . 2 5 } \mathbf { P S }$ as a function of the Se doping content. The error bars of $\cdot \sigma _ { \mathrm { L i ^ { + } } }$ and $\sigma _ { \mathrm { e } }$ are the standard deviation of three measurements and indicate a low",5,0.529488,0.279488,high,paper::sent::60,text_item,"Fig. 2 shows the typical stress-displacement curves of SS0, SS90 and PDC SiC for three-point bending test."
image_0002,3,../02_images/figures/image_0002.jpg,"error value. Data are presented as mean ± standard deviation. c, Rietveld refinement of the $\mathrm { L T G } _ { 0 . 2 5 } \mathrm { P S S e } _ { 0 . 2 } \mathrm { X R D }$ pattern. The $\mathsf { R } _ { \mathrm { w f } }$ is the weighted profile R-factor, indicating the refinement results are reliable. d, Typical scanning electron microscopy (SEM) image and elemental mappings of I $\mathbf { . . } \mathbf { T G } _ { 0 . 2 5 } \mathbf { P S S e } _ { 0 . 2 }$ powder.",1,0.371132,0.321132,low,paper::sent::64,text_item,"The number density per unit area, volume fraction and size of nanoparticles were measured based on at least ten SEM images via ImageJ."
