figure_id,figure_index,figure_path,caption,top1_score,top1_confidence,top1_text,top2_score,top2_confidence,top2_text,top3_score,top3_confidence,top3_text,top4_score,top4_confidence,top4_text,top5_score,top5_confidence,top5_text
image_0000,1,../02_images/figures/image_0000.jpg,Fig. 1. Flow stress and strain hardening of anisotropic materials are tensor quantities.,0.550018,high,"Fig. 1(a) shows the increase of yield strength $\left( \sigma _ { 0 . 2 } \right)$ of all gradient-structured specimens of 1-mm thick (superscript represents specimen thickness in mm) with increasing SMAT duration (subscript, minutes), with a slight decrease of uniform tensile elongation $\varepsilon _ { u \cdot }$ For example, the processing by SMAT for 15 min, i.e. $\mathsf { G S } _ { 1 5 } ^ { 1 } ,$ increased $\sigma _ { 0 . 2 }$ by 132% while $\varepsilon _ { u }$ dropped by only 30%, which is consistent with an early report on gradient structured IF steel [29].",0.549376,high,The statement above means that such flow curves represent an incomplete description of plastic deformation as they reduce a six-dimensional yield surface and its change upon loading to a one-dimensional (scalar) yield curve (see Fig. 1).,0.543282,high,Fig. 1 shows the tensile behaviors in various gradient structured specimens as well as the CG specimens for comparison.,0.543255,high,"The workflow of this study is shown in Fig. 1 and proceeds in the order of initial dataset construction, implementation of the Pareto active learning framework, and microstructure analysis.",0.537282,high,This observation confirms that all austenite observed in Fig. 1 originates from phase reversion during the aging process.
image_0001,2,../02_images/figures/image_0001.jpg,"Fi w corners. If the strain is homogeneous, this situation leads to different stresses in each crystal $[ 1 , 2 ] , \tau _ { c r i t } \colon$ critical shear stress. TaylorBishopHill tress state (stress required to reach a yield corner).",0.378742,low,"Complex dislocation structures and stacking faults are present in the sandwiched monoclinic brittle ${ \bf A l } _ { 9 } ( \mathrm { F e } , \mathrm { C o } , \mathrm { N i } ) _ { 2 }$ phase.",0.373992,low,Densification of hexagonal tensile specimens and part-to-part density variation,0.368082,low,"While these concepts are wellestablished, a succinct presentation is essential as this work demonstrates that combining fundamental fracture mechanics principles with energy-controlled phase-field models can achieve remarkable accuracy and computational efficiency.",0.367892,low,The case of a square plate with an initial crack subjected to uniaxial tension has become a paradigmatic benchmark in the phase field fracture community.,0.365068,low,The initial microstructure and crystallographic texture as well as the microstructure evolution and corresponding deformation mechanism after stress rupture tests are studied in detail using a range of techniques.
image_0002,3,../02_images/figures/image_0002.jpg,"F wa of 45, giving evidence of the enormous orientation-dependent heterogeneity of plasticity even in pure metals.",0.362428,low,"These findings, supported by XRD, Rietveld refinement, SEMEDS mapping, and XPS analysis, confirmed the successful incorporation of Zr into the LATP lattice.",0.35871,low,"Thus, based on these findings, it is determined that to test the alloy design concept Mo can be introduced to delay the precipitation process, and Ni to promote the austenite reversion process.",0.358628,low,"Due to the challenges of modifying individual melt pool characteristics, this study explores a strategy that leverages the overlapping remelting effects of multiple melt pools in 3D space.",0.358383,low,The precipitation behavior significantly influences the mechanical properties of the LPBF-fabricated Al-Cu-Li-Sc-Zr alloy at elevated temperatures.,0.355669,low,"Surface roughness and microhardness values were measured respectively using a non-contact optical 3D profilometer (Taylor Hobson CCI HD) and a microhardness tester (HXD-1000TMC/LCD), applying a"
image_0003,4,../02_images/figures/image_0003.jpg,"Fig. 4. Schematic presentation of the conceptual ingredients in CPFE simulations. (a) Example of a case with one type of deformation mechanism (lattice dislocations) and one phase. (b) Example of a case with different deformation mechanisms, phases, orientations and homogenization schemes at the same integration point.",0.564026,high,"Thin films of pure L-PAAs, M-PAAs and H-PAAs were produced by solution casting from their solutions with concentration of 1 wt%, and the data of contact angle were measured and listed in Fig. 4(h).",0.551419,high,"Consequently, the incomplete melting of powder particles may leave voids between them, which in turn lead to the presence of internal defects in the solidified part (Fig. 3 (a) and panels i of Fig. 4(a)) reflected in a low relative density of the LPBF-fabricated specimen.",0.544067,high,Fig. 4(e) provides finer details on the interface through TEM observations.,0.541653,high,"Figures 4(d3) and 4(d4) also show that as the coating was thermally cycled, the thermal stress accumulated continuously, contributing to the ongoing initiation, propagation, and transformation of oriented cracks into interconnected cracks.",0.540921,high,"The EDS map in Fig. 4(d) also reveals clear boundaries between the two deposited materials, as expected from the materials compositions (Table 1)."
image_0004,5,../02_images/figures/image_0004.jpg,"Fig. 5. Decomposition of the total deformation gradient, $\mathbf { F } = \mathbf { F } _ { \mathrm { e } } \mathbf { F } _ { \mathrm { p } } $",0.5732,high,"As depicted in Fig. 5, surface orientation is highly influential to surface roughness.",0.570444,high,Fig. 5(a) compares the specimen stiffness as a function of crack length from FEM simulations (under both force and displacement control) with the analytical LEFM solution.,0.569145,high,"In addition to grain boundary migration is intensified, as shown in Fig. 5(b), facilitating the reduction of grain interfaces or rephrased fusion of grains.",0.55832,high,"As shown in Fig. 5(b3), more oriented cracks arose inside the bond coating than in the coating tested at 1400 and 1450 °C, but a minority of the oriented cracks penetrated through the hafnia-rich precipitates driven by excessive thermal stress during 1500 °C thermal cycling, as shown in the enlarged part.",0.558207,high,Figure 5(a) shows macroscopic residual stress evolution with ultrasonic energies.
image_0005,6,../02_images/figures/image_0005.jpg,"Fig. 6. Example of pure dislocation deformation, $\mathbf { F } = \mathbf { F } _ { \mathrm { p } } .$",0.530354,high,"For example, consider the processes shown in Figs. 6 and 7 by which an initially perfect crystal undergoes the same change in shape by shear, though involving different contributions from dislocation slip.",0.529625,high,"As shown in Fig. 6, the $S _ { \mathrm { c o n f i g } }$ of $( \mathrm { D y } _ { 0 . 2 5 } \mathrm { T m } _ { 0 . 2 5 } \mathrm { Y b } _ { 0 . 2 5 } \mathrm { L u } _ { 0 . 2 5 } ) _ { 2 } \mathrm { S i } _ { 2 } \mathrm { O } _ { 7 } , ( \mathrm { D y } _ { 0 . 2 5 } \mathrm { H } _ { 0 . 2 5 } \mathrm { Y b } _ { 0 . 2 5 } \mathrm { L u } _ { 0 . 2 5 } ) _ { 2 } \mathrm { S i } _ { 2 } \mathrm { O } _ { 7 } ,$ and $( \mathrm { G d } _ { 0 . 2 5 } \mathrm { H o } _ { 0 . 2 5 } \mathrm { Y b } _ { 0 . 2 5 } \mathrm { L u } _ { 0 . 2 5 } ) _ { 2 } \mathrm { S i } _ { 2 } \mathrm { O } _ { 7 }$ systems converge to $1 8 . 7 0 \mathrm { J } { \cdot } \mathrm { m o l } ^ { - 1 } { \cdot } \mathrm { K } ^ { - 1 }$ This is 18.8% lower than the ideal value of $S _ { \mathrm { c o n f i g } } = 2 3 . 0 4 \mathrm { J } { \cdot } \mathrm { m o l } ^ { - 1 } { \cdot } \mathrm { K } ^ { - 1 }$ , which is estimated from ideal $( \mathrm { R E } _ { 0 . 2 5 } ^ { \mathrm { l } } \mathrm { R E } _ { 0 . 2 5 } ^ { \mathrm { I I } } \mathrm { R E } _ { 0 . 2 5 } ^ { \mathrm { I I I } } \mathrm { R E } _ { 0 . 2 5 } ^ { \mathrm { I I I } } \mathrm { R E } _ { 0 . 2 5 } ^ { \mathrm { I V } } ) _ { 2 } \mathrm { S i } _ { 2 } \mathrm { O } _ { 7 }$ solid solution system, i.e., perfectly disordered crystalline with infinitely large lattice and totally random occupations on the doping sites.",0.525553,high,"Additionally, PF in the $( 1 1 \bar { 2 } 0 ) _ { \alpha }$ direction across all samples (Fig. 6a4, 6b4, 6c4, and 6d4)",0.522815,high,"HR images and FFT analyses in Figure 6(m,n) confirm the identification of the $\mathsf { A l } _ { 3 } ( \mathsf { L i } , \mathsf { S c } , \mathsf { Z r } )$ precipitates.",0.52065,high,"Using the above equations, the critical stress for twinning $\sigma _ { \mathrm { t w } }$ in the AP-HEA is calculated as 403492 MPa, below the YS (\~548 MPa) (Fig. 6)."
image_0006,7,../02_images/figures/image_0006.jpg,"Fig. 7. Example of pure lattice deformation, $\mathbf { F } = \mathbf { F } _ { \mathrm { e } } .$",0.522606,high,"Bright field (BF) image in Fig. 7(c) displays the grains in each layer with a micrometer size, where the grain boundaries can be observed distinctively.",0.522528,high,"The fitting results obtained by regression of the Voigt measurement model are shown by the solid lines in Fig. 7 (a, b).",0.520652,high,"As seen in Figure 7, the high Er concentration is due to the influence of Er on $\mathbf { L } 1 _ { 2 }$ content.",0.516559,high,"In contrast, in the LPBF-HT and HAM-HT samples, there are formed high-density precipitates, mostly at grain boundaries (Figures 7(d) and (e)).",0.515423,high,"Figure 7(b) illustrates the recrystallized, substructured, and deformed grains, accounting for 97.1%, 2.4%, and 0.5% volume fractions, respectively."
image_0007,8,../02_images/figures/image_0007.jpg,"F $\mathbf { F } _ { \mathrm { p } }$ results in a diffent congurationthereferencevolumeAdislocatio eormationnitially causes thedeformation cnt $\mathbf { F } _ { \mathrm { p 2 1 } } ,$ followed by $\mathbf { F } _ { \mathrm { p } _ { 1 2 } } ,$ resulting in a p u",0.361064,low,"Furthermore, the morphologies of particles at grain boundaries can be altered due to the higher mobility of boron in γ matrix.",0.359975,low,"According to Tran et al. [47], polycrystalline microstructures composed of smaller grain show denser grain boundaries which intensifies the lattice mismatch in those regions.",0.356849,low,"MC carbides at grain boundaries enveloped within layers were limited in the case of the boron-free alloy, thus suggesting that a higher number of crack initiation sites is present as compared to the boron-containing alloys.",0.354684,low,"The corresponding FFT pattern reveals stacking faults habit plane is (001). e An inverse FFT image masking circled diffraction spots shows lattice distortion around stacking faults with some additional half planes, indicating the existence of dislocations. f An HRTEM micrograph for the Al9(Fe,Co,Ni)2 particle in (b) slightly off the pillar top with planar defects.",0.354234,low,The interactions between core electrons and valence electrons are described by the projector augmented wave (PAW) method53.
image_0008,9,../02_images/figures/image_0008.jpg,"Fig. 9. Schematic drawing of penetration events for mobile dislocations through a grain boundary. The experimentally obtained micrograph is taken from the work of Shen et al. on steel [248]. Here $\mathbf { I } ^ { \alpha \prime } ,$ and $\mathbf { I } _ { \mathbf { G B } } ^ { \alpha }$ are the tangent vectors of the dislocations, and b, bβ and $\mathbf { b } _ { \mathrm { ~ \tiny ~ G B ~ } } ^ { \alpha }$ are their Burgers vectors.",0.526608,high,"In contrast, heterogeneous microstructures are prone to stress concentration and uneven deformation at CG boundaries, which can facilitate crack initiation and propagation along these boundaries and the interfaces of coarse columnar grains, ultimately leading to failure (Figure 9(e)).",0.522694,high,"As illustrated in Figure 9(a), GNDs accumulate at the boundaries between soft and hard regions to accommodate strain gradients, generating forward stress in the hard region which drives dislocation slip and facilitates deformation [51].",0.521687,high,The hydrogen profles for some of the HEE specimens are shown in Fig. 9.,0.516478,high,"Meanwhile, lots of movable dislocation leaves large amounts of vacancies, which promotes the formation and growth of voids in IR (Fig. 9(c)) under the influence of temperature and stress.",0.511589,high,"Additionally, the complex grain boundaries hinder crack propagation, enabling the material to withstand greater deformation before fracture, thereby exhibiting superior plasticity, as illustrated in Figure 9(d)."
chart_0009,10,../02_images/figures/chart_0009.jpg,Fig. 10. Normalized activation energy for a twist grain boundary with rotations about the [111] direction using $c _ { 9 } ^ { \prime } = 1$ in Eq. (41). The normalization factor is 1 Gb3.,0.527607,high,Fig. 10 shows the correlation between grain boundary hydrogen concentration and the fracture toughness using the trapping energy of 18 kJ/mol.,0.518495,high,Fitting statistics for upward and downward-facing regression curves are detailed in Fig. 10.,0.513921,high,"Meanwhile, the R at the edge of the melt pool is low in the early stage of solidification[20], which provides sufficient time for Sc diffusion and agglomeration to form the primary Al3Sc precipitation (Figure 10(g)).",0.511167,high,"The results are shown in Figs. 10 and 11, where the activation energy has been normalized by the factor ${ \scriptstyle { \frac { 1 } { 7 } } } G b ^ { 3 }$ and the constant $c _ { 9 } ^ { \prime }$ was chosen to be equal to 1.",0.508616,high,"The adjusted $R ^ { 2 }$ is also improved over regression analysis between stress amplitude and $N _ { f }$ of downward-facing data, in this case having an $R ^ { 2 }$ of 0.65 (Fig. 10)."
