figure_id,figure_index,figure_path,caption,top1_score,top1_confidence,top1_text,top2_score,top2_confidence,top2_text,top3_score,top3_confidence,top3_text,top4_score,top4_confidence,top4_text,top5_score,top5_confidence,top5_text
image_0000,1,../02_images/figures/image_0000.jpg,diagram. (f) Ultrasonic fatigue test system.,0.378273,low,"This study did not intend to study the influence of machining parameters on tool wear, only focusing on the tool wear mechanism with conventional and in-situ laser assisted diamond cutting.",0.37502,low,"In this paper, machining that exceeds the critical speed of ductilebrittle transition of the material is defined as UHSM [17], and machining speed that falls between conventional and ultra-high speeds is defined as high-speed machining.",0.374143,low,This work highlights a novel approach for processing complex-structured ultrahigh strength Al alloy components by hybrid additive manufacturing.,0.37342,low,"After conventional casting (CC), a hot isostatic press (HIP) was used to consolidate the as-cast bars, in order to eliminate microporosity and improve mechanical properties.",0.372705,low,"However, due to limited fabricating control over composition and spatial structure, conventional fabrication techniques such as casting or forging struggle to produce phase-tunable materials with tailored microstructures."
image_0001,2,../02_images/figures/image_0001.jpg,"c blocky $\overline { { \boldsymbol { \gamma } ^ { \prime } } }$ and needle-like $\gamma ^ { \prime \prime }$ $\gamma ^ { \prime \prime } ,$ Fst ourr normFT) aes; ( m ow the σ phase.",0.374747,low,"Thus, the segregation of B atoms can improve the cohesive strength of the grain boundaries in present CCIMA and reduce the tendency of brittle morphologies of deformation substructures of the CCIMA at different strains. g, i High-resolution TEM and corresponding FFT images (insets) revealing the changes in the types of deformation substructures from APB-coupled superlattice dislocations (5%) to intersected SFs (35%). h Atomic-resolution STEM-HAADF image illustrating the existence of SISF at a strain of 15%.",0.373546,low,"High-resolution microstructural examination was conducted using a Zeiss SUPRA 55 field emission SEM in backscattered electron (BSE) mode (20 kV, WD = 10 mm) and electron back scatter diffraction (EBSD) analysis on a Zeiss Gemini 450 SEM (step sizes 0.82.5 µm, 20 kV), with samples prepared by electrochemical polishing in a 5 % HClO4-35 % n-butanol-60 % methanol solution (—30 °C, 30 V).",0.373232,low,Microstructure and morphology characteristics analysis of the white and dark layers under SEM,0.372747,low,"OM micrographs of shape, size, and distribution of grains and porosity of differently sintered samples (Suppl.",0.372471,low,"The quantitative analyses of the defects, pores and microstructures were performed based on the OM and SEM images of the rods using the software ImageJ."
image_0002,3,../02_images/figures/image_0002.jpg,Fig. 3. HADDF micrographs and corresponding chemical elemental distribution maps of initial material.,0.565987,high,Fig. 3 presents the typical microstructures of the LPBFed $\mathrm { M g A l B } _ { 4 \mathrm { w } } /$ AA2024 alloy.,0.564953,high,"Using these superlattice reflections, the obtained dark-field TEM image (lower right inset in Fig. 3(d)) revealed that the lamellar $\mathrm { L } 1 _ { 2 }$ nanorods were distributed in the DP region.",0.558034,high,The microstructure of LPBF fabricated parts appears homogenous and with equiaxed grains compared to those of produced by EPBF and binder jetting in both studied orientations (Fig. 3(C)).,0.556561,high,The EDS map obtained from the equiaxed grain area of the AF sample (Figure 3(a)) revealed the stacking of Cu-rich and Sc-rich precipitates along the equiaxed grain boundaries.,0.556374,high,The initial microstructure characterization of the aged alloy is shown in Fig. 3.
chart_0003,4,../02_images/figures/chart_0003.jpg,F 4. a) Tensile curves. ) S-N data of ultrasonic fatigue tests with stress ratio $R = - 1$,0.386175,low,Fatigue failures within the range of $1 0 ^ { 8 }$ to $1 0 ^ { 9 }$ cycles typically manifest as VHCF failures.,0.38541,low,The location of fatigue cracking initiation is interrelated to the fatigue life.,0.37841,low,"According to the data, the fatigue life of the specimens is in the range of $1 . 6 8 \times 1 0 ^ { 6 }$ to 1.03×109 cycles, corresponding to the HCF and VHCF regimes.",0.372207,low,A fatigue analysis is then performed using Paris' law to demonstrate the framework's ability to predict fatigue life.,0.368429,low,"Subsurface damage significantly affects the lifespan of machined components, emphasizing the need for a thorough understanding of the speed effect on the microstructural evolution mechanisms, especially of the recrystallized layer."
image_0004,5,../02_images/figures/image_0004.jpg,Fig. 5. (a) Fracture surface morphology of the Specimen I with fatigue life $N _ { \mathrm { f } } = 2 . 1 8 \times 1 0 ^ { 6 } .$ (b) and (c) Higher magnification of surface flaw fatigue nucleation site. (d) Fracture surface morphology of the Specimen II with fatigue life $N _ { \mathrm { f } } = 4 . 5 \times 1 0 ^ { 7 } .$ Fracture surface morphology of the Specimen III with fatigue life $N _ { \mathrm { f } } = 1 . 7 3 \times 1 0 ^ { 8 }$ . (h) and (i) Higher magnification of subsurface pores cluster fatigue nucleation site.,0.563997,high,"Microstructures of irregular powders like R70 were non-uniform due to varying Al loss during melting, resulting in uneven Al content within the powder and appearing as lamellar agglomerates (α2 + γ) in Al-poor areas (Fig. 5 e2).",0.546302,high,"Figure 5 shows SEM images and corresponding EDS analyses of the microstructure of the trilayer EBC after heat treatment at 1500 °C, wherein cracking evolution was distinguishable.",0.543568,high,The SEM images of the $\mathbf { M o O } _ { 3 }$ rods before and after cycling in both systems provided visual evidence of electrode corrosion in the liquid electrolyte systems but not in solid-state electrolytes (Figure 5df).,0.540881,high,Fig. 5(a) shows the microstructural evolution process during LPBF-processing of one CoCrFeNi powder layer.,0.539677,high,Fig. 5 shows SEM observations of typical fracture surfaces.
image_0005,6,../02_images/figures/image_0005.jpg,FIB-sample-A.,0.37666,low,"Microstructural features, phase compositions, crystal structures, and deformation substructure were characterized using TEM (JEOL 2100 F and Talos F200) coupled with EDS and SAED.",0.372124,low,This approach offers significant potential for tailoring precipitation microstructures and enhancing properties in other multiphase compositionally complex alloys.,0.369124,low,Post-cycling XRD and SEM analysis of the $\mathbf { M o O } _ { 3 }$ membrane anodes further illustrated the noncorrosive nature of the solid electrolyte.,0.368888,low,"In order to further investigate the deformation behavior, microstructural characterization at sequential strain levels during DIC tests was undertaken.",0.368278,low,The present study investigates the high-temperature mechanical properties and microstructural evolution of an Al-Cu-Li-Sc-Zr alloy fabricated using LPBF technology.
image_0006,7,../02_images/figures/image_0006.jpg,"$( \sigma _ { \mathrm { a } } = 5 3 7 \mathrm { M P a } , N _ { \mathrm { f } } = 4 . 5 \times 1 0 ^ { 7 } )$ . (b) T",0.372967,low,"To gain deeper insight into the unique strengthening effect from the one-dimensional architecture of the nano-whiskers, TEM observations were performed on both in-situ tensile test and post-deformation specimens.",0.368038,low,"Gas-atomized copper powders with an average diameter of -30 µm were mixed with highly crystallized $\mathtt { B _ { 4 } C }$ particles with sizes ranging from 2 to 4 µm (Aladdin Ltd., Shanghai, China).",0.367834,low,"Similarly, the LAZTP Dual HSE-O29 µm showed an increase in polarization followed by failure at \~410 h, which is attributed to its lower tensile strength (5.09 MPa) compared to LAZTP Dual HSE (6.32 MPa).",0.365631,low,The nanotwins contrast as observed in the BSE-SEM image (Fig.,0.365003,low,"Furthermore, the proliferation of true twin boundaries acted as potent dislocation sources, activating additional slip systems $( \boldsymbol { \mathrm { e . g . } } ,$ {111}(110) in γ-phase) and thereby improving crystallographic slip capability."
chart_0007,8,../02_images/figures/chart_0007.jpg,FIB-sample-B.,0.357977,low,"As FMCM-3 absorber dosage was 30%, 35% and 40%, $\mathrm { R L } _ { \mathrm { m i n } }$ was −8.4 dB@12.9 GHz, −51.2 dB@12 GHz and 27.1 dB@5.4 GHz, and the corresponding matching thicknesses were 2.8 mm, 2.9 mm and 4.9 mm, respectively.",0.35602,low,"First, the external molecular oxygen penetrates Si-HfO2 bond coating through $\mathrm { Y b } _ { 2 } \mathrm { S i O } _ { 5 }$ and ${ \mathrm { Y b } } _ { 2 } { \mathrm { S i } } _ { 2 } { \mathrm { O } } _ { 7 }$ layers, where it initially reacts at Si phase in SiHfO bond coating to grow $\mathrm { S i O } _ { 2 }$ phase, evolving into a Si/SiO2 phase interface structure.",0.350523,low,"For each target composition, rareearth oxides and SiO2 powders were mixed according to the stoichiometry of (RE $_ { 0 . 2 5 } \mathrm { R E } _ { 0 . 2 5 } ^ { \mathrm { I I } } \mathrm { R E } _ { 0 . 2 5 } ^ { \mathrm { I I I } } \mathrm { R E } _ { 0 . 2 5 } ^ { \mathrm { I I I } } \mathrm { R E } _ { 0 . 2 5 } ^ { \mathrm { I V } } ) _ { 2 } \mathrm { S i } _ { 2 } \mathrm { O } _ { 7 }$ , and then ball milled for 24 h in a $\mathrm { S i } _ { 3 } \mathrm { N } _ { 4 }$ jar with $\mathrm { S i } _ { 3 } \mathrm { N } _ { 4 }$ balls and ethanol solution.",0.350007,low,"Based on the optimization, FMCM-3 was selected as the research substrate.",0.347898,low,The EBSD phase mapping is applied at regions with different local strains (Fig.
image_0008,9,../02_images/figures/image_0008.jpg,"Fig. 10. (a) TEM BF image of FIB-sample-B taken from Specimen III $( \sigma _ { \mathrm { a } } = 5 0 8 . 5 \mathrm { M P a } , N _ { \mathrm { f } } = 1 . 7 3 \times 1 0 ^ { 8 } )$ , Higher magnification of (b) lamellar substructure, (c) facet, () fine grain area, () TEM BF and SAED images of typical fine grain (f) TEM DF image corresponding to (e).",0.566962,high,Fig. 10 displays the TEM images near stress rupture fracture at the condition of 760 °C/780 MPa.,0.563549,high,"The softening of these microstructures promotes to a change in the fracture mode from brittle fracture mode to ductile fracture mode $( \mathrm { F i g . 9 ( b ) }$ , Fig. 10(b)) and induces high ductility.",0.549528,high,Figures 10(d) and (e) also show the Sc and Zr-enriched nanoparticles persist at CGs.,0.546463,high,The lattice structures of the Sc- and Zr-enriched nanoparticles are determined by selected area electronic diffraction (SAED) analysis (Figure 10(f)).,0.534659,high,"Nevertheless, HDI hardening is not considered to be the primary hardening mechanism in the mesoscale HSs proposed in this work, since the minimal lamellae width proposed in this work is on the order of hundreds of micrometers, and the HDI effect zones are <50 µm (Fig. 10 (a))."
image_0009,10,../02_images/figures/image_0009.jpg,() facet.,0.359947,low,"Atomic resolution HAADF images were driftcorrected using the Revolving STEM (RevSTEM) method, in which 8-frame image series were acquired with a 90° rotation between each consecutive frame.[45] Position-averaged convergent beam electron diffraction (PACBED) patterns were used to determine the sample thickness, which was ≈30 nm for the imaged region.[46] EDS was performed using a Thermo Fisher Scientific Super X detector and processed using the Thermo Fisher Scientific Velox software.",0.352683,low,"In this investigation, CoCrNi(Al0.6TiFe)x alloys with microstructurally diverse characteristics were successfully processed using a dual-powder feeding LAAM technique.",0.351589,low,"STEM images were captured with a probe-corrected Thermo Fisher Scientific Themis Z 60300 kV probe aberration-corrected TEM/STEM using an accelerating voltage of 300 kV, a beam current of 40 pA, and a probe convergence semi-angle of 18.8 mrad.",0.35145,low,"This transition involved the generation of numerous LAGBs, dislocation cells, and nanoscale subgrains, demonstrating clear evidence of dynamic recovery (DRV).",0.350678,low,Fe3O4 nanoparticles were uniformly distributed in the microspheres.
