figure_id,figure_index,figure_path,caption,top1_score,top1_confidence,top1_text,top2_score,top2_confidence,top2_text,top3_score,top3_confidence,top3_text,top4_score,top4_confidence,top4_text,top5_score,top5_confidence,top5_text
image_0000,1,../02_images/figures/image_0000.jpg,"terization, and (f) tensile specimen dimensions (2 mm thick).",0.36591,low,The different composites are used to build half-cells with $\mathrm { L i } _ { 5 . 5 } \mathrm { P S } _ { 4 . 5 } \mathrm { C l } _ { 1 . 5 }$ as the separator and In/LiIn alloy as the counter electrode. $\mathrm { L i } _ { 5 . 5 } \mathrm { P S } _ { 4 . 5 } \mathrm { C l } _ { 1 . 5 }$ was used as the separator because it has a conductivity of 8 mS $\mathrm { c m ^ { - 1 } }$ that ensures a low resistance of the separator and only a low effect on the performance of the cell.[14] The cells are either charged and discharged at various C-rates or at 0.1 C for 50 cycles.,0.360735,low,"Surface nanocrystalline modification techniques, such as ultrasonic shot peening (USP), laser shock peening (LSP), and mechanical rolling, have been deployed to generate gradient nanostructured (GNS) materials with exceptional mechanical properties[23].",0.355492,low,The mechanisms of microparticles in mediating the laser-powder interaction can be revealed by using computational full laser ray tracing (Methods).,0.354992,low,The homogeneity of the internal mass thickness contrast of the microspheres showed that the nanosheets of RGO and MXene were closely stacked without obvious defects.,0.35366,low,HAADF-STEM was performed to investigate the nanostructure of the steels.
chart_0001,2,../02_images/figures/chart_0001.jpg,laser energy densities. (The red border area represents suitable printing parameters.).,0.371572,low,"This indicates that decomposition reactions have occurred within the heterogeneous cathode, accounting for the rapid capacity decay and short cycle life of ASLBs with NCM811 heterogeneous cathodes.",0.369039,low,The relative density was determined for all eleven LPBF-fabricated samples via an electron density meter (SD-200L).,0.36841,low,"Despite differences in pore density and size between CL and PL samples, the density is comparable, suggesting no qualitative impact on the mechanical properties of the samples [29,30].",0.363617,low,While Minnmann et all8] experimentally observed a reduction of the effective electronic conductivity with decreasing solid electrolyte particle size.,0.363342,low,It may be observed from this plot that much less hydrogen is required to embrittle materials in a hydrogen environment as compared to internal hydrogen.
image_0002,3,../02_images/figures/image_0002.jpg,B AAM .,0.369946,low,This approach offers significant potential for tailoring precipitation microstructures and enhancing properties in other multiphase compositionally complex alloys.,0.367169,low,"Koutiri et al. adjusted the volume energy density during LPBF processing of Inconel 625 to control porosity and surface finish for produced components, and related the results to their fatigue strength.",0.363362,low,"Microstructural features, phase compositions, crystal structures, and deformation substructure were characterized using TEM (JEOL 2100 F and Talos F200) coupled with EDS and SAED.",0.36272,low,"Focus variation microscopy is also a capable surface roughness characterisation technique, with results that are in strong agreement with high-resolution $( 5 \mu \mathrm { m } )$ computed tomography (CT) surface characterisation data presented in [61].",0.362618,low,This study shows that the particle size distribution of $\mathrm { L i } _ { 6 } \mathrm { P S } _ { 5 } \mathrm { C l }$ in solid-state battery composites is a key factor in determining the overall cell performance.
chart_0003,4,../02_images/figures/chart_0003.jpg,"Figure 4. Residual stress distributions of the LPBF, LPBF-HT, HAM, and HAM-HT samples.",0.569396,high,"Figure 4 shows the distribution of residual stress along the depth direction of the LPBF, LPBF-HT, HAM, and HAM-HT samples.",0.562136,high,The sample LPBF-fabricated at $4 7 . 6 ~ \mathrm { J / m m ^ { 3 } }$ shows a surface morphology (panels i of Fig. 4(a)) which is characterized by numerous irregular pores.,0.558342,high,"In Figure 4, the LPBF sample exhibits significant TRS up to 167 MPa on the surface and gradually decreases with increasing depth.",0.549138,high,"Compared with the coating after 50 h at 1400 ${ } ^ { \circ } \mathrm { C } ,$ the crystallized structure also appeared on the surface, and the characteristics of Si-HfO2 bond coating were highly similar (the light gray phase was identified as $\mathrm { H f S i O _ { 4 } } ,$ and the dark gray phase was identified as $\mathrm { S i O } _ { 2 }$ cristobalite), except for the early appearance of a vertical mud-crack, as shown in Figs. 4(al) and 4(a2).",0.540653,high,Fig. 4(a) displays the relative density of the LPBF-fabricated samples as function of laser energy density η and the corresponding microstructures.
image_0004,5,../02_images/figures/image_0004.jpg,"EBSD, (c) interfacial lattice stress of primaryAl3(Sc, Zr) nanoprecipitate and matrix by Strain++ software.",0.380976,low,The precipitates of LPBF-fabricated Al-Cu-Li-Sc-Zr alloy exhibited superior thermal stability during aging at 300 a.,0.375185,low,"From these results, the authors suggest the promotion of slow diffusers (especially W) to segregate along stacking faults as well as the formation of n phase along SESFs and χ phase along SISFs for optimal creep properties in future disk superalloys.",0.374437,low,Subsequent thermal treatment $( 8 0 0 \ ^ { \circ } \mathbf { C } / 4 \ \mathrm { h } )$ leads to an ultrahigh UTS of \~1148 MPa with an excellent ductility of \~28 %.,0.373168,low,"PVDF-HFP SPE exhibited an endothermic peak at ${ 1 3 8 } ^ { \circ } \mathrm { C } ,$ whereas the melting points of LAZTP 50% HSE and LAZTP Dual HSE correspondingly decreased to $1 2 7 ~ ^ { \circ } \mathrm { C }$ and ${ 1 3 0 ~ ^ { \circ } \mathrm { C } } .$ The decrease in Tm indicates reduced polymer crystallinity due to the plasticizing effect of oxide fillers, which increases the amorphous phase fraction and facilitates $\mathrm { L i ^ { + } }$ conduction, improving the ionic conductivity of the solid electrolyte [41,42].",0.37275,low,"Pyczak et al. [34] reported that in the Ni-based alloys with $1 0 – 3 0 \mathrm { v o l } . \% \mathrm { C r } , \mathrm { C r } _ { 2 } 0 _ { 3 }$ was observed as external scales above the grain boundaries in addition to internal $\mathrm { C r } _ { 2 } \mathrm { O } _ { 3 } ,$ which are both expected to form in our sintered parts with 21.2 wt.% of Cr [34]."
chart_0005,6,../02_images/figures/chart_0005.jpg,"LBFTLBBFT samples grain boundary distribution (black line represents high angle grain boundaries (HAGBs, $\theta > 1 5 ^ { \circ } )$ and green line represents low angle grain boundaries (LAGBs, $2 ^ { \circ } - 1 5 ^ { \circ } ) ^ { [ 4 4 ] }$ ).",0.386319,low,The augmented LAGBs of the HAM-HT sample can be attributed to the dislocation pile-up resulting from severe deformation[43].,0.38329,low,"HAGBs are concentrated in the finegrained region and the boundary between the lamellar substructure and the matrix, while LAGBs are concentrated inside the lamellar substructure and in the matrix close to the fracture surface.",0.380779,low,The original coarse columnar grains in the LPBF and LPBF-HT samples were transformed into homogeneous equiaxed grains in the HAM and HAM-HT samples.,0.377904,low,This indicates that HAM-HT promotes the UFEGs nucleation.,0.377117,low,The results show that the mass gain of H230 fabricated by LPBF is slightly above to that of rolled H230 [34].
image_0006,7,../02_images/figures/image_0006.jpg,"the HAM-HT sample, and (c)(e) TEM show UFEGs morphologies of the LPBF, LPBF-HT, and HAM-HT samples.",0.386559,low,The large ductility of the alloys at 1023 K is attributed to the fine microstructure and the change in the fracture mode from brittle fracture mode to ductile fracture mode due to softening of the γ phase and the $\alpha _ { 2 } / \gamma$ lamellar region with low $\mathrm { c r . }$,0.385142,low,"This result indicates that the strength of the coarse lamellar region without the solid solution strengthening of $\mathrm { c r }$ decreases at 1023 $\mathrm { K , }$ and both the γ phase and the lamellar region exhibit plastic deformation at HT.",0.384693,low,•Phase transformations during homogenization in suction-casting are dissimilar to the ones in AM alloys mainly due to divergent initial solidification microstructure.,0.380175,low,"The corresponding FFT pattern reveals stacking faults habit plane is (001). e An inverse FFT image masking circled diffraction spots shows lattice distortion around stacking faults with some additional half planes, indicating the existence of dislocations. f An HRTEM micrograph for the Al9(Fe,Co,Ni)2 particle in (b) slightly off the pillar top with planar defects.",0.379369,low,"These results indicate the (Ce,Cu)-rich intermetallic particles are the dominant strengthening factor in the as-fabricated alloy."
chart_0007,8,../02_images/figures/chart_0007.jpg,(c); in Supplementary Figure S2.,0.398333,low,"The best correlation between the grain boundary hydrogen concentration and the fracture toughness was achieved with a grain-boundary hydrogen trapping energy, $H _ { \mathrm { T } }$ of 26 kJ/mol.",0.394383,low,Previous work investigating the role of microstructure on fracture suggested that grain boundary carbides increase the degree o embrittlemen these alloys.,0.392736,low,"Finally, it may be true that the observed layers at grain boundaries in the boron-containing alloys have a further concomitant role on the improve of creep performance, by hindering crack initiation at grain boundaries.",0.392694,low,"The β phase and ultrafine $\alpha _ { 2 } / \gamma$ lamellar grain with high Cr, which originated from the massive α grains formed by rapid cooling under low ED conditions, are factors determining the strength of the alloys at both RT and 1023 K.",0.392484,low,"In order to further understand the role of grain boundary carbides, other work on a solid solution strengthened nickel-base alloy, alloy 690 (Ni30Cr8Fe), was investigated [4]."
chart_0008,9,../02_images/figures/chart_0008.jpg,"XRBBA samples, and the zoom-in image of the selected (b) (111) and (c) (220) peaks.",0.377401,low,"They developed a NEP model to explore the effects of lithium nonstoichiometry on ionic conductivity and phase stability in $\mathrm { L i } _ { 7 } \mathrm { L a } _ { 3 } \mathrm { Z r } _ { 2 } \mathrm { O } _ { 1 2 } .$ Their findings revealed that even minor deviations from stoichiometry, particularly lithium deficiency, significantly lower the activation energy for $\mathrm { L i ^ { + } }$ diffusion in tetragonal $\mathrm { L i } _ { 7 } \mathrm { L a } _ { 3 } \mathrm { Z r } _ { 2 } \mathrm { O } _ { 1 2 }$ .",0.376629,low,"The enriched Mn nanoparticles could be $\mathbf { A l } _ { 6 } \mathbf { M } \mathbf { n }$ , which is a typical precipitate in LPBF-manufactured AlMgSc alloy[52,5].",0.37639,low,This indicates that the LPBF-HT and HAM-HT process can effectively inhibit the Mg segregation and enhance the material's solid solution strengthening.,0.373967,low,"The permeated oxygen molecules are first reduced at $\mathrm { H f S i O } _ { 4 } / \mathrm { H f O } _ { 2 }$ phase interface by 4e to 2O² ions, which then react with $\mathrm { S i ^ { 4 + } }$ and $\mathrm { H f O } _ { 2 }$ molecules to form new $\mathrm { H f S i O _ { 4 } } .$ As each $\mathrm { H f S i O _ { 4 } }$ phase progressively grows, the gaps between $\mathrm { H f S i O _ { 4 } }$ particles gradually decrease, leading to the agglomeration or interconnection of $\mathrm { H f S i O _ { 4 } }$ particles, as demonstrated in Fig.",0.373373,low,"Additionally, a sharp increase in tan δ was observed near the glass transition temperature of PEEK $( \sim 1 4 3 ~ ^ { \circ } \mathrm { C } ) _ { : }$ , indicating rapid softening of its amorphous phase at elevated temperatures."
image_0009,10,../02_images/figures/image_0009.jpg,along with $\mathbf { M g }$ GM HA E block.,0.380264,low,"In short, the excellent corrosion resistance of aged alloys can be attributed to the nanoscale amorphous passive film with $\mathrm { C r } _ { 2 } 0 _ { 3 } , \mathrm { A l } _ { 2 } 0 _ { 3 } ,$ and $\mathrm { T i O } _ { 2 }$ as the main constituents that are strongly adhered to the alloy matrix.",0.377565,low,The large ductility of the alloys at 1023 K is attributed to the fine microstructure and the change in the fracture mode from brittle fracture mode to ductile fracture mode due to softening of the γ phase and the $\alpha _ { 2 } / \gamma$ lamellar region with low $\mathrm { c r . }$,0.3681,low,"Considering the significantly improved corrosion resistance exhibited by the aged alloy, the lateral chemical composition and structural aspects of the passive film were analyzed by STEM mapping and atomic-resolution HAADF characterization to gain further insight into the origin of its excellent corrosion resistance.",0.367354,low,"The morphology, phase content, grain texture, and microhardness of microstructures in the white and dark layers were analyzed, and varied nanoscale substructures on the near-ground surface were characterized using FIB-TEM.",0.366775,low,"DSC, POM, and in-situ XRD analyses present that $\mathrm { F E } _ { 0 }$ is an amorphous compound (melting temperature is 98.2 °C) and LCFE2 & LCFE5 are thermotropic liquid crystal compounds (liquid crystal temperature ranges of $1 4 5 \mathrm { - } 1 6 5 ~ ^ { \circ } \mathrm { C }$ and $1 2 0 { - } 1 3 8 \ ^ { \circ } \mathrm { C } ,$ respectively)."
