figure_id,figure_index,figure_path,caption,rank,score,cosine_score,confidence,text_token_id,source,text
image_0000,1,../02_images/figures/image_0000.jpg,Fig. 1. Image of a tensile sample printed from alloy 625 powder with BJP.,1,0.584731,0.334731,high,paper::sent::69,text_item,Representative as-fabricated samples on the substrate are shown in Fig. 1(c).
image_0000,1,../02_images/figures/image_0000.jpg,Fig. 1. Image of a tensile sample printed from alloy 625 powder with BJP.,2,0.582297,0.332297,high,paper::sent::37,text_item,Fig. 1 shows an image of representative tensile sample.
image_0000,1,../02_images/figures/image_0000.jpg,Fig. 1. Image of a tensile sample printed from alloy 625 powder with BJP.,3,0.572924,0.322924,high,paper::sent::33,text_item,"Cuboid samples measuring 52 mm × 6mm × 6 mm $( L \times W \times H )$ were printed using the L-DED system, before tensile coupons were cut out using wire electrical discharge machining (EDM) (Fig. 1(a) and Supplementary Fig."
image_0000,1,../02_images/figures/image_0000.jpg,Fig. 1. Image of a tensile sample printed from alloy 625 powder with BJP.,4,0.571023,0.321023,high,paper::sent::30,text_item,Nearly fully dense samples were well obtained when the laser scanning speeds varied from 600 to 1000 mm/s (Supplementary Fig. 1).
image_0000,1,../02_images/figures/image_0000.jpg,Fig. 1. Image of a tensile sample printed from alloy 625 powder with BJP.,5,0.568486,0.318486,high,paper::sent::35,text_item,Fig. 1 displays the powder morphology with the particle size distribution.
chart_0001,2,../02_images/figures/chart_0001.jpg,"Fig. 2. SEM images of alloy 625 powders (a, b) morphology and cross sectional microstructure, (c) XRD pattern (X-ray source is Co-Kα) and (d) Microtrac particle size analysis.",1,0.572821,0.322821,high,paper::sent::41,text_item,"Fig. 2 is 1H NMR, $^ { 1 3 } { \sf C }$ NMR, and FT-IR spectra of $\mathrm { F E } _ { 0 } ,$ LCFE2, and $\operatorname { L C F E } _ { 5 } .$ Chemical shifts at 6.827.24 ppm in $\mathrm { F E } _ { 0 }$ (Fig. 2(a)) are attributed to the protons on biphenyl structures."
chart_0001,2,../02_images/figures/chart_0001.jpg,"Fig. 2. SEM images of alloy 625 powders (a, b) morphology and cross sectional microstructure, (c) XRD pattern (X-ray source is Co-Kα) and (d) Microtrac particle size analysis.",2,0.571541,0.321541,high,paper::sent::94,text_item,Fig. 2(b) displays the proximity histogram plots of the concentration profiles through the $\gamma / \gamma ^ { \prime }$ interfaces of alloys T0 and T5.
chart_0001,2,../02_images/figures/chart_0001.jpg,"Fig. 2. SEM images of alloy 625 powders (a, b) morphology and cross sectional microstructure, (c) XRD pattern (X-ray source is Co-Kα) and (d) Microtrac particle size analysis.",3,0.564843,0.314843,high,paper::sent::51,text_item,"Moreover, the carbon atoms on alkyl chains and epoxy groups appear in the range of 20-60 ppm, and the number of peaks is consistent with the carbon atoms in molecular structures of $\mathrm { L C F E } _ { 2 }$ and $\operatorname { L C F E } _ { 5 } .$ ,Meanwhile, FT-IR spectra of $\mathrm { F E } _ { 0 } ,$ LCFE2, and LCFE5 (Fig. 2(g-i)) show stretching vibration peaks of $\left. - \mathrm { C H } _ { 2 } . \right.$ group $( 3 0 0 0 { - } 3 2 0 0 ~ \mathrm { c m } ^ { - 1 } )$ and characteristic peaks of epoxy group (958 cm-1)."
chart_0001,2,../02_images/figures/chart_0001.jpg,"Fig. 2. SEM images of alloy 625 powders (a, b) morphology and cross sectional microstructure, (c) XRD pattern (X-ray source is Co-Kα) and (d) Microtrac particle size analysis.",4,0.5633,0.3133,high,paper::sent::90,text_item,Fig. 2 $\mathrm { { d - f ) } }$ since super-solidus liquid phase sintering was active.
chart_0001,2,../02_images/figures/chart_0001.jpg,"Fig. 2. SEM images of alloy 625 powders (a, b) morphology and cross sectional microstructure, (c) XRD pattern (X-ray source is Co-Kα) and (d) Microtrac particle size analysis.",5,0.556666,0.306666,high,paper::sent::74,text_item,"However, the number of diffraction peaks of the O phase increased in the PBF-EB samples, indicating that a large amount of O phases precipitated and grew from the B2 phase, as shown in Fig. 2."
image_0002,3,../02_images/figures/image_0002.jpg,"Fig. 3. MicroCT scan of the as-received alloy 625 powder contained in a plastic straw. Details of the scans are shown, identifying porosity within powder particles, indicated by arrows.",1,0.565727,0.315727,high,paper::sent::78,text_item,"Additionally, to examine the internal nanostructure of recrystallized layer, observation samples were prepared using a focused ion beam system (Helios 600i), as depicted in Fig. 3."
image_0002,3,../02_images/figures/image_0002.jpg,"Fig. 3. MicroCT scan of the as-received alloy 625 powder contained in a plastic straw. Details of the scans are shown, identifying porosity within powder particles, indicated by arrows.",2,0.559379,0.309379,high,paper::sent::43,text_item,Detailed microstructure examinations of the same (300 W) specimen using TEM and STEM are summarized in Fig. 3.
image_0002,3,../02_images/figures/image_0002.jpg,"Fig. 3. MicroCT scan of the as-received alloy 625 powder contained in a plastic straw. Details of the scans are shown, identifying porosity within powder particles, indicated by arrows.",3,0.554869,0.304869,high,paper::sent::91,text_item,The initial microstructure characterization of the aged alloy is shown in Fig. 3.
image_0002,3,../02_images/figures/image_0002.jpg,"Fig. 3. MicroCT scan of the as-received alloy 625 powder contained in a plastic straw. Details of the scans are shown, identifying porosity within powder particles, indicated by arrows.",4,0.554471,0.304471,high,paper::sent::125,text_item,"Samples produced through binder jetting showed a consistent microstructure regardless of build orientation, with an amount of porosity present in both microstructural directions (Fig. 3(A))."
image_0002,3,../02_images/figures/image_0002.jpg,"Fig. 3. MicroCT scan of the as-received alloy 625 powder contained in a plastic straw. Details of the scans are shown, identifying porosity within powder particles, indicated by arrows.",5,0.552484,0.302484,high,paper::sent::144,text_item,The microstructure of LPBF fabricated parts appears homogenous and with equiaxed grains compared to those of produced by EPBF and binder jetting in both studied orientations (Fig. 3(C)).
chart_0003,4,../02_images/figures/chart_0003.jpg,Fig. 4. DSC curve of alloy 625 powder.,1,0.583251,0.333251,high,paper::sent::116,text_item,Fig. 4(b) illustrates the neutron diffraction spectra of the creep specimens of the experimental alloys interrupted at 1% strain.
chart_0003,4,../02_images/figures/chart_0003.jpg,Fig. 4. DSC curve of alloy 625 powder.,2,0.57644,0.32644,high,paper::sent::88,text_item,"TEM energy-dispersive X-ray spectroscopy (EDX) indicate that Al was enriched in the O phase, whereas Nb was enriched in the β phase, as shown in Fig. 4(i)(l)."
chart_0003,4,../02_images/figures/chart_0003.jpg,Fig. 4. DSC curve of alloy 625 powder.,3,0.574867,0.324867,high,paper::sent::66,text_item,"Fig. 4 shows the TG-DSC curves of Si, YbDS-YbMS, YbMS and LMA coating, respectively."
chart_0003,4,../02_images/figures/chart_0003.jpg,Fig. 4. DSC curve of alloy 625 powder.,4,0.572727,0.322727,high,paper::sent::117,text_item,Fig. 4(a) shows equi-axial grains of austenite with an average grain size of 25 μm in the central CG layer.
chart_0003,4,../02_images/figures/chart_0003.jpg,Fig. 4. DSC curve of alloy 625 powder.,5,0.567439,0.317439,high,paper::sent::85,text_item,"In addition, to further confirm the existence of the O and the β phases, TEM coupled with selected area electron diffraction (SAED) was also conducted as shown in Fig. 4(c)(h)."
image_0004,5,../02_images/figures/image_0004.jpg,"Above 1290 °C, pore coarsening was observed.",1,0.363444,0.313444,low,paper::sent::39,text_item,"Specifically, the nano-lamellar colonies form in the heat-affected zone (HAZ) around the MPs due to overlapped tracks and repeated heating (Fig."
image_0004,5,../02_images/figures/image_0004.jpg,"Above 1290 °C, pore coarsening was observed.",2,0.359135,0.309135,low,paper::sent::97,text_item,"These morphological anomalies directly contributed to the broadening particle size distribution in R45 and R70, as elongated agglomerates (53150 µm) and adhered fines (<50 µm) coexisted within the recycled powder system."
image_0004,5,../02_images/figures/image_0004.jpg,"Above 1290 °C, pore coarsening was observed.",3,0.358854,0.308854,low,paper::sent::71,text_item,"Notably, distinct microstructural variations are evident in CoCrNi(Al0.6TiFe)0.4 and CoCr-Ni(Al0.6TiFe)0.5 alloys, where micrometer-sized BCC precipitates are observed within the primary dendritic network."
image_0004,5,../02_images/figures/image_0004.jpg,"Above 1290 °C, pore coarsening was observed.",4,0.357175,0.307175,low,paper::sent::94,text_item,This behavior was previously observed by Vargas-Arista et al. [48] in the HAZ of a 42CrMo4 steel with different grain sizes and yield strengths.
image_0004,5,../02_images/figures/image_0004.jpg,"Above 1290 °C, pore coarsening was observed.",5,0.357063,0.307063,low,paper::sent::71,text_item,"The grain size, geometrically necessary dislocations, and textures were characterized by electron backscatter diffraction (EBSD), with the step sizes for the entire and ultra-fine grain regions of 0.3 µm and 0.06 µm, respectively."
image_0005,6,../02_images/figures/image_0005.jpg,"F . pl mip me f nt () 180 C, ( 190 nd () 100 .",1,0.383402,0.333402,low,paper::sent::124,text_item,"Moreover, oriented cracks also appeared in the bond coating under the dispersion toughening effect caused by hafnia-rich precipitates, and the thickness of the m-TGO increased to 48.24 µm (Fig."
image_0005,6,../02_images/figures/image_0005.jpg,"F . pl mip me f nt () 180 C, ( 190 nd () 100 .",2,0.370551,0.320551,low,paper::sent::97,text_item,"These morphological anomalies directly contributed to the broadening particle size distribution in R45 and R70, as elongated agglomerates (53150 µm) and adhered fines (<50 µm) coexisted within the recycled powder system."
image_0005,6,../02_images/figures/image_0005.jpg,"F . pl mip me f nt () 180 C, ( 190 nd () 100 .",3,0.370513,0.320513,low,paper::sent::75,text_item,Careful examination of the contrast variations in these microstructures reveals the precipitation of particles and various types of carbides and the presence of what we will identify below as grain boundary borides in the boron containing alloys.
