figure_id,figure_index,figure_path,caption,rank,score,cosine_score,confidence,text_token_id,source,text
chart_0000,1,../02_images/figures/chart_0000.jpg,"Fig. 1 | Schematic of the overall flow. Three components comprising the overall workflow of exploration for Ti-6Al-4V alloys with superior mechanical properties are shown. a Construction of the initial Ti-6Al-4V LPBF dataset incorporating process and HT parameters. b Implementation of the Pareto active learning framework. The proposed active learning framework operated iteratively by selecting two combinations of the LPBF process parameters and post-HT conditions from the unlabeled dataset in each iteration. The two combinations are expected to maximally extend the Pareto front, depicted by yellow lines, which represents an exchange surface where improving one property necessitates compromising the",1,0.54315,0.29315,high,paper::sent::82,text_item,"Fig. 1(c) shows the true stress-strain curves of all GS samples and GL films, which show high strain hardening during the uniform deformation."
chart_0000,1,../02_images/figures/chart_0000.jpg,"Fig. 1 | Schematic of the overall flow. Three components comprising the overall workflow of exploration for Ti-6Al-4V alloys with superior mechanical properties are shown. a Construction of the initial Ti-6Al-4V LPBF dataset incorporating process and HT parameters. b Implementation of the Pareto active learning framework. The proposed active learning framework operated iteratively by selecting two combinations of the LPBF process parameters and post-HT conditions from the unlabeled dataset in each iteration. The two combinations are expected to maximally extend the Pareto front, depicted by yellow lines, which represents an exchange surface where improving one property necessitates compromising the",2,0.542388,0.292388,high,paper::sent::102,text_item,Fig. 1(d) reveals a Θ drop soon after yielding in GS samples much faster than that in CG.
chart_0000,1,../02_images/figures/chart_0000.jpg,"Fig. 1 | Schematic of the overall flow. Three components comprising the overall workflow of exploration for Ti-6Al-4V alloys with superior mechanical properties are shown. a Construction of the initial Ti-6Al-4V LPBF dataset incorporating process and HT parameters. b Implementation of the Pareto active learning framework. The proposed active learning framework operated iteratively by selecting two combinations of the LPBF process parameters and post-HT conditions from the unlabeled dataset in each iteration. The two combinations are expected to maximally extend the Pareto front, depicted by yellow lines, which represents an exchange surface where improving one property necessitates compromising the",3,0.542183,0.292183,high,paper::sent::38,text_item,The representative tensile curves of the AF and HT aluminum alloy samples at various testing temperatures are presented in Figure 1(a) and Figure 1(b).
chart_0000,1,../02_images/figures/chart_0000.jpg,"Fig. 1 | Schematic of the overall flow. Three components comprising the overall workflow of exploration for Ti-6Al-4V alloys with superior mechanical properties are shown. a Construction of the initial Ti-6Al-4V LPBF dataset incorporating process and HT parameters. b Implementation of the Pareto active learning framework. The proposed active learning framework operated iteratively by selecting two combinations of the LPBF process parameters and post-HT conditions from the unlabeled dataset in each iteration. The two combinations are expected to maximally extend the Pareto front, depicted by yellow lines, which represents an exchange surface where improving one property necessitates compromising the",4,0.542003,0.292003,high,paper::sent::50,text_item,The corresponding microstructure evolution from continuous to pulsed laser in bulk samples is illustrated in Figure 1(df).
chart_0000,1,../02_images/figures/chart_0000.jpg,"Fig. 1 | Schematic of the overall flow. Three components comprising the overall workflow of exploration for Ti-6Al-4V alloys with superior mechanical properties are shown. a Construction of the initial Ti-6Al-4V LPBF dataset incorporating process and HT parameters. b Implementation of the Pareto active learning framework. The proposed active learning framework operated iteratively by selecting two combinations of the LPBF process parameters and post-HT conditions from the unlabeled dataset in each iteration. The two combinations are expected to maximally extend the Pareto front, depicted by yellow lines, which represents an exchange surface where improving one property necessitates compromising the",5,0.539835,0.289835,high,paper::sent::35,text_item,Fig. 1 displays the powder morphology with the particle size distribution.
chart_0001,2,../02_images/figures/chart_0001.jpg,"other. Based on the two combinations, Ti-6Al-4V alloys are fabricated to obtain their UTS and TE values through tensile tests. New data from these tests are added to the labeled dataset to expand the Pareto front, and another two combinations are recommended for testing in a repetitive process. Five iterations were conducted in this study, resulting in experiments on ten new combinations whose UTS and TE values are indicated by red dots. c Microstructure analyses to validate the superior UTS and TE values of Ti-6Al-4V alloy specimens produced with the selected combinations. Source data are provided as Source Data file.",1,0.386978,0.336978,low,paper::sent::22,text_item,"Wang et al. [29] investigated the water vapor corrosion behaviors of the $\mathrm { Y b } _ { 2 } \mathrm { S i O } _ { 5 }$ coatings at $1 4 0 0 \ { } ^ { \circ } \mathrm { C } ,$ which has better water vapor corrosion resistance and excellent chemical compatibility with CMCs."
chart_0001,2,../02_images/figures/chart_0001.jpg,"other. Based on the two combinations, Ti-6Al-4V alloys are fabricated to obtain their UTS and TE values through tensile tests. New data from these tests are added to the labeled dataset to expand the Pareto front, and another two combinations are recommended for testing in a repetitive process. Five iterations were conducted in this study, resulting in experiments on ten new combinations whose UTS and TE values are indicated by red dots. c Microstructure analyses to validate the superior UTS and TE values of Ti-6Al-4V alloy specimens produced with the selected combinations. Source data are provided as Source Data file.",2,0.384361,0.334361,low,paper::sent::31,text_item,"Huang et al. [26] found that the elongation of a sample with a O + B2 microstructure increased significantly during the tensile process from 870 to 990 °C, but the strength decreased rapidly at the same time."
chart_0001,2,../02_images/figures/chart_0001.jpg,"other. Based on the two combinations, Ti-6Al-4V alloys are fabricated to obtain their UTS and TE values through tensile tests. New data from these tests are added to the labeled dataset to expand the Pareto front, and another two combinations are recommended for testing in a repetitive process. Five iterations were conducted in this study, resulting in experiments on ten new combinations whose UTS and TE values are indicated by red dots. c Microstructure analyses to validate the superior UTS and TE values of Ti-6Al-4V alloy specimens produced with the selected combinations. Source data are provided as Source Data file.",3,0.383337,0.333337,low,paper::sent::28,text_item,"Ci et al. [41] observed a gradual eutectic increase during deposition in DD32 single crystal Ni-base superalloy repaired by DED, leading to cracking and reduced stress rupture properties in the heat-affected zone (HAZ)."
chart_0001,2,../02_images/figures/chart_0001.jpg,"other. Based on the two combinations, Ti-6Al-4V alloys are fabricated to obtain their UTS and TE values through tensile tests. New data from these tests are added to the labeled dataset to expand the Pareto front, and another two combinations are recommended for testing in a repetitive process. Five iterations were conducted in this study, resulting in experiments on ten new combinations whose UTS and TE values are indicated by red dots. c Microstructure analyses to validate the superior UTS and TE values of Ti-6Al-4V alloy specimens produced with the selected combinations. Source data are provided as Source Data file.",4,0.383191,0.333191,low,paper::sent::32,text_item,A study by Smith et al. was the first to explore if this difference in stacking fault segregation resulted in changes to the overall high temperature properties of the superalloys [34].
chart_0001,2,../02_images/figures/chart_0001.jpg,"other. Based on the two combinations, Ti-6Al-4V alloys are fabricated to obtain their UTS and TE values through tensile tests. New data from these tests are added to the labeled dataset to expand the Pareto front, and another two combinations are recommended for testing in a repetitive process. Five iterations were conducted in this study, resulting in experiments on ten new combinations whose UTS and TE values are indicated by red dots. c Microstructure analyses to validate the superior UTS and TE values of Ti-6Al-4V alloy specimens produced with the selected combinations. Source data are provided as Source Data file.",5,0.380475,0.330475,low,paper::sent::24,text_item,"Consequently, the developed CCIMA enables superb strength-ductility synergy at ambient temperature, tensile stress-strain curves of the as-printed and thermal-stabilized CCIMA samples. e Comparison of ultimate tensile strength versus uniform elongation of the present CCIMA with conventional intermetallic alloys fabricated by various AM techniques, including LPBF, arc-based AM, electron beam powder bed fusion (EPBF), laser metal deposition (LMD), the grey dash line representing the performance boundary between conventional intermetallic alloys and CCIMA."
