figure_id,figure_index,figure_path,caption,rank,score,cosine_score,confidence,text_token_id,source,text
image_0000,1,../02_images/figures/image_0000.jpg,of PAAs.,1,0.393257,0.343257,low,paper::sent::27,text_item,"Yuan et al. [30] developed a semi-aliphatic polyimide (PI), applying both its PI aqueous and organic solutions for CF sizing, thereby improving the mechanical properties of CF/PPS composites."
image_0000,1,../02_images/figures/image_0000.jpg,of PAAs.,2,0.378242,0.328242,low,paper::sent::37,text_item,Preparation of water-soluble PAAs: The water-soluble PAA precursor was synthesized by a two-step polycondensation method.
image_0000,1,../02_images/figures/image_0000.jpg,of PAAs.,3,0.376685,0.326685,low,paper::sent::105,text_item,"After PI sizing, the CC content decreased markedly, while C=O and CN contents increased, confirming the successful deposition of imide-rich polymer coatings on the carbon fiber surfaces."
image_0000,1,../02_images/figures/image_0000.jpg,of PAAs.,4,0.376444,0.326444,low,paper::sent::30,text_item,"This study explored the synthesis of water-soluble PAAs in aqueous medium, yielding three variants with distinct molecular weights by modulating monomer ratios, and prepared CF/PPS composites with these different PAAs sizing agents."
image_0000,1,../02_images/figures/image_0000.jpg,of PAAs.,5,0.376037,0.326037,low,paper::sent::49,text_item,"Subsequently, the 15 wt% PAA solution was diluted with water to prepare a sizing agent with a concentration of 1 wt%, and its viscosity was measured, and the desized CF was then immersed in these PAAs solutions of a same concentration but different molecular weights, followed by removal of excessive sizing agent and drying at $8 0 ~ ^ { \circ } \mathrm { C } .$ It is worth noting that the sizing time for DCF fabric was 5 min, while the sizing time for the extracted DCF tows was only 8 s to simulate the real sizing process in industrial production lines."
chart_0001,2,../02_images/figures/chart_0001.jpg,"d; Fig. 2. (a) FT-IR of PAAs and PI; (b) 1H NMR, (c) TGA and (d) DSC curve of H-PAAs, M-PAAs and L-PAAs.",1,0.570795,0.320795,high,paper::sent::83,text_item,"The DSC analysis revealed preliminary findings, as depicted in Fig. 2 (d), where the glass transition temperature $( T _ { g } )$ of H-PAAs was approximately ${ 3 0 0 } ^ { \circ } \mathrm { C } ,$ whereas M-PAAs exhibited a $T _ { g } \operatorname { o f } 2 5 8 ^ { \circ } \mathrm { C } ,$ and L-PAAs had a $T _ { g }$ of 256 C."
chart_0001,2,../02_images/figures/chart_0001.jpg,"d; Fig. 2. (a) FT-IR of PAAs and PI; (b) 1H NMR, (c) TGA and (d) DSC curve of H-PAAs, M-PAAs and L-PAAs.",2,0.56721,0.31721,high,paper::sent::88,text_item,"Fig. 2 (WA) and 3 (GA), Table 2) show that pores were present in WA BJP samples at all sintering temperatures."
chart_0001,2,../02_images/figures/chart_0001.jpg,"d; Fig. 2. (a) FT-IR of PAAs and PI; (b) 1H NMR, (c) TGA and (d) DSC curve of H-PAAs, M-PAAs and L-PAAs.",3,0.565843,0.315843,high,paper::sent::81,text_item,"Fig. 2(c) illustrates that H-PAAs commenced decomposition at $5 5 5 ^ { \circ } \mathrm { C } ,$ with a 5 % mass loss temperature $\mathrm { ( T _ { d 5 \% } ) }$ of $5 8 7 ~ ^ { \circ } \mathrm { C }$ and a char yield of $6 5 . 6$ % at $8 0 0 ~ ^ { \circ } \mathrm { C } .$ The M-PAAs initiated decomposition at $4 4 6 \ ^ { \circ } \mathrm { C } ,$ exhibiting a Td5% of 533 C and a char yield of 62.2 % at $8 0 0 ^ { \circ } \mathrm { C } .$ The L-PAAs started to decompose at $4 4 0 ^ { \circ } \mathrm { C } ,$ with a $\mathrm { T _ { d 5 \% } }$ of $5 1 3 ^ { \circ } \mathrm { C }$ and a char yield of 50.9 % at $8 0 0 ^ { \circ } \mathrm { C }$ These results indicate that the thermal stability varied among PAAs of different molecular weights, with H-PAAs demonstrating superior thermal stability and the highest char retention, followed by M-PAAs and L-PAAs."
chart_0001,2,../02_images/figures/chart_0001.jpg,"d; Fig. 2. (a) FT-IR of PAAs and PI; (b) 1H NMR, (c) TGA and (d) DSC curve of H-PAAs, M-PAAs and L-PAAs.",4,0.560459,0.310459,high,paper::sent::58,text_item,Fig. 2 also shows that the B2 phase first nucleates from the liquid metal as the temperature decreases.
chart_0001,2,../02_images/figures/chart_0001.jpg,"d; Fig. 2. (a) FT-IR of PAAs and PI; (b) 1H NMR, (c) TGA and (d) DSC curve of H-PAAs, M-PAAs and L-PAAs.",5,0.554366,0.304366,high,paper::sent::74,text_item,"These spectral observations confirmed the conversion of PAAs to PI upon heat treatment at $3 2 0 ^ { \circ } \mathrm { C } .$ The chemical structure of PAAs was further analyzed using 1H NMR spectroscopy, as shown in Fig. 2(b)."
