figure_id,figure_index,figure_path,caption,top1_score,top1_confidence,top1_text,top2_score,top2_confidence,top2_text,top3_score,top3_confidence,top3_text,top4_score,top4_confidence,top4_text,top5_score,top5_confidence,top5_text
chart_0000,1,../02_images/figures/chart_0000.jpg,Fi 2. with error bars representing ± 1 standard deviation).,0.373493,low,Chen et al.[24] developed an effective ultrasonic surface rolling process technology to improve the fatigue life of AM-processed CoCrNi alloy.,0.371825,low,The comparative grain sizes implied no significant grain coarsening after heat treatment at elevated temperatures occurred in this LPBF-fabricated Al-Cu-Li-Sc-Zr alloy.,0.371568,low,The corrosion behaviors of Cu-free and Cu-containing steels were evaluated in an SRB-inoculated solution with an initial bacterial concentration of ${ 1 0 } ^ { 6 }$ cfu/mL at a temperature $3 0 \pm 3 ^ { \circ } \mathrm { C }$ over 14 days.,0.371282,low,The B2 phase's limited deformability contributes to this reduction in ductility.,0.369813,low,"After PI sizing, the CC content decreased markedly, while C=O and CN contents increased, confirming the successful deposition of imide-rich polymer coatings on the carbon fiber surfaces."
image_0001,2,../02_images/figures/image_0001.jpg,"P, rox of this article).",0.370185,low,"To further demonstrate this mechanism, SEM was used to characterize powders with different cycles.",0.369681,low,"EDS mapping indicates that the composition of the nanoparticle is 78.7 ± 3.5 at% of B, 18.8 ± 3.6 at% of C and 2.5 ± 0.7% of Al, with little elemental diffusion or reaction at the interface. g The representative SEM image and HAADF-STEM image of as-built Cu- $\mathrm { C r } \mathsf { B } _ { 2 }$ composites.",0.366182,low,"The gas-atomized spherical AlMgSc powder (Al-4.7 Mg-1.3Sc-0.6Zr-0.8Mn-0.01Si, wt%) was used as feedstock.",0.365113,low,"Therefore, the decrease in IFSS could be attributed to the crystallization of BN interphase.",0.357633,low,"Therefore, high-density nanotwins are formed within the FCC precipitates."
chart_0002,3,../02_images/figures/chart_0002.jpg,(b); Ratio (RIR) method.,0.355758,low,"However, for the AM samples, owing to the increase of NbC carbides from almost 0 % in sample AM20m to 0.36 % in sample AM12h (Table 3), it can be inferred that the formation of NbC is due to the accumulation of Nb near the NbC nuclei.",0.353144,low,"In order to further quantify the Nb homogeneity, the Nb concentration distribution of the γ matrix in the vicinity of NbC carbides was determined by EDS point identification.",0.351355,low,"No new phase is observed for the HS samples, and no obvious difference is observed across different HS designs, in consistent with the literature [61].",0.351289,low,This behavior was previously observed by Vargas-Arista et al. [48] in the HAZ of a 42CrMo4 steel with different grain sizes and yield strengths.,0.351176,low,Titration analysis revealed the Al content evolution in recycled powders (Table. 2).
image_0003,4,../02_images/figures/image_0003.jpg,scan energy spectrum of typical microstructures of powders.,0.372127,low,unidirectional (UD) SiCf/SiC composites with CVI BN interphase were fabricated by PIP process.,0.37126,low,Such an improvement of microstructural consistency and the elimination of printing porosities would help the nanocomposites to fully display their intrinsic mechanical properties.,0.370179,low,"The development of similar microstructures were previously reported by Loeber et al. [15] and Terner et al. [31] in Ti-(46-48)Al-2Cr-2Nb and Ti-(47-48)Al-2Cr-8Nb EBM alloys, although the term ""layer"" was not mentioned.",0.369837,low,"Thus, the segregation of B atoms can improve the cohesive strength of the grain boundaries in present CCIMA and reduce the tendency of brittle morphologies of deformation substructures of the CCIMA at different strains. g, i High-resolution TEM and corresponding FFT images (insets) revealing the changes in the types of deformation substructures from APB-coupled superlattice dislocations (5%) to intersected SFs (35%). h Atomic-resolution STEM-HAADF image illustrating the existence of SISF at a strain of 15%.",0.369788,low,"These findings demonstrate that the in-situ generation of $\mathrm { M g A l B } _ { 4 }$ phase effectively mitigates key challenges associated with LPBF processing of commercial AA2024, including coarse columnar grains, extensive hot cracking, and high defect density."
image_0004,5,../02_images/figures/image_0004.jpg,formation of irregular powder after multiple irradiation.,0.372251,low,"3D printing via laser powder bed fusion (LPBF) was performed using an EP-M150 Metal 3D Printer (Hangzhou Eplus 3d Tech, China) with both the original Fvs0812 powders and those incorporating 2 wt.% TiB2 nanoparticles.",0.369474,low,"With regards to EPBF, List et al. investigated the effects of the electron beam parameters (including the current, speed, and focus) on the physical and mechanical properties, including elastic modulus and yield strength, for Inconel 625 cubes.",0.366083,low,This work presents a viable design strategy that leverages zwitterionic functionalities in COFs to develop high-performance solid-state protonic electrolytes for advanced proton battery applications.,0.363654,low,"The idea of utilizing amorphous nanoparticles should also stimulate new designs when processing metals via other routes, such as powder metallurgy and chemical vapour deposition, where multiple options exist to tune the distributions and metastable states of the nanoparticles.",0.363012,low,"For the quantitative strain/ stress analyses of the deformed copper nanocomposite (with an applied strain of -3%), cross-correlation-based EBSD was conducted to measure the elastic strain fluctuation and local misorientation characteristics."
chart_0005,6,../02_images/figures/chart_0005.jpg,Optical observation,0.378973,low,"In addition, the crack deflection at the CVI SiC/PIP SiC interface played an important role in the synergistic improvement of strength and fracture toughness of the SiCf/SiC composites.",0.377543,low,These findings suggest that the Cu alloying enhances the pitting corrosion resistance against SRB-induced MIC.,0.375845,low,The present study investigates the high-temperature mechanical properties and microstructural evolution of an Al-Cu-Li-Sc-Zr alloy fabricated using LPBF technology.,0.374437,low,"These results demonstrate that the aged alloy containing the $\mathrm { L } 1 _ { 2 }$ phase tends to form a more stable and robust passive film in dilute chloride solution than the as-printed alloy, thus exhibiting superior corrosion resistance.",0.373818,low,"For SiC matrix in this study, the strength of PIP SiC is lower than that of CVI SiC because of its low crystallinity and high defect content."
chart_0006,7,../02_images/figures/chart_0006.jpg,this article.),0.387718,low,The slightly less tensile ductility of L70 (17.0 ± 3.1 %) compared to L90 (18.4 ± 4.6 %) at 800 °C might be attributed to the lower content of γ-phase (40 % for L70 vs. 75 % for L90) since SEM fractography examination reveals little difference between the two (Fig.,0.37897,low,So the lower Li loss rate of AlCuLi-ScZr alloy was attributed to the lower temperature of molten pools caused by the smaller laser energy density.,0.374455,low,"Finally, we perform finite element analysis to vividly clarify the reasons for the excellent Li† insertion/extraction dynamics of $\mathrm { L T G } _ { 0 . 2 5 } \mathrm { P S S e } _ { 0 . 2 }$ homogeneous cathodes.",0.37382,low,"In this paper, the N1-CR material, which has an exceptionally high deformation energy storage, is first subjected to laser heating at a power of 600 W to obtain a gradient structure (the N1-LH material).",0.37349,low,Griffiths et al. [9] investigated the high-temperature properties of an Al-Mg-Zr alloy fabricated using LPBF in both AF and HT conditions.
image_0007,8,../02_images/figures/image_0007.jpg,(a); Phase map,0.367398,low,The hybrid CVI and PIP methods also show a good application prospect in controlling the interfacial stress of SiCf/SiC composites.,0.36703,low,"This promotes strain delocalization and suppresses intergranular stress intensification, thereby mitigating localized stress concentration and premature microcrack initiation [59].",0.366231,low,"Besides, the aging resistance of PBO fibers/FABPBO-BADCy composites is also significantly enhanced compared to PBO fibers/BADCy.",0.365901,low,The optimum m : n value of preFBPBO was obtained by the comparison of comprehensive properties for PBO fibers/FBPBO-BADCy composites.,0.361983,low,"Additionally, good printability can be achieved by promoting heterogeneous crystal nucleation through the addition of nanoscale TiB2 nucleating agents and suppressing grain and cell growth via the redistribution of high-concentration solute elements."
image_0008,9,../02_images/figures/image_0008.jpg,elemental mapping.,0.347927,low,Joeris et al. [26] reported that pre-oxidizing the bond coat in argon prior to depositing the topcoat extended the lifetime of the columnar SPS coating due to changes in failure behavior.,0.34356,low,These results confirm that boron rather carbon plays the dominant role in grain boundary strengthening.,0.343158,low,The synergistic effects of Al depletion and O enrichment govern microstructural evolution in EB-PBF TiAl alloys.,0.342473,low,"This study examined the changes in particle size distribution, morphology, chemical composition, and phase constituents of Ti-48Al-2Cr-2Nb alloy powders after up to 70 recycling cycles and their impact on the microstructure and mechanical properties of the TiAl alloy.",0.341458,low,"Wang et al., [48] found that Cu dissolved in the matrix does not exhibit antibacterial properties unless it precipitates and reaches a specific size."
chart_0009,10,../02_images/figures/chart_0009.jpg,Fi. 10. roughness of different thin wall samples.,0.387129,low,"Such a conclusion is also supported by the observation that the EL, UTS, and YS are similar (Table 3) for Samples B and C, despite that the lamella width of Sample B is almost twice that of Sample C (Table 2), i.e., reduced lamella thickness does not lead to significant hardening.",0.386848,low,"The 1-1 sample exhibited higher SF values than the 2-1 sample, suggesting that the 1-1 sample has easier activation of the slip system than the others samples, thereby possessing better ductility; 54.80% of the total SF values for the 1-1 sample were positioned between 0.4 and 0.5, whereas only 27.26% are for the 2-1 sample.",0.381372,low,"Accordingly, the frequencies of SF values between 0.4 and 0.5 were compared across all four samples, focusing only on the range of SF values that represented the basal slip system.",0.380527,low,"The similar hardness values observed after HT1-4 are related to the high volume fractions of precipitated $\gamma ^ { \ast }$ that is observed in all heattreated cases, including the samples that did not receive an additional solution treatment (HT3-4).",0.379287,low,The theoretically estimated electrical resistivity of alloy shows good agreement with the experimental data in both as-fabricated and aged states.
