figure_id,figure_index,figure_path,caption,rank,score,cosine_score,confidence,text_token_id,source,text
image_0000,1,../02_images/figures/image_0000.jpg,Fig. 1. Schematics of (a) hatch melt and (b) multi-spot melt strategies.,1,0.571019,0.321019,high,paper::sent::77,text_item,"The $\sigma _ { \mathrm { e } }$ gain with four Li\* ions insertion being due to the reduction of $\mathrm { T i ^ { 4 + } }$ to $\mathsf { T i } ^ { 2 + }$ generating extra electrons in the d band (Supplementary Fig. 1) is reasonable, which is validated by the DOS shown in Fig. 3b."
image_0000,1,../02_images/figures/image_0000.jpg,Fig. 1. Schematics of (a) hatch melt and (b) multi-spot melt strategies.,2,0.545781,0.295781,high,paper::sent::47,text_item,"X-Ray diffraction (XRD) pattern (Supplementary Fig. 1) and selected area electron diffraction (SAED) of the TEM image (Supplementary Fig. 3) suggest the $\mathsf { A l } _ { 3 } \mathsf { T i }$ exists mainly in $\boldsymbol { \mathrm { D } } \boldsymbol { 0 } _ { 2 2 }$ phase (space group I4/mmm, a = 0.384 nm, c = 0.860 nm²9) and partially in L12 phase (space group Pm3m, $\mathbf { a } = \mathbf { 0 . 3 9 8 n m } ^ { 3 0 } )$ , and ${ \bf A l } _ { 9 } ( \mathrm { F e } , \mathrm { C o } , \mathrm { N i } ) _ { 2 }$ has monoclinic structure with the prototype of $\mathbf { A l } _ { 9 } \mathbf { C o } _ { 2 }$ (space group $\mathsf { P } 2 _ { \mathrm {1 } } / \mathsf { c }$ a = 0.622 nm, b = 0.629 nm, c = 0.856 nm, $\beta = 9 4 . 8 ^ { \circ 3 1 } )$ or $\boldsymbol { \mathrm { A l } _ { 9 } \mathrm { F e N i } ^ { 3 2 } }$ Besides, it could be seen that plenty of defects exist in AlTi (Fig. 3a & Supplementary Fig. 3)."
image_0000,1,../02_images/figures/image_0000.jpg,Fig. 1. Schematics of (a) hatch melt and (b) multi-spot melt strategies.,3,0.543121,0.293121,high,paper::sent::40,text_item,"Then, on this basis, the concomitant addition of electrons, accompanied byLi\* insertion, should narrow the bandgap to facilitate electron transition to achieve a higher $\sigma _ { \mathrm { e } } ,$ which can be commonly realized by introducing electrons into the conduction band as indicated in Supplementary Fig. 1."
image_0000,1,../02_images/figures/image_0000.jpg,Fig. 1. Schematics of (a) hatch melt and (b) multi-spot melt strategies.,4,0.541809,0.291809,high,paper::sent::46,text_item,Rectangular rods of 444 alloy with dimensions of $1 0 \times 1 0 \times 1 5$ mm (Fig. 1(a)) and $1 0 \times 1 0 \times 3 0$ mm (Fig. 1(b)) were fabricated using an Arcam Q10 EBM system at an accelerating voltage of 60 kV and a preheating temperature of 1333 K.
image_0000,1,../02_images/figures/image_0000.jpg,Fig. 1. Schematics of (a) hatch melt and (b) multi-spot melt strategies.,5,0.538323,0.288323,high,paper::sent::37,text_item,"The fine distribution of metastable ternary phases (Al-Ni-M, M = Er, Zr, Y, Yb) through rapid solidification serves as the source for the reactive elements, enabling nano-meter scale precipitation of a high phase percentage of $[ \boldsymbol { 1 } _ { 2 } \mathbf { - A l } _ { 3 } \boldsymbol { \mathrm { M } } \ ( \boldsymbol { \mathrm { M } } = \boldsymbol { \mathrm { E r } } , \boldsymbol { \mathrm { Z r } } , \boldsymbol { \mathrm { Y } } ,$ b) strengthening phases (Figures 1 and 3)."
image_0001,2,../02_images/figures/image_0001.jpg,"Fig. 2. SEM micrographs of the pre-mixed $\Upsilon _ { 2 } \mathrm { O } _ { 3 } / \mathrm { T i A l }$ power: a) powder morphology; () and (c) enlarged views of the powder; (d) to (i) SEM+ES elemental mapping of Ti, Al, Cr, Nb, Y and O.",1,0.566157,0.316157,high,paper::sent::47,text_item,"The spherical nanoparticles are mainly distributed at the grooves of dendrites (Fig. 2c), as confirmed by the elemental mapping (Fig. 2di), acquired using energy dispersive X-ray spectroscopy (EDS) in scanning electron microscope (SEM)."
image_0001,2,../02_images/figures/image_0001.jpg,"Fig. 2. SEM micrographs of the pre-mixed $\Upsilon _ { 2 } \mathrm { O } _ { 3 } / \mathrm { T i A l }$ power: a) powder morphology; () and (c) enlarged views of the powder; (d) to (i) SEM+ES elemental mapping of Ti, Al, Cr, Nb, Y and O.",2,0.558907,0.308907,high,paper::sent::43,text_item,Representative SEM images of all the particles are presented in Figure 2.
image_0001,2,../02_images/figures/image_0001.jpg,"Fig. 2. SEM micrographs of the pre-mixed $\Upsilon _ { 2 } \mathrm { O } _ { 3 } / \mathrm { T i A l }$ power: a) powder morphology; () and (c) enlarged views of the powder; (d) to (i) SEM+ES elemental mapping of Ti, Al, Cr, Nb, Y and O.",3,0.555749,0.305749,high,paper::sent::105,text_item,"The detailed microstructure of RGO/MXene microspheres were observed by electron microscope, and the results were shown in Fig. 2."
image_0001,2,../02_images/figures/image_0001.jpg,"Fig. 2. SEM micrographs of the pre-mixed $\Upsilon _ { 2 } \mathrm { O } _ { 3 } / \mathrm { T i A l }$ power: a) powder morphology; () and (c) enlarged views of the powder; (d) to (i) SEM+ES elemental mapping of Ti, Al, Cr, Nb, Y and O.",4,0.555093,0.305093,high,paper::sent::65,text_item,Fig. 2 shows (a) a typical SEM image and (b) particle diameter distribution of the raw powder.
image_0001,2,../02_images/figures/image_0001.jpg,"Fig. 2. SEM micrographs of the pre-mixed $\Upsilon _ { 2 } \mathrm { O } _ { 3 } / \mathrm { T i A l }$ power: a) powder morphology; () and (c) enlarged views of the powder; (d) to (i) SEM+ES elemental mapping of Ti, Al, Cr, Nb, Y and O.",5,0.553306,0.303306,high,paper::sent::73,text_item,"Furthermore, Fig. 2(e) exhibits the TEM images of the initial microstructures, it is obvious that the size of $\gamma ^ { \prime }$ phases in DC is smaller than those in IR due to the segregation of $\gamma ^ { \prime }$ forming elements [47]."
image_0002,3,../02_images/figures/image_0002.jpg,Table 1,1,0.367161,0.317161,low,paper::sent::86,text_item,MD model of in-process-heat laser-assisted nanometric cutting polycrystalline WC. (a) 3D drawing with model dimensions.
image_0002,3,../02_images/figures/image_0002.jpg,Table 1,2,0.363665,0.313665,low,paper::sent::36,text_item,"The 6-8 nm LZO coating was applied to both NMC powders by Samsung Research Japan using the procedure described by Ito et $\mathrm { a l . } ^ { \left[ 6 \right] }$ The LZO-coated NMC has been shown to minimize the interfacial reaction between NMC and LPS, allowing the current study to mainly focus on the particle size effect."
image_0002,3,../02_images/figures/image_0002.jpg,Table 1,3,0.363002,0.313002,low,paper::sent::64,text_item,The relative density and porosity were detected by Archimedes' principle and micro-computed tomography (micro-CT) technology using a printed block with a size of 6 mm × 6 mm × 6 mm.
image_0002,3,../02_images/figures/image_0002.jpg,Table 1,4,0.360924,0.310924,low,paper::sent::110,text_item,"To overcome these limitations, this section introduces two novel energy-controlled schemes that build upon the crack growth control technique developed in [15] for FFT-based micromechanical solvers, adapting it for general macroscopic boundary value problems."
image_0002,3,../02_images/figures/image_0002.jpg,Table 1,5,0.354448,0.304448,low,paper::sent::115,text_item,"Subsequently, eleven sets of cubic samples with varying laser power and scanning speed were fabricated with a custombuilt LPBF device (DiMetal-100H)."
