figure_id,figure_index,figure_path,caption,rank,score,cosine_score,confidence,text_token_id,source,text
chart_0000,1,../02_images/figures/chart_0000.jpg,"Fig. 1 | Design principles and microstructures of nanocomposites by laser powder-bed-fusion (L-PBF). a Schematic illustrating the manipulation of reinforcing particle structures via additive manufacturing (AM). An in situ nanofragmentation process is utilized to spontaneously refine crystalline reinforcing microparticles into amorphous nanoparticles during L-PBF. This process involves the melting, nano-fragmentation, and rapid solidification of the reinforcing particles. GB denotes grain boundary. b Three-dimensional reconstructed scanning electron microscopy (SEM) images of the as-built composite. A cross-sectional electron backscatter diffraction (EBSD) image is superimposed to show the equiaxed grain structure. Melt pool boundaries (MPBs) and build direction (BD) are illustrated by the yellow dashed line and white arrow, respectively. c Aberrationcorrected high-resolution transmission electron microscopy (HRTEM) image of a representative nanoparticle, with ultranano black regions distributed within the amorphous nanoparticles. At least twenty nanoparticles were characterized for; microstructural identificaiton. d Enlarged view of the selected region in (c). The inset shows a fast Fourier transform (FFT) image of a region in the nanoparticle that does not contain Cu nanocrystals, suggesting an amorphous nature. e high-angle annular dark-field scanning transmission electron microscopy (HAADF-STEM) image of a tiny nanocrystal along the [110] FCC zone axis and energy-dispersive Xray spectroscopy (EDS) images of Cu, B and C atoms. f Three-dimensional atomic probe tomography (APT) reconstructions of Cu, B and C atom distributions in a typical APT tip including a matrix Cunanoparticle interface. The Cu, B and C atoms are coloured blue, yellow and red, respectively. g, h Measured distributions of the three atomic species near the interface and inside the nanoparticle, respectively. The phase boundary (PB) is indicated by the white line, and a representative tiny Cu cluster/nanocrystal is highlighted by a red circle. i Near-edge X-ray absorption finestructure (NEXAFS) spectrum at the BK edges of the extracted nanoparticles from the as-built composite.",1,0.548007,0.298007,high,paper::sent::53,text_item,"The high-temperature tensile properties, including yield strength and elongation, for LPBF-fabricated aluminum alloys are summarized in Figure 1(c) and Figure 1(d)."
chart_0000,1,../02_images/figures/chart_0000.jpg,"Fig. 1 | Design principles and microstructures of nanocomposites by laser powder-bed-fusion (L-PBF). a Schematic illustrating the manipulation of reinforcing particle structures via additive manufacturing (AM). An in situ nanofragmentation process is utilized to spontaneously refine crystalline reinforcing microparticles into amorphous nanoparticles during L-PBF. This process involves the melting, nano-fragmentation, and rapid solidification of the reinforcing particles. GB denotes grain boundary. b Three-dimensional reconstructed scanning electron microscopy (SEM) images of the as-built composite. A cross-sectional electron backscatter diffraction (EBSD) image is superimposed to show the equiaxed grain structure. Melt pool boundaries (MPBs) and build direction (BD) are illustrated by the yellow dashed line and white arrow, respectively. c Aberrationcorrected high-resolution transmission electron microscopy (HRTEM) image of a representative nanoparticle, with ultranano black regions distributed within the amorphous nanoparticles. At least twenty nanoparticles were characterized for; microstructural identificaiton. d Enlarged view of the selected region in (c). The inset shows a fast Fourier transform (FFT) image of a region in the nanoparticle that does not contain Cu nanocrystals, suggesting an amorphous nature. e high-angle annular dark-field scanning transmission electron microscopy (HAADF-STEM) image of a tiny nanocrystal along the [110] FCC zone axis and energy-dispersive Xray spectroscopy (EDS) images of Cu, B and C atoms. f Three-dimensional atomic probe tomography (APT) reconstructions of Cu, B and C atom distributions in a typical APT tip including a matrix Cunanoparticle interface. The Cu, B and C atoms are coloured blue, yellow and red, respectively. g, h Measured distributions of the three atomic species near the interface and inside the nanoparticle, respectively. The phase boundary (PB) is indicated by the white line, and a representative tiny Cu cluster/nanocrystal is highlighted by a red circle. i Near-edge X-ray absorption finestructure (NEXAFS) spectrum at the BK edges of the extracted nanoparticles from the as-built composite.",2,0.545956,0.295956,high,paper::sent::19,text_item,"In addition, the effects of introduction of preFABPBO interfacial compatibilizer on the mechanical properties, wave-transparent performances, insulation properties, and heat resistances of PBO fibers/FABPBO-BADCy composites (Figure 1) are investigated, and the corresponding microscopic action mechanism of the preFABPBO interfacial compatibilizer is further discussed."
chart_0000,1,../02_images/figures/chart_0000.jpg,"Fig. 1 | Design principles and microstructures of nanocomposites by laser powder-bed-fusion (L-PBF). a Schematic illustrating the manipulation of reinforcing particle structures via additive manufacturing (AM). An in situ nanofragmentation process is utilized to spontaneously refine crystalline reinforcing microparticles into amorphous nanoparticles during L-PBF. This process involves the melting, nano-fragmentation, and rapid solidification of the reinforcing particles. GB denotes grain boundary. b Three-dimensional reconstructed scanning electron microscopy (SEM) images of the as-built composite. A cross-sectional electron backscatter diffraction (EBSD) image is superimposed to show the equiaxed grain structure. Melt pool boundaries (MPBs) and build direction (BD) are illustrated by the yellow dashed line and white arrow, respectively. c Aberrationcorrected high-resolution transmission electron microscopy (HRTEM) image of a representative nanoparticle, with ultranano black regions distributed within the amorphous nanoparticles. At least twenty nanoparticles were characterized for; microstructural identificaiton. d Enlarged view of the selected region in (c). The inset shows a fast Fourier transform (FFT) image of a region in the nanoparticle that does not contain Cu nanocrystals, suggesting an amorphous nature. e high-angle annular dark-field scanning transmission electron microscopy (HAADF-STEM) image of a tiny nanocrystal along the [110] FCC zone axis and energy-dispersive Xray spectroscopy (EDS) images of Cu, B and C atoms. f Three-dimensional atomic probe tomography (APT) reconstructions of Cu, B and C atom distributions in a typical APT tip including a matrix Cunanoparticle interface. The Cu, B and C atoms are coloured blue, yellow and red, respectively. g, h Measured distributions of the three atomic species near the interface and inside the nanoparticle, respectively. The phase boundary (PB) is indicated by the white line, and a representative tiny Cu cluster/nanocrystal is highlighted by a red circle. i Near-edge X-ray absorption finestructure (NEXAFS) spectrum at the BK edges of the extracted nanoparticles from the as-built composite.",3,0.543169,0.293169,high,paper::sent::44,text_item,"As seen in Figure 1, slower solidification via induction melting (casting) leads to micro-meter scale ternary and AlM phases (Figure S15, Supporting Information) and 80% lower hardness (40 HV) than the 3D-printed sample (200 HV in Figure S17, Supporting Information)."
chart_0000,1,../02_images/figures/chart_0000.jpg,"Fig. 1 | Design principles and microstructures of nanocomposites by laser powder-bed-fusion (L-PBF). a Schematic illustrating the manipulation of reinforcing particle structures via additive manufacturing (AM). An in situ nanofragmentation process is utilized to spontaneously refine crystalline reinforcing microparticles into amorphous nanoparticles during L-PBF. This process involves the melting, nano-fragmentation, and rapid solidification of the reinforcing particles. GB denotes grain boundary. b Three-dimensional reconstructed scanning electron microscopy (SEM) images of the as-built composite. A cross-sectional electron backscatter diffraction (EBSD) image is superimposed to show the equiaxed grain structure. Melt pool boundaries (MPBs) and build direction (BD) are illustrated by the yellow dashed line and white arrow, respectively. c Aberrationcorrected high-resolution transmission electron microscopy (HRTEM) image of a representative nanoparticle, with ultranano black regions distributed within the amorphous nanoparticles. At least twenty nanoparticles were characterized for; microstructural identificaiton. d Enlarged view of the selected region in (c). The inset shows a fast Fourier transform (FFT) image of a region in the nanoparticle that does not contain Cu nanocrystals, suggesting an amorphous nature. e high-angle annular dark-field scanning transmission electron microscopy (HAADF-STEM) image of a tiny nanocrystal along the [110] FCC zone axis and energy-dispersive Xray spectroscopy (EDS) images of Cu, B and C atoms. f Three-dimensional atomic probe tomography (APT) reconstructions of Cu, B and C atom distributions in a typical APT tip including a matrix Cunanoparticle interface. The Cu, B and C atoms are coloured blue, yellow and red, respectively. g, h Measured distributions of the three atomic species near the interface and inside the nanoparticle, respectively. The phase boundary (PB) is indicated by the white line, and a representative tiny Cu cluster/nanocrystal is highlighted by a red circle. i Near-edge X-ray absorption finestructure (NEXAFS) spectrum at the BK edges of the extracted nanoparticles from the as-built composite.",4,0.543022,0.293022,high,paper::sent::64,text_item,"Fig. 1(a) presents the powder morphology of the AlCuLiSc-Zr powder, and the corresponding particle size distribution is displayed in Fig. 1(b)."
chart_0000,1,../02_images/figures/chart_0000.jpg,"Fig. 1 | Design principles and microstructures of nanocomposites by laser powder-bed-fusion (L-PBF). a Schematic illustrating the manipulation of reinforcing particle structures via additive manufacturing (AM). An in situ nanofragmentation process is utilized to spontaneously refine crystalline reinforcing microparticles into amorphous nanoparticles during L-PBF. This process involves the melting, nano-fragmentation, and rapid solidification of the reinforcing particles. GB denotes grain boundary. b Three-dimensional reconstructed scanning electron microscopy (SEM) images of the as-built composite. A cross-sectional electron backscatter diffraction (EBSD) image is superimposed to show the equiaxed grain structure. Melt pool boundaries (MPBs) and build direction (BD) are illustrated by the yellow dashed line and white arrow, respectively. c Aberrationcorrected high-resolution transmission electron microscopy (HRTEM) image of a representative nanoparticle, with ultranano black regions distributed within the amorphous nanoparticles. At least twenty nanoparticles were characterized for; microstructural identificaiton. d Enlarged view of the selected region in (c). The inset shows a fast Fourier transform (FFT) image of a region in the nanoparticle that does not contain Cu nanocrystals, suggesting an amorphous nature. e high-angle annular dark-field scanning transmission electron microscopy (HAADF-STEM) image of a tiny nanocrystal along the [110] FCC zone axis and energy-dispersive Xray spectroscopy (EDS) images of Cu, B and C atoms. f Three-dimensional atomic probe tomography (APT) reconstructions of Cu, B and C atom distributions in a typical APT tip including a matrix Cunanoparticle interface. The Cu, B and C atoms are coloured blue, yellow and red, respectively. g, h Measured distributions of the three atomic species near the interface and inside the nanoparticle, respectively. The phase boundary (PB) is indicated by the white line, and a representative tiny Cu cluster/nanocrystal is highlighted by a red circle. i Near-edge X-ray absorption finestructure (NEXAFS) spectrum at the BK edges of the extracted nanoparticles from the as-built composite.",5,0.542523,0.292523,high,paper::sent::39,text_item,"In addition, the optimal modified BADCy resin $( \mathrm { L C F E } _ { 2 } \mathrm { - B A D C y } )$ as polymer matrix, poly(p-phenylene-2,6-benzobisoxazole) (PBO) fibers [52 54] as reinforcement, and fluorine/adamantane PBO precursor obtained from our previous work [55] as interfacial compatibilizer to prepare the corresponding PBO fibers/FABPBO/LCFE2-BADCy composites (Fig. 1)."
chart_0001,2,../02_images/figures/chart_0001.jpg,"Fig. 2 | Nanofragmentation mechanism of microparticles. a Changes in the density $E _ { \mathrm { d } } . ( E _ { \mathrm { d } } = P / \nu h d ,$ where P is the laser power, v is the scan speed, h is the hatch distance, and d is the layer thickness). A representative HRTEM image of the interface and the corresponding FFT image of a region in the refined particle, displayed for samples processed with different $E _ { \mathrm { d } } .$ The volume fraction of $\mathtt { B _ { 4 } C }$ is 12% in all samples. Images at different locations (at least five) show similar morphologies with the representative ones. Note that most of the refined particles (with an $E _ { \mathrm { d } }$ value larger than 118.1 J/m²) have amorphous structures, thereby suggesting the meltingfragmentation-solidification process of $\mathtt { B _ { 4 } C }$ microparticles upon L-PBF. b-d High-fidelity multiphysics modelling of the change in the particle morphology during L-PBF. The coloured arrows represent the velocity vector in the melt, under which the initially microsized (-4 µm in diameter) particle is gradually fractured into nanoparticles. The particles are coloured based on their local",1,0.600012,0.350012,high,paper::sent::82,text_item,"The particle size distribution curves, flowability, and apparent density of powders after multiple recycling cycles are shown in Fig. 2."
chart_0001,2,../02_images/figures/chart_0001.jpg,"Fig. 2 | Nanofragmentation mechanism of microparticles. a Changes in the density $E _ { \mathrm { d } } . ( E _ { \mathrm { d } } = P / \nu h d ,$ where P is the laser power, v is the scan speed, h is the hatch distance, and d is the layer thickness). A representative HRTEM image of the interface and the corresponding FFT image of a region in the refined particle, displayed for samples processed with different $E _ { \mathrm { d } } .$ The volume fraction of $\mathtt { B _ { 4 } C }$ is 12% in all samples. Images at different locations (at least five) show similar morphologies with the representative ones. Note that most of the refined particles (with an $E _ { \mathrm { d } }$ value larger than 118.1 J/m²) have amorphous structures, thereby suggesting the meltingfragmentation-solidification process of $\mathtt { B _ { 4 } C }$ microparticles upon L-PBF. b-d High-fidelity multiphysics modelling of the change in the particle morphology during L-PBF. The coloured arrows represent the velocity vector in the melt, under which the initially microsized (-4 µm in diameter) particle is gradually fractured into nanoparticles. The particles are coloured based on their local",2,0.5968,0.3468,high,paper::sent::88,text_item,Powder particles sizes were randomly selected within a range of 3040 Å based on the powder diameter distribution graph displayed in Fig. 2(e) [37].
chart_0001,2,../02_images/figures/chart_0001.jpg,"Fig. 2 | Nanofragmentation mechanism of microparticles. a Changes in the density $E _ { \mathrm { d } } . ( E _ { \mathrm { d } } = P / \nu h d ,$ where P is the laser power, v is the scan speed, h is the hatch distance, and d is the layer thickness). A representative HRTEM image of the interface and the corresponding FFT image of a region in the refined particle, displayed for samples processed with different $E _ { \mathrm { d } } .$ The volume fraction of $\mathtt { B _ { 4 } C }$ is 12% in all samples. Images at different locations (at least five) show similar morphologies with the representative ones. Note that most of the refined particles (with an $E _ { \mathrm { d } }$ value larger than 118.1 J/m²) have amorphous structures, thereby suggesting the meltingfragmentation-solidification process of $\mathtt { B _ { 4 } C }$ microparticles upon L-PBF. b-d High-fidelity multiphysics modelling of the change in the particle morphology during L-PBF. The coloured arrows represent the velocity vector in the melt, under which the initially microsized (-4 µm in diameter) particle is gradually fractured into nanoparticles. The particles are coloured based on their local",3,0.589673,0.339673,high,paper::sent::114,text_item,SEM images and corresponding particle size distribution histograms are depicted in Fig. 2.
chart_0001,2,../02_images/figures/chart_0001.jpg,"Fig. 2 | Nanofragmentation mechanism of microparticles. a Changes in the density $E _ { \mathrm { d } } . ( E _ { \mathrm { d } } = P / \nu h d ,$ where P is the laser power, v is the scan speed, h is the hatch distance, and d is the layer thickness). A representative HRTEM image of the interface and the corresponding FFT image of a region in the refined particle, displayed for samples processed with different $E _ { \mathrm { d } } .$ The volume fraction of $\mathtt { B _ { 4 } C }$ is 12% in all samples. Images at different locations (at least five) show similar morphologies with the representative ones. Note that most of the refined particles (with an $E _ { \mathrm { d } }$ value larger than 118.1 J/m²) have amorphous structures, thereby suggesting the meltingfragmentation-solidification process of $\mathtt { B _ { 4 } C }$ microparticles upon L-PBF. b-d High-fidelity multiphysics modelling of the change in the particle morphology during L-PBF. The coloured arrows represent the velocity vector in the melt, under which the initially microsized (-4 µm in diameter) particle is gradually fractured into nanoparticles. The particles are coloured based on their local",4,0.586278,0.336278,high,paper::sent::99,text_item,The S-Fig. 2 systematically compares: Post-PRS powders exhibited a particle size shift toward smaller ranges (S-Fig. 2 a).
chart_0001,2,../02_images/figures/chart_0001.jpg,"Fig. 2 | Nanofragmentation mechanism of microparticles. a Changes in the density $E _ { \mathrm { d } } . ( E _ { \mathrm { d } } = P / \nu h d ,$ where P is the laser power, v is the scan speed, h is the hatch distance, and d is the layer thickness). A representative HRTEM image of the interface and the corresponding FFT image of a region in the refined particle, displayed for samples processed with different $E _ { \mathrm { d } } .$ The volume fraction of $\mathtt { B _ { 4 } C }$ is 12% in all samples. Images at different locations (at least five) show similar morphologies with the representative ones. Note that most of the refined particles (with an $E _ { \mathrm { d } }$ value larger than 118.1 J/m²) have amorphous structures, thereby suggesting the meltingfragmentation-solidification process of $\mathtt { B _ { 4 } C }$ microparticles upon L-PBF. b-d High-fidelity multiphysics modelling of the change in the particle morphology during L-PBF. The coloured arrows represent the velocity vector in the melt, under which the initially microsized (-4 µm in diameter) particle is gradually fractured into nanoparticles. The particles are coloured based on their local",5,0.575547,0.325547,high,paper::sent::66,text_item,"The particles have a spherical shape with $K = 0 . 9 4 .$ As shown in Fig. 2(b), the particle size distribution has a single peak with a narrow width, and the mean diameter $( d _ { \mathrm { m } } )$ of the particles is 70.2 µm."
