figure_id,figure_index,figure_path,caption,rank,score,cosine_score,confidence,text_token_id,source,text
chart_0000,1,../02_images/figures/chart_0000.jpg,Fi 1 butions of internal defect size and count for AA2024 and $\mathrm { M g A l B _ { 4 w } / A A 2 0 2 4 } ;$ respectively.,1,0.390669,0.340669,low,paper::sent::30,text_item,"This particle size range was selected to investigate the optimum size ratio of the solid electrolyte with the CAM, which has a D50 value of 3.4 µm (see Figure S1, Supporting Information)."
chart_0000,1,../02_images/figures/chart_0000.jpg,Fi 1 butions of internal defect size and count for AA2024 and $\mathrm { M g A l B _ { 4 w } / A A 2 0 2 4 } ;$ respectively.,2,0.385187,0.335187,low,paper::sent::59,text_item,"The particle size distribution of the commercial powders was measured using the laser scattering technique with a particle size distribution analyzer (LA-950V2, Horiba)."
chart_0000,1,../02_images/figures/chart_0000.jpg,Fi 1 butions of internal defect size and count for AA2024 and $\mathrm { M g A l B _ { 4 w } / A A 2 0 2 4 } ;$ respectively.,3,0.379819,0.329819,low,paper::sent::32,text_item,"The median particle size at 50% of the volume distribution, D50, was"
chart_0000,1,../02_images/figures/chart_0000.jpg,Fi 1 butions of internal defect size and count for AA2024 and $\mathrm { M g A l B _ { 4 w } / A A 2 0 2 4 } ;$ respectively.,4,0.379321,0.329321,low,paper::sent::36,text_item,Abbasi et al. [29] found that oxide thickness and defect density increased with the Ti content.
chart_0000,1,../02_images/figures/chart_0000.jpg,Fi 1 butions of internal defect size and count for AA2024 and $\mathrm { M g A l B _ { 4 w } / A A 2 0 2 4 } ;$ respectively.,5,0.378216,0.328216,low,paper::sent::60,text_item,This parameter set resulted in relative density > 99.5 % and was selected out of initially investigated different parameter sets studied for process optimization.
image_0001,2,../02_images/figures/image_0001.jpg,Fig. 2. EBSD characterizations of the LPBFed (a-d) AA2024 and (e-h) $\mathrm { M g A l B _ { 4 w } / A A 2 0 2 4 }$ samples along the building direction. (a) and (e) The inverse pole figure .,1,0.555053,0.305053,high,paper::sent::74,text_item,Fig. 2 presents the OM images obtained from the longitudinal section of the laser glazing samples with different scanning velocities.
image_0001,2,../02_images/figures/image_0001.jpg,Fig. 2. EBSD characterizations of the LPBFed (a-d) AA2024 and (e-h) $\mathrm { M g A l B _ { 4 w } / A A 2 0 2 4 }$ samples along the building direction. (a) and (e) The inverse pole figure .,2,0.546773,0.296773,high,paper::sent::70,text_item,"In addition, there were different contrast differences within the coatings, which can be attributed to the different $\mathrm { C a F } _ { 2 }$ content and the decomposition of the Yb2SiO5 and Yb2Si2O7 (Fig. 2(df))."
image_0001,2,../02_images/figures/image_0001.jpg,Fig. 2. EBSD characterizations of the LPBFed (a-d) AA2024 and (e-h) $\mathrm { M g A l B _ { 4 w } / A A 2 0 2 4 }$ samples along the building direction. (a) and (e) The inverse pole figure .,3,0.546412,0.296412,high,paper::sent::87,text_item,"To examine the composition of the black-stripe region in matrix, line-scanning element analysis was carried out along line c (in Fig. 2(c)) and line f (in Fig. 2(f)) by energy-dispersive X-ray fluorescence spectrometry."
image_0001,2,../02_images/figures/image_0001.jpg,Fig. 2. EBSD characterizations of the LPBFed (a-d) AA2024 and (e-h) $\mathrm { M g A l B _ { 4 w } / A A 2 0 2 4 }$ samples along the building direction. (a) and (e) The inverse pole figure .,4,0.543245,0.293245,high,paper::sent::69,text_item,"Fig. 2 presents a comparative analysis of three polyimides (PI1, PI2, PI3), highlighting the influence of molecular structure on chemical bonding, thermal behavior, thermal stability, and free volume characteristics."
image_0001,2,../02_images/figures/image_0001.jpg,Fig. 2. EBSD characterizations of the LPBFed (a-d) AA2024 and (e-h) $\mathrm { M g A l B _ { 4 w } / A A 2 0 2 4 }$ samples along the building direction. (a) and (e) The inverse pole figure .,5,0.539946,0.289946,high,paper::sent::47,text_item,"The spherical nanoparticles are mainly distributed at the grooves of dendrites (Fig. 2c), as confirmed by the elemental mapping (Fig. 2di), acquired using energy dispersive X-ray spectroscopy (EDS) in scanning electron microscope (SEM)."
