figure_id,figure_index,figure_path,caption,top1_score,top1_confidence,top1_text,top2_score,top2_confidence,top2_text,top3_score,top3_confidence,top3_text,top4_score,top4_confidence,top4_text,top5_score,top5_confidence,top5_text
image_0000,1,../02_images/figures/image_0000.jpg,(h); (i),0.364239,low,A large number of particles in different boron-doped samples were analysed by TEM without identifying any intergranular $\mathrm { M } _ { 2 3 } \mathrm { C } _ { 6 }$ carbides.,0.3616,low,"Meanwhile, the $\mathrm { F E } _ { 0 }$ under POM is solid also without obvious bright yellow, indicating that there is no obvious crystallization at room temperature.",0.358588,low,"For examining the nanostructures of $\mathrm { S i C _ { f } / S i C }$ composites, samples were observed under a transmission electron microscope (TEM, Themis $\mathbf { Z } ,$ FEI, USA).",0.358179,low,"Meanwhile, this disordered interfacial nanolayer (DINL) is highly coherent with the adjacent ordered L12 grain.",0.35798,low,The small lattice mismatch between the FCC matrix and the $\mathbf { L } 1 _ { 2 }$ phase is also evidenced by the high-resolution
image_0001,2,../02_images/figures/image_0001.jpg,Fig. 3. The specific process of preparing transmission sample.,0.556418,high,Fig. 3 presents the typical microstructures of the LPBFed $\mathrm { M g A l B } _ { 4 \mathrm { w } } /$ AA2024 alloy.,0.555965,high,"Samples produced through binder jetting showed a consistent microstructure regardless of build orientation, with an amount of porosity present in both microstructural directions (Fig. 3(A)).",0.549366,high,Ti-48Al-2Cr-2Nb alloy fabricated by EBM in the present study exhibited a unique layered microstructure composed of duplex-like region and γ bands (Fig. 3).,0.549076,high,"Furthermore, Figs. 3(c3) and 3(c4), illustrating Si-HfO2 bond coating, showed that the thickness of m-TGO increased to 49.11 µm (Fig.",0.545342,high,The microstructure of EPBF fabricated components has distinct characteristics that appear to be dependent on build orientation (Fig. 3(B)).
image_0002,3,../02_images/figures/image_0002.jpg,enlarged images.,0.384045,low,"Despite minor coarsening, these structures were stabilized as the nano-sized precipitates still effectively impeded grain boundary migration, thereby providing robust resistance against grain coarsening.",0.378211,low,"The enrichment of precipitates at grain boundaries can compromise the material's ductility and elongation by promoting embrittlement, creating paths for crack propagation, hindering dislocation movement, and inducing stress concentration.",0.377992,low,"During LPBF-processing of metals, grain coalescence and epitaxial growth are two important microstructural evolution processes.",0.377531,low,"Although more oriented cracks appeared inside the bond coating, they did not seem to harm the adhesion of the bond coating with the upper ${ \mathrm { Y b } } _ { 2 } { \mathrm { S i } } _ { 2 } { \mathrm { O } } _ { 7 }$ layer and CMC substrate.",0.376772,low,"Subsurface damage significantly affects the lifespan of machined components, emphasizing the need for a thorough understanding of the speed effect on the microstructural evolution mechanisms, especially of the recrystallized layer."
chart_0003,4,../02_images/figures/chart_0003.jpg,Fig. 5. The variation of surface roughness with grinding speed.,0.580967,high,The 3D reconstructed atom maps (Fig. 5(a)) reconfirms the nanoscale partitioning characteristics within the aged alloy.,0.5776,high,"To be more precise, an increasing η from $4 7 . 6 ~ \mathrm { J / m m ^ { 3 } }$ to $2 7 7 . 8 \ \mathrm { J / m m ^ { 3 } }$ yileds microstructures with the average grain size consistently increasing from 16.29 µm to 23.85 µm (Fig. 5(d)).",0.557092,high,"The 2-nm thick virtual slice containing Ni, Al, and Ti atoms obtained from the bottom of the APT sample (Fig. 5(b)) and the corresponding 2D projection (Fig. 5(c)) demonstrate that the lamellar $\mathrm { L } 1 _ { 2 }$ nanorods are highly enriched in Ni, Al, and Ti, which is in good agreement with the STEM-EDS results (Fig. 4(b)).",0.551368,high,Fig. 5(c) shows the MD simulation results of the microstructural evolution during LPBF of CoCrFeNi high-entropy aloy at varying laser energy densities.,0.550602,high,Smaller grain size (Fig. 3(h)) and lamellar thickness (Fig. 5(c) and (d)) in the layered microstructure of the as-EBM alloy led to higher yield strength at room temperature.
chart_0004,5,../02_images/figures/chart_0004.jpg,Fig. 6. The variation of Micro-hardness with grinding speed.,0.555995,high,"Figure 6(g) shows that USP and HT treatments have no evident impact on the coarse grain size, but facilitated the formation of equiaxed grains.",0.541442,high,"From Fig. 6(c), it turns out that most predictions are within 1 orders-ofmagnitude different to the molecular dynamics results, while the single outlier is about 2 orders of magnitude difference.",0.539086,high,"Fig. 6 shows the microhardness results on the surface (RD/TD plane) of the N1-HOMO, N1-CR, N1-LH and N1-LAG materials.",0.538257,high,The effect of pressure on the fracture toughness is displayed in Fig. 6.,0.534661,high,"XRD of as-received, sintered and aged WA and GA powders (Fig. 6) show major (51°, 60°, 90°, 111°), and minor peaks (34.6, 42.4°, 46.5°, 48.5°, 51°, 56.5°)."
chart_0005,6,../02_images/figures/chart_0005.jpg,(b) Zoom in I,0.375329,low,"Oxygen anions can transfer from $\mathrm { M g } _ { 2 } \mathrm { Z r } _ { 5 } \mathrm { O } _ { 1 2 }$ to the presumably more stable $\mathbf { M g Z r _ { 4 } O _ { 9 } } .$ During thermal cycling, the remaining vacancies are also filled.",0.373797,low,The amplitude of the gradient pulses g is varied in a sequence of experiments.,0.373736,low,"The compatible trend of phase formation for single- and multi-REprincipal-component $\mathsf { R E } _ { 2 } \mathsf { S i } _ { 2 } \mathsf { O } _ { 7 }$ compounds, in terms of the individual or average $\mathsf { R E } ^ { \bar { 3 } + }$ cationic radius, is quite enlightening.",0.373637,low,"Moreover, the density difference also causes the weak bond between YbMS region and $\mathrm { Y b } _ { 2 } \mathrm { O } _ { 3 }$ region, resulting in the formation of horizontal crack in the YbMS layer.",0.373117,low,"Fig. $^ { 4 , }$ which indicates that the $\mathrm { N i } _ { 7 } \mathrm { Z r } _ { 2 }$ phase can precipitate rapidly in the γ matrix and remain stable during subsequent thermal exposure."
chart_0006,7,../02_images/figures/chart_0006.jpg,(c) Zoom in II; Fi7. the surface plastic deformation increases first and then decreases with an increase in grinding speed.,0.371624,low,The amplitude of the gradient pulses g is varied in a sequence of experiments.,0.37151,low,"From FMCM-1 to FMCM-4, the characteristic diffraction peaks of $\mathsf { F e } _ { 3 } \mathsf { O } _ { 4 }$ at 30.1° (220), 35.7° (311), 43.3° (400), 57.3° (511) and 62.9° (440) gradually increased.",0.368986,low,The frequency shifts of the peaks can be used to characterize the residual stress of SiC particles.,0.367615,low,"The compatible trend of phase formation for single- and multi-REprincipal-component $\mathsf { R E } _ { 2 } \mathsf { S i } _ { 2 } \mathsf { O } _ { 7 }$ compounds, in terms of the individual or average $\mathsf { R E } ^ { \bar { 3 } + }$ cationic radius, is quite enlightening.",0.365637,low,"Notably, the absence of austenite peaks in the dark layer diffraction pattern suggests that the dark layer temperature remained below the threshold for austenite transformation."
chart_0007,8,../02_images/figures/chart_0007.jpg,(f); (g),0.368783,low,The governing role of stress-assisted diffusion in driving hydrogen-assisted fatigue has been experimentally demonstrated using a hydrogen microprint technique [90].,0.362765,low,Electrochemical Characterization: Long-term cycling tests were performed using the MACCOR in a climate chamber maintained at $2 5 ^ { \circ } C$ The half cells were cycled in a voltage window of 2.0 to 3.7 V versus In/Liln with a C-rate of 0.1 C for 50 cycles.,0.361363,low,"To determine the effective electronic conductivity, impedance spectroscopy was performed on the symmetric cell with ionic blocking electrodes.",0.361119,low,Quantitative measurements confirm that the step width of L90 (\~710 nm) (Fig.,0.361074,low,"Furthermore, a comparison of the XRD patterns before and after cycling (Fig."
chart_0008,9,../02_images/figures/chart_0008.jpg,(i); s; and the variation trend of grinding force with grinding speed (i).,0.383656,low,Material embrittlement mechanism in ultra-high-speed grinding and its influence on grinding force,0.377434,low,Fernández-Sousa et al. [49] have shown that the hydrogen-assisted fatigue behavior can often be governed by the ratio between the loading frequency and the material effective diffusion coefficient.,0.375404,low,"From these results, the authors suggest the promotion of slow diffusers (especially W) to segregate along stacking faults as well as the formation of n phase along SESFs and χ phase along SISFs for optimal creep properties in future disk superalloys.",0.375315,low,Griffiths et al. [9] investigated the high-temperature properties of an Al-Mg-Zr alloy fabricated using LPBF in both AF and HT conditions.,0.374191,low,"Yadollahi et al. reported a surface defect layer of approximately 200 µm [62] and in this research > 200 µm was removed on average in the polishing process (Section 2.4), thus suggesting the improvement in fatigue performance is truly attributed to the elimination of surface defects."
image_0009,10,../02_images/figures/image_0009.jpg,(a) 40 m/s,0.373009,low,Rao et al. (2020) explained that dislocations and stacking faults is related to energy dissipation during processing.,0.370018,low,"Deformation, diffusion and fatigue crack growth are coupled, with the model capturing the solubility dependence on the hydrostatic stress and the evolving environment-diffusion interface.",0.365552,low,"In the case of plasticity the most important microstructural state variable certainly is the dislocation density as the dislocations are the carriers of plastic deformation.2 Models that treat the evolution of dislocation densities and calculate the fow stress from them have been proposed by various authors [9,19,22,24,25,232].",0.36533,low,Plastic deformation leads to the creation of these faults and it stems from the residual stresses arising from the repetitive re-heating of the underlying material.,0.363171,low,Fracture surface studies of WA samples showed mostly brittle-ductile failure.
