figure_id,figure_index,figure_path,caption,top1_score,top1_confidence,top1_text,top2_score,top2_confidence,top2_text,top3_score,top3_confidence,top3_text,top4_score,top4_confidence,top4_text,top5_score,top5_confidence,top5_text
chart_0000,1,../02_images/figures/chart_0000.jpg,Fig. 1. The morphology and XRD patterns of (a) $\mathrm { Y b _ { 2 } S i _ { 2 } O _ { 7 } { \cdot } Y b _ { 2 } S i O _ { 5 } }$ (b) ${ \mathrm { Y b } } _ { 2 } { \mathrm { S i O } } _ { 5 }$ and (c) LaMgAl11019 particles.,0.550781,high,The flow stress reached as high as 2 GPa in $\mathbf { G } \mathbf { L } _ { 5 } ^ { 0 . 0 4 }$ Fig. 1(d) shows global strain hardening responses of all GS samples.,0.548817,high,Fig. 1 displays the powder morphology with the particle size distribution.,0.546901,high,"As shown in Fig. 1a1, the YbMS/YbDS phase ratio (about $0 . 1 7 )$ in as-sprayed YbDS-YbMS powder can be quantitatively estimated by the intensity ratio of main peak of YbMS (-402) and YbDS (021) respectively [26].",0.544662,high,"Fig. 1(a), (d), and (g) show uniform distribution of SiC fibers in all the samples.",0.543672,high,"Fig. 1(a) shows the increase of yield strength $\left( \sigma _ { 0 . 2 } \right)$ of all gradient-structured specimens of 1-mm thick (superscript represents specimen thickness in mm) with increasing SMAT duration (subscript, minutes), with a slight decrease of uniform tensile elongation $\varepsilon _ { u \cdot }$ For example, the processing by SMAT for 15 min, i.e. $\mathsf { G S } _ { 1 5 } ^ { 1 } ,$ increased $\sigma _ { 0 . 2 }$ by 132% while $\varepsilon _ { u }$ dropped by only 30%, which is consistent with an early report on gradient structured IF steel [29]."
image_0001,2,../02_images/figures/image_0001.jpg,"Fig. 2. Cross-sectional micrographs of plasma sprayed Si/YbDS-YbMS/YbMS/LMA coating deposited onto $\mathrm { S i C _ { f } } / \mathrm { S i C }$ substrate: (a) overview of coating, () interface between YbMS and LMA.",0.560566,high,"The spherical nanoparticles are mainly distributed at the grooves of dendrites (Fig. 2c), as confirmed by the elemental mapping (Fig. 2di), acquired using energy dispersive X-ray spectroscopy (EDS) in scanning electron microscope (SEM).",0.553153,high,Fig. 2 shows (a) a typical SEM image and (b) particle diameter distribution of the raw powder.,0.550576,high,The inverse pole figure (IPF) image (Fig. 2(a)) first shows that the as-printed alloy has a conventional polycrystalline morphology with an average grain size of 29.7 µm (inset in Fig. 2(a)).,0.547495,high,Fig. 2 $\mathrm { { d - f ) } }$ since super-solidus liquid phase sintering was active.,0.547443,high,"Powder images for the three powders used for fabrication are seen in Fig. 2, where EPBF and LPBF powders are nearly all spherical; a typical feature of gas atomized powders used for PBF AM processes."
image_0002,3,../02_images/figures/image_0002.jpg,Se e $\mathrm { Y b } _ { 2 } \mathrm { S i O } _ { 5 }$ splat in the monocrystalline silicon.,0.363558,low,"In this study, the interlayer pores and the closed pores within fiber bundles were assumed as the internal defects, because of their large volume fraction and non-uniform distribution.",0.362583,low,It is believed that rupture life and ductility can be improved by enveloping the brittle grain boundary carbides and therefore retarding crack initiation at high temperatures[39].,0.361238,low,These nanoscale TiV particles may also impede cell growth via the Zener pinning mechanism [3].,0.360539,low,"Altogether, the extreme solidification conditions of PBF-LB create a hierarchical microstructure characterized by a high degree of metastability, thus offering great opportunities for distinct microstructural evolution compared to as-cast counterparts during the subsequent heat treatment.",0.357699,low,"The shrinkage solidification of splat and CTE mismatch of coating between substrate would produce residual stress during coating deposition, which formed microcracks in the coating to release stress."
chart_0003,4,../02_images/figures/chart_0003.jpg,"coating, (c) YbMS coating, and (d) LMA coating.",0.382743,low,"And with the increase of annealing temperature, the weight loss of SiC matrix increases and reaches a maximum of nearly 1 % at $1 4 0 0 \ { } ^ { \circ } \mathrm { C } .$ SiC fibers almost have no weight change after annealing at temperatures below 1300 °C for 1 h.",0.381029,low,"These results also prove the above conclusion that PDC SiC is thermostable at the temperature below the preparing temperature of $9 0 0 ^ { \circ } \mathrm { C } .$ In region I, the thermal expansion behaviors of SS0, SS90 and",0.380711,low,"$^ \circ \mathrm { C }$ in AMS5664 was selected as one temperature, and the onset temperature $1 1 0 0 ~ ^ { \circ } \mathrm { C }$ of the recrystallization of the AM Inconel 718 specimens designated HA1065 and HA1100 were homogenized at 1065 °C and $1 1 0 0 ^ { \circ } \mathrm { C }$ for 1 h, respectively, and then subjected to a two-step aging of $7 6 0 \ ^ { \circ } \mathrm { C } \cdot 1 0$ h/furnace cooling to $6 5 0 ~ ^ { \circ } \mathrm { C }$ at $5 5 ^ { \circ } \mathrm { C } / h + 6 5 0 ^ { \circ } \mathrm { C } - 8$ h/air cooling to RT.",0.377618,low,These results indicate that the CTE of PDC SiC and $\mathrm { S i C _ { f } } / \mathrm { S i C }$ composites do not change below the preparation temperature of UD SiCf/SiC composites and PDC SiC.,0.376723,low,"The thermal expansion behaviors in the temperature range of $9 0 0 { - } 1 4 0 0 \ { \mathrm { ~ } } ^ { \circ } { \mathrm { C } }$ of SSO, SS90 and PDC SiC were studied."
chart_0004,5,../02_images/figures/chart_0004.jpg,(b); Fig. 5. The XRD patterns of as-deposited YbDS-YbMS and YbMS coating after heat treatment between $9 5 0 ~ ^ { \circ } \mathrm { C }$ and $1 3 0 0 ^ { \circ } \mathsf C .$,0.536587,high,"In order to further interpret the appearance of second exothermal peak in the DSC curves, the phase compositions of YbDS-YbMS and YbMS coatings during heat treatment was detected by XRD, as shown in Fig. 5.",0.53536,high,"Initially, we detected the formation of unstable HCP-structured primary precipitates with high-density SFs at the early stage of heat treatment, i.e., 600 °C for 5 and 30 min (Fig. 5).",0.525014,high,"Further quantitative characterization of the elemental partitioning behavior between the two phases in the aged alloy was carried out with the aid of APT, as shown in Fig. 5.",0.523585,high,"Microstructures of irregular powders like R70 were non-uniform due to varying Al loss during melting, resulting in uneven Al content within the powder and appearing as lamellar agglomerates (α2 + γ) in Al-poor areas (Fig. 5 e2).",0.522437,high,Fig. 5 summarizes the microstructural changes in the $_ { \mathrm { A l - Z r - C e - C u } }$ alloy after peak aging (375 C/100 h).
chart_0005,6,../02_images/figures/chart_0005.jpg,Fig. 6. The XRD patterns of as-deposited LMA coating after heat treatment between 950 C and 1300 .,0.563539,high,"Fig. 6(a) is representative of the grain boundary area atom probe reconstruction from the boron-free alloy, from which information about the composition of individual $\gamma , \gamma$ and $\mathsf { M } _ { 2 3 } \mathsf { C } _ { 6 }$ phases can be extracted.",0.562871,high,Fig. 6(b) shows the dielectric and theoretical wave-transparent performances of PBO fibers/BADCy composites under $2 5 \mathrm { - } 2 0 0 ~ ^ { \circ } C$ at $1 0 ^ { 6 }$ Hz.,0.559691,high,Fig. 6(a) shows the potentiodynamic traces of the as-printed and aged Al5Ti5 alloys recorded in 3.5 wt.% NaCl solution.,0.556275,high,"Fig. 6 shows the XRD patterns of LMA coating after heat treatment between $9 5 0 ~ ^ { \circ } \mathrm { C }$ and $1 3 5 0 ~ ^ { \circ } \mathrm { C } .$ The amorphous phase, $\mathrm { { A l } _ { 2 } \mathrm { { O } _ { 3 } } }$ and LMA phase can found at as-deposited LMA coating, as shown in Fig. 6a.",0.555909,high,"The $\varepsilon ,$ tanδ, and $| T | ^ { 2 }$ of PBO fibers/BADCy wave-transparent laminated composites at $1 0 ^ { 4 } – 1 0 ^ { 7 }$ Hz are shown in Fig. 6(a)."
image_0006,7,../02_images/figures/image_0006.jpg,ig. 7-//,0.392191,low,The comparative grain sizes implied no significant grain coarsening after heat treatment at elevated temperatures occurred in this LPBF-fabricated Al-Cu-Li-Sc-Zr alloy.,0.390054,low,The precipitates of LPBF-fabricated Al-Cu-Li-Sc-Zr alloy exhibited superior thermal stability during aging at 300 a.,0.382899,low,"These results suggest that the γ phase and the coarse lamellar region are primarily responsible for the deformation, while the β phase and the ultrafine lamellar grain are barely deformed at 1023 K.",0.381614,low,This strongly suggests that γ bands act as effective ductile components in the as-EBM alloy.,0.38131,low,"These results demonstrate that the aged alloy containing the $\mathrm { L } 1 _ { 2 }$ phase tends to form a more stable and robust passive film in dilute chloride solution than the as-printed alloy, thus exhibiting superior corrosion resistance."
image_0007,8,../02_images/figures/image_0007.jpg,F. 8//,0.402338,medium,"At the same time, the tensile stress caused by CTE mismatch would concentrate near cracks and pores in YbMS coating, leading to further crack propagation.",0.396791,low,"The above results suggested that after oxidation at $1 1 0 0 ^ { \circ } \mathrm { C }$ for 100 h, cracks appeared in the ZC20 coating, and the morphologies of the MC20 and YC20 coatings remained intact.",0.395725,low,"However, not all horizontal cracks in the YbDS-YbMS layer are the result of crack bifurcation.",0.395474,low,"It can be found that after oxidation at $1 2 0 0 ~ ^ { \circ } \mathrm { C }$ for 100 h, there were significant penetrating cracks in both MC20 and YC20 coatings, the combination between the coating and the Si bonding layer was relatively good, and the bonding layer was oxidized to form a thicker TGO layer, and there were both horizontal cracks and intensive porosity regions inside the MC20 coating.",0.394979,low,"The microscopic morphologies results revealed that the ZC20 and MC20 coatings possessed apparent penetrating cracks, and the YC20 coating presented more microcracks without penetrating cracks."
image_0008,9,../02_images/figures/image_0008.jpg,Fi.9.//.,0.373279,low,unidirectional (UD) SiCf/SiC composites with CVI BN interphase were fabricated by PIP process.,0.371158,low,"These results indicate that mechanical properties improve as the oxide content increases toward an optimal point, but declines thereafter due to particle aggregation in the over-thick oxide-rich layer.",0.370376,low,The precipitates of LPBF-fabricated Al-Cu-Li-Sc-Zr alloy exhibited superior thermal stability during aging at 300 a.,0.370015,low,"More obvious cellular structures were observed when compared to CoCrNi(Al0.6TiFe)0.4 alloy, in which the FCC phase is encircled by bright precipitates.",0.369846,low,"These results demonstrate that the aged alloy containing the $\mathrm { L } 1 _ { 2 }$ phase tends to form a more stable and robust passive film in dilute chloride solution than the as-printed alloy, thus exhibiting superior corrosion resistance."
image_0009,10,../02_images/figures/image_0009.jpg,Fi. 10.//.,0.398605,low,"Yadollahi et al. reported a surface defect layer of approximately 200 µm [62] and in this research > 200 µm was removed on average in the polishing process (Section 2.4), thus suggesting the improvement in fatigue performance is truly attributed to the elimination of surface defects.",0.397181,low,"These results indicate the (Ce,Cu)-rich intermetallic particles are the dominant strengthening factor in the as-fabricated alloy.",0.39518,low,(1) Cracks were absent in the laser glazing regions when inoculating the Al4Cu1Li alloy with 0.8Sc0.4Zr and 1.0Sc0.5Zr.,0.392419,low,Mechanical properties of as-EBM alloy at room temperature exhibited strong plastic anisotropy depending on θ.,0.39125,low,The present study investigates the high-temperature mechanical properties and microstructural evolution of an Al-Cu-Li-Sc-Zr alloy fabricated using LPBF technology.
