figure_id,figure_index,figure_path,caption,rank,score,cosine_score,confidence,text_token_id,source,text
image_0000,1,../02_images/figures/image_0000.jpg,Fig. 1. Typical $\gamma / \gamma ^ { \prime }$ microstructure in the dendrite cores (D) and interdendritic region (ID) of alloys T0 and T5.,1,0.566871,0.316871,high,paper::sent::114,text_item,Fig. 1 summarizes the typical as-fabricated microstructures of the AM Al-Zr-Ce-Cu alloy.
image_0000,1,../02_images/figures/image_0000.jpg,Fig. 1. Typical $\gamma / \gamma ^ { \prime }$ microstructure in the dendrite cores (D) and interdendritic region (ID) of alloys T0 and T5.,2,0.55827,0.30827,high,paper::sent::62,text_item,Fig. 1 provides the microstructural characterization of the H230 and H230AM samples.
image_0000,1,../02_images/figures/image_0000.jpg,Fig. 1. Typical $\gamma / \gamma ^ { \prime }$ microstructure in the dendrite cores (D) and interdendritic region (ID) of alloys T0 and T5.,3,0.557103,0.307103,high,paper::sent::74,text_item,"Backscattered SEM images showing the microstructure of fully heat treated boron-free, low, medium and high boron alloys are given in Fig. 1."
image_0000,1,../02_images/figures/image_0000.jpg,Fig. 1. Typical $\gamma / \gamma ^ { \prime }$ microstructure in the dendrite cores (D) and interdendritic region (ID) of alloys T0 and T5.,4,0.555882,0.305882,high,paper::sent::47,text_item,"X-Ray diffraction (XRD) pattern (Supplementary Fig. 1) and selected area electron diffraction (SAED) of the TEM image (Supplementary Fig. 3) suggest the $\mathsf { A l } _ { 3 } \mathsf { T i }$ exists mainly in $\boldsymbol { \mathrm { D } } \boldsymbol { 0 } _ { 2 2 }$ phase (space group I4/mmm, a = 0.384 nm, c = 0.860 nm²9) and partially in L12 phase (space group Pm3m, $\mathbf { a } = \mathbf { 0 . 3 9 8 n m } ^ { 3 0 } )$ , and ${ \bf A l } _ { 9 } ( \mathrm { F e } , \mathrm { C o } , \mathrm { N i } ) _ { 2 }$ has monoclinic structure with the prototype of $\mathbf { A l } _ { 9 } \mathbf { C o } _ { 2 }$ (space group $\mathsf { P } 2 _ { \mathrm {1 } } / \mathsf { c }$ a = 0.622 nm, b = 0.629 nm, c = 0.856 nm, $\beta = 9 4 . 8 ^ { \circ 3 1 } )$ or $\boldsymbol { \mathrm { A l } _ { 9 } \mathrm { F e N i } ^ { 3 2 } }$ Besides, it could be seen that plenty of defects exist in AlTi (Fig. 3a & Supplementary Fig. 3)."
image_0000,1,../02_images/figures/image_0000.jpg,Fig. 1. Typical $\gamma / \gamma ^ { \prime }$ microstructure in the dendrite cores (D) and interdendritic region (ID) of alloys T0 and T5.,5,0.555233,0.305233,high,paper::sent::50,text_item,The corresponding microstructure evolution from continuous to pulsed laser in bulk samples is illustrated in Figure 1(df).
image_0001,2,../02_images/figures/image_0001.jpg,(a); Alloy TO,1,0.299838,0.249838,low,paper::sent::96,text_item,The latter probably originated from pores within powder particles that were unable to annihilate or join larger pores.
image_0001,2,../02_images/figures/image_0001.jpg,(a); Alloy TO,2,0.29787,0.24787,low,paper::sent::116,text_item,The yarn spreading width of CF refers to the ratio of the width of CF after yarn spreading testing.
image_0001,2,../02_images/figures/image_0001.jpg,(a); Alloy TO,3,0.293905,0.243905,low,paper::sent::143,text_item,The uniform elongation was found to be nearly proportional to the fraction of the recrystallized area.
image_0001,2,../02_images/figures/image_0001.jpg,(a); Alloy TO,4,0.292521,0.242521,low,paper::sent::133,text_item,Particles smaller than 1 µm have low momentum due to their size and exhibit a low Stokes number.
image_0001,2,../02_images/figures/image_0001.jpg,(a); Alloy TO,5,0.292042,0.242042,low,paper::sent::97,text_item,These nanoscale TiV particles may also impede cell growth via the Zener pinning mechanism [3].
image_0002,3,../02_images/figures/image_0002.jpg,Alloy T5,1,0.303953,0.253953,low,paper::sent::114,text_item,These coarse columnar grains are formed by epitaxial growth through multiple building layers.
image_0002,3,../02_images/figures/image_0002.jpg,Alloy T5,2,0.300823,0.250823,low,paper::sent::116,text_item,The yarn spreading width of CF refers to the ratio of the width of CF after yarn spreading testing.
image_0002,3,../02_images/figures/image_0002.jpg,Alloy T5,3,0.300076,0.250076,low,paper::sent::80,text_item,The values of strength and modulus for the composite were between those of the matrix and the fibers.
image_0002,3,../02_images/figures/image_0002.jpg,Alloy T5,4,0.298765,0.248765,low,paper::sent::85,text_item,Electrostatic repulsion between the charged particles ensures good dispersion stability.
image_0002,3,../02_images/figures/image_0002.jpg,Alloy T5,5,0.297386,0.247386,low,paper::sent::131,text_item,The above results confi rm that signifi cant quantities of boron exist in the form of borides at the grain boundaries.
chart_0003,4,../02_images/figures/chart_0003.jpg,tration profi les across $\gamma / \gamma ^ { \prime }$ interface in heat-treated alloys T0 and T5.,1,0.38537,0.33537,low,paper::sent::122,text_item,These results indicate that the addition of Cu promotes the $\mathrm { N i } _ { 3 } \mathrm { T i }$ precipitation.
chart_0003,4,../02_images/figures/chart_0003.jpg,tration profi les across $\gamma / \gamma ^ { \prime }$ interface in heat-treated alloys T0 and T5.,2,0.376588,0.326588,low,paper::sent::157,text_item,"The $\mathrm { R L } _ { \mathrm { m i n } }$ and corresponding thickness of RGO/ MXene microspheres were −35.48 dB (5 mm) and −35.64 dB (4 mm) when MXene and GOx were 2:1 and 3:1, respectively."
