figure_id,figure_index,figure_path,caption,top1_score,top1_confidence,top1_text,top2_score,top2_confidence,top2_text,top3_score,top3_confidence,top3_text,top4_score,top4_confidence,top4_text,top5_score,top5_confidence,top5_text
image_0000,1,../02_images/figures/image_0000.jpg,Fig. 1. Image of a tensile sample printed from alloy 625 powder with BJP.,0.584731,high,Representative as-fabricated samples on the substrate are shown in Fig. 1(c).,0.582297,high,Fig. 1 shows an image of representative tensile sample.,0.572924,high,"Cuboid samples measuring 52 mm × 6mm × 6 mm $( L \times W \times H )$ were printed using the L-DED system, before tensile coupons were cut out using wire electrical discharge machining (EDM) (Fig. 1(a) and Supplementary Fig.",0.571023,high,Nearly fully dense samples were well obtained when the laser scanning speeds varied from 600 to 1000 mm/s (Supplementary Fig. 1).,0.568486,high,Fig. 1 displays the powder morphology with the particle size distribution.
chart_0001,2,../02_images/figures/chart_0001.jpg,"Fig. 2. SEM images of alloy 625 powders (a, b) morphology and cross sectional microstructure, (c) XRD pattern (X-ray source is Co-Kα) and (d) Microtrac particle size analysis.",0.572821,high,"Fig. 2 is 1H NMR, $^ { 1 3 } { \sf C }$ NMR, and FT-IR spectra of $\mathrm { F E } _ { 0 } ,$ LCFE2, and $\operatorname { L C F E } _ { 5 } .$ Chemical shifts at 6.827.24 ppm in $\mathrm { F E } _ { 0 }$ (Fig. 2(a)) are attributed to the protons on biphenyl structures.",0.571541,high,Fig. 2(b) displays the proximity histogram plots of the concentration profiles through the $\gamma / \gamma ^ { \prime }$ interfaces of alloys T0 and T5.,0.564843,high,"Moreover, the carbon atoms on alkyl chains and epoxy groups appear in the range of 20-60 ppm, and the number of peaks is consistent with the carbon atoms in molecular structures of $\mathrm { L C F E } _ { 2 }$ and $\operatorname { L C F E } _ { 5 } .$ ,Meanwhile, FT-IR spectra of $\mathrm { F E } _ { 0 } ,$ LCFE2, and LCFE5 (Fig. 2(g-i)) show stretching vibration peaks of $\left. - \mathrm { C H } _ { 2 } . \right.$ group $( 3 0 0 0 { - } 3 2 0 0 ~ \mathrm { c m } ^ { - 1 } )$ and characteristic peaks of epoxy group (958 cm-1).",0.5633,high,Fig. 2 $\mathrm { { d - f ) } }$ since super-solidus liquid phase sintering was active.,0.556666,high,"However, the number of diffraction peaks of the O phase increased in the PBF-EB samples, indicating that a large amount of O phases precipitated and grew from the B2 phase, as shown in Fig. 2."
image_0002,3,../02_images/figures/image_0002.jpg,"Fig. 3. MicroCT scan of the as-received alloy 625 powder contained in a plastic straw. Details of the scans are shown, identifying porosity within powder particles, indicated by arrows.",0.565727,high,"Additionally, to examine the internal nanostructure of recrystallized layer, observation samples were prepared using a focused ion beam system (Helios 600i), as depicted in Fig. 3.",0.559379,high,Detailed microstructure examinations of the same (300 W) specimen using TEM and STEM are summarized in Fig. 3.,0.554869,high,The initial microstructure characterization of the aged alloy is shown in Fig. 3.,0.554471,high,"Samples produced through binder jetting showed a consistent microstructure regardless of build orientation, with an amount of porosity present in both microstructural directions (Fig. 3(A)).",0.552484,high,The microstructure of LPBF fabricated parts appears homogenous and with equiaxed grains compared to those of produced by EPBF and binder jetting in both studied orientations (Fig. 3(C)).
chart_0003,4,../02_images/figures/chart_0003.jpg,Fig. 4. DSC curve of alloy 625 powder.,0.583251,high,Fig. 4(b) illustrates the neutron diffraction spectra of the creep specimens of the experimental alloys interrupted at 1% strain.,0.57644,high,"TEM energy-dispersive X-ray spectroscopy (EDX) indicate that Al was enriched in the O phase, whereas Nb was enriched in the β phase, as shown in Fig. 4(i)(l).",0.574867,high,"Fig. 4 shows the TG-DSC curves of Si, YbDS-YbMS, YbMS and LMA coating, respectively.",0.572727,high,Fig. 4(a) shows equi-axial grains of austenite with an average grain size of 25 μm in the central CG layer.,0.567439,high,"In addition, to further confirm the existence of the O and the β phases, TEM coupled with selected area electron diffraction (SAED) was also conducted as shown in Fig. 4(c)(h)."
image_0004,5,../02_images/figures/image_0004.jpg,"Above 1290 °C, pore coarsening was observed.",0.363444,low,"Specifically, the nano-lamellar colonies form in the heat-affected zone (HAZ) around the MPs due to overlapped tracks and repeated heating (Fig.",0.359135,low,"These morphological anomalies directly contributed to the broadening particle size distribution in R45 and R70, as elongated agglomerates (53150 µm) and adhered fines (<50 µm) coexisted within the recycled powder system.",0.358854,low,"Notably, distinct microstructural variations are evident in CoCrNi(Al0.6TiFe)0.4 and CoCr-Ni(Al0.6TiFe)0.5 alloys, where micrometer-sized BCC precipitates are observed within the primary dendritic network.",0.357175,low,This behavior was previously observed by Vargas-Arista et al. [48] in the HAZ of a 42CrMo4 steel with different grain sizes and yield strengths.,0.357063,low,"The grain size, geometrically necessary dislocations, and textures were characterized by electron backscatter diffraction (EBSD), with the step sizes for the entire and ultra-fine grain regions of 0.3 µm and 0.06 µm, respectively."
image_0005,6,../02_images/figures/image_0005.jpg,"F . pl mip me f nt () 180 C, ( 190 nd () 100 .",0.383402,low,"Moreover, oriented cracks also appeared in the bond coating under the dispersion toughening effect caused by hafnia-rich precipitates, and the thickness of the m-TGO increased to 48.24 µm (Fig.",0.370551,low,"These morphological anomalies directly contributed to the broadening particle size distribution in R45 and R70, as elongated agglomerates (53150 µm) and adhered fines (<50 µm) coexisted within the recycled powder system.",0.370513,low,Careful examination of the contrast variations in these microstructures reveals the precipitation of particles and various types of carbides and the presence of what we will identify below as grain boundary borides in the boron containing alloys.,0.36875,low,"Therefore, the dispersed fine grain boundary ZrC carbides in the microstructure are beneficial for improving the creep lifetime of H230AM.",0.36692,low,"Within samples printed using different parameters and strategies, no significant change in microstructure features such as grain size or morphology are identified, as shown in our recent work [60] and Supplementary Fig."
image_0006,7,../02_images/figures/image_0006.jpg,"Fig. 7. MicroCT image of an as-printed, alloy 625 powder sample.",0.526826,high,"Finally, APS and SPS coatings (very hot and very small particles) are shown in Fig. 7(b-f).",0.526232,high,Fig. 7(c)(f) show BF images of the lamellar structure in the HED (R1) and LED (R5) microstructures and SAED patterns taken from these areas.,0.523055,high,The austenite grains nucleate at martensite boundaries (Fig. 7b1 white arrows).,0.522936,high,Fig. 7 shows optical micrographs of the specimens side view after the tensile tests at room temperature.,0.522496,high,"To further confirm the source of failure at 760 C/780 MPa, the crack initiation and propagation were investigated by the longitudinal section microstructures near fracture obtained by SEM (Fig. 7)."
chart_0007,8,../02_images/figures/chart_0007.jpg,ImageJ. (b) Shrinkage of the sintered samples depending on sintering temperature.,0.408321,medium,"The volume fraction of the $\alpha _ { 2 }$ phase decreases with decreasing temperature, resulting in the microstructure change associated with the annealing temperature.",0.387992,low,The comparative grain sizes implied no significant grain coarsening after heat treatment at elevated temperatures occurred in this LPBF-fabricated Al-Cu-Li-Sc-Zr alloy.,0.385035,low,"Due to the large difference in thermal expansion coefficient and elastic modulus between SiC particles and Al matrix, residual stress is produced during temperature change or material deformation.",0.38461,low,The precipitation behavior significantly influences the mechanical properties of the LPBF-fabricated Al-Cu-Li-Sc-Zr alloy at elevated temperatures.,0.384387,low,The dissolution of the $\gamma ^ { \prime }$ phase and the compositional changes in the $\gamma ^ { \prime }$ and phases with increasing temperature weaken the resistance to deformation.
chart_0008,9,../02_images/figures/chart_0008.jpg,at different temperatures (right).,0.378592,low,"PVDF-HFP SPE exhibited an endothermic peak at ${ 1 3 8 } ^ { \circ } \mathrm { C } ,$ whereas the melting points of LAZTP 50% HSE and LAZTP Dual HSE correspondingly decreased to $1 2 7 ~ ^ { \circ } \mathrm { C }$ and ${ 1 3 0 ~ ^ { \circ } \mathrm { C } } .$ The decrease in Tm indicates reduced polymer crystallinity due to the plasticizing effect of oxide fillers, which increases the amorphous phase fraction and facilitates $\mathrm { L i ^ { + } }$ conduction, improving the ionic conductivity of the solid electrolyte [41,42].",0.371067,low,"$6 5 0 ~ ^ { \circ } \mathrm { C }$ may et al. indicated that at high temperatures in an oxidation environment particularly at $9 5 0 ~ ^ { \circ } \mathrm { C }$ and above, the oxidation can reduce the gation.",0.36972,low,"Refractory elements Mo and Cr cause active solid s0 lution hardening in Ni-based superalloys, and have higher moduli and melting temperatures than Nb.",0.369687,low,"The coarsening temperature of nanotwins is expected to $0 . 8 T _ { m }$ (the melting point, over $6 0 0 ~ ^ { \circ } \mathrm { C } )$ and thus exhibits exceptional thermal stability at $6 0 0 \ ^ { \circ } \mathrm { C } \ [ 6 9 ]$ When dislocation slip encounters TBs, additional energy/force is required for slip transfer across these boundaries.",0.368153,low,"Besides the boron enrichment, higher concentrations of cobalt were found at the γ/MB3 interface in both reconstructions."
chart_0009,10,../02_images/figures/chart_0009.jpg,Fig. 11. Microhardness values of the samples sintered at different temperatures for 4 h and average tensile curves of the fully-densified samples (as an inset).,0.56192,high,Microhardness measurement results are summarized in Fig. 11 showing a hardness increase from $1 0 7 . 2 \pm 2 4 . 7 \ \mathrm { H V } _ { 0 . 1 }$ to $2 3 7 . 4 \pm$ $4 . 9 \ \mathrm { H V } _ { 0 . 1 }$ with increasing sintering temperature (1200 to 1280 °C) and then decreased to $1 8 5 . 4 \pm 4 . 2 \mathrm { ~ H V } _ { 0 . 1 }$ for the $1 3 0 0 ~ ^ { \circ } \mathrm { C }$ sample.,0.558191,high,"Fig. 11 presents the calculation results of vaporization rates of $\mathrm { { \dot { C } u , L i , } }$ Sc, and Zr in AlCuLiScZr alloy.",0.54781,high,The cross-sectional microstructure of Si/YbDS-YbMS/YbMS/LMA coating after heat treatment at 1350 C for 10 h is shown in Fig. 11.,0.547703,high,Fig. 11 shows the nanoindentation hardness of the duplex-like region and γ bands at room temperature.,0.547257,high,"It should be noted that the hexagonal ${ \mathfrak { o } } _ { 0 }$ phase with a mean diameter of approximately 100 nm is precipitated in the β phase by exposure at 1023 K during the tensile test (Fig. 11(c) and (d)), although dislocations associated with deformation are difficult to find (Fig. 11 (b))."
