figure_id,figure_index,figure_path,caption,rank,score,cosine_score,confidence,text_token_id,source,text
image_0000,1,../02_images/figures/image_0000.jpg,"Fig. 1. Polished surface morphologies of (a)\~(c) 1100PIP, (d)\~(f) 1300PIP, and (g)\~(i) 1500PIP.",1,0.576826,0.326826,high,paper::sent::114,text_item,Fig. 1 summarizes the typical as-fabricated microstructures of the AM Al-Zr-Ce-Cu alloy.
image_0000,1,../02_images/figures/image_0000.jpg,"Fig. 1. Polished surface morphologies of (a)\~(c) 1100PIP, (d)\~(f) 1300PIP, and (g)\~(i) 1500PIP.",2,0.57312,0.32312,high,paper::sent::68,text_item,The typical SEM morphologies of the micro-shear specimen are shown in Fig. 1.
image_0000,1,../02_images/figures/image_0000.jpg,"Fig. 1. Polished surface morphologies of (a)\~(c) 1100PIP, (d)\~(f) 1300PIP, and (g)\~(i) 1500PIP.",3,0.571798,0.321798,high,paper::sent::74,text_item,"Backscattered SEM images showing the microstructure of fully heat treated boron-free, low, medium and high boron alloys are given in Fig. 1."
image_0000,1,../02_images/figures/image_0000.jpg,"Fig. 1. Polished surface morphologies of (a)\~(c) 1100PIP, (d)\~(f) 1300PIP, and (g)\~(i) 1500PIP.",4,0.56619,0.31619,high,paper::sent::62,text_item,Fig. 1 provides the microstructural characterization of the H230 and H230AM samples.
image_0000,1,../02_images/figures/image_0000.jpg,"Fig. 1. Polished surface morphologies of (a)\~(c) 1100PIP, (d)\~(f) 1300PIP, and (g)\~(i) 1500PIP.",5,0.56063,0.31063,high,paper::sent::30,text_item,"The XRD patterns and morphologies of as-sprayed Si, YbDS-YbMS, YbMS and LMA powders are shown in Fig. 1."
image_0001,2,../02_images/figures/image_0001.jpg,"Fig. 2. TEM images and HAADF images of BN region and the distribution of $\begin{array} { r } { 0 , \ N , \ C , } \end{array}$ and Si elements of (a1) and (a2) 1100PIP, (b1) and (b2) 1300PIP, and (c1) and (c2) 1500PIP.",1,0.58332,0.33332,high,paper::sent::83,text_item,"In order to clarify the effect of LAG on the microstructure, we performed SEM characterizations on the longitudinal section (RD-ND plane) of the N1 alloy at HOMO, CR, LH and LAG states, respectively, as shown in Fig. 2(b)."
image_0001,2,../02_images/figures/image_0001.jpg,"Fig. 2. TEM images and HAADF images of BN region and the distribution of $\begin{array} { r } { 0 , \ N , \ C , } \end{array}$ and Si elements of (a1) and (a2) 1100PIP, (b1) and (b2) 1300PIP, and (c1) and (c2) 1500PIP.",2,0.582542,0.332542,high,paper::sent::65,text_item,Fig. 2 shows the overall viewing (observation direction parallels the building direction) of microstructures of as-built alloy ZGH451 obtained by SEM and TEM.
image_0001,2,../02_images/figures/image_0001.jpg,"Fig. 2. TEM images and HAADF images of BN region and the distribution of $\begin{array} { r } { 0 , \ N , \ C , } \end{array}$ and Si elements of (a1) and (a2) 1100PIP, (b1) and (b2) 1300PIP, and (c1) and (c2) 1500PIP.",3,0.571908,0.321908,high,paper::sent::82,text_item,Fig. 2 shows the meso-scale to micro-scale initial microstructure of the as-printed alloy.
image_0001,2,../02_images/figures/image_0001.jpg,"Fig. 2. TEM images and HAADF images of BN region and the distribution of $\begin{array} { r } { 0 , \ N , \ C , } \end{array}$ and Si elements of (a1) and (a2) 1100PIP, (b1) and (b2) 1300PIP, and (c1) and (c2) 1500PIP.",4,0.571352,0.321352,high,paper::sent::65,text_item,Fig. 2 shows (a) a typical SEM image and (b) particle diameter distribution of the raw powder.
image_0001,2,../02_images/figures/image_0001.jpg,"Fig. 2. TEM images and HAADF images of BN region and the distribution of $\begin{array} { r } { 0 , \ N , \ C , } \end{array}$ and Si elements of (a1) and (a2) 1100PIP, (b1) and (b2) 1300PIP, and (c1) and (c2) 1500PIP.",5,0.567178,0.317178,high,paper::sent::73,text_item,"Furthermore, Fig. 2(e) exhibits the TEM images of the initial microstructures, it is obvious that the size of $\gamma ^ { \prime }$ phases in DC is smaller than those in IR due to the segregation of $\gamma ^ { \prime }$ forming elements [47]."
chart_0002,3,../02_images/figures/chart_0002.jpg,"1300PIP, and (f) 1500PIP.",1,0.417808,0.367808,medium,paper::sent::103,text_item,The grain characteristics such as average grain size and grain size distribution of samples AC1h and AC12h are calculated from the 2500 µm × 2500 µm mappings.
chart_0002,3,../02_images/figures/chart_0002.jpg,"1300PIP, and (f) 1500PIP.",2,0.408177,0.358177,medium,paper::sent::139,text_item,"As grain sizes decreased with the rise of Sc and Zr contents, more grain boundaries were induced to reduce the Al matrix deformation, and thus the GND density was smaller."
chart_0002,3,../02_images/figures/chart_0002.jpg,"1300PIP, and (f) 1500PIP.",3,0.40483,0.35483,medium,paper::sent::137,text_item,The grain size distribution was quantified using the image analysis software ImageJ.
chart_0002,3,../02_images/figures/chart_0002.jpg,"1300PIP, and (f) 1500PIP.",4,0.401245,0.351245,medium,paper::sent::89,text_item,"Additionally, the average grain diameter for each sample was compared with the ASTM E-112-13 and found the grain size number as follows: 56 levels (1280 °C), 34 levels $( 1 2 9 0 ^ { \circ } \mathrm { C } )$ and 1.5-2.5 levels $( 1 3 0 0 ^ { \circ } \mathrm { C } )$ ."
chart_0002,3,../02_images/figures/chart_0002.jpg,"1300PIP, and (f) 1500PIP.",5,0.398334,0.348334,low,paper::sent::136,text_item,"It is found that dispersed NbC particles distribute along and near grain boundaries, indicating that the fine NbC carbides precipitating along with recrystallization at or near grain boundaries can impede grain boundary movement effectively and hence refine the grain size."
image_0003,4,../02_images/figures/image_0003.jpg,"Fig. 4. HR TEM images of BN interphase in (a) 1100PIP, (b) 1300PIP, and (c) 1500PIP.",1,0.556156,0.306156,high,paper::sent::113,text_item,"Fig. 4 shows the microstructure and morphology of the white layer, dark layer, and bulk material in the secondary electron (SE) mode of SEM."
image_0003,4,../02_images/figures/image_0003.jpg,"Fig. 4. HR TEM images of BN interphase in (a) 1100PIP, (b) 1300PIP, and (c) 1500PIP.",2,0.555092,0.305092,high,paper::sent::131,text_item,Typical TEM images representing the microstructure of the sample after one pass of ECAP are shown in Fig. 4.
