figure_id,figure_index,figure_path,caption,rank,score,cosine_score,confidence,text_token_id,source,text
image_0000,1,../02_images/figures/image_0000.jpg,(d); (e),1,0.371013,0.321013,low,paper::sent::64,text_item,"The number density per unit area, volume fraction and size of nanoparticles were measured based on at least ten SEM images via ImageJ."
image_0000,1,../02_images/figures/image_0000.jpg,(d); (e),2,0.37069,0.32069,low,paper::sent::109,text_item,The carbon segregation at grain boundaries also provided nucleation sites for film-like MC and M6C.
image_0000,1,../02_images/figures/image_0000.jpg,(d); (e),3,0.369564,0.319564,low,paper::sent::78,text_item,"To unveil the intragranular distribution and spatial morphology of elements at the atomic scale, 3D-APT and STEM-EDS characterizations were performed in the B2 colonies."
image_0000,1,../02_images/figures/image_0000.jpg,(d); (e),4,0.369553,0.319553,low,paper::sent::96,text_item,"Additionally, fine TiV particles, approximately 12 nm in size, are found embedded within the cells, further confirming the effectiveness of in situ formation of TiV nucleants from the added $\mathrm { T i B } _ { 2 }$ nanoparticles."
image_0000,1,../02_images/figures/image_0000.jpg,(d); (e),5,0.366235,0.316235,low,paper::sent::97,text_item,These nanoscale TiV particles may also impede cell growth via the Zener pinning mechanism [3].
chart_0001,2,../02_images/figures/chart_0001.jpg,Spectra of LAZTP-0.075 and LATP.,1,0.376783,0.326783,low,paper::sent::122,text_item,"For example, although the high-power ASLB with LiCoO2 composite cathode and a $\mathbf { L i } _ { 4 } \mathbf { T i } _ { 5 } \mathbf { O } _ { 1 2 }$ anode reported by Kato et al.37 can achieve a high $P _ { \mathrm { { m } } }$ of 2,391 W ${ \sf k g } ^ { - 1 }$ ,the $E _ { \mathrm { m } }$ is estimated to be 266 Wh kg-1, which are both inferior to our values."
chart_0001,2,../02_images/figures/chart_0001.jpg,Spectra of LAZTP-0.075 and LATP.,2,0.374851,0.324851,low,paper::sent::190,text_item,Using a higher plasma power (APS 1) reduces the rhombohedral Mg2Zr5O12 phase and increases the cubic $\mathrm { M g Z r _ { 4 } O _ { 9 } }$ phase.
chart_0001,2,../02_images/figures/chart_0001.jpg,Spectra of LAZTP-0.075 and LATP.,3,0.373244,0.323244,low,paper::sent::102,text_item,The small lattice mismatch between the FCC matrix and the $\mathbf { L } 1 _ { 2 }$ phase is also evidenced by the high-resolution
chart_0001,2,../02_images/figures/chart_0001.jpg,Spectra of LAZTP-0.075 and LATP.,4,0.372864,0.322864,low,paper::sent::121,text_item,"In the base LTP model, two Al atoms were substituted for Ti to form an LATP structure, with additional Li atoms introduced for charge compensation."
chart_0001,2,../02_images/figures/chart_0001.jpg,Spectra of LAZTP-0.075 and LATP.,5,0.371655,0.321655,low,paper::sent::118,text_item,"At room temperature and the cathode level, the ASLBs with I $\mathbf { - } \mathbf { T G } _ { 0 . 2 5 } \mathbf { P S S e } _ { 0 . 2 }$ demonstrate high $E _ { \mathrm { m } }$ of 548 Wh kg-1 and $P _ { \mathrm { { m } } }$ of 177 W kg-1 at 0.3 C and satisfying $E _ { \mathfrak { m } }$ of 506 Wh kg-1 and $P _ { \mathrm { { m } } }$ of 506 W kg-1 at 1 C."
chart_0002,3,../02_images/figures/chart_0002.jpg,"electronic conductivity of LATP 50% HSE and LAZTP-x (50%) HSE (x = 0.050, 0.075, 0.100) at $2 5 ~ ^ { \circ } \mathrm { C } .$ (d) atomic structures of $\mathrm { L i _ { 8 } A l _ { 2 } T i _ { 1 0 } P _ { 1 8 } O _ { 7 2 } }$ and $\mathrm { L i } _ { 8 } \mathrm { A l } _ { 2 } \mathrm { Z r } _ { 1 }$ $\mathrm { T i } _ { 9 } \mathrm { P } _ { 1 8 } \mathrm { O } _ { 7 2 } .$ (e) Density of states for $\mathrm { L i _ { 8 } A l _ { 2 } T i _ { 1 0 } P _ { 1 8 } O _ { 7 2 } }$ and $\mathrm { L i _ { 8 } A l _ { 2 } Z r _ { 1 } T i _ { 9 } P _ { 1 8 } O _ { 7 2 } } .$",1,0.385597,0.335597,low,paper::sent::153,text_item,"PVDF-HFP SPE exhibited an endothermic peak at ${ 1 3 8 } ^ { \circ } \mathrm { C } ,$ whereas the melting points of LAZTP 50% HSE and LAZTP Dual HSE correspondingly decreased to $1 2 7 ~ ^ { \circ } \mathrm { C }$ and ${ 1 3 0 ~ ^ { \circ } \mathrm { C } } .$ The decrease in Tm indicates reduced polymer crystallinity due to the plasticizing effect of oxide fillers, which increases the amorphous phase fraction and facilitates $\mathrm { L i ^ { + } }$ conduction, improving the ionic conductivity of the solid electrolyte [41,42]."
chart_0002,3,../02_images/figures/chart_0002.jpg,"electronic conductivity of LATP 50% HSE and LAZTP-x (50%) HSE (x = 0.050, 0.075, 0.100) at $2 5 ~ ^ { \circ } \mathrm { C } .$ (d) atomic structures of $\mathrm { L i _ { 8 } A l _ { 2 } T i _ { 1 0 } P _ { 1 8 } O _ { 7 2 } }$ and $\mathrm { L i } _ { 8 } \mathrm { A l } _ { 2 } \mathrm { Z r } _ { 1 }$ $\mathrm { T i } _ { 9 } \mathrm { P } _ { 1 8 } \mathrm { O } _ { 7 2 } .$ (e) Density of states for $\mathrm { L i _ { 8 } A l _ { 2 } T i _ { 1 0 } P _ { 1 8 } O _ { 7 2 } }$ and $\mathrm { L i _ { 8 } A l _ { 2 } Z r _ { 1 } T i _ { 9 } P _ { 1 8 } O _ { 7 2 } } .$",2,0.382747,0.332747,low,paper::sent::80,text_item,"On the one hand, the low polarized ${ \mathrm { - C F } } _ { 3 }$ groups in $\mathrm { F E } _ { 0 } ,$ LCFE2, and LCFE5 can weaken the polarization effect of the external electric field on the electrons to further reduce the electron polarization of $\mathrm { F E } _ { 0 ^ { - } }$ BADCy, LCFE2-BADCy, and $\mathtt { L C F E } _ { 5 } { \mathtt { - B A D C y } }$ resins."
chart_0002,3,../02_images/figures/chart_0002.jpg,"electronic conductivity of LATP 50% HSE and LAZTP-x (50%) HSE (x = 0.050, 0.075, 0.100) at $2 5 ~ ^ { \circ } \mathrm { C } .$ (d) atomic structures of $\mathrm { L i _ { 8 } A l _ { 2 } T i _ { 1 0 } P _ { 1 8 } O _ { 7 2 } }$ and $\mathrm { L i } _ { 8 } \mathrm { A l } _ { 2 } \mathrm { Z r } _ { 1 }$ $\mathrm { T i } _ { 9 } \mathrm { P } _ { 1 8 } \mathrm { O } _ { 7 2 } .$ (e) Density of states for $\mathrm { L i _ { 8 } A l _ { 2 } T i _ { 1 0 } P _ { 1 8 } O _ { 7 2 } }$ and $\mathrm { L i _ { 8 } A l _ { 2 } Z r _ { 1 } T i _ { 9 } P _ { 1 8 } O _ { 7 2 } } .$",3,0.380763,0.330763,low,paper::sent::137,text_item,These results demonstrate that $\mathrm { M g A l B _ { 4 w } / A A 2 0 2 4 }$ alloys with tunable whisker dimensions can be achieved by optimizing LPBF parameters within a suitable processing window.
chart_0002,3,../02_images/figures/chart_0002.jpg,"electronic conductivity of LATP 50% HSE and LAZTP-x (50%) HSE (x = 0.050, 0.075, 0.100) at $2 5 ~ ^ { \circ } \mathrm { C } .$ (d) atomic structures of $\mathrm { L i _ { 8 } A l _ { 2 } T i _ { 1 0 } P _ { 1 8 } O _ { 7 2 } }$ and $\mathrm { L i } _ { 8 } \mathrm { A l } _ { 2 } \mathrm { Z r } _ { 1 }$ $\mathrm { T i } _ { 9 } \mathrm { P } _ { 1 8 } \mathrm { O } _ { 7 2 } .$ (e) Density of states for $\mathrm { L i _ { 8 } A l _ { 2 } T i _ { 1 0 } P _ { 1 8 } O _ { 7 2 } }$ and $\mathrm { L i _ { 8 } A l _ { 2 } Z r _ { 1 } T i _ { 9 } P _ { 1 8 } O _ { 7 2 } } .$",4,0.374498,0.324498,low,paper::sent::138,text_item,"Compared with pure BADCy resin, the electrons around the F atom (strong electronegativity) in $\mathrm { L C F E } _ { 2 }$ are less likely to undergo the energy level transition under an external electric field, and the π- interaction between the biphenyl units in $\mathrm { L C F E } _ { 2 }$ enhances the binding effect of $\mathtt { L C F E } _ { 2 } \mathtt { - B A D C y }$ resin on carriers [67], resulting in further increased volume resistivity and breakdown strength of PBO $\mathrm { f i b e r s / F A B P B O / L C F E _ { 2 } { \mathrm { - } } B A D C y }$ composites."
chart_0002,3,../02_images/figures/chart_0002.jpg,"electronic conductivity of LATP 50% HSE and LAZTP-x (50%) HSE (x = 0.050, 0.075, 0.100) at $2 5 ~ ^ { \circ } \mathrm { C } .$ (d) atomic structures of $\mathrm { L i _ { 8 } A l _ { 2 } T i _ { 1 0 } P _ { 1 8 } O _ { 7 2 } }$ and $\mathrm { L i } _ { 8 } \mathrm { A l } _ { 2 } \mathrm { Z r } _ { 1 }$ $\mathrm { T i } _ { 9 } \mathrm { P } _ { 1 8 } \mathrm { O } _ { 7 2 } .$ (e) Density of states for $\mathrm { L i _ { 8 } A l _ { 2 } T i _ { 1 0 } P _ { 1 8 } O _ { 7 2 } }$ and $\mathrm { L i _ { 8 } A l _ { 2 } Z r _ { 1 } T i _ { 9 } P _ { 1 8 } O _ { 7 2 } } .$",5,0.374278,0.324278,low,paper::sent::122,text_item,"For example, although the high-power ASLB with LiCoO2 composite cathode and a $\mathbf { L i } _ { 4 } \mathbf { T i } _ { 5 } \mathbf { O } _ { 1 2 }$ anode reported by Kato et al.37 can achieve a high $P _ { \mathrm { { m } } }$ of 2,391 W ${ \sf k g } ^ { - 1 }$ ,the $E _ { \mathrm { m } }$ is estimated to be 266 Wh kg-1, which are both inferior to our values."
chart_0003,4,../02_images/figures/chart_0003.jpg,F-F AZ0%HS ZT,1,0.391532,0.341532,low,paper::sent::166,text_item,"After the HIP2-treatment and subsequent heat treatment HT2, the yield strength and ultimate tensile strength increased slightly as compared to the HT2 condition after sintering only."
chart_0003,4,../02_images/figures/chart_0003.jpg,F-F AZ0%HS ZT,2,0.389427,0.339427,low,paper::sent::163,text_item,The decreased tensile strength and elongation of the LAZTP 50% HSE are attributed to the brittle nature and aggregation of oxide fillers at high loading levels [44].
chart_0003,4,../02_images/figures/chart_0003.jpg,F-F AZ0%HS ZT,3,0.373038,0.323038,low,paper::sent::182,text_item,The interaction of electrochemically robust LAZTP with PVDF-HFP and TFSI broadened the electrochemical stability window of the hybrid systems [47].
chart_0003,4,../02_images/figures/chart_0003.jpg,F-F AZ0%HS ZT,4,0.372945,0.322945,low,paper::sent::143,text_item,The slightly less tensile ductility of L70 (17.0 ± 3.1 %) compared to L90 (18.4 ± 4.6 %) at 800 °C might be attributed to the lower content of γ-phase (40 % for L70 vs. 75 % for L90) since SEM fractography examination reveals little difference between the two (Fig.
chart_0003,4,../02_images/figures/chart_0003.jpg,F-F AZ0%HS ZT,5,0.37269,0.32269,low,paper::sent::188,text_item,"They showed that following a solutionizing treatment, the strength values decreased to 587 MPa while strain increased by 4%."
chart_0004,5,../02_images/figures/chart_0004.jpg,"(i); $5 5 ^ { \circ } \mathrm { C } ,$ (e) Tafel plot, (f) DC LAZTP 50% HSE and LAZTP Dual HSE.",1,0.384876,0.334876,low,paper::sent::153,text_item,"PVDF-HFP SPE exhibited an endothermic peak at ${ 1 3 8 } ^ { \circ } \mathrm { C } ,$ whereas the melting points of LAZTP 50% HSE and LAZTP Dual HSE correspondingly decreased to $1 2 7 ~ ^ { \circ } \mathrm { C }$ and ${ 1 3 0 ~ ^ { \circ } \mathrm { C } } .$ The decrease in Tm indicates reduced polymer crystallinity due to the plasticizing effect of oxide fillers, which increases the amorphous phase fraction and facilitates $\mathrm { L i ^ { + } }$ conduction, improving the ionic conductivity of the solid electrolyte [41,42]."
chart_0004,5,../02_images/figures/chart_0004.jpg,"(i); $5 5 ^ { \circ } \mathrm { C } ,$ (e) Tafel plot, (f) DC LAZTP 50% HSE and LAZTP Dual HSE.",2,0.384502,0.334502,low,paper::sent::143,text_item,The slightly less tensile ductility of L70 (17.0 ± 3.1 %) compared to L90 (18.4 ± 4.6 %) at 800 °C might be attributed to the lower content of γ-phase (40 % for L70 vs. 75 % for L90) since SEM fractography examination reveals little difference between the two (Fig.
chart_0004,5,../02_images/figures/chart_0004.jpg,"(i); $5 5 ^ { \circ } \mathrm { C } ,$ (e) Tafel plot, (f) DC LAZTP 50% HSE and LAZTP Dual HSE.",3,0.381091,0.331091,low,paper::sent::182,text_item,The interaction of electrochemically robust LAZTP with PVDF-HFP and TFSI broadened the electrochemical stability window of the hybrid systems [47].
chart_0004,5,../02_images/figures/chart_0004.jpg,"(i); $5 5 ^ { \circ } \mathrm { C } ,$ (e) Tafel plot, (f) DC LAZTP 50% HSE and LAZTP Dual HSE.",4,0.378424,0.328424,low,paper::sent::221,text_item,"Collectively, the CV, XPS, and XRD analyses clearly indicate that direct contact between LAZTP and Li metal induces Ti reduction at the interface, which significantly degrades the interfacial performance."
chart_0004,5,../02_images/figures/chart_0004.jpg,"(i); $5 5 ^ { \circ } \mathrm { C } ,$ (e) Tafel plot, (f) DC LAZTP 50% HSE and LAZTP Dual HSE.",5,0.375977,0.325977,low,paper::sent::181,text_item,"The unconstrained lattice misfits of alloys T0 and T5 are calculated as 0.29% and 0.40%, respectively, which agree with the values obtained from neutron diffraction analysis."
image_0005,6,../02_images/figures/image_0005.jpg,"(h); LAZTP 50% HSE, (g) LAZTP Dual HSE, and (h) LAZTP Dual HSE (R).",1,0.393413,0.343413,low,paper::sent::200,text_item,"To eliminate parasitic reactions between the Li metal and the LAZTP oxide, the polymer-rich side of the membrane was placed in direct contact with Li metal by stacking two sheets."
image_0005,6,../02_images/figures/image_0005.jpg,"(h); LAZTP 50% HSE, (g) LAZTP Dual HSE, and (h) LAZTP Dual HSE (R).",2,0.391354,0.341354,low,paper::sent::165,text_item,"Similar to other materials fabricated by LPBF [2], the porosity of the LPBF Al-Cu-Li-Sc-Zr alloy was categorized by spherical pores and irregular-shaped pores."
image_0005,6,../02_images/figures/image_0005.jpg,"(h); LAZTP 50% HSE, (g) LAZTP Dual HSE, and (h) LAZTP Dual HSE (R).",3,0.387945,0.337945,low,paper::sent::172,text_item,The relatively high Li loss rate of the AlLi alloy produced by LPBF was mitigated for the novel Al-CuLi-Sc-Zr alloy.
image_0005,6,../02_images/figures/image_0005.jpg,"(h); LAZTP 50% HSE, (g) LAZTP Dual HSE, and (h) LAZTP Dual HSE (R).",4,0.385236,0.335236,low,paper::sent::132,text_item,The present study investigates the high-temperature mechanical properties and microstructural evolution of an Al-Cu-Li-Sc-Zr alloy fabricated using LPBF technology.
image_0005,6,../02_images/figures/image_0005.jpg,"(h); LAZTP 50% HSE, (g) LAZTP Dual HSE, and (h) LAZTP Dual HSE (R).",5,0.381819,0.331819,low,paper::sent::226,text_item,"These results confirm that the dual-layer structure enhances interfacial stability by reducing the surface roughness, increasing the mechanical strength, and preventing direct contact between LAZTP and Li metal."
chart_0006,7,../02_images/figures/chart_0006.jpg,mechanical safety tests and (g) Cycling performance of the pouch cell at 0.1C.,1,0.380667,0.330667,low,paper::sent::247,text_item,"These results, combined with the optimized mechanical and electrochemical properties highlight the strong potential of the LAZTP Dual HSE-based SSLB as a next-generation energy storage system."
chart_0006,7,../02_images/figures/chart_0006.jpg,mechanical safety tests and (g) Cycling performance of the pouch cell at 0.1C.,2,0.376334,0.326334,low,paper::sent::250,text_item,"The polymer-rich upper layer provided excellent interfacial compatibility with Li metal, whereas the lower LAZTP 50% layer enhanced the ionic conductivity, electrochemical stability, and mechanical robustness."
chart_0006,7,../02_images/figures/chart_0006.jpg,mechanical safety tests and (g) Cycling performance of the pouch cell at 0.1C.,3,0.37172,0.32172,low,paper::sent::188,text_item,"In suction-cast alloys, the Laves_C14 phase remains during 1-h short-time homogenization and dissolves after 12-h long-time homogenization."
chart_0006,7,../02_images/figures/chart_0006.jpg,mechanical safety tests and (g) Cycling performance of the pouch cell at 0.1C.,4,0.366893,0.316893,low,paper::sent::214,text_item,"Similarly, the LAZTP Dual HSE-O29 µm showed an increase in polarization followed by failure at \~410 h, which is attributed to its lower tensile strength (5.09 MPa) compared to LAZTP Dual HSE (6.32 MPa)."
chart_0006,7,../02_images/figures/chart_0006.jpg,mechanical safety tests and (g) Cycling performance of the pouch cell at 0.1C.,5,0.366826,0.316826,low,paper::sent::249,text_item,The resulting LAZTPincorporated hybrid solid electrolyte was engineered into a dual-layer structure consisting of oxide-rich and polymer-rich layers to improve the interfacial performance in SSLBs.
