figure_id,figure_index,figure_path,caption,rank,score,cosine_score,confidence,text_token_id,source,text
image_0000,1,../02_images/figures/image_0000.jpg,"dashed area. g, 3D-printed heat-resistant components by LPBF.",1,0.3853,0.3353,low,paper::sent::65,text_item,"The feedstock powders observed in the SEM images are uniformly distributed in terms of particle size and showed spherical and agglomerated shapes, which is the typical shape of the spray-granulating suitable for APS technology."
image_0000,1,../02_images/figures/image_0000.jpg,"dashed area. g, 3D-printed heat-resistant components by LPBF.",2,0.382552,0.332552,low,paper::sent::52,text_item,"The microstructures of the powder and as-printed samples were analyzed via scanning electron microscopy (SEM, Zeiss Sigma 300), transmission electron microscopy (TEM, Tecnai G2 F30), and electron backscattered diffraction (EBSD,"
image_0000,1,../02_images/figures/image_0000.jpg,"dashed area. g, 3D-printed heat-resistant components by LPBF.",3,0.382434,0.332434,low,paper::sent::68,text_item,"The morphologies of polished and fractured surfaces of the composites were characterized using a scanning electron microscope (SEM, S-2700, Hitachi, Japan), connected with an energy dispersive spectroscope (EDS)."
image_0000,1,../02_images/figures/image_0000.jpg,"dashed area. g, 3D-printed heat-resistant components by LPBF.",4,0.378704,0.328704,low,paper::sent::42,text_item,"X-ray diffraction (XRD) patterns and scanning electron microscope (SEM) images confirmed the spherical morphology of both powders, with FCC and BCC phases in CoCrNi and CoCrNiAl0.6TiFe, respectively."
image_0000,1,../02_images/figures/image_0000.jpg,"dashed area. g, 3D-printed heat-resistant components by LPBF.",5,0.378006,0.328006,low,paper::sent::31,text_item,"General morphology and internal porosity of powder particles and as-printed samples were visualized with a Bruker SkyScan1272 micro-computed tomography scanner (μCT) at 100 kV and 100 μA and a 0.11 mm Cu filter, averaging of 10 frames, and angular range of 0—180° with 0.2°—0.3° steps."
chart_0001,2,../02_images/figures/chart_0001.jpg,d; Fi,1,0.399685,0.349685,low,paper::sent::33,text_item,Li et al.[19] fabricated a novel AlMgScZr alloy by LPBF and achieved a yield strength of
chart_0001,2,../02_images/figures/chart_0001.jpg,d; Fi,2,0.397715,0.347715,low,paper::sent::28,text_item,"For instance, Li et al.[10] developed a high-strength AlMgSiScZr alloy by adjusting Mg content, and the heat-treated sample exhibited an ultimate tensile strength (UTS) of 550 MPa and an elongation (ε) of 8%."
chart_0001,2,../02_images/figures/chart_0001.jpg,d; Fi,3,0.395851,0.345851,low,paper::sent::40,text_item,"Interestingly, Zhou et al.[25] proposed an LSP-assisted AM process to fabricate a highly dense AlSi10Mg alloy with excellent strength and plasticity."
chart_0001,2,../02_images/figures/chart_0001.jpg,d; Fi,4,0.390799,0.340799,low,paper::sent::25,text_item,"Consequently, our findings contribute to an enhanced understanding of the high-temperature behavior exhibited by the LPBF-fabricated Al-Cu-Li-Sc-Zr alloy, thereby facilitating the design of new aluminum alloys for potential applications at high temperatures."
chart_0001,2,../02_images/figures/chart_0001.jpg,d; Fi,5,0.38912,0.33912,low,paper::sent::76,text_item,We further examined the ambient-temperature tensile properties of these novel AM-fabricated CoNiCrFeAlTi-based HEAs.
chart_0002,3,../02_images/figures/chart_0002.jpg,Fi STEM temperature to elevated temperatures after prolonged thermal exposure.,1,0.385533,0.335533,low,paper::sent::159,text_item,"We propose that with increasing sintering temperature from 1280 to 1300 °C, (1) grain coarsening occurs, (2) alloying elements segregate in the grain boundaries, (3) Laves phase forms at the grain boundaries enriched with Nb and Mo, (4) NbC form in the matrix, all resulting in decreasing UTS and yield stress, similarly to the microhardness and supported by microstructural observations."
chart_0002,3,../02_images/figures/chart_0002.jpg,Fi STEM temperature to elevated temperatures after prolonged thermal exposure.,2,0.382779,0.332779,low,paper::sent::213,text_item,"As mentioned above, PCS derived SiC was not thermally stable at a temperature above the preparation temperature, so the degradation of SiC fiber and PIP SiC matrix was inevitable."
chart_0002,3,../02_images/figures/chart_0002.jpg,Fi STEM temperature to elevated temperatures after prolonged thermal exposure.,3,0.380623,0.330623,low,paper::sent::65,text_item,"To maintain strength at higher temperatures, a coarseningresistant microstructure is required."
chart_0002,3,../02_images/figures/chart_0002.jpg,Fi STEM temperature to elevated temperatures after prolonged thermal exposure.,4,0.379011,0.329011,low,paper::sent::153,text_item,"PVDF-HFP SPE exhibited an endothermic peak at ${ 1 3 8 } ^ { \circ } \mathrm { C } ,$ whereas the melting points of LAZTP 50% HSE and LAZTP Dual HSE correspondingly decreased to $1 2 7 ~ ^ { \circ } \mathrm { C }$ and ${ 1 3 0 ~ ^ { \circ } \mathrm { C } } .$ The decrease in Tm indicates reduced polymer crystallinity due to the plasticizing effect of oxide fillers, which increases the amorphous phase fraction and facilitates $\mathrm { L i ^ { + } }$ conduction, improving the ionic conductivity of the solid electrolyte [41,42]."
chart_0002,3,../02_images/figures/chart_0002.jpg,Fi STEM temperature to elevated temperatures after prolonged thermal exposure.,5,0.373136,0.323136,low,paper::sent::182,text_item,This strategy delivers high-performance materials for hightemperature structural applications and establishes a new pathway applicable to other systems for enhancing mechanical properties across a wide temperature range.
