figure_id,figure_index,figure_path,caption,rank,score,cosine_score,confidence,text_token_id,source,text
chart_0000,1,../02_images/figures/chart_0000.jpg,(e); and corresponding monomers.,1,0.367938,0.317938,low,paper::sent::88,text_item,"Using TENSOR27 FTIR spectrometer (Bruker, Germany) to record fourier transform infrared spectrum in the range of 400—4000 cm−1."
chart_0000,1,../02_images/figures/chart_0000.jpg,(e); and corresponding monomers.,2,0.367224,0.317224,low,paper::sent::26,text_item,"Three PAA precursors with distinctly different glass transition temperatures were designed, and binary blends were applied to carbon fiber surfaces as sizing agents."
chart_0000,1,../02_images/figures/chart_0000.jpg,(e); and corresponding monomers.,3,0.364914,0.314914,low,paper::sent::61,text_item,"Moreover, a further improvement in proton conductivity was observed when increasing the PA content in the COF composites."
chart_0000,1,../02_images/figures/chart_0000.jpg,(e); and corresponding monomers.,4,0.363454,0.313454,low,paper::sent::47,text_item,"The average thicknesses of the FCC and B2 nanolayers are measured as $\lambda _ { \mathrm { F C C } } = 8 7$ nm and $\lambda _ { \mathrm { B } 2 } = 1 6 0 ~ \mathrm { n m }$ ,respectively."
chart_0000,1,../02_images/figures/chart_0000.jpg,(e); and corresponding monomers.,5,0.363441,0.313441,low,paper::sent::81,text_item,"These NT nanoprecipitates should correspond to the $\mathrm { C o C r F e N i A l _ { 0 . 1 } }$ HEA, which are known for their exceptional ductility and excellent work-hardening capability under tensile deformation [29]."
chart_0001,2,../02_images/figures/chart_0001.jpg,U the corresponding composites with different PA loading.,1,0.38901,0.33901,low,paper::sent::61,text_item,"Moreover, a further improvement in proton conductivity was observed when increasing the PA content in the COF composites."
chart_0001,2,../02_images/figures/chart_0001.jpg,U the corresponding composites with different PA loading.,2,0.386539,0.336539,low,paper::sent::64,text_item,"In contrast, the PA@NVCOF-X $( X = 4 0 – 6 0 )$ series showed inferior proton conductivity, where PA@NVCOF-40 displayed conductivities ranging from $1 0 ^ { - 6 } \ \mathrm { t o } \ 1 0 ^ { - 4 } \ \mathrm { S } \ \mathrm { c m } ^ { - 1 }$ across the tested temperature range."
chart_0001,2,../02_images/figures/chart_0001.jpg,U the corresponding composites with different PA loading.,3,0.379853,0.329853,low,paper::sent::80,text_item,"In contrast, the corresponding RDF for the NVCOFbased system [H(PA)N(NVCOF)] exhibited a peak centered at 1.68 Å, reflecting weaker interactions between PA molecules and pyridinyl nitrogen sites."
chart_0001,2,../02_images/figures/chart_0001.jpg,U the corresponding composites with different PA loading.,4,0.378911,0.328911,low,paper::sent::82,text_item,"The D value for PA molecules within ZVCOF was calculated to be $1 . 0 9 \times 1 0 ^ { - 4 }$ cm2 $\mathbf { S } ^ { - 1 }$ , significantly lower than that in NVCOF $( 4 . 9 4 \times 1 0 ^ { - 4 }$ $\mathrm { c m } ^ { 2 } \ \mathbf { s } ^ { - 1 } )$ , indicating lower molecular mobility due to stronger binding between PA and the zwitterionic OF."
chart_0001,2,../02_images/figures/chart_0001.jpg,U the corresponding composites with different PA loading.,5,0.374437,0.324437,low,paper::sent::105,text_item,"After PI sizing, the CC content decreased markedly, while C=O and CN contents increased, confirming the successful deposition of imide-rich polymer coatings on the carbon fiber surfaces."
