figure_id,figure_index,figure_path,caption,rank,score,cosine_score,confidence,text_token_id,source,text
image_0000,1,../02_images/figures/image_0000.jpg,"Fig. 1. Ti-48Al-2Cr-2Nb alloy specimens fabricated by EBM at θ= 0° (a), θ = 45° (b) and θ = 90° (c).",1,0.583722,0.333722,high,paper::sent::42,text_item,"To study the fracture and deformation at RT and 650°C, the samples were designed for high-temperature tensile tests, roomtemperature tests and microstructural characterization, as shown in Fig. 1(c) and 1(d)."
image_0000,1,../02_images/figures/image_0000.jpg,"Fig. 1. Ti-48Al-2Cr-2Nb alloy specimens fabricated by EBM at θ= 0° (a), θ = 45° (b) and θ = 90° (c).",2,0.57057,0.32057,high,paper::sent::33,text_item,"In order to observe the occurrence of cracks and damage to the material, the in situ tensile specimen was prepared, as shown in Fig. 1(a)."
image_0000,1,../02_images/figures/image_0000.jpg,"Fig. 1. Ti-48Al-2Cr-2Nb alloy specimens fabricated by EBM at θ= 0° (a), θ = 45° (b) and θ = 90° (c).",3,0.567896,0.317896,high,paper::sent::42,text_item,"The top candidate alloy, Al-0.4Er-1Zr-1.33Ni (Al-2.33Er-3.19Zr-2.73Ni wt.%), was found to have 50% higher hardness (147 HV) after aging at $4 0 0 ~ ^ { \circ } \mathrm { C }$ for 8 h than the benchmark alloy (100 HV for 'alloy 1', Al-1.35Er -1.15Zr-0.25Y.- 0.73Yb-2.14Ni, wt.%), which was prepared by the same method (Figure 1)."
image_0000,1,../02_images/figures/image_0000.jpg,"Fig. 1. Ti-48Al-2Cr-2Nb alloy specimens fabricated by EBM at θ= 0° (a), θ = 45° (b) and θ = 90° (c).",4,0.565711,0.315711,high,paper::sent::114,text_item,Fig. 1 summarizes the typical as-fabricated microstructures of the AM Al-Zr-Ce-Cu alloy.
image_0000,1,../02_images/figures/image_0000.jpg,"Fig. 1. Ti-48Al-2Cr-2Nb alloy specimens fabricated by EBM at θ= 0° (a), θ = 45° (b) and θ = 90° (c).",5,0.564535,0.314535,high,paper::sent::33,text_item,"Cuboid samples measuring 52 mm × 6mm × 6 mm $( L \times W \times H )$ were printed using the L-DED system, before tensile coupons were cut out using wire electrical discharge machining (EDM) (Fig. 1(a) and Supplementary Fig."
chart_0001,2,../02_images/figures/chart_0001.jpg,"Fig. 2. XRD patterns of the vertical cross-section of θ = 0°, 45° and 90 specimens.",1,0.565557,0.315557,high,paper::sent::74,text_item,"However, the number of diffraction peaks of the O phase increased in the PBF-EB samples, indicating that a large amount of O phases precipitated and grew from the B2 phase, as shown in Fig. 2."
chart_0001,2,../02_images/figures/chart_0001.jpg,"Fig. 2. XRD patterns of the vertical cross-section of θ = 0°, 45° and 90 specimens.",2,0.55687,0.30687,high,paper::sent::74,text_item,"These spectral observations confirmed the conversion of PAAs to PI upon heat treatment at $3 2 0 ^ { \circ } \mathrm { C } .$ The chemical structure of PAAs was further analyzed using 1H NMR spectroscopy, as shown in Fig. 2(b)."
chart_0001,2,../02_images/figures/chart_0001.jpg,"Fig. 2. XRD patterns of the vertical cross-section of θ = 0°, 45° and 90 specimens.",3,0.550156,0.300156,high,paper::sent::99,text_item,The S-Fig. 2 systematically compares: Post-PRS powders exhibited a particle size shift toward smaller ranges (S-Fig. 2 a).
chart_0001,2,../02_images/figures/chart_0001.jpg,"Fig. 2. XRD patterns of the vertical cross-section of θ = 0°, 45° and 90 specimens.",4,0.549,0.299,high,paper::sent::60,text_item,"Fig. 2 shows the variation of the XRD profiles of the θ= 0, 45° and 90 specimens."
chart_0001,2,../02_images/figures/chart_0001.jpg,"Fig. 2. XRD patterns of the vertical cross-section of θ = 0°, 45° and 90 specimens.",5,0.548705,0.298705,high,paper::sent::41,text_item,"Fig. 2 is 1H NMR, $^ { 1 3 } { \sf C }$ NMR, and FT-IR spectra of $\mathrm { F E } _ { 0 } ,$ LCFE2, and $\operatorname { L C F E } _ { 5 } .$ Chemical shifts at 6.827.24 ppm in $\mathrm { F E } _ { 0 }$ (Fig. 2(a)) are attributed to the protons on biphenyl structures."
chart_0002,3,../02_images/figures/chart_0002.jpg,(h); the lamellar and y grains were taken into consideration on the evaluation of the grain size.,1,0.371576,0.321576,low,paper::sent::76,text_item,"Samples B and C show improved ductility but slightly lower UTS, compared with Sample A."
chart_0002,3,../02_images/figures/chart_0002.jpg,(h); the lamellar and y grains were taken into consideration on the evaluation of the grain size.,2,0.353528,0.303528,low,paper::sent::83,text_item,Average lath length for $3 0 ^ { \circ }$ specimens is less than for $0 ^ { \circ }$ and 90° in both the bulk and edge regions.
chart_0002,3,../02_images/figures/chart_0002.jpg,(h); the lamellar and y grains were taken into consideration on the evaluation of the grain size.,3,0.348428,0.298428,low,paper::sent::84,text_item,Average lath breadth for 30° specimens is greater than $0 ^ { \circ }$ and 90° specimens in the bulk region.
chart_0002,3,../02_images/figures/chart_0002.jpg,(h); the lamellar and y grains were taken into consideration on the evaluation of the grain size.,4,0.340701,0.290701,low,paper::sent::50,text_item,"Beside the apparently different dislocation densities, different populations of dislocations are described by their own specific rates of production and recovery."
chart_0002,3,../02_images/figures/chart_0002.jpg,(h); the lamellar and y grains were taken into consideration on the evaluation of the grain size.,5,0.340553,0.290553,low,paper::sent::85,text_item,The B2 phase's limited deformability contributes to this reduction in ductility.
chart_0003,4,../02_images/figures/chart_0003.jpg,Fig. 5.,1,0.540151,0.290151,high,paper::sent::130,text_item,The average grain size of sample AM1h (Fig. 5) also becomes a smaller value of 128 µm.
chart_0003,4,../02_images/figures/chart_0003.jpg,Fig. 5.,2,0.531586,0.281586,high,paper::sent::94,text_item,"Although the rod fabricated at the lowest ED (R6, 1.2 J/ mm2) exhibits a smooth surface and low $E _ { \mathrm { d } } ,$ large non-uniform defects with a volume fraction $( f _ { \mathrm { d } } )$ of 4.9% can be observed inside the sample (Table $^ { 2 , }$ Fig. 5(a))."
chart_0003,4,../02_images/figures/chart_0003.jpg,Fig. 5.,3,0.530873,0.280873,high,paper::sent::88,text_item,The average surface roughness for upward-facing surfaces is lower than for downward-facing surfaces for all roughness metrics assessed (Fig. 5).
chart_0003,4,../02_images/figures/chart_0003.jpg,Fig. 5.,4,0.530366,0.280366,high,paper::sent::96,text_item,"Compared with the PBF-LB samples, the average grain diameter of the β phase in the PBF-EB samples was reduced by approximately 30 %, as shown in Fig. 5(a) and 5(b), and Table 2."
chart_0003,4,../02_images/figures/chart_0003.jpg,Fig. 5.,5,0.529268,0.279268,high,paper::sent::131,text_item,"After 12- h homogenization, the average grain size value in sample AM12h decreases further down to 113 µm (Fig. 5)."
chart_0004,5,../02_images/figures/chart_0004.jpg,"Fig. 6. (a) Tensile stress-strain curves of as-EBM alloy deformed with $\theta = 0 ^ { \circ } ,$ 45 and 90° at different temperatures. Variation in the yield strength (b) and tensile elongation (c) of the specimens deformed with θ = 0°, 45° and 90° at room temper ature. Temperature dependence of yield strength (d) and tensile elongation (e) of the specimens deformed at θ = 0°, 45 and 90°.",1,0.573253,0.323253,high,paper::sent::53,text_item,The high strength and the coarsening resistance of the designed alloy at elevated temperatures were further confirmed by performing room temperature tensile tests on as-built and aged samples (Figure 6).
chart_0004,5,../02_images/figures/chart_0004.jpg,"Fig. 6. (a) Tensile stress-strain curves of as-EBM alloy deformed with $\theta = 0 ^ { \circ } ,$ 45 and 90° at different temperatures. Variation in the yield strength (b) and tensile elongation (c) of the specimens deformed with θ = 0°, 45° and 90° at room temper ature. Temperature dependence of yield strength (d) and tensile elongation (e) of the specimens deformed at θ = 0°, 45 and 90°.",2,0.560147,0.310147,high,paper::sent::117,text_item,"Fig. 6(d) and (e) show the temperature dependence of yield strength and tensile elongation at $\theta = 0 ^ { \circ } , 4 5 ^ { \circ }$ and 90°."
chart_0004,5,../02_images/figures/chart_0004.jpg,"Fig. 6. (a) Tensile stress-strain curves of as-EBM alloy deformed with $\theta = 0 ^ { \circ } ,$ 45 and 90° at different temperatures. Variation in the yield strength (b) and tensile elongation (c) of the specimens deformed with θ = 0°, 45° and 90° at room temper ature. Temperature dependence of yield strength (d) and tensile elongation (e) of the specimens deformed at θ = 0°, 45 and 90°.",3,0.55228,0.30228,high,paper::sent::126,text_item,"In the middle column of Fig. 6, i.e., Figs. 6(f)(j), the microstructure evolution of AM alloys during isothermal heat treatment at 1180 °C is presented based on the analysis of the IPF orientation maps."
chart_0004,5,../02_images/figures/chart_0004.jpg,"Fig. 6. (a) Tensile stress-strain curves of as-EBM alloy deformed with $\theta = 0 ^ { \circ } ,$ 45 and 90° at different temperatures. Variation in the yield strength (b) and tensile elongation (c) of the specimens deformed with θ = 0°, 45° and 90° at room temper ature. Temperature dependence of yield strength (d) and tensile elongation (e) of the specimens deformed at θ = 0°, 45 and 90°.",4,0.55188,0.30188,high,paper::sent::118,text_item,Fig. 6(b) shows the dielectric and theoretical wave-transparent performances of PBO fibers/BADCy composites under $2 5 \mathrm { - } 2 0 0 ~ ^ { \circ } C$ at $1 0 ^ { 6 }$ Hz.
